"","WYNN.Open","WYNN.High","WYNN.Low","WYNN.Close","WYNN.Volume"
"2012-10-11",112.02,112.86,111.15,112.46,1085330
"2012-10-18",119.06,119.5,117.36,118.3,1321740
"2012-10-25",118.13,121,117.63,120.43,5254915
"2012-11-01",121.24,123.64,118.77,122.9,2106697
"2012-11-08",110.61,111.55,108.71,109.25,1672777
"2012-11-15",104.31,105.61,103.34,104.55,1461119
"2012-11-29",112,113.36,110.5,112.03,1337472
"2012-12-06",110,111.74,109.75,111.45,1018346
"2012-12-13",113.37,115.16,113.16,114.22,1114999
"2012-12-20",114.16,114.75,113.14,114.28,620216
"2012-12-27",111.9,112.08,108.93,111.01,865348
"2013-01-03",118.57,121.06,118.34,119.34,1731879
"2013-01-10",123.65,123.69,120.26,122.9,1462007
"2013-01-17",123.51,123.82,122.22,123.46,824640
"2013-01-24",123.58,124.57,122.54,122.68,1378401
"2013-01-31",125.5,126.95,123.32,125.22,3266563
"2013-02-07",123.28,123.28,120.77,122.83,1417682
"2013-02-14",122.8,123.25,121.49,123.2,887230
"2013-02-21",116.31,116.32,113.85,115.53,1664853
"2013-02-28",117.24,119.25,116.9,116.9,964344
"2013-03-07",117.27,118.27,116.46,117.21,835707
"2013-03-14",118.99,119.98,118.66,119.81,725270
"2013-03-21",121.99,122.88,121.09,121.09,657974
"2013-03-28",124.25,125.41,123.36,125.16,880120
"2013-04-04",120.55,120.57,118.66,118.8,1185082
"2013-04-11",126.48,128.21,126.27,127.16,1298474
"2013-04-18",124.79,125.32,122.24,123.94,1109028
"2013-04-25",133.5,135.98,132.9,134.91,2776329
"2013-05-02",137.15,138.43,136.06,136.62,1490685
"2013-05-09",138.33,140.09,137.26,139.55,1884921
"2013-05-16",138.99,141.27,138.99,139.36,957525
"2013-05-23",139.79,140,137.36,138.45,1460004
"2013-05-30",138.98,139.38,137.9,138.12,2453387
"2013-06-06",133.5,135.19,133.01,134.94,1155850
"2013-06-13",133.56,137.05,132.16,136.52,1137846
"2013-06-20",136.48,136.51,130.62,132.17,2678186
"2013-06-27",128.07,129.7,127.55,128.6,1011832
"2013-07-11",129.5,132.46,128.1,131.63,2463241
"2013-07-18",131.62,133.99,131.62,133.1,953770
"2013-07-25",131.12,131.67,128.41,130.16,1445039
"2013-08-01",135.26,138.08,134.35,137.44,1513579
"2013-08-08",138.47,140.15,137.56,139.45,1074992
"2013-08-15",139.03,139.61,137.69,139.08,956620
"2013-08-22",139.55,141.89,139.38,141.26,700957
"2013-08-29",140.5,142.68,140.33,141.87,929991
"2013-09-05",141.6,143.5,141.24,142.69,707119
"2013-09-12",151.25,151.25,148.74,149.65,543434
"2013-09-19",153.8,155,152.8,154.56,921562
"2013-09-26",158.01,159.85,157.9,159.74,1101144
"2013-10-03",161.76,162.33,159.11,160.66,2177656
"2013-10-10",159,163.66,159,162.35,1326552
"2013-10-17",168.4,169.84,167.11,169.46,992010
"2013-10-24",167.76,173.22,166.9,172.85,1507214
"2013-10-31",168.58,169.53,165.63,166.25,1056772
"2013-11-07",165.05,165.35,159.37,159.51,2623948
"2013-11-14",170.12,170.31,167.76,168.51,712093
"2013-11-21",159.97,165,159.32,163.53,2879376
"2013-12-05",167.67,172.87,167.1,171.41,1694184
"2013-12-12",180.84,182.41,178.48,179.49,1277813
"2013-12-19",186,187.35,183.06,185.11,1047262
"2013-12-26",189.35,191.58,188.81,191.04,692398
"2014-01-02",194.14,199.88,193.12,197.94,3056065
"2014-01-09",205.75,206.49,203.15,204.77,1228410
"2014-01-16",209.06,210.12,207.84,210.09,904379
"2014-01-23",206.5,206.9,203.72,205.26,1758477
"2014-01-30",196.39,202.73,195.48,201.51,2490558
"2014-02-06",212.88,217.5,211,216.7,1957615
"2014-02-13",219.02,223.76,218,221.28,1550128
"2014-02-20",220.95,225.92,220.94,223.5,1742909
"2014-02-27",237.6,242.22,236.22,241.96,1449968
"2014-03-06",248.99,249.1,247,247.83,1134172
"2014-03-13",240,240.97,230.82,232.23,1428944
"2014-03-20",227.29,229.4,224.27,228.59,1182758
"2014-03-27",211.51,214.16,207.06,213.76,2745664
"2014-04-03",226.95,229.78,220.29,222.32,1223194
"2014-04-10",222.02,224.68,209.3,210.84,2088969
"2014-04-17",204.59,209.08,204.38,208,1863101
"2014-04-24",209.12,213.4,206.1,213.13,2516610
"2014-05-01",205.22,207.5,200.92,206.63,2695930
"2014-05-08",197.67,207,195.1,196.45,3543170
"2014-05-15",200.97,202.35,195.09,201.72,2148679
"2014-05-22",205.75,210.26,204.66,208.35,1594489
"2014-05-29",218.24,220,215.73,219.99,944194
"2014-06-05",210.14,211.99,205.59,205.85,1344117
"2014-06-12",201.08,201.88,196.77,197.21,1080083
"2014-06-19",200.79,205,200.7,202.61,1464022
"2014-06-26",206.6,210.15,206.13,208.04,1745141
"2014-07-03",212.05,213.08,211.01,211.91,672460
"2014-07-10",201.98,204.3,200.25,203.19,873802
"2014-07-17",199.37,203.1,198.5,199.19,2111487
"2014-07-24",207.22,208.26,204.49,205.03,823608
"2014-07-31",216.19,218.68,212.72,213.2,1962036
"2014-08-07",199.71,202.56,194.26,195.18,3479159
"2014-08-14",202.07,203.5,200.6,202.23,833089
"2014-08-21",202.77,202.88,200.5,200.51,729333
"2014-08-28",195.45,197.6,193.07,196.79,1561624
"2014-09-04",185.5,186.85,183.98,184.76,1876953
"2014-09-11",181.11,186.9,181.09,186.1,1781982
"2014-09-18",184.65,190.45,184.56,187.83,3375861
"2014-09-25",184.03,184.6,180.52,181.96,1960723
"2014-10-02",183,185.37,178,181.76,1893502
"2014-10-09",183.61,184.44,177.77,178.07,1386929
"2014-10-16",173.31,184.58,173.03,182.07,3044257
"2014-10-23",183.98,185.9,183.1,183.49,1607399
"2014-10-30",184.17,188.8,184.06,187.65,1176103
"2014-11-06",179.98,179.99,176.52,178.71,3081684
"2014-11-13",181,183.59,180.75,182.63,1294371
"2014-11-20",179.71,181.69,174.9,177.85,2655717
"2014-12-04",168.85,168.86,161.35,162.92,3673851
"2014-12-11",147.9,151.43,146.65,148.88,2676661
"2014-12-18",142.05,145.23,142.05,145.1,2870142
"2015-01-08",147.06,149.03,146.39,147.21,1684100
"2015-01-15",149.4,151,147.24,147.65,1063990
"2015-01-22",144.13,147.65,143.74,147.23,1409401
"2015-01-29",154.19,157.23,149.59,152.97,1418508
"2015-02-05",146.51,148.2,144.45,146.64,1759960
"2015-02-12",151.87,154.99,150.64,154.72,2591630
"2015-02-19",158.73,159.73,157.4,158.57,883799
"2015-02-26",143.04,145.77,142.27,142.77,1856027
"2015-03-05",138.26,139.25,136.76,139,2106061
"2015-03-12",127.92,129.63,125.12,126.32,2443589
"2015-03-19",125.01,130.4,124.48,130.11,3584025
"2015-03-26",127.89,128.53,126.25,126.86,1909030
"2015-04-02",125.72,129.56,125,129.4,1346205
"2015-04-09",132.37,136.93,132.05,136.63,2568960
"2015-04-16",130.06,130.87,127.2,127.35,1337095
"2015-04-23",126.92,129.55,126.15,128.08,1353527
"2015-04-30",108.59,111.76,108.32,111.07,5447364
"2015-05-07",113.41,115.8,113.19,113.95,1598937
"2015-05-14",111.52,111.57,108.55,108.79,2043710
"2015-05-21",107.51,109.69,107.51,108.1,1804579
"2015-05-28",102.94,103.76,102.4,102.99,2378451
"2015-06-04",105.63,109.95,105.5,109.44,5914091
"2015-06-11",103.48,104.58,102.31,104.45,1375129
"2015-06-18",104.44,106.86,104.44,105.26,1514005
"2015-06-25",98.73,99,97.81,97.99,1540701
"2015-07-02",104.14,105,102.43,103.54,3017652
"2015-07-09",106.26,109.05,104.81,105.2,2686035
"2015-07-16",104.42,104.88,102.76,103.8,1162057
"2015-07-23",104.2,105.65,103.01,104.3,2655704
"2015-07-30",99.24,104.7,99.01,104.12,5069320
"2015-08-06",100.72,102.61,99.99,100.7,1818453
"2015-08-13",97.58,98.23,94.59,94.62,2229707
"2015-08-20",89,90,85.5,85.58,2527972
"2015-08-27",76.15,78.98,75.68,78.52,3393967
"2015-09-03",71.89,74.16,71.89,73.82,2888799
"2015-09-10",71.95,72.05,68.11,69.67,7791596
"2015-09-17",73.33,73.49,70,70.27,3829088
"2015-09-24",59.9,61.8,59.75,59.83,5286161
"2015-10-01",53.43,53.84,50.96,51.71,4741711
"2015-10-08",71.51,76.48,70.8,75.91,7803599
"2015-10-15",75.65,77.25,70.93,73.76,7551617
"2015-10-22",65.57,66.2,61.27,63.18,6333120
"2015-10-29",68.99,71.33,68.16,69.9,4526483
"2015-11-05",72.95,74.82,72.26,72.98,2257336
"2015-11-12",65.37,68,64.17,64.7,2965556
"2015-11-19",61.2,62.65,60.53,61.78,2672452
"2015-12-03",68.45,68.82,63.69,65.08,3747616
"2015-12-10",70,70.08,66.31,66.46,4749527
"2015-12-17",69.1,69.19,64.2,64.27,3748736
"2015-12-24",68.65,69.56,67.81,69.17,1340124
"2015-12-31",68.61,69.89,68.07,69.19,1645144
"2016-01-07",63.94,64.01,59.8,60.19,5525585
"2016-01-14",52.76,52.99,49.95,51.5,4973997
"2016-01-21",56.42,57.47,54.33,56.68,4074230
"2016-01-28",64.67,66.41,62.29,63.15,3657055
"2016-02-04",62.49,65.5,61.31,63.78,3666934
"2016-02-11",58.46,61.66,56.51,59.69,5211058
"2016-02-18",75.65,79.75,73.55,78.45,6308661
"2016-02-25",78.92,80.8,77.8,80.63,2669909
"2016-03-03",84.15,88.87,83.58,88.35,5496728
"2016-03-10",82.74,84.77,81.3,84.06,3257549
"2016-03-17",86.7,89.28,86.6,88.8,3257809
"2016-03-24",90.5,93.68,89.55,93.47,3295126
"2016-03-31",94.08,94.62,92.01,93.43,2971140
"2016-04-07",95.04,100.84,94.77,99.99,12624542
"2016-04-14",101,101.16,96.6,97.67,3926978
"2016-04-21",96.79,97.18,94.36,95.79,5208127
"2016-04-28",88.36,92.37,88.29,89.22,2959042
"2016-05-05",91.07,91.56,88.98,89.62,3876005
"2016-05-12",93.69,94.39,91.51,93.42,1873640
"2016-05-19",87.7,89.32,87.16,88.45,2504929
"2016-05-26",97.45,97.45,93.81,94.62,1974703
"2016-06-02",96.84,99.87,96.01,99.41,2985406
"2016-06-09",100.49,101.4,99.62,100.79,1238618
"2016-06-16",100.68,101.59,99.18,101.2,2074276
"2016-06-23",102,102.9,101.14,101.7,1569044
"2016-06-30",91.44,92,89.15,90.64,2580703
"2016-07-07",90.07,90.97,88.18,88.96,1999521
"2016-07-14",93.78,94.75,90.78,92.02,3453331
"2016-07-21",94.08,95.35,93.43,93.89,1793782
"2016-07-28",102.52,104.91,101,104.66,3848444
"2016-08-04",98.02,98.83,96.33,98.25,2043456
"2016-08-11",100.2,103.78,100.01,102.66,3366471
"2016-08-18",100.95,101.38,98.25,99.68,3053881
"2016-08-25",91.62,92.46,90.06,90.51,2758296
"2016-09-01",93.58,95.26,93,93.17,6804992
"2016-09-08",95.94,96.71,95.02,95.78,2793600
"2016-09-15",106.88,109.5,104.73,108.68,5714621
