"","CERN.Open","CERN.High","CERN.Low","CERN.Close","CERN.Volume"
"2013-05-30",48.84,49.26,48.5,48.96,1291700
"2013-06-06",48.49,49.66,48.35,49.63,2151462
"2013-06-13",48.62,49.5,48.2,49.45,833870
"2013-06-20",48.23,48.38,47.02,47.26,2033668
"2013-06-27",48.59,48.83,48.14,48.4,946542
"2013-07-11",48,49.27,48,49.1,1958140
"2013-07-18",49.67,49.98,49.36,49.67,881481
"2013-07-25",49.26,49.78,48.92,49.63,2064765
"2013-08-01",49.3,49.97,49.23,49.86,1582186
"2013-08-08",49,49.04,48.48,48.63,953945
"2013-08-15",48.38,48.38,46.98,47.04,1991581
"2013-08-22",47.06,47.82,47.03,47.63,633652
"2013-08-29",46.15,47.24,46.07,46.66,762808
"2013-09-05",47.12,47.3,46.58,46.61,1228370
"2013-09-12",48.39,49,48.33,48.59,1907269
"2013-09-19",49.69,49.99,49.31,49.87,779964
"2013-09-26",49.02,49.37,48.58,48.73,1258479
"2013-10-03",53.53,53.71,52.5,53.57,1723275
"2013-10-10",53.05,54.6,52.97,54.51,1442867
"2013-10-17",55.86,57.35,55.86,57.12,1305570
"2013-10-24",59.04,59.09,57.64,57.76,2961004
"2013-10-31",56.13,56.55,55.76,56.03,1645081
"2013-11-07",56.48,56.75,55.59,56.08,1737983
"2013-11-14",56.94,57.19,56.5,57.09,754404
"2013-11-21",56.3,57.9,56.03,57.69,1490886
"2013-12-05",56.5,56.96,56.01,56.09,1367259
"2013-12-12",54.54,54.86,53.83,54.03,1365449
"2013-12-19",55.45,55.68,54.34,54.69,1210453
"2013-12-26",55.57,55.75,55.3,55.67,476172
"2014-01-02",55.48,55.6,54.82,55.07,1111541
"2014-01-09",54.54,55.36,54.54,55.02,1413697
"2014-01-16",55.38,55.62,55.1,55.39,1118201
"2014-01-23",56.72,57.21,55.84,56.49,1121914
"2014-01-30",54.36,56.49,54.2,56.27,1720391
"2014-02-06",53.14,53.89,52.95,53.6,2336563
"2014-02-13",57.62,59.46,57.41,59.28,2531393
"2014-02-20",59.91,60.95,59.48,60.68,1750031
"2014-02-27",61.96,62.31,61.03,61.21,2017946
"2014-03-06",61.33,61.67,60.58,60.67,1277673
"2014-03-13",60.14,60.14,58.37,58.87,1405286
"2014-03-20",59.44,59.82,59.11,59.67,958006
"2014-03-27",56.52,56.89,56.02,56.55,1081625
"2014-04-03",56.36,56.78,55.38,55.45,1904925
"2014-04-10",55.16,55.32,52.73,52.87,3159673
"2014-04-17",54.09,54.61,53.66,54,1241900
"2014-04-24",53.32,53.91,52.22,52.3,3391175
"2014-05-01",51.03,51.55,50.71,51.19,2553718
"2014-05-08",49.57,50.03,49.21,49.64,1929745
"2014-05-15",50.48,50.91,49.87,50.67,2082257
"2014-05-22",51.64,52.55,51.31,52.33,1528758
"2014-05-29",54.79,54.99,54.56,54.74,1772162
"2014-06-05",54.27,54.29,53.66,53.8,1356793
"2014-06-12",53.09,53.25,52.62,52.92,1195565
"2014-06-19",53.31,53.31,52.13,52.15,2128056
"2014-06-26",51.99,52.23,51.45,51.7,2041180
"2014-07-03",51.87,52.38,51.74,52.35,992462
"2014-07-10",50.48,51.4,50.3,51.24,1600359
"2014-07-17",53.34,53.8,52.96,53.18,2165953
"2014-07-24",55.93,56.4,55.52,55.64,3059530
"2014-07-31",56.61,56.77,55.16,55.2,2230607
"2014-08-07",56,56.32,54.63,55,2211964
"2014-08-14",56.3,56.54,55.44,55.8,1897557
"2014-08-21",56.44,56.71,56.22,56.58,882214
"2014-08-28",56.99,57.19,56.7,57,774747
"2014-09-04",59.03,59.59,58.93,58.98,2367656
"2014-09-11",59.34,59.67,59.11,59.36,1369146
"2014-09-18",59,59.07,58.05,58.92,1749762
"2014-09-25",58.84,58.89,58.25,58.5,2021428
"2014-10-02",58.49,59.49,58.38,59.14,1525092
"2014-10-09",59.14,59.3,57.93,58.11,1384480
"2014-10-16",56.17,57.19,55.78,56.65,2149521
"2014-10-23",58.87,60.28,58.63,59.7,2752807
"2014-10-30",62.26,62.73,61.84,62.65,1505334
"2014-11-06",63.52,63.95,63.26,63.88,1094211
"2014-11-13",63.66,64.62,63.66,64.53,1679534
"2014-11-20",63.58,63.82,63.01,63.35,1009955
"2014-12-04",64.06,64.58,63.58,63.88,610989
"2014-12-11",65.32,65.32,62.92,63.33,1093834
"2014-12-18",63.36,63.76,63.03,63.73,1660332
"2015-01-08",64.86,65.72,64.51,65.6,957920
"2015-01-15",64.8,65.03,63.97,64.07,905814
"2015-01-22",65.89,67.2,64.87,67.17,1446471
"2015-01-29",66.78,67.42,66.02,67.28,1122058
"2015-02-05",67.16,67.26,66.48,67.01,1850997
"2015-02-12",68.28,69.88,67.85,69.83,2102509
"2015-02-19",70.32,71.34,70.26,71.26,1248252
"2015-02-26",72.45,72.94,72.15,72.78,1082257
"2015-03-05",71.96,72.59,71.84,72.51,1139784
"2015-03-12",70.08,70.93,69.7,70.91,862836
"2015-03-19",72.59,74.61,72.37,73.82,2946721
"2015-03-26",71.62,72.83,71.5,72.33,1663729
