"","AMG.Open","AMG.High","AMG.Low","AMG.Close","AMG.Volume"
"2012-07-26",105.4,106.29,104,105.31,444959
"2012-08-02",110.08,111.82,108.44,110.46,339906
"2012-08-09",116.65,117.21,115.79,116.51,370915
"2012-08-16",116.65,119.1,115.79,119.01,487476
"2012-08-23",118.06,118.24,117.06,117.66,341684
"2012-08-30",117.65,118,116.82,117.18,400623
"2012-09-06",118.6,120.37,118.57,119.99,576556
"2012-09-13",122.26,125.25,121.09,124.85,574684
"2012-09-20",125.49,125.49,123.47,125.1,410395
"2012-09-27",122.26,123.57,121.74,123.14,246814
"2012-10-04",122.87,124.24,122.57,123.54,280318
"2012-10-11",124.05,124.05,122.87,123.24,257645
"2012-10-18",126.02,126.44,125.17,125.89,201967
"2012-10-25",124.58,124.96,123.47,124.19,206550
"2012-11-01",126.46,132.32,126.25,131.38,702482
"2012-11-08",124.47,125.84,124.15,124.69,353695
"2012-11-15",121.98,122.96,120.45,120.76,548618
"2012-11-29",129.37,130.43,128.34,129.47,241513
"2012-12-06",128.39,129.1,127.3,129,300530
"2012-12-13",128.88,129.17,127.07,127.76,256559
"2012-12-20",131.37,132.33,130.82,132.3,252773
"2012-12-27",129.73,129.85,127.17,128.83,213683
"2013-01-03",134.66,134.91,133.41,133.91,247004
"2013-01-10",139,139.37,137.7,138.75,453473
"2013-01-17",140.03,141.75,139.96,141.15,278668
"2013-01-24",142.69,145.89,138.32,144.48,411504
"2013-01-31",144.2,144.41,143.03,143.93,522983
"2013-02-07",145.5,146.28,143,146.25,452663
"2013-02-14",146.15,147.59,145.69,147.34,254905
"2013-02-21",144.81,144.95,142.62,143.13,359586
"2013-02-28",146.05,147.82,145.54,146.23,314694
"2013-03-07",149.99,150.35,149.02,150.19,268681
"2013-03-14",154.88,156.1,154.12,155.18,661828
"2013-03-21",152.31,152.75,150.05,150.44,250402
"2013-03-28",151.8,153.9,151.11,153.57,247497
"2013-04-04",150.51,151.41,148.64,149.6,334555
"2013-04-11",153.91,156.24,153.64,155.51,277193
"2013-04-18",145.77,146.2,143.23,144.06,315969
"2013-04-25",148.99,151.29,148.13,150.91,459573
"2013-05-02",151.31,153.13,150.01,152.39,252535
"2013-05-09",156.48,158.92,156.38,157.28,445667
"2013-05-16",165.2,167.03,163.64,164.13,449457
"2013-05-23",161.68,162.94,159.88,162.62,409373
"2013-05-30",165.02,167.88,164.83,167.3,264610
"2013-06-06",158.82,163.08,158.82,163.07,269865
"2013-06-13",164.49,170.4,163.23,169.85,408932
"2013-06-20",165.69,165.75,160.91,161.47,386201
"2013-06-27",158.67,161.13,158.66,161,453527
"2013-07-11",168.09,171.04,167.55,170.95,504678
"2013-07-18",175.23,176.77,174.62,176.48,397772
"2013-07-25",173.3,174.86,172.81,173.93,401407
"2013-08-01",182.5,186.22,181.57,185.58,956614
"2013-08-08",181.66,182.64,179.92,180.32,350486
"2013-08-15",178.94,178.94,174.73,176.05,252721
"2013-08-22",175.59,178.17,175.52,177.85,365627
"2013-08-29",173.75,176.43,173.75,174.67,468402
"2013-09-05",178.56,179.83,177.53,177.82,237029
"2013-09-12",183.23,184.78,182.49,183.36,218664
"2013-09-19",187.72,189.43,187.14,187.2,373853
"2013-09-26",184,186.09,183.39,184.82,293569
"2013-10-03",183.98,187.47,183.11,185.98,319182
"2013-10-10",186.55,188.15,186.1,187.36,569245
"2013-10-17",189.23,195.67,189.23,195.41,592780
"2013-10-24",200.34,202.28,199.51,201.32,273474
"2013-10-31",198.91,199.98,197.24,197.44,485594
"2013-11-07",200.04,201.6,194.9,195.1,571745
"2013-11-14",200.63,201.95,199.87,201.95,486870
"2013-11-21",200.01,201.53,198.37,200.42,219673
"2013-12-05",198.44,198.44,195.89,198.07,268529
"2013-12-12",199.57,201.86,199.05,199.82,310949
"2013-12-19",209,210.07,208,208.17,391800
"2013-12-26",214.74,216.42,213.95,214.78,252072
"2014-01-02",215.92,216.69,211.79,213.38,285563
"2014-01-09",216.25,218.1,214.53,215.28,280193
"2014-01-16",212.03,213.9,212.03,212.93,177549
"2014-01-23",209.92,211.34,207.52,208.32,274832
"2014-01-30",199.37,201.06,198.74,199.26,239497
"2014-02-06",187.9,189.21,186.92,188.63,419119
"2014-02-13",194.98,194.98,191.94,194.1,711433
"2014-02-20",187.5,189.82,186.01,189.3,541623
"2014-02-27",186.86,188.82,185.99,187.39,493373
"2014-03-06",194.64,196.7,193.92,195.46,552549
"2014-03-13",194.71,196.48,188.13,188.23,659863
"2014-03-20",187.05,192.34,187.04,192.04,461275
"2014-03-27",183.56,184.24,181.01,181.94,322262
"2014-04-03",203.9,204.28,200.34,200.94,514379
"2014-04-10",191.91,192.99,182.01,182.03,1029942
"2014-04-17",185.13,187.41,184.43,186.64,329483
"2014-04-24",187.76,187.76,184.58,185.69,222210
"2014-05-01",199.1,199.1,195.52,195.87,441026
"2014-05-08",195.15,197.7,191.84,192.2,547641
"2014-05-15",189.3,189.8,183.38,185.89,436157
"2014-05-22",187.17,190.78,186.5,189.83,528206
"2014-05-29",187.15,189.68,186.09,189.65,346189
"2014-06-05",194.69,198.8,192.79,198.55,678715
"2014-06-12",198.37,199.92,197.58,197.94,346853
"2014-06-19",203.73,204.62,200.47,201.73,272111
"2014-06-26",204.47,204.68,200.22,200.55,690526
"2014-07-03",206.72,208.94,205.68,208.66,269080
"2014-07-10",201.46,203.55,200.65,202.82,497839
"2014-07-17",204.19,207.11,201.86,202.24,414940
"2014-07-24",208.22,208.43,206.32,206.81,226553
"2014-07-31",203.32,204.26,198.7,199.25,660244
"2014-08-07",196.06,196.65,193.71,194.16,258233
"2014-08-14",197.86,199.57,197.86,198.86,294763
"2014-08-21",200.22,201.06,199.76,200.8,374821
"2014-08-28",210.15,210.92,208.72,210.28,272091
"2014-09-04",211.65,213.54,209.9,210.8,217077
"2014-09-11",204.99,206.21,204.59,205.51,372328
"2014-09-18",208.17,209.89,207.8,209.5,376631
"2014-09-25",203.59,203.72,200,200.38,265217
"2014-10-02",194.81,197.32,192.55,196.79,452727
"2014-10-09",198.24,198.37,192.12,193.25,672700
"2014-10-16",176.95,182.1,175.32,181.26,622609
"2014-10-23",189.44,191.54,188.88,190.28,400933
"2014-10-30",195.92,198.07,195.92,196.96,309760
"2014-11-06",191.86,195.53,190.53,195.2,662390
"2014-11-13",200.29,201.15,197.78,199.01,261910
"2014-11-20",196.29,200.16,196.2,198.93,254868
"2014-12-04",203.65,203.65,201.39,202.85,296301
"2014-12-11",203.83,205.51,201.8,203.82,567230
"2014-12-18",206.7,212.26,206,212.13,571348
"2015-01-08",205.45,206.88,204.3,205.37,454343
"2015-01-15",198.15,198.39,194.04,194.37,359531
"2015-01-22",203.83,211.08,202.05,210.59,638297
"2015-01-29",206.22,207.77,204.45,205.11,474762
"2015-02-05",210.73,214.18,209.75,212.94,329343
"2015-02-12",214.17,214.84,213.47,214.56,349979
"2015-02-19",215.91,218.23,215.54,217.57,312794
"2015-02-26",217.93,219.57,217.93,219.05,276750
"2015-03-05",214.05,216.07,212.89,215.81,312450
"2015-03-12",210.64,213.98,210.64,213.82,290382
"2015-03-19",216.06,217.15,212.87,213.44,330246
"2015-03-26",213.09,216.98,211.81,215.14,369165
"2015-04-02",213.55,215.73,213.02,214.24,273083
"2015-04-09",215.5,218.86,214.24,218.7,289082
"2015-04-16",219.08,220.5,217.56,219.93,223260
"2015-04-23",221.22,222.73,219.83,222.18,198129
"2015-04-30",225.63,227.89,224.57,226.13,686389
"2015-05-07",221.64,222.63,219.98,221.54,333835
"2015-05-14",222.59,224.26,221.28,223.37,241645
"2015-05-21",224.77,226.35,224.77,225.46,195189
"2015-05-28",225.53,225.53,223.47,225.04,273147
"2015-06-04",224.83,225.77,222.81,223.02,515334
"2015-06-11",224.85,226.05,223.34,224.15,249043
"2015-06-18",224.08,225.56,223.32,225.04,340333
"2015-06-25",226.83,227.62,225.51,225.89,338500
"2015-07-02",219.48,220.89,217.85,219.25,226958
"2015-07-09",212.55,214.58,209.24,210.63,485848
"2015-07-16",218.18,220.58,217.05,219.99,340597
"2015-07-23",219.07,220.72,215.95,216.25,235644
"2015-07-30",209.24,209.92,207.24,209.25,577538
"2015-08-06",212.04,212.56,208.84,209.63,173366
"2015-08-13",202.99,205,201.76,203.53,245556
"2015-08-20",198.85,201.34,196.69,196.85,361765
"2015-08-27",186.58,190.33,185.92,189.07,552333
"2015-09-03",178.01,180.64,176.43,177.57,638166
"2015-09-10",176.57,178.95,175.85,176.94,334178
"2015-09-17",180.5,182.96,179,179.52,464282
"2015-09-24",168.15,170.41,167.04,170.01,397179
"2015-10-01",171.07,172.23,168.55,170.36,323289
"2015-10-08",175.72,177.76,173.14,177.05,366919
"2015-10-15",171.39,175.66,170.69,175.61,283923
"2015-10-22",169.84,177.1,167.72,176.88,440040
"2015-10-29",182.95,183.3,178.07,179.87,445464
"2015-11-05",186.29,188.44,186.23,187.31,190110
"2015-11-12",175.41,176.78,171.13,171.29,915287
"2015-11-19",176.48,178.98,175.69,176.71,775515
"2015-12-03",177.1,177.73,169.42,170.65,429207
"2015-12-10",166.32,168.32,165.83,165.86,360028
"2015-12-17",159.24,161.04,155.24,157.73,1129280
"2015-12-24",162.53,164.3,162.05,163.1,281485
"2015-12-31",159.64,162.17,157.81,159.76,327367
"2016-01-07",143.93,144.07,138.24,139,1136106
"2016-01-14",131.99,133.66,128.38,131.82,717965
"2016-01-21",127.18,131.33,126,127.44,460237
"2016-01-28",132.64,133.38,128.26,128.78,472266
"2016-02-04",123.33,130.65,122.15,128.66,639734
"2016-02-11",116.46,120.07,115.97,117.8,761958
"2016-02-18",130.76,130.99,127.59,129.2,658393
"2016-02-25",129.29,130.36,126.42,130.3,475999
"2016-03-03",144.86,150.18,144.14,150.01,641998
"2016-03-10",149.87,150.04,143.24,145.9,591682
"2016-03-17",152.74,161.56,152.74,159.94,809921
"2016-03-24",156.66,157.55,154.6,157.43,396236
"2016-03-31",162.31,163.9,161.79,162.4,390710
"2016-04-07",158.67,159.75,154.71,156,411549
"2016-04-14",170.56,173.72,169.91,171.82,540575
"2016-04-21",174.92,176.16,173.12,174.91,531515
"2016-04-28",175.45,177.87,173.1,173.77,425811
"2016-05-05",162.86,163.29,159.98,162.62,624719
"2016-05-12",166.81,169.24,165.33,168.34,682347
"2016-05-19",163.14,165.27,160.56,161.75,363985
"2016-05-26",171.81,171.82,169.78,170.3,264546
"2016-06-02",171.61,172.35,170.24,172.33,304230
"2016-06-09",169.08,169.18,164.7,166.51,522123
"2016-06-16",151.92,152.27,149.75,151.99,474924
"2016-06-23",157.5,159.65,156.84,159.56,482855
"2016-06-30",140.08,141.26,138.38,140.77,1093786
"2016-07-07",132.71,135.52,131.73,134.36,1022794
"2016-07-14",146.8,147.4,144.23,144.23,553371
"2016-07-21",146.09,147.43,145.82,145.94,487353
"2016-07-28",145.48,146.78,144.39,146.32,340655
"2016-08-04",143.22,143.94,141.33,142.22,337828
"2016-08-11",144.36,144.65,143.58,143.81,319955
"2016-08-18",141.52,142.92,141.34,141.75,277592
"2016-08-25",140.57,142.04,139.32,140.34,371848
"2016-09-01",142.33,142.61,138.26,139.81,474155
"2016-09-08",147.56,148.7,145.96,147.53,458747
"2016-09-15",143.81,147.31,143.81,146.74,381561
