"","C.Open","C.High","C.Low","C.Close","C.Volume"
"2012-10-04",34.41,35.09,34.27,34.96,39530596
"2012-10-11",35.67,36.16,35.36,35.52,44125738
"2012-10-18",38.24,38.72,38.01,38.42,43728553
"2012-10-25",37.72,37.84,36.9,37.41,32800894
"2012-11-01",37.57,38,37.35,37.95,36184164
"2012-11-08",36.46,36.65,35.95,36,40322730
"2012-11-15",35.19,35.8,35.01,35.21,39677820
"2012-11-29",35.38,35.64,35.02,35.21,31677984
"2012-12-06",36.59,37.03,36.25,37.02,44269120
"2012-12-13",37.5,37.75,37.22,37.29,30453465
"2012-12-20",39.32,40.18,39.3,40.17,37806809
"2012-12-27",39.68,39.88,38.59,39.25,30332283
"2013-01-03",41.17,41.5,41.04,41.39,38343292
"2013-01-10",42.34,43.06,41.98,42.83,42154686
"2013-01-17",41.53,41.62,40.9,41.24,80186546
"2013-01-24",42.1,43.2,42.04,42.8,34462632
"2013-01-31",41.88,42.29,41.62,42.16,21328689
"2013-02-07",43.11,43.49,42.32,42.87,29382190
"2013-02-14",43.83,44.42,43.75,44.32,20048471
"2013-02-21",42.79,42.8,41.89,42.35,37624415
"2013-02-28",42.08,42.69,41.75,41.97,28926005
"2013-03-07",44.56,45.13,44.45,45,40245835
"2013-03-14",47.06,47.66,47.05,47.46,26017937
"2013-03-21",45.91,46.45,45.22,45.23,33127161
"2013-03-28",44.45,44.75,44.05,44.24,25363864
"2013-04-04",42.53,42.98,42.15,42.77,38532855
"2013-04-11",45.1,45.55,44.65,44.87,28399838
"2013-04-18",45.75,45.75,44.87,45.09,29887355
"2013-04-25",47.19,47.68,46.9,47.11,25638075
"2013-05-02",45.99,46.69,45.5,46.54,19998524
"2013-05-09",49.28,49.34,48.29,48.6,27066569
"2013-05-16",51,51.36,50.5,50.61,25294584
"2013-05-23",49.2,50.91,49.18,50.53,42223686
"2013-05-30",52.27,53.56,52.24,53.27,30310091
"2013-06-06",49.86,50.86,49.63,50.83,35149639
"2013-06-13",49.28,50.29,48.8,50.29,34201473
"2013-06-20",48.9,49,47.54,47.9,48682934
"2013-06-27",48.14,48.69,47.81,48.28,29310170
"2013-07-11",50.62,50.64,49.55,50.04,31098440
"2013-07-18",52.16,52.7,52.05,52.69,33220510
"2013-07-25",51.98,52.7,51.4,52.66,23068818
"2013-08-01",52.84,53.2,52.74,52.86,20583956
"2013-08-08",52.09,52.12,51.07,51.78,18630797
"2013-08-15",51.02,51.1,50.33,50.86,26231374
"2013-08-22",49.66,50.27,49.28,49.91,22411918
"2013-08-29",48.4,48.9,48.27,48.47,17293719
"2013-09-05",49.85,50.2,49.62,49.86,17765782
"2013-09-12",50.66,50.76,49.97,50.26,21345607
"2013-09-19",52.75,52.88,51.9,51.95,25377042
"2013-09-26",49.27,49.49,48.5,48.93,23345377
"2013-10-03",48.81,48.98,48.03,48.4,22018731
"2013-10-10",48.8,49.36,48.57,49.27,23989575
"2013-10-17",50.38,51.22,50.29,51.12,28304595
"2013-10-24",50.27,50.31,49.77,50.15,20044530
"2013-10-31",49.74,49.74,48.77,48.78,25056880
"2013-11-07",48.93,49.13,48.35,48.35,26957278
"2013-11-14",50.01,50.29,49.55,50.21,21758289
"2013-11-21",50.86,51.97,50.78,51.73,22868922
"2013-12-05",51.61,51.8,50.95,51.06,23556852
"2013-12-12",50.98,51.14,50.27,50.91,27240785
"2013-12-19",51.67,52.13,51.45,51.88,20156250
"2013-12-26",52.62,52.69,52.2,52.35,8885384
"2014-01-02",52.03,52.4,51.81,52.27,16489767
"2014-01-09",55,55.28,54.76,55.2,21812007
"2014-01-16",53.56,53.56,52.35,52.6,62975999
"2014-01-23",51.65,51.65,50.55,50.72,34854131
"2014-01-30",48.46,48.7,47.78,48.3,39952062
"2014-02-06",47.4,48.27,47.27,48.25,33920886
"2014-02-13",49.07,49.93,49.05,49.86,20656743
"2014-02-20",48.48,48.54,47.88,48.13,25242451
"2014-02-27",48.09,48.69,47.96,48.69,18602465
"2014-03-06",49.9,50.19,49.68,49.71,26975414
"2014-03-13",48.17,48.3,47.07,47.33,38925373
"2014-03-20",49.29,50.46,49.01,50.22,33885644
"2014-03-27",47.43,48.2,47.11,47.45,112601033
"2014-04-03",47.94,48,47.37,47.68,29237080
"2014-04-10",47.24,47.27,46.12,46.23,27169989
"2014-04-17",48.19,48.44,47.99,48.22,21361800
"2014-04-24",48.45,48.58,48.01,48.33,14699644
"2014-05-01",47.81,48.14,47.59,47.76,10940267
"2014-05-08",46.7,47.49,46.7,47.14,16067736
"2014-05-15",46.85,46.94,46.15,46.52,21179067
"2014-05-22",46.78,47.15,46.77,47.14,12713467
"2014-05-29",47.35,47.5,47.21,47.28,15554537
"2014-06-05",48.01,48.8,47.89,48.63,17054195
"2014-06-12",48.62,48.71,48.1,48.27,15672968
"2014-06-19",47.95,47.97,47.34,47.56,15756633
"2014-06-26",47.71,47.74,47.03,47.23,18878483
"2014-07-03",48.38,48.71,48.07,48.24,13643117
"2014-07-10",46.71,47.05,46.55,46.9,18671999
"2014-07-17",49.5,49.98,49.16,49.18,23847648
"2014-07-24",50.22,50.47,49.96,50.09,13282578
"2014-07-31",49.56,49.92,48.91,48.91,23550926
"2014-08-07",48.5,48.63,47.89,48.06,12376985
"2014-08-14",48.83,49.14,48.74,49.13,9693103
"2014-08-21",49.97,51.22,49.8,51.07,24162422
"2014-08-28",51.52,51.62,51.28,51.39,10259774
"2014-09-04",52.25,52.88,52.22,52.47,15695769
"2014-09-11",51.61,52.26,51.52,52.23,14084267
"2014-09-18",52.7,53.9,52.48,53.66,27309035
"2014-09-25",53.23,53.27,51.96,51.96,19267206
"2014-10-02",50.94,51.52,50.66,51.25,18394352
"2014-10-09",52.48,52.48,51.01,51.14,22426913
"2014-10-16",48.98,50.21,48.74,49.75,28300631
"2014-10-23",51.25,51.9,51.09,51.41,15169077
"2014-10-30",52.62,53.4,52.34,53.15,21027719
"2014-11-06",53.97,54.3,53.81,53.99,13621277
"2014-11-13",53.48,53.58,52.98,53.44,12668376
"2014-11-20",53.25,53.57,53.11,53.52,9721934
"2014-12-04",54.97,55.43,54.69,55.18,13412073
"2014-12-11",54.65,55.22,54.42,54.51,20641339
"2014-12-18",53.4,54.1,53.13,54.1,23478107
"2015-01-08",51.77,52.08,51.5,51.94,17470338
"2015-01-15",48.06,48.24,46.91,47.23,48799351
"2015-01-22",48.26,49.75,47.93,49.57,29652588
"2015-01-29",47.07,47.78,46.82,47.62,19865726
"2015-02-05",48.74,49,48.22,48.54,15481918
"2015-02-12",49.94,51.09,49.77,50.89,28926844
"2015-02-19",51.28,51.54,51.04,51.12,11272045
"2015-02-26",52.03,52.49,51.91,52.41,16358149
"2015-03-05",53.71,53.73,53.15,53.56,13853848
"2015-03-12",54,54.72,53.45,54.08,50191173
"2015-03-19",53.57,53.62,52.2,52.38,21150002
"2015-03-26",51.19,51.46,50.47,51.19,21839614
"2015-04-02",51.68,52.22,51.59,51.86,13966921
"2015-04-09",51.73,52.2,51.69,52.13,13591430
"2015-04-16",53.98,54.46,53.8,54.02,38345622
"2015-04-23",53.01,53.4,52.82,53.22,13049573
"2015-04-30",53.75,53.97,52.92,53.32,19420556
"2015-05-07",52.59,53.44,52.41,53.31,14954178
"2015-05-14",54.43,54.73,54.33,54.6,14250782
"2015-05-21",54.69,55.1,54.61,54.84,11799919
"2015-05-28",54.82,54.82,54.22,54.55,13381912
"2015-06-04",55.45,56,55.16,55.33,18517634
"2015-06-11",57.2,57.5,56.93,57.21,19187109
"2015-06-18",56.66,56.88,55.98,56.76,18739307
"2015-06-25",56.99,57.06,56.18,56.19,12176170
"2015-07-02",55.43,55.85,55.07,55.37,12062781
"2015-07-09",53.84,54.15,53.6,53.71,23540424
"2015-07-16",57.9,58.65,57.71,58.59,41084043
"2015-07-23",60.29,60.95,59.73,59.87,29432315
"2015-07-30",58.73,59.05,58.3,58.88,11202069
"2015-08-06",58.82,58.96,57.9,58.1,14707408
"2015-08-13",57.03,57.6,56.5,57.33,15837852
"2015-08-20",56.03,56.31,55.33,55.33,28388610
"2015-08-27",53.19,53.62,52.35,53.44,26394879
"2015-09-03",51.96,52.71,51.59,51.79,15706786
"2015-09-10",50.56,51.5,50.29,51.07,17457657
"2015-09-17",52.61,53,51.38,51.65,23844730
