"","HP.Open","HP.High","HP.Low","HP.Close","HP.Volume"
"2012-10-18",51.18,51.67,50.97,51.53,1103362
"2012-10-25",49.25,49.5,48.6,49.03,974742
"2012-11-01",47.82,49.69,47.7,49.61,1523318
"2012-11-08",47.17,47.57,45.6,45.75,1171709
"2012-11-15",47.78,48.99,47.04,48.85,3030933
"2012-11-29",51.22,52.42,51.18,51.39,1721300
"2012-12-06",54.57,56.14,54.57,54.77,2736186
"2012-12-13",54.76,55.21,53.69,54.17,1244496
"2012-12-20",56.13,57.03,55.83,56.98,1273730
"2012-12-27",55.84,55.84,54.23,55.38,846343
"2013-01-03",56.86,57.86,55.79,56.99,1346824
"2013-01-10",58.45,59,58.13,58.87,1355596
"2013-01-17",59.43,60.04,58.9,59.7,1125458
"2013-01-24",61.31,62.11,61.18,61.93,1212130
"2013-01-31",63.5,65.51,63.35,64.34,2725017
"2013-02-07",64.82,65.5,63.74,64.31,1873460
"2013-02-14",65.5,68.16,65.48,67.86,1387964
"2013-02-21",65.4,65.4,63.64,64.27,2274373
"2013-02-28",65.32,66.87,65.12,66.26,1894242
"2013-03-07",64.76,65.25,64.67,65,784136
"2013-03-14",63.5,65.74,63.48,65.41,1649779
"2013-03-21",60.25,60.94,60.13,60.43,1334482
"2013-03-28",60.94,61.15,60.15,60.7,1363094
"2013-04-04",58.89,59.26,58.1,59.21,802105
"2013-04-11",63.4,63.48,62.24,62.61,1141969
"2013-04-18",56.81,58.16,55.78,57.34,1095992
"2013-04-25",60.73,61.63,57.39,59.57,2901106
"2013-05-02",58.46,59.99,58.28,59.8,1112344
"2013-05-09",62.61,63.2,61.96,62.96,946251
"2013-05-16",61.91,63.39,61.78,62.97,1055367
"2013-05-23",61.07,62.15,60.66,62.09,1113414
"2013-05-30",64.11,64.2,62.9,63.27,1309169
"2013-06-06",62.52,63,61.45,62.55,1227038
"2013-06-13",60.99,62,60.7,61.91,1392047
"2013-06-20",62.19,62.35,60.95,61.23,1005555
"2013-06-27",63.51,63.63,62.66,62.71,806300
"2013-07-11",65.75,65.76,64.03,64.73,929136
"2013-07-18",65.65,67,65.46,66.51,790092
"2013-07-25",65.21,66.56,64.67,66.56,1455824
"2013-08-01",64.75,65.01,64.06,64.87,1053322
"2013-08-08",67.65,68.41,66.98,67.87,1555865
"2013-08-15",65.54,66.26,65.18,65.5,983262
"2013-08-22",64.06,64.71,64,64.55,995266
"2013-08-29",63.95,64,63,63.27,818362
"2013-09-05",64.03,64.84,63.92,64.5,685608
"2013-09-12",66.93,67.46,65.84,66.56,983678
"2013-09-19",69.95,70.96,69.28,70.82,1427220
"2013-09-26",69.44,69.81,69.05,69.47,669952
"2013-10-03",71.9,72.72,71.15,72.62,1170017
"2013-10-10",72.09,73.17,71.95,73.17,1260321
"2013-10-17",75.15,75.94,74.9,75.84,976636
"2013-10-24",74.87,75.94,74.53,75.88,1022171
"2013-10-31",77.45,78.39,77.08,77.55,792614
"2013-11-07",78.1,78.21,75.31,75.67,1283204
"2013-11-14",78.2,78.5,76.72,78.06,1341361
"2013-11-21",79.1,79.32,78.41,79,878601
"2013-12-05",81,81,79.66,80.23,1172665
"2013-12-12",78.57,80.67,78.52,79.81,1350293
"2013-12-19",81.55,81.86,80.68,81.67,754013
"2013-12-26",83.21,83.44,82.64,83.14,420493
"2014-01-02",83.95,84.28,82.03,82.25,953505
"2014-01-09",84.94,85.03,84.38,84.92,1223785
"2014-01-16",85.12,85.78,84.19,84.89,683671
"2014-01-23",87.63,88.04,86.32,87.23,1011977
"2014-01-30",87.18,88.3,85.07,87.7,2008997
"2014-02-06",85.56,86.92,85.33,86.87,1761951
"2014-02-13",87.28,89.74,87.06,89.66,1140989
"2014-02-20",93.69,94.96,93.69,94.66,1472544
"2014-02-27",96.3,97,95.36,96.91,1106659
"2014-03-06",99.94,100.9,99.25,100.82,1086618
"2014-03-13",98.47,98.61,95.73,96.51,1551923
"2014-03-20",102.34,104.42,102.26,104.19,972664
"2014-03-27",106.36,107.92,105.63,105.88,1059011
"2014-04-03",107.99,108.44,106.81,107.88,1022071
"2014-04-10",107.42,108,105.24,105.26,830035
"2014-04-17",110.69,111.74,108.79,110.84,977647
"2014-04-24",114,117,106.22,107.02,3115899
"2014-05-01",107.51,108.25,105.23,105.53,1511561
"2014-05-08",109.62,110.46,107.55,107.97,1051902
"2014-05-15",108.13,108.34,104.28,105.57,1325371
"2014-05-22",105.7,107.15,105.66,106.38,675268
"2014-05-29",109.04,109.98,107.5,109.88,835104
"2014-06-05",110.41,111.35,109.89,111.19,933975
"2014-06-12",111.33,113.63,111.33,112.07,702005
