"","AVB.Open","AVB.High","AVB.Low","AVB.Close","AVB.Volume"
"2012-08-30",142.22,142.72,141.41,141.78,365376
"2012-09-06",143.57,143.9,142.85,143.48,471713
"2012-09-13",140.65,141.77,139.89,141.59,995866
"2012-09-20",140.54,140.89,138.37,138.53,1076841
"2012-09-27",135.33,137.88,135.3,136.61,594734
"2012-10-04",137.09,137.66,135.78,136.28,803559
"2012-10-11",134.76,135.5,133.3,133.41,500716
"2012-10-18",133.47,136.24,133.47,136.16,394498
"2012-10-25",132,135,132,133.92,868737
"2012-11-01",135.59,137.69,134.68,136.9,838574
"2012-11-08",135.29,135.44,132.84,132.85,525744
"2012-11-15",127.64,128.1,126.12,127.69,840462
"2012-11-29",132.91,133.89,132,133.04,9645288
"2012-12-06",132.7,135.98,132.55,135.98,2543990
"2012-12-13",133.62,133.75,131.91,132.48,711834
"2012-12-20",132.65,135.66,132.35,135.57,1315530
"2012-12-27",134.59,135.91,134.18,135.78,505299
"2013-01-03",136.37,137.44,135.92,136.78,461579
"2013-01-10",137.11,137.28,136.26,137.09,590100
"2013-01-17",138.42,138.75,137.9,138.58,589515
"2013-01-24",139.45,139.51,137.73,138.34,707880
"2013-01-31",133.96,135.25,126.69,129.79,3403946
"2013-02-07",128.38,128.38,126.16,126.99,1070189
"2013-02-14",129.41,130.82,129.41,130.05,621740
"2013-02-21",129.61,129.86,127.69,127.7,1221825
"2013-02-28",125.92,126.49,124.75,124.83,1673491
"2013-03-07",126.25,127.01,124.47,124.75,1177412
"2013-03-14",126.6,129.4,126.42,129.21,1558531
"2013-03-21",125.84,126.94,125.4,125.45,603215
"2013-03-28",126.86,127.09,126.12,126.67,990812
"2013-04-04",128.3,132.23,128.19,132.22,1111656
"2013-04-11",133.63,135.37,133.51,134.7,735106
"2013-04-18",131.59,132.34,130.46,132.01,519745
"2013-04-25",131.96,132.01,130.55,131.13,574322
"2013-05-02",132.5,133.26,130.11,130.7,874472
"2013-05-09",132.46,133.09,132.09,132.57,576728
"2013-05-16",136.61,139.31,136.61,138.02,1082788
"2013-05-23",137,138.99,136.09,138.99,5081251
"2013-05-30",136.66,137,133.14,133.36,824397
"2013-06-06",134.14,135.29,132.91,134.5,697399
"2013-06-13",129.71,135.04,129.6,134.56,822116
"2013-06-20",129.98,130.11,126.91,127.97,904956
"2013-06-27",136.36,137.38,135.8,136.47,1147266
"2013-07-11",138.67,141.03,138.67,140.38,761663
"2013-07-18",141.08,141.71,140.06,141.04,706755
"2013-07-25",137.57,138.83,135.58,137.94,959189
"2013-08-01",135.88,136.47,134.55,134.91,593128
"2013-08-08",132.74,132.98,131.22,132.03,546653
"2013-08-15",125.59,128.76,125.29,125.39,770227
"2013-08-22",124.02,125.88,122.75,125.2,684566
"2013-08-29",123.46,124.64,122.49,124.3,408044
"2013-09-05",124.22,124.24,122.21,123.65,454640
"2013-09-12",129.66,130.61,128.66,129.4,583074
"2013-09-19",134.87,136.27,133.83,135.31,831060
"2013-09-26",130.6,130.6,128.79,129.7,523306
"2013-10-03",128.13,128.97,125.83,126.26,562109
"2013-10-10",125.43,128.41,125.35,128.41,533880
"2013-10-17",131.03,133.47,130.66,133.25,494285
"2013-10-24",127.94,132.22,126.06,128.5,1109408
"2013-10-31",126.86,127.22,123.81,125.05,1401992
"2013-11-07",124.46,124.47,122.82,122.82,647179
"2013-11-14",122.67,123.78,121.93,121.99,388157
"2013-11-21",117.84,118.67,117.01,118.36,566336
"2013-12-05",119.18,122.29,118.97,120.63,784042
"2013-12-12",121.49,122.24,119.61,119.67,1277817
"2013-12-19",119.66,119.99,117.11,118.01,751808
"2013-12-26",119.17,119.55,118.04,118.73,507383
"2014-01-02",118.25,119.26,117.68,118.24,901928
"2014-01-09",119.44,121.74,119.44,120.89,624305
"2014-01-16",123.45,123.57,122.45,122.85,892758
"2014-01-23",121.22,121.42,120.46,120.65,1134876
"2014-01-30",114.16,123.27,114.16,122.16,2720200
"2014-02-06",126.16,127.1,126.08,126.99,864649
"2014-02-13",128.55,129.48,128.24,128.34,996938
"2014-02-20",128.77,129.32,127.78,128.89,737648
"2014-02-27",128.56,128.74,126.95,127.3,723835
"2014-03-06",128.84,128.95,127.31,127.84,823206
"2014-03-13",129.47,129.5,127.58,129.14,622578
"2014-03-20",128.51,129.48,128.05,128.71,1300297
"2014-03-27",128.75,129.9,128.39,129.54,904066
"2014-04-03",137.69,137.69,131.54,132.08,1130636
"2014-04-10",133.47,134.48,132.27,132.82,868035
"2014-04-17",134.63,134.89,132.96,133.64,1200910
"2014-04-24",132.44,135.02,132.07,133.94,957093
"2014-05-01",136.76,136.98,135,136.37,720592
"2014-05-08",139.08,140,138.62,139.65,679757
"2014-05-15",139.22,140.44,138.82,140.23,1192071
"2014-05-22",139.69,140.38,139.07,139.36,604288
"2014-05-29",140.44,140.65,139.52,140.36,606680
"2014-06-05",142.78,144.51,142.2,144.41,670813
"2014-06-12",138.91,139.67,138.06,139.29,731445
"2014-06-19",140.68,141.41,140.45,141.4,703362
"2014-06-26",141.53,142.01,140.93,141.37,363611
"2014-07-03",142.31,142.65,140.92,142.03,304386
"2014-07-10",142.84,144.82,142.68,143.8,623997
"2014-07-17",146.01,146.93,145.51,146.12,564449
"2014-07-24",150,151,146.4,149.15,1495327
"2014-07-31",150.32,150.86,148.06,148.08,978332
"2014-08-07",149.55,150.06,148.46,149.07,570777
"2014-08-14",152.27,152.82,150.87,151.49,529353
"2014-08-21",154.99,156.16,154.88,155.43,757806
"2014-08-28",152.42,153.75,151.93,152.65,517458
"2014-09-04",154.11,155.67,153.74,154.49,535126
"2014-09-11",148.99,150.17,148.43,149.48,1332529
"2014-09-18",145.46,146.12,143.82,144.25,1678933
"2014-09-25",142.17,142.58,140.6,140.94,1068664
"2014-10-02",141.15,142.61,141.15,141.92,1085616
"2014-10-09",145.6,147.58,145.23,145.91,1000227
"2014-10-16",148.43,149.77,147,148.53,780453
"2014-10-23",151.9,152.32,151.04,151.59,903338
"2014-10-30",151.72,153.63,151.38,153.56,540963
"2014-11-06",158.32,159.01,156.89,157.2,620355
"2014-11-13",157.47,158.64,156.6,158.35,484935
"2014-11-20",156.76,157.2,156.1,157.2,349877
"2014-12-04",161.92,162.22,161.14,162.02,615735
"2014-12-11",165,165.29,163.66,164.31,686222
"2014-12-18",165.75,166.62,164.99,165.89,942944
"2015-01-08",171.16,173.12,170.41,172.75,785406
"2015-01-15",177.06,177.89,176.49,177.5,604166
"2015-01-22",177.2,179.56,176.55,178.96,672196
"2015-01-29",176.85,178.79,174.34,174.9,1107341
"2015-02-05",173.8,175.45,173.17,175,767195
"2015-02-12",170.94,173.43,169.98,173.39,854660
"2015-02-19",173.2,173.2,168.77,169.03,1114316
"2015-02-26",168.02,168.17,165.95,166.23,772849
"2015-03-05",168.71,171.33,168.56,169.93,696418
"2015-03-12",168.11,171.61,168.11,171.22,949641
"2015-03-19",175,176.86,173.44,174.79,952096
"2015-03-26",176.78,177.69,175.06,175.96,641953
"2015-04-02",173.27,175.47,172.7,174.74,655645
"2015-04-09",173.27,173.43,168.52,169.23,865670
"2015-04-16",167.45,169.96,166.97,169.04,420830
"2015-04-23",170.63,171.81,170.19,171.23,391385
"2015-04-30",166.92,168.4,163.44,164.34,1274398
"2015-05-07",163.73,167.35,163.73,165.98,687447
"2015-05-14",164.75,167.28,164.1,167.19,512497
"2015-05-21",167.46,167.95,165.24,165.6,575621
"2015-05-28",167.43,168.19,167.03,167.78,436137
"2015-06-04",159.46,162.09,159.46,161.01,525208
"2015-06-11",162.29,163.48,162.26,162.96,729565
"2015-06-18",167.1,169.81,166.95,168.29,748811
"2015-06-25",162.6,163.83,161.31,161.5,535268
"2015-07-02",164.35,165.92,162.96,163.98,561375
"2015-07-09",167.75,170.71,166,166.68,532080
"2015-07-16",169.01,170.35,168.72,169.84,401587
"2015-07-23",169.65,170.04,167.3,168.57,455677
"2015-07-30",170.23,171.82,169.38,171.23,605083
"2015-08-06",172.13,173.07,170.3,172.77,510318
"2015-08-13",175.01,177.1,174.44,176.08,600304
"2015-08-20",178.35,180,176.7,177.4,681973
"2015-08-27",167.74,170.17,166.39,168.64,896163
"2015-09-03",163.6,164.54,162.56,163.13,449337
"2015-09-10",160.97,163.66,160.96,161.86,906348
"2015-09-17",168.42,173.11,167.29,169.85,778158
"2015-09-24",170.84,171.73,167.96,169.34,778216
"2015-10-01",175.6,176.1,172.73,175.25,1056542
"2015-10-08",176.77,178.57,175.06,178.23,689233
"2015-10-15",178.15,180.77,177.9,180.77,513261
"2015-10-22",185.21,185.81,183.51,184.79,820573
"2015-10-29",176.46,178.18,175.3,177.95,820533
"2015-11-05",177.56,178.99,176.15,177.42,518643
"2015-11-12",173.79,175.84,172.27,173.82,700916
"2015-11-19",176.4,178.28,175.57,177.4,410785
"2015-12-03",180,182.65,175.36,176.21,1099751
"2015-12-10",177.67,177.81,173.78,173.78,1054212
"2015-12-17",181.02,181.73,177.81,178.98,696255
"2015-12-24",182.76,183.62,181.39,182.73,489346
"2015-12-31",185.37,186.31,183.89,184.13,492457
"2016-01-07",181.45,184.46,180.87,182.66,894936
"2016-01-14",177.71,179.29,175.8,176.18,863848
"2016-01-21",172.66,173.67,170.34,171.3,827791
"2016-01-28",175.15,176.06,170.02,170.74,1013855
"2016-02-04",169.79,173.08,167.18,171.12,834835
"2016-02-11",161.77,163.15,160.81,161.56,904528
"2016-02-18",167.35,169.82,167.1,168.36,501182
"2016-02-25",171,172.98,169.94,172.71,541919
"2016-03-03",178.52,179.85,176.74,179.79,683159
"2016-03-10",181.5,181.96,177.67,179.44,475099
"2016-03-17",185.6,189.28,184.79,188.95,854155
"2016-03-24",185.1,185.58,183.84,185.09,493335
"2016-03-31",189.21,190.2,188.22,190.2,929121
"2016-04-07",188.56,189.48,186.65,187.94,503086
"2016-04-14",182.62,182.72,178,178.28,1100135
"2016-04-21",179,181.12,176.76,177.62,862679
"2016-04-28",178.19,183.56,177.46,179.56,624821
"2016-05-05",184.81,187.22,184.56,186.53,735968
"2016-05-12",187.03,187.95,184.96,187.65,558347
"2016-05-19",179.64,180.54,178.24,179.31,677888
"2016-05-26",180.86,180.91,179.24,179.94,936716
"2016-06-02",175.99,176.73,173.95,176.55,805249
"2016-06-09",169.13,171.45,168.22,170.25,820281
"2016-06-16",172.29,174.28,171.54,174.2,912559
"2016-06-23",176.59,176.96,174.11,174.73,545645
"2016-06-30",178.37,180.42,176.8,180.39,807355
"2016-07-07",181.68,181.93,179.45,180.85,554640
"2016-07-14",187.37,188,184.56,185.45,482854
"2016-07-21",183.49,184.84,182.51,184,621441
"2016-07-28",179.5,183.5,179.06,182.28,979397
"2016-08-04",183.13,183.13,181.08,181.48,534323
"2016-08-11",183.9,183.9,180.21,181.31,589753
"2016-08-18",178.29,178.87,176.62,177.23,779842
"2016-08-25",174.61,177.2,173.58,175.18,566493
"2016-09-01",175.2,176.26,174.22,175.81,570848
"2016-09-08",178.82,178.82,175.9,175.94,1334827
"2016-09-15",171.06,173.34,170.33,173.28,857011
