"","DLTR.Open","DLTR.High","DLTR.Low","DLTR.Close","DLTR.Volume"
"2013-12-05",55.07,56.25,55.05,55.25,3055432
"2013-12-12",55.97,56.28,55.58,55.74,1983483
"2013-12-19",55.57,55.8,55.1,55.3,1809359
"2013-12-26",55.75,56.88,55.75,56.58,1219147
"2014-01-02",55.99,56.56,55.98,56.4,2424218
"2014-01-09",55.92,56.91,55.64,56.43,3416987
"2014-01-16",55.14,55.33,54.34,54.61,3345330
"2014-01-23",52.69,52.96,52.19,52.56,3150550
"2014-01-30",51.03,51.31,50.73,51.06,3159315
"2014-02-06",49.94,50.93,49.83,50.89,3177797
"2014-02-13",51.79,51.89,51.51,51.84,1681895
"2014-02-20",52.15,52.15,51.5,51.52,2661310
"2014-02-27",55.04,55.63,54.62,54.66,4322581
"2014-03-06",54.02,54.37,53.68,54.11,1334629
"2014-03-13",54.1,54.94,54,54.21,1634589
"2014-03-20",53.12,53.61,52.96,53.32,1196341
"2014-03-27",51.89,52.09,51.22,51.83,1764515
"2014-04-03",52.83,53.1,52.61,52.76,2290315
"2014-04-10",52.03,52.23,50.66,50.81,2420098
"2014-04-17",50.63,51.32,50.54,51.09,1392179
"2014-04-24",51.74,51.89,51.18,51.42,723530
"2014-05-01",52.34,52.4,51.55,51.64,1155597
"2014-05-08",52.02,52.8,51.79,52.04,1755457
"2014-05-15",51.57,51.59,50.52,51.01,1785973
"2014-05-22",53.92,54.5,53.01,53.31,6727189
"2014-05-29",53.59,53.68,52.86,53.26,2004466
"2014-06-05",54.32,54.73,53.86,54.66,1777690
"2014-06-12",54.08,54.29,53.55,53.93,1183781
"2014-06-19",53.8,54.06,53.41,53.72,1163325
"2014-06-26",53.81,53.81,53.11,53.66,1452302
"2014-07-03",54.83,55.52,54.3,55,1071230
"2014-07-10",54.51,55.8,54.12,55.48,2097294
"2014-07-17",54.25,54.8,54.06,54.2,1156960
"2014-07-24",54.48,55.18,54.48,54.95,1523101
"2014-07-31",55.31,55.82,54.39,54.47,5109857
"2014-08-07",55.16,55.53,54.68,55.08,1791051
"2014-08-14",55.54,56.05,55.4,55.93,1107435
"2014-08-21",54.04,54.52,53.6,54.28,5605083
"2014-08-28",53.48,54.26,53.32,53.95,3155815
"2014-09-04",55.02,55.57,54.85,55.02,3109452
"2014-09-11",55.8,56.08,55.53,55.68,1622696
"2014-09-18",56.3,57.4,56.13,57.11,4525398
"2014-09-25",56,56.12,55.33,55.54,2026254
"2014-10-02",55.36,55.89,55.02,55.75,1870188
"2014-10-09",57.16,57.37,56.55,56.7,2540149
"2014-10-16",54.68,55.58,54.15,55.05,2092222
"2014-10-23",57.64,58.61,57.55,58.51,2212271
"2014-10-30",58.61,59.72,58.48,59.52,1603942
"2014-11-06",61.25,62.37,61.16,62.11,1975411
"2014-11-13",62.05,62.33,61.65,61.99,1749381
"2014-11-20",64.42,67.08,64.27,65.87,7792640
"2014-12-04",69.07,69.65,69.03,69.27,2118832
"2014-12-11",69.58,69.58,67.69,67.76,2061711
"2014-12-18",68.88,69.15,68.56,69.11,2055755
"2015-01-08",71.06,71.19,70.25,71.11,2800255
"2015-01-15",67.51,68.05,66.06,66.41,8250953
"2015-01-22",68.28,70.58,67.83,70.25,9284887
"2015-01-29",70.18,70.56,69.58,70.18,3851782
"2015-02-05",75.13,76.73,74.98,75.92,4842049
"2015-02-12",76.79,77.16,75.53,75.85,4294272
"2015-02-19",77.45,77.68,76.64,76.7,2250699
"2015-02-26",78.79,79.5,78.42,79.04,2759294
"2015-03-05",79.14,79.71,78.88,79.43,1884816
"2015-03-12",80.1,81.2,79.62,80.89,3210643
"2015-03-19",83.88,84.1,83.25,83.4,1414802
"2015-03-26",80.71,81.47,80.29,81.02,2036532
"2015-04-02",81.33,81.55,80.77,81.12,1796666
"2015-04-09",83.9,84,82.45,82.75,2589975
"2015-04-16",81.2,81.48,80.75,81.03,2419884
"2015-04-23",80.23,81.26,80.23,81.01,1155977
"2015-04-30",77.32,77.8,76.14,76.41,3134241
"2015-05-07",77.3,78.35,76.88,78,1804446
"2015-05-14",78.15,78.4,76.82,76.97,2213277
"2015-05-21",75.05,80.22,74.51,78.68,8598454
"2015-05-28",76.36,76.74,75.66,76.19,1640746
"2015-06-04",78.48,79.86,77.89,78.83,2663363
"2015-06-11",78.62,79.21,78.29,78.63,1644102
"2015-06-18",79.96,81.13,79.96,80.31,1833399
"2015-06-25",80.62,80.96,80.26,80.46,1404759
"2015-07-02",80.11,80.58,79.51,79.81,2191319
"2015-07-09",79.73,79.84,78.62,78.98,2546847
"2015-07-16",82.03,82.25,81.44,82.18,1400140
"2015-07-23",79.16,79.26,78,78.24,2462036
"2015-07-30",77.12,77.9,77.09,77.59,1814693
"2015-08-06",79.09,79.26,77.41,77.6,2481697
"2015-08-13",77.25,78.05,76.68,77.33,1778214
"2015-08-20",80.04,81.17,79.87,80.38,2492032
"2015-08-27",75.49,77.26,74.77,76.79,5412636
"2015-09-03",67.53,67.87,66.29,67,6720250
"2015-09-10",66.66,66.92,65.71,66.06,5851799
"2015-09-17",67.82,68.73,67.44,67.83,2670531
"2015-09-24",69.49,69.68,68.39,69.25,2862374
"2015-10-01",66.76,67.48,66.15,67.44,2388958
"2015-10-08",62.62,62.84,61.23,62.08,6889855
"2015-10-15",61.79,62.9,61.03,62.8,3378579
"2015-10-22",64.43,65.07,64.12,64.8,2973169
"2015-10-29",63.72,64.92,63.5,64.86,2019713
"2015-11-05",67.39,67.8,66.68,67.71,1165908
"2015-11-12",66.3,67.07,65.97,66.57,3042299
"2015-11-19",66.91,67.6,66.56,67.16,2810685
