"","REG.Open","REG.High","REG.Low","REG.Close","REG.Volume"
"2015-04-16",65.4,66.3,65.22,65.94,396807
"2015-04-23",65.5,65.95,65.29,65.82,287871
"2015-04-30",64,64.01,62.42,62.78,757279
"2015-05-07",63.31,63.7,62.11,63.63,860915
"2015-05-14",64.15,65.46,63.83,65.43,494556
"2015-05-21",65,65.41,64.14,64.56,389206
"2015-05-28",64.53,64.96,63.95,64.04,650078
"2015-06-04",62.4,62.84,62.1,62.24,525812
"2015-06-11",62.09,62.29,61.6,61.95,650226
"2015-06-18",61.99,63.3,61.98,63.01,916913
"2015-06-25",60.5,60.58,59.84,59.9,1132983
"2015-07-02",60.77,61.31,60.22,60.51,576538
"2015-07-09",62.71,62.92,61.7,61.91,511133
"2015-07-16",62.7,63.42,62.58,62.97,485713
"2015-07-23",62.75,62.75,61.54,61.98,489769
"2015-07-30",63.18,63.59,62.85,63.34,669932
"2015-08-06",63.82,63.96,62.4,63.25,918266
"2015-08-13",63.13,64.03,62.85,63.78,347468
"2015-08-20",63.54,63.79,62.91,63.19,640185
"2015-08-27",59.77,61.14,59.26,60.78,1180730
"2015-09-03",59.59,59.92,59.26,59.61,903887
"2015-09-10",57.71,59.04,57.71,58.24,449400
"2015-09-17",60.82,62.37,60.42,61.36,408641
"2015-09-24",61.95,62.33,60.71,61.14,455680
"2015-10-01",62.33,62.73,61.91,62.39,530638
"2015-10-08",64.73,65.31,64.37,65.12,374263
"2015-10-15",64.76,65.47,64.45,65.47,239454
"2015-10-22",66.85,67.66,66.85,67.5,294966
"2015-10-29",67.61,68.55,66.7,68.46,413236
"2015-11-05",67.82,68.54,67.37,68.3,429060
"2015-11-12",66.15,66.64,65.56,65.71,237699
"2015-11-19",67.07,67.67,66.81,67.38,416738
"2015-12-03",66.32,66.65,64.88,64.96,860899
"2015-12-10",65.7,66.07,65.01,65.01,434118
"2015-12-17",68.16,68.16,67.5,67.73,408422
"2015-12-24",67.85,68.34,67.49,68.19,167016
"2015-12-31",68.77,69.01,68.1,68.12,540801
"2016-01-07",68.38,68.87,68.28,68.62,897903
"2016-01-14",67.67,68.2,66.96,67.22,507096
"2016-01-21",69.05,69.63,67.81,68.41,1001449
"2016-01-28",70.57,71.12,70.01,70.56,1012188
"2016-02-04",72.7,73.17,72.23,72.25,902705
"2016-02-11",71.66,72.11,69.52,69.83,1182235
"2016-02-18",70.5,70.68,69.71,70.22,1078878
"2016-02-25",70.75,71.67,70.75,71.53,338076
"2016-03-03",73.29,73.94,73.11,73.66,701934
"2016-03-10",73.22,73.75,72.1,72.89,300226
"2016-03-17",74.86,77.17,74.39,77.12,941576
"2016-03-24",72.8,73.51,72.67,73.32,1005276
"2016-03-31",75.11,75.33,74.45,74.85,772758
"2016-04-07",74.2,74.59,73.98,74.22,613149
"2016-04-14",74.58,74.74,74.1,74.15,237694
"2016-04-21",73.74,74.26,72.35,72.5,392801
"2016-04-28",74.27,74.87,74.06,74.32,288514
"2016-05-05",76.8,77.84,76.69,77.7,649155
"2016-05-12",78.15,78.94,77.45,78.69,369402
"2016-05-19",74.69,75.52,74.02,75.37,529397
"2016-05-26",76.2,77.17,76.12,76.88,329554
"2016-06-02",76.99,77.49,76.63,77.46,487234
"2016-06-09",78.69,79.99,78.51,79.59,484618
"2016-06-16",79.38,79.72,79.08,79.52,757003
"2016-06-23",78.96,79.5,78.86,78.98,505404
"2016-06-30",82.96,83.73,82.38,83.73,933277
"2016-07-07",84.31,84.31,83.13,83.55,654091
"2016-07-14",82.4,82.4,81.57,81.76,708824
"2016-07-21",81.61,82.14,81.12,82.1,496108
"2016-07-28",81.89,83.94,81.72,83.38,649764
"2016-08-04",83.41,83.44,82.85,83.03,519827
"2016-08-11",83.02,83.11,80.84,81.09,574444
"2016-08-18",79.92,80.3,79.41,79.92,510089
"2016-08-25",79.89,80.88,79.7,80.2,481748
"2016-09-01",80.39,80.76,79.86,80.13,366307
"2016-09-08",81.38,81.57,80.5,80.75,383919
"2016-09-15",76.09,76.63,75.76,76.55,375580
