"","TMK.Open","TMK.High","TMK.Low","TMK.Close","TMK.Volume"
"2013-11-07",258.39,260.98,256.14,256.32,138802
"2013-11-14",263.3,265.05,261.33,264.63,116122
"2013-11-21",262.67,264.6,261.82,263.72,143300
"2013-12-05",265.75,266.39,264.07,265.12,112698
"2013-12-12",266.46,267.93,265.61,267.05,90483
"2013-12-19",269.47,270.6,267.58,270.18,132183
"2013-12-26",275.02,276.21,273.82,275.54,66664
"2014-01-02",274.32,274.32,270.46,271.68,109875
"2014-01-09",275.61,276.32,273.4,276.11,194184
"2014-01-16",274.53,274.91,273,273.58,68097
"2014-01-23",269.75,269.82,267.12,268.28,152312
"2014-01-30",261.37,265.93,260.67,265.61,147098
"2014-02-06",256.67,260,255.74,259.65,175272
"2014-02-13",262.56,266.18,261.35,266.14,214141
"2014-02-20",265.96,267.51,263.72,266.98,83048
"2014-02-27",266.56,269.58,265.26,268.77,90013
"2014-03-06",276.6,279.19,276.04,278.6,120446
"2014-03-13",278.95,279.09,273.61,274.18,141581
"2014-03-20",274.49,278.63,274.49,276.53,106387
"2014-03-27",273.44,274.35,269.26,270.11,114667
"2014-04-03",52.83,53.02,52.61,52.79,518796
"2014-04-10",52.52,52.73,51.5,51.53,816492
"2014-04-17",51.94,52.49,51.83,52.32,428289
"2014-04-24",52.94,53.03,52.1,52.59,1148804
"2014-05-01",53.07,53.46,52.86,53.19,764534
"2014-05-08",53.29,54.03,53.29,53.79,523173
"2014-05-15",53.49,53.49,52.61,53.2,615006
"2014-05-22",53.76,54.05,53.67,53.95,576873
"2014-05-29",53.86,54.09,53.65,53.9,583308
"2014-06-05",54.74,54.82,54.32,54.71,646466
"2014-06-12",54.59,54.61,54.02,54.18,480810
"2014-06-19",55.11,55.11,54.66,54.85,449720
"2014-06-26",54.75,54.85,54.38,54.8,286826
"2014-07-03",55.07,55.51,55.05,55.22,323065
"2014-07-10",54.18,54.96,54.14,54.78,617581
"2014-07-17",55.12,55.43,54.46,54.49,567261
"2014-07-24",54.49,54.83,53.75,54.04,998270
"2014-07-31",53.36,53.52,52.72,52.74,666574
"2014-08-07",53.87,53.96,52.82,52.97,514282
"2014-08-14",53.25,53.59,53,53.55,300083
"2014-08-21",54.02,54.58,53.8,54.47,360910
"2014-08-28",54.56,55.07,54.37,54.93,335113
"2014-09-04",54.56,54.68,54.12,54.16,473443
"2014-09-11",53.41,53.67,53.28,53.59,340633
"2014-09-18",53.72,54.09,53.72,53.83,552118
"2014-09-25",53.05,53.14,52.57,52.57,533160
"2014-10-02",51.77,52.31,51.61,52.07,840170
"2014-10-09",52.47,52.51,51.8,51.86,930649
"2014-10-16",49.92,50.51,49.88,50.32,805496
"2014-10-23",52.11,52.11,49.7,50.57,2997672
"2014-10-30",51.59,52.48,51.55,52.2,652278
"2014-11-06",53.58,53.76,53.13,53.4,1013636
"2014-11-13",53.43,53.43,53.01,53.28,542006
"2014-11-20",52.94,53.48,52.82,53.47,377166
"2014-12-04",53.66,53.84,53.27,53.46,745641
"2014-12-11",53.73,54.31,53.61,53.73,648660
"2014-12-18",53.62,54.44,53.46,54.44,1119896
"2015-01-08",53.02,53.7,52.88,53.34,1059553
"2015-01-15",51.31,51.74,50.9,51,505552
"2015-01-22",51.71,52.47,51.24,52.27,640068
"2015-01-29",50.4,50.93,50.2,50.85,667071
"2015-02-05",51.52,52.57,51.48,52.52,685037
"2015-02-12",53.52,53.85,53.26,53.7,521648
"2015-02-19",53.64,53.99,53.36,53.83,490621
"2015-02-26",53.55,53.73,53.3,53.47,594539
"2015-03-05",53.54,53.71,53.21,53.66,451682
"2015-03-12",53.71,54.21,53.47,54.18,393237
"2015-03-19",55.28,55.44,54.48,54.9,829709
"2015-03-26",54.59,54.99,54.38,54.76,895170
"2015-04-02",54.95,55.3,54.88,55.11,525358
"2015-04-09",55.58,55.98,55.45,55.93,500609
