"","AET.Open","AET.High","AET.Low","AET.Close","AET.Volume"
"2012-09-27",39.41,39.76,39.13,39.72,3695891
"2012-10-04",41.59,42.69,41.58,42.09,7327759
"2012-10-11",42.22,43.38,42.14,43.29,7257198
"2012-10-18",43.32,44.49,43.15,44.3,5207005
"2012-10-25",44.97,45,44.14,44.43,5020519
"2012-11-01",43.61,44.55,43.61,44.49,7034240
"2012-11-08",42.8,43.69,42.24,42.33,5073064
"2012-11-15",40.8,41.2,40.57,40.78,3234681
"2012-11-29",42.47,42.97,42.43,42.74,4299106
"2012-12-06",43.54,43.63,43.11,43.43,2452477
"2012-12-13",45.82,46.57,45.64,45.97,4126388
"2012-12-20",46,47.06,45.89,46.99,3846052
"2012-12-27",46.6,46.78,45.74,46.24,2150370
"2013-01-03",46.15,46.23,45.2,45.27,5054535
"2013-01-10",45.09,45.76,44.9,45.76,2015998
"2013-01-17",45.97,47.2,45.79,47.19,3455856
"2013-01-24",48.65,49.85,48.58,49.72,3779014
"2013-01-31",47.44,48.75,46.53,48.23,5793369
"2013-02-07",49.64,49.77,49.01,49.66,2128275
"2013-02-14",49.33,49.98,48.99,49.56,2194849
"2013-02-21",48.26,48.59,47.36,47.76,3346836
"2013-02-28",47.52,47.59,46.91,47.19,3415947
"2013-03-07",48.89,49.71,48.89,49.59,3163097
"2013-03-14",51.6,51.73,50.91,51.23,2724598
"2013-03-21",49.77,50.39,49.68,50.24,3527300
"2013-03-28",50.89,51.19,50.48,51.13,2108159
"2013-04-04",54.45,55.08,54.25,54.6,3142491
"2013-04-11",56.14,56.72,55.82,56.7,2562019
"2013-04-18",54.01,55.18,53.51,54.18,4555994
"2013-04-25",57.22,57.39,56.24,56.88,3731211
"2013-05-02",58.48,59.18,58.13,58.35,2825507
"2013-05-09",59.14,59.5,58.54,59.49,2331582
"2013-05-16",59.62,60.03,59.52,59.53,2296425
"2013-05-23",59.1,60.56,59.03,60.39,2139311
"2013-05-30",60.46,62.76,60.3,62.45,3850232
"2013-06-06",58.42,59.37,57.96,59.37,3287442
"2013-06-13",61.3,61.89,60.75,61.59,2631253
"2013-06-20",61.54,61.91,60.68,60.82,2721887
"2013-06-27",63.21,63.82,63.08,63.59,2518192
"2013-07-11",64.79,65.17,63.98,64.04,3583397
"2013-07-18",62.26,64.34,62.26,64.23,4667555
"2013-07-25",65.27,65.86,64.6,65.58,2161403
"2013-08-01",64.38,64.78,63.67,63.73,2357721
"2013-08-08",63.39,64.41,63.17,64.2,2541326
"2013-08-15",62.69,63.25,61.93,61.96,1739536
"2013-08-22",62.99,63.75,62.89,63.7,1949432
"2013-08-29",62.63,63.96,62.46,63.76,1748893
"2013-09-05",64.21,65.5,64.13,65.26,2486930
"2013-09-12",65.84,66.25,65.63,65.7,1469449
"2013-09-19",66.6,67.4,64.6,64.84,5500547
"2013-09-26",64.76,65.6,64.5,64.78,1155390
"2013-10-03",64.73,64.89,64.02,64.23,2140680
"2013-10-10",64.4,66.02,64.36,65.71,3569793
"2013-10-17",64.64,64.64,63.9,64.18,5263160
"2013-10-24",62.33,62.8,61.39,61.7,3407609
"2013-10-31",62.13,63.07,61.97,62.7,3645120
"2013-11-07",63.68,64,62.52,62.56,2755910
"2013-11-14",63.89,65.12,63.8,64.99,2695368
"2013-11-21",66.32,67.79,66.32,66.78,4075515
"2013-12-05",66.31,66.77,64.72,64.81,4605954
"2013-12-12",66.02,66.78,65.1,65.14,3302732
"2013-12-19",66.74,66.93,66.24,66.63,2507757
"2013-12-26",67.53,68.36,67.42,68.31,1434834
"2014-01-02",68.21,68.6,67.52,67.56,1650687
"2014-01-09",70,71.74,69.14,71.72,4185843
"2014-01-16",71.13,71.3,69.85,70.23,3026639
"2014-01-23",70.12,70.53,69.27,69.97,2139514
"2014-01-30",68.52,69.6,68.32,68.85,2340824
"2014-02-06",66.79,68.42,66.23,67.92,4376965
"2014-02-13",65,66.26,64.68,65.75,3938224
"2014-02-20",69.21,70.03,69.1,69.89,2712038
"2014-02-27",71.17,71.65,71.06,71.48,1750296
"2014-03-06",74,74.38,73.53,73.59,2398550
"2014-03-13",73.76,73.8,72.65,72.91,3450616
"2014-03-20",74.65,76.38,74.65,75.39,2045097
"2014-03-27",74.25,74.25,73.09,73.41,1728605
"2014-04-03",74.83,75.14,74.16,75,2048081
"2014-04-10",74.14,74.38,71.84,71.87,3082699
"2014-04-17",67.83,68.34,66.85,67.77,8470775
"2014-04-24",73.2,73.99,72.01,72.96,5670324
"2014-05-01",71.8,72.55,70.86,71.44,2287438
"2014-05-08",73.91,74.43,73.57,73.7,1964414
"2014-05-15",75.17,75.44,74.2,74.73,2016187
"2014-05-22",75.56,75.64,74.81,75.5,1537201
"2014-05-29",77.11,77.49,76.4,77.19,2600083
"2014-06-05",79.77,79.91,79.12,79.12,2198834
"2014-06-12",80.63,81.14,80.07,80.87,2132463
"2014-06-19",81.15,81.55,80.74,81.41,1500205
"2014-06-26",82.49,82.49,81.27,82.05,1182788
"2014-07-03",83.06,83.71,82.78,83.63,1140376
"2014-07-10",80.38,81.84,80.18,81.25,1923103
"2014-07-17",81.67,84.74,81.62,83.74,4173908
"2014-07-24",84.5,84.85,84.01,84.16,2235261
"2014-07-31",78.56,78.77,76.11,77.53,6150743
"2014-08-07",77.46,77.61,74.81,75.22,4083440
"2014-08-14",77.11,77.68,76.71,77.64,1773233
"2014-08-21",79.58,79.74,79.06,79.35,1423308
"2014-08-28",80.76,82.28,80.76,81.92,2244396
"2014-09-04",82.55,84.15,82.45,82.97,2047509
"2014-09-11",83.97,84.17,82.97,83.69,2484853
"2014-09-18",83.37,84.05,83.22,83.91,1175936
"2014-09-25",83.52,83.62,81.89,82.06,1790953
"2014-10-02",79.79,79.95,78.35,79.39,2269905
"2014-10-09",79.89,80.31,78.23,78.62,2273326
"2014-10-16",73.7,75.42,72.57,73.43,5204759
"2014-10-23",78.98,79.3,78.52,78.75,1875961
"2014-10-30",79.72,81.38,79.43,80.6,2921266
"2014-11-06",84.47,85,84.15,84.7,1448904
"2014-11-13",84.55,84.98,83.99,84.56,1653486
"2014-11-20",85.08,86.3,84.92,85.85,2141515
"2014-12-04",89.4,89.68,88.36,89.19,2580878
"2014-12-11",87,89.25,86.31,88.12,2276616
"2014-12-18",88.39,90.13,87.88,90.13,2643457
"2015-01-08",90.29,92.53,90.29,92.39,2881606
"2015-01-15",90.61,91.11,90,90.5,2418034
"2015-01-22",95.52,96.15,94.03,96.11,2257773
"2015-01-29",92.95,93.78,91.95,93.61,1347668
"2015-02-05",96.13,97.71,96.01,96.59,3461398
"2015-02-12",97.16,97.16,95.99,97.08,1513793
"2015-02-19",96.77,97.49,96.22,96.64,1215507
"2015-02-26",99.46,99.92,99.08,99.31,1171619
"2015-03-05",101.73,102.63,101.37,102.09,2967341
"2015-03-12",100.8,102.35,100.57,102.12,2286192
"2015-03-19",108,108.97,107.25,108.31,2448985
"2015-03-26",106.72,107.12,105.36,105.91,2535833
"2015-04-02",107.11,107.86,106.55,107.15,1184991
"2015-04-09",107.02,108.13,107,107.72,1530898
"2015-04-16",108.22,109.65,108.22,109.43,2874175
"2015-04-23",107.8,109.1,107.52,108.9,1150583
"2015-04-30",108,108.71,106.68,106.87,3162917
"2015-05-07",107,108.72,107,107.89,1415124
"2015-05-14",110.89,111.56,110.6,111.48,1203928
"2015-05-21",114,114.86,113.8,114.69,1089915
"2015-05-28",115.35,116.56,114.98,116.39,1903593
"2015-06-04",116.01,116.95,115.45,115.98,1908847
"2015-06-11",118.21,118.59,117.73,117.95,1674918
"2015-06-18",124.06,125.39,124.02,124.5,2123540
"2015-06-25",127.66,133.05,126.73,132.6,8858720
"2015-07-02",129.41,129.74,125.45,125.51,3168462
"2015-07-09",115.73,116.51,112.56,112.67,5282355
"2015-07-16",115.66,115.96,112.8,112.91,4820016
"2015-07-23",114.16,114.24,111.57,112.05,2854301
"2015-07-30",114.36,114.64,112.36,114.15,2651141
"2015-08-06",118.2,118.58,115.94,116.4,2713546
"2015-08-13",117.62,118.66,117,118.25,1866456
"2015-08-20",121.14,121.91,118.18,118.53,3397886
"2015-08-27",115.75,117.89,114.41,117.78,3650116
"2015-09-03",114.08,116.55,113.76,115.18,2580721
"2015-09-10",116.73,118.98,115.88,116.19,2786369
"2015-09-17",117.65,119.54,116.73,117.76,1708099
"2015-09-24",118.08,118.25,114.46,116.44,2406242
"2015-10-01",109.21,110.42,107,109.94,2695433
"2015-10-08",109.54,109.93,107.99,109.61,1459840
"2015-10-15",110,112.72,108.34,112.17,3269292
"2015-10-22",107.88,108.38,100.69,103.36,7646832
"2015-10-29",111.25,116.33,110.68,114.86,4281855
"2015-11-05",108.77,111.65,108.47,111.27,2873405
"2015-11-12",105.8,106.02,103.05,103.11,4707374
"2015-11-19",101.7,103.58,98.67,99.89,11850960
"2015-12-03",106.75,107.53,101.42,101.72,7098741
"2015-12-10",103.59,105.55,103.16,104.82,2162228
"2015-12-17",108.73,109.41,107.71,108.86,2826806
"2015-12-24",110.01,110.53,109.51,109.63,726770
"2015-12-31",108.35,109.54,108,108.12,1612742
"2016-01-07",108.92,111.23,108.25,110.27,6282218
"2016-01-14",104.86,108.54,104.44,108.25,4229985
"2016-01-21",104.59,106.22,103.72,105.26,3062328
"2016-01-28",102,102.87,98.4,98.79,3898919
"2016-02-04",100.72,102.31,99.96,102.11,2225935
"2016-02-11",98.33,99.1,97.05,97.82,2273634
"2016-02-18",105.22,106.25,104.02,104.38,2409287
"2016-02-25",107.12,109.53,105.97,109.4,2184871
"2016-03-03",109.32,109.84,107.89,109.64,2330845
"2016-03-10",109.81,111.73,109.33,110.87,2306142
"2016-03-17",112.96,113.39,109,110.55,3222368
"2016-03-24",111.37,112.96,111.24,112.41,2022760
"2016-03-31",113.73,114.26,112.35,112.35,3216223
"2016-04-07",111.36,111.86,109.62,110.28,3310365
"2016-04-14",110.21,110.74,109.53,109.69,1793917
"2016-04-21",112.96,113.92,112.74,113.09,1320599
"2016-04-28",115.05,115.96,113.66,114.63,2448178
"2016-05-05",112.89,114.32,112.53,113.87,1741741
"2016-05-12",112.45,112.78,107.78,108.6,3701820
"2016-05-19",109.91,111.33,108.64,109.72,1260835
"2016-05-26",113.33,113.82,112.65,113.07,1903044
"2016-06-02",115.25,120.07,114.77,120.03,5841121
"2016-06-09",122.25,122.68,119.97,121.27,2493626
"2016-06-16",119.69,121.79,118.86,121.64,2408795
"2016-06-23",121.72,121.72,120.16,121,1946565
"2016-06-30",121.77,122.59,120.82,122.13,3026743
"2016-07-07",120.58,120.99,114.41,115.47,11070220
"2016-07-14",120.11,120.98,119.06,119.15,3466861
"2016-07-21",115.57,120.68,115.33,118.3,9371245
"2016-07-28",115.83,116.64,115.19,115.79,1434197
"2016-08-04",116.67,117.69,115.83,116.61,2483349
"2016-08-11",119.79,119.82,118.78,119.19,1100714
"2016-08-18",120.04,121.6,119.92,121.04,2086271
"2016-08-25",118.29,119.05,117.49,117.52,1457729
"2016-09-01",117.44,117.61,115.83,116.16,1764834
"2016-09-08",119.11,119.11,115.8,116.54,1675670
"2016-09-15",112.48,114.52,111.88,114.43,2089115
