"","NOV.Open","NOV.High","NOV.Low","NOV.Close","NOV.Volume"
"2016-04-07",29.11,29.34,28.22,28.57,5021480
"2016-04-14",29.41,29.41,28.37,28.81,6849321
"2016-04-21",28.85,29.04,28.53,28.55,4532342
"2016-04-28",31.12,33.92,29.77,33.1,16735182
"2016-05-05",34.1,34.25,32.79,33.29,5024758
"2016-05-12",32.86,33.19,31.56,31.95,4443802
"2016-05-19",31.06,31.65,30.91,31.09,6966108
"2016-05-26",33,33.36,32.55,32.58,3729291
"2016-06-02",31.77,32.08,31.25,32,3010620
"2016-06-09",36.14,36.6,35.85,36.34,4217385
"2016-06-16",33.43,33.95,32.82,33.85,4246219
"2016-06-23",36.13,36.66,35.88,36.5,3770650
"2016-06-30",32.92,33.65,32.5,33.65,3752337
"2016-07-07",32,32.78,31.31,31.69,4519368
"2016-07-14",33.83,34.07,33.61,33.74,2152703
"2016-07-21",33,33.89,32.8,32.86,5063748
"2016-07-28",31,33.1,29.79,32.04,7366920
"2016-08-04",32.51,32.92,32.34,32.56,2122434
"2016-08-11",33.41,33.98,33.1,33.67,4010451
"2016-08-18",35.31,36.21,35.28,36.09,4004093
"2016-08-25",35.07,35.33,34.82,35.2,2553405
"2016-09-01",33.4,33.49,32.7,33.04,2928137
"2016-09-08",34.28,35.49,34.04,35.14,4064809
"2016-09-15",32.54,33.03,32.32,32.89,2316422
