"","CI.Open","CI.High","CI.Low","CI.Close","CI.Volume"
"2014-03-13",79.63,79.78,77.67,77.68,2586982
"2014-03-20",80.31,83.83,80.15,82.79,4128809
"2014-03-27",80.11,80.11,76.79,77.49,3324764
"2014-04-03",82.38,83.21,82.31,83.02,2189934
"2014-04-10",81.58,82,78.77,79.09,2102871
"2014-04-17",73.48,76.14,73.47,75.64,2859797
"2014-04-24",78.12,79.67,77.74,79.48,2213436
"2014-05-01",82.97,83.45,81.7,82.05,2384772
"2014-05-08",85.39,85.84,85.2,85.6,2281358
"2014-05-15",88.12,88.4,87.14,87.46,1771653
"2014-05-22",89.12,89.27,88.5,88.77,1372292
"2014-05-29",89.86,90.19,89.16,90.1,1210231
"2014-06-05",90.44,91,90.14,90.29,1129791
"2014-06-12",91.02,91.41,90.1,90.74,1360187
"2014-06-19",90.79,91.81,90.28,91.37,1118992
"2014-06-26",91.74,91.87,90.74,91.35,1010831
"2014-07-03",93.27,94.24,93.13,93.66,663274
"2014-07-10",91.67,92.93,91.58,92.3,1250944
"2014-07-17",95.22,95.87,93.65,94.49,3051290
"2014-07-24",96.71,97.24,96.51,96.75,1039139
"2014-07-31",90.06,91.64,87.33,90.04,4402850
"2014-08-07",91.49,91.58,88.66,88.75,2160848
"2014-08-14",91.45,93.21,91.19,92.97,1335135
"2014-08-21",93.95,94.52,93.46,93.97,618483
"2014-08-28",94.25,95.31,94.25,94.53,947198
"2014-09-04",94.92,97.07,94.84,95.49,1140852
"2014-09-11",93.75,94.01,92.52,93.35,1540700
"2014-09-18",94.36,95.46,94.32,95.21,1093134
"2014-09-25",94.64,94.64,91.34,91.72,1501774
"2014-10-02",89.38,89.68,87.76,88.72,1545170
"2014-10-09",91.42,91.86,89.78,89.98,1196238
"2014-10-16",88.06,89.95,87.67,88.03,2593500
"2014-10-23",92.53,93.11,92.03,92.27,874498
"2014-10-30",94.5,97.56,94.5,97.1,3049860
"2014-11-06",100.28,101.9,99.91,101.34,2014371
"2014-11-13",102.08,103.5,101.88,102.71,2110099
"2014-11-20",102.36,102.69,101.88,102.21,1371955
"2014-12-04",104,104.11,102.46,103.19,1184018
"2014-12-11",102.64,103.6,102.2,102.43,1307516
"2014-12-18",102.75,104.58,102.36,104.58,1236769
"2015-01-08",105.1,109.24,105,109.13,2313860
"2015-01-15",107.57,107.94,106.11,106.86,1137366
"2015-01-22",110.9,112.18,109.85,112.18,1664808
"2015-01-29",108.67,109.86,107.84,109.62,1354823
"2015-02-05",111.3,113.39,111.25,112.22,2060912
"2015-02-12",115.89,116,114.21,114.98,1080178
"2015-02-19",115.58,116.92,115.3,116.19,796639
"2015-02-26",120.82,121.89,120.81,121.59,1524048
"2015-03-05",121.86,123,121.67,122.51,1605335
"2015-03-12",121.02,122.87,121.02,122.75,1051821
"2015-03-19",127.48,128.86,127.05,128.1,1290208
"2015-03-26",125.87,127.53,125.06,126.21,1636741
"2015-04-02",130.49,131.58,129.8,130.47,1468320
"2015-04-09",131.41,132.56,131.19,132.18,1381383
"2015-04-16",134.49,135,132.44,132.8,1936646
"2015-04-23",130.15,131.03,129.9,130.57,1353136
"2015-04-30",126.36,128.15,124.28,124.64,2366188
"2015-05-07",125.44,127.2,125.23,126.49,1395684
"2015-05-14",132.48,133.07,131.43,131.85,1460381
"2015-05-21",133.25,133.56,132.52,132.95,1133396
"2015-05-28",134.94,136.04,134.57,135.87,1094815
"2015-06-04",139.68,139.87,136.98,137.69,2087029
"2015-06-11",140.09,140.66,139.02,139.2,1422485
"2015-06-18",155.69,157.13,155.01,156.41,1975206
"2015-06-25",166.16,170.4,164.96,169.77,6178665
"2015-07-02",163.25,168.36,160.13,161.29,4357781
"2015-07-09",151.91,157.37,151.02,156.56,4161519
"2015-07-16",155.52,156.43,153.29,154.29,1442154
"2015-07-23",157.08,158,153.02,154.36,6778740
"2015-07-30",146.99,148.23,143.85,143.9,3535558
"2015-08-06",147.19,148.49,145.21,146.8,2768699
"2015-08-13",143.4,144.6,143.15,143.18,1691375
"2015-08-20",148.75,148.89,145.24,145.24,1730060
"2015-08-27",138.16,139.84,134.85,138.3,1909906
"2015-09-03",139.65,142.57,139.61,141.62,1523642
"2015-09-10",139.21,140,137.35,137.46,2664970
"2015-09-17",143,144.66,141.92,142.75,997760
"2015-09-24",140.07,142.41,139.3,141.02,1201142
"2015-10-01",134.64,135.98,133.89,135.43,1469768
"2015-10-08",135.87,136.6,133.63,133.63,2151006
"2015-10-15",137.26,139.13,134.14,139.09,2423245
"2015-10-22",135.93,136.41,127.7,129.49,4697378
"2015-10-29",136.1,137.85,135.36,135.55,965298
"2015-11-05",130.11,132.59,129.33,132.4,1325873
"2015-11-12",130.73,133.57,130.73,131.39,1208752
"2015-11-19",130.5,131.99,127.44,127.83,2845567
"2015-12-03",139.49,140.02,136.94,137.26,2541300
"2015-12-10",137.12,139.78,136.44,139.23,934335
"2015-12-17",141.2,144.01,141.04,143,2073062
"2015-12-24",146.68,147.92,146.46,146.46,717066
"2015-12-31",146.43,147.85,145.9,146.33,896848
"2016-01-07",141,142.96,140.23,141.37,1779646
"2016-01-14",134.96,139.17,134.96,138.72,1975316
"2016-01-21",139.38,142.63,139.12,140.13,1846133
"2016-01-28",132.09,133.02,129.11,129.83,1154412
"2016-02-04",130.6,134.97,130.6,134.77,2143334
"2016-02-11",127.96,130.28,127.88,128,1146221
"2016-02-18",135.6,137.18,135,135.65,1010759
"2016-02-25",137.68,140.48,137.1,140.32,872950
"2016-03-03",139.88,141.26,138.7,140.43,880131
"2016-03-10",140,142.85,139.54,142.13,1225867
"2016-03-17",141.9,141.94,136.67,137.8,1276586
"2016-03-24",137.09,138.29,136.97,137.95,462550
"2016-03-31",137.6,138.42,136.18,137.24,1276473
"2016-04-07",133.14,135.46,131.01,131.86,1969417
"2016-04-14",137.09,137.29,134.95,135,965410
"2016-04-21",141.35,142.82,139.73,140.34,747839
"2016-04-28",138.33,141,138.04,139.94,565669
"2016-05-05",135,136.34,134.48,134.93,814339
"2016-05-12",130.53,130.53,127.27,128.06,1795890
"2016-05-19",128.6,130.07,127.2,129.06,684396
"2016-05-26",129.65,130.56,128.56,128.87,933103
"2016-06-02",127.76,129.84,127.72,129.57,1492251
"2016-06-09",130.48,131.77,128.74,129.25,1044204
"2016-06-16",126.31,129.02,124.5,128.69,1865305
"2016-06-23",129,129.98,128.43,129.75,1427945
"2016-06-30",128.2,129.19,126.7,127.99,1846948
"2016-07-07",128.82,129.28,126.68,127,2082692
"2016-07-14",130.69,130.99,129.72,130.01,1757696
"2016-07-21",131.92,148.99,131.8,140.32,5327393
"2016-07-28",137.74,138.78,135.94,135.99,1994577
"2016-08-04",124.68,128.88,124.6,128.28,2286680
"2016-08-11",128.19,129.29,126.47,126.62,1140489
"2016-08-18",132.04,133.91,132.04,132.62,1443935
"2016-08-25",130.62,131.57,128.96,129.41,838255
"2016-09-01",128.58,128.99,127.15,127.64,701460
"2016-09-08",126.52,127.9,126.17,127.67,1056119
"2016-09-15",126.02,128.8,125.92,128.64,1213410
