"","DISCK.Open","DISCK.High","DISCK.Low","DISCK.Close","DISCK.Volume"
"2014-01-23",36.87,37.12,36.72,36.99,1526956
"2014-01-30",36.52,37.77,36.4,36.99,1386042
"2014-02-06",36.75,37.86,36.59,37.68,898654
"2014-02-13",36.92,37.36,36.27,36.42,848946
"2014-02-20",37.82,38.3,37.78,38.28,720838
"2014-02-27",38.11,38.46,37.6,38.16,627138
"2014-03-06",39.14,40.18,39,39.88,1695584
"2014-03-13",39.82,39.98,39.04,39.08,1170892
"2014-03-20",38.54,38.88,38.42,38.51,1095784
"2014-03-27",37.94,38.14,37.64,37.86,701516
"2014-04-03",39.34,39.62,39.18,39.28,466694
"2014-04-10",37.75,37.76,37.09,37.16,1049946
"2014-04-17",36.26,36.48,36.2,36.38,910006
"2014-04-24",36.28,36.34,35.98,35.99,1119058
"2014-05-01",35.24,35.54,35.03,35.3,1681936
"2014-05-08",33.6,34.6,33.37,34.1,2351164
"2014-05-15",33.59,33.83,33.3,33.6,1909272
"2014-05-22",35.98,36.56,35.74,36.44,1202004
"2014-05-29",38.39,38.49,37.68,37.84,829656
"2014-06-05",38.72,39.68,38.72,39.24,1417512
"2014-06-12",38.76,38.9,38.5,38.65,466454
"2014-06-19",38.11,38.11,37.4,37.45,930236
"2014-06-26",36.66,36.66,35.46,36.04,1048772
"2014-07-03",37.55,38.27,37.55,37.9,694384
"2014-07-10",38.18,38.71,38,38.54,718522
"2014-07-17",40.98,42.66,40.86,41.73,966064
"2014-07-24",40.76,41.02,40.53,40.64,707584
"2014-07-31",40.76,42.44,40.16,42.05,932890
"2014-08-07",41.17,41.93,39.73,39.78,2670657
"2014-08-14",40.93,41.15,40.8,40.96,1288783
"2014-08-21",43.1,43.39,42.89,43.18,2129867
"2014-08-28",42.85,43.05,42.58,42.91,2166510
"2014-09-04",43.14,43.39,42.86,43.03,2671319
"2014-09-11",40.1,40.51,39.68,39.92,2008476
"2014-09-18",39.88,39.88,39.13,39.42,1920601
"2014-09-25",37.55,37.78,37.34,37.6,1445383
"2014-10-02",35.91,36.15,35.31,36.05,2385578
"2014-10-09",35.89,36.08,34.86,34.94,3041047
"2014-10-16",33.19,34.12,33.07,33.97,2773537
"2014-10-23",34.72,36.29,34.66,35.69,1245005
"2014-10-30",36.23,36.6,35.35,35.95,3945930
"2014-11-06",34.58,34.69,32.82,32.87,3805529
"2014-11-13",31.38,32.19,31.34,32,4513993
"2014-11-20",32.27,33.5,32.13,33.48,3053821
"2014-12-04",34.58,34.74,33.79,33.94,1231897
"2014-12-11",33.26,33.83,33.14,33.19,987357
"2014-12-18",33.98,34.59,33.62,34.57,2107549
"2015-01-08",31.55,31.81,30.94,31.43,3137757
"2015-01-15",29.19,29.39,28.45,28.46,3103126
"2015-01-22",28.51,29.18,28.5,28.88,1944696
"2015-01-29",28.81,29.03,28.48,28.77,2158463
"2015-02-05",29.15,29.15,28.05,28.38,2052848
"2015-02-12",29.74,29.99,29.21,29.52,1827007
"2015-02-19",29.93,31.22,28.92,29.96,3506776
"2015-02-26",31.3,31.5,30.64,30.84,3628174
"2015-03-05",32.2,32.38,31.98,32.15,1838940
"2015-03-12",31.49,31.64,30.75,31.21,3557545
"2015-03-19",30.67,30.72,30.13,30.66,1323914
"2015-03-26",30.01,30.15,29.32,29.69,1605143
"2015-04-02",29.91,30.84,29.65,30.65,2596500
"2015-04-09",31.79,32.2,31.72,32.09,2798713
"2015-04-16",31.85,31.97,31.52,31.76,966967
"2015-04-23",31.62,32.19,31.4,31.8,2178028
"2015-04-30",30.01,30.5,29.97,30.23,3891434
"2015-05-07",29.36,29.51,28.91,29.08,1828819
"2015-05-14",29.22,29.45,28.97,29.16,1254535
"2015-05-21",31.14,31.29,30.88,31,1511971
"2015-05-28",31.05,31.15,30.9,31.02,1258611
"2015-06-04",31.35,31.57,31.07,31.46,1696921
"2015-06-11",31.02,31.14,30.45,30.77,831302
"2015-06-18",31.41,32.05,31.35,31.79,1143120
"2015-06-25",31.88,31.94,31.56,31.65,1374386
"2015-07-02",31.24,31.66,30.99,31.25,2240964
"2015-07-09",31.08,31.26,30.56,30.56,940558
"2015-07-16",32.17,32.78,32.01,32.68,1054558
"2015-07-23",29.89,30.15,29.56,29.66,1012035
"2015-07-30",29.3,29.77,28.99,29.67,923410
"2015-08-06",27,28.11,26.38,27.97,9608571
"2015-08-13",27.45,27.45,27.01,27.25,3516855
"2015-08-20",27.43,27.43,25.99,26.27,7409988
"2015-08-27",25.33,25.69,24.88,25.32,2365016
"2015-09-03",25.6,26.34,25.45,25.84,1302026
"2015-09-10",25.3,25.71,25.12,25.46,1789687
"2015-09-17",26.04,26.67,25.95,26.26,1577689
"2015-09-24",25.69,26.14,25.45,26,2615086
"2015-10-01",24.35,24.4,23.76,23.83,2578241
"2015-10-08",26.24,27.08,26.1,27.03,1049299
"2015-10-15",26.78,27.14,26.36,27.11,1200908
"2015-10-22",26.96,27.7,26.8,27.65,1395053
"2015-10-29",27.6,28.2,27.4,27.46,729904
"2015-11-05",28.76,28.83,27.61,27.94,2687523
"2015-11-12",29.14,29.35,28.72,28.87,1971944
"2015-11-19",29.42,29.52,28.78,28.86,2170267
