"","INTU.Open","INTU.High","INTU.Low","INTU.Close","INTU.Volume"
"2012-11-29",58.84,59.45,58.75,59.18,1554463
"2012-12-06",59.79,60.25,59.29,59.73,1438018
"2012-12-13",60.37,60.57,59.61,60.06,1192948
"2012-12-20",61.97,62.13,61.44,62.05,1818928
"2012-12-27",60.84,60.96,59.63,60.34,1510139
"2013-01-03",61.64,62.01,61.51,61.74,2558997
"2013-01-10",62.49,62.79,61.78,62.41,1072503
"2013-01-17",63.04,63.74,62.79,63.64,1212547
"2013-01-24",64,64.44,63.49,63.82,1679617
"2013-01-31",63.22,63.54,62.27,62.38,3504593
"2013-02-07",62.93,63.16,62.07,62.25,3569538
"2013-02-14",61.22,61.39,60.6,60.76,2988157
"2013-02-21",60.76,61.62,60.76,61.3,1941804
"2013-02-28",63.76,64.66,63.7,64.47,2473537
"2013-03-07",67.99,68.2,67.63,67.93,1496884
"2013-03-14",66.6,66.7,66,66.18,2777912
"2013-03-21",64.75,65.53,64.31,65.3,2608076
"2013-03-28",65.19,65.7,65.1,65.66,1911162
"2013-04-04",64.67,64.86,64.14,64.71,906292
"2013-04-11",64.95,65.3,64.72,64.93,1568436
"2013-04-18",63.31,63.31,62.19,62.51,2059376
"2013-04-25",55.75,57.97,55.54,57.09,15922396
"2013-05-02",59.91,60.64,59.33,60.07,2343729
"2013-05-09",59.65,60.26,58.88,59,3915179
"2013-05-16",60.41,60.9,59.84,59.85,2417340
"2013-05-23",58.12,59.21,57.33,58.76,4314644
"2013-05-30",58.82,59.62,58.82,59.33,2261062
"2013-06-06",57.79,58.46,57.48,58.45,2485365
"2013-06-13",57.59,58.09,57.17,57.97,2423476
"2013-06-20",58,58.58,57.75,57.85,2199538
"2013-06-27",59.88,61.36,59.88,60.79,2831624
"2013-07-11",63.68,64.42,63.64,64.38,1871051
"2013-07-18",64.97,65.73,64.84,64.87,1650266
"2013-07-25",63.12,63.39,62.9,63.17,1737021
"2013-08-01",64.23,64.76,63.76,64.49,1702267
"2013-08-08",64.47,64.47,63.82,64.2,2147977
"2013-08-15",64.06,64.41,63.67,63.83,1637830
"2013-08-22",63.12,63.68,62.61,63.61,1600104
"2013-08-29",63.15,63.88,62.89,63.59,1547206
"2013-09-05",64.36,64.57,64.02,64.18,1396681
"2013-09-12",66.11,66.11,65.44,65.45,2353826
"2013-09-19",66.06,66.55,65.74,66.42,3125990
"2013-09-26",66.58,66.66,66,66.36,2364867
"2013-10-03",66.37,66.5,65.26,65.83,3682100
"2013-10-10",65.92,66.13,65.47,65.8,2104871
"2013-10-17",66.89,68.03,66.7,68,1761593
"2013-10-24",69.2,70.2,69.12,69.82,1996698
"2013-10-31",71.69,71.97,71.36,71.41,1996719
"2013-11-07",72.31,72.63,71.65,71.68,1195271
"2013-11-14",72.95,73.29,72.27,73.16,1606170
"2013-11-21",73.05,73.39,72.33,73.16,2359453
"2013-12-05",74.21,74.38,73.84,74.01,1424760
"2013-12-12",74.38,74.61,73.72,74.23,1639191
"2013-12-19",75.99,76.21,75.52,75.69,1879235
"2013-12-26",76.21,76.71,75.98,76.35,581299
"2014-01-02",76.11,76.16,75.4,75.94,1355681
"2014-01-09",76.8,77,76.32,76.63,1129974
"2014-01-16",76.46,77.15,76.36,76.79,1470461
"2014-01-23",75.06,75.74,74.85,75.32,1339296
"2014-01-30",73.47,74.56,73.2,74.19,1140757
"2014-02-06",70.73,71.36,70.73,71.03,1590602
"2014-02-13",69.49,70.76,69.12,70.72,3164918
"2014-02-20",73.67,74.19,73.04,73.85,1894402
"2014-02-27",77.67,78.16,77.09,78.1,1289454
"2014-03-06",80.45,81.12,80.44,80.73,1297875
