"","DGX.Open","DGX.High","DGX.Low","DGX.Close","DGX.Volume"
"2012-06-07",55.06,55.31,54.54,54.62,1025268
"2012-06-14",55.83,56.53,55.66,56.16,1204839
"2012-06-21",57.82,58.12,56.72,56.76,738698
"2012-06-28",57.46,59.48,57.12,59.25,2796933
"2012-07-05",59.79,60.3,59.62,60.11,739688
"2012-07-12",60.85,63.98,60.79,63.09,4385446
"2012-07-19",60.36,61.39,59.59,61.04,2457447
"2012-07-26",58.3,58.34,57.83,58.25,748271
"2012-08-02",58.15,58.4,57.57,58.19,824441
"2012-08-09",60.13,60.48,59.65,59.78,538015
"2012-08-16",59.15,60,59.06,60,456765
"2012-08-23",60.11,60.16,59.38,59.67,603403
"2012-08-30",60.42,60.59,59.71,60.14,754039
"2012-09-06",61.47,62.69,61.41,62.47,984858
"2012-09-13",61.36,62.3,61.12,62.19,711354
"2012-09-20",62.29,62.73,62.03,62.57,513904
"2012-09-27",62.55,63.78,62.47,63.51,658000
"2012-10-04",64.02,64.16,63.37,64.07,409896
"2012-10-11",63.78,64.76,63.67,64.24,701610
"2012-10-18",59.56,61.03,59.05,60.54,2244021
"2012-10-25",58.69,58.79,58.15,58.6,964803
"2012-11-01",57.73,58.46,57.61,58.44,667907
"2012-11-08",58.01,58.32,57.32,57.33,568445
"2012-11-15",56.37,56.64,55.98,56.5,522579
"2012-11-29",57.68,58.51,57.47,58.11,850528
"2012-12-06",58.11,58.36,57.93,58.29,649298
"2012-12-13",58.84,59.07,58.55,58.73,671767
"2012-12-20",60.33,60.33,59.81,60.05,775775
"2012-12-27",58.55,59,58.44,58.83,621490
"2013-01-03",58.61,59.15,58.09,58.37,1191800
"2013-01-10",58.9,59.71,58.75,59.58,1186308
"2013-01-17",60,60.57,59.95,60.55,752085
"2013-01-24",58.36,59.35,58.32,58.45,1668118
"2013-01-31",58.4,58.45,57.84,57.95,2359489
"2013-02-07",58.25,58.87,58.2,58.69,1192353
"2013-02-14",56.78,56.95,56.47,56.53,1743369
"2013-02-21",56.76,56.84,56,56.13,991832
"2013-02-28",56.25,56.66,56.16,56.17,969173
"2013-03-07",56.26,56.46,55.33,55.42,1364647
"2013-03-14",56.13,56.73,55.85,56.5,1381490
"2013-03-21",56.31,56.63,56,56.3,745934
"2013-03-28",56.18,56.65,55.8,56.46,1933888
"2013-04-04",57,57.92,56.91,57.68,914247
"2013-04-11",58.37,60,58.06,59.83,3202834
"2013-04-18",57.31,57.54,55.59,55.76,2459362
"2013-04-25",56.28,56.52,55.64,55.85,1012523
"2013-05-02",56.49,57.33,56.42,57.32,1462100
"2013-05-09",59.17,59.41,58.79,59.19,1458034
"2013-05-16",59.74,60.35,59.46,59.88,1149859
"2013-05-23",60.7,62.07,60.69,61.97,1116784
"2013-05-30",62.51,63.02,62.26,62.42,1051695
"2013-06-06",61.6,62.09,61.27,62.08,941964
"2013-06-13",62,62.98,61.71,62.89,866772
"2013-06-20",61.49,61.83,60.75,60.81,1056790
"2013-06-27",61.49,61.93,61.3,61.4,916444
"2013-07-11",59.53,59.6,58.72,59.31,1191895
"2013-07-18",59.5,59.72,58.65,58.91,4287216
"2013-07-25",58.72,59.06,58.3,58.79,1928004
"2013-08-01",58.64,58.81,58.22,58.7,1182925
"2013-08-08",58.86,59.56,58.81,59.32,1795027
"2013-08-15",59.65,59.8,58.67,58.83,1207038
"2013-08-22",59.2,59.35,58.65,58.86,670684
"2013-08-29",58,58.38,57.73,57.96,817772
"2013-09-05",60.07,60.87,60,60.51,1037861
"2013-09-12",61.72,61.76,60.86,61.33,1275042
"2013-09-19",62.21,62.7,61.73,61.81,1953977
"2013-09-26",62.26,62.74,62.21,62.39,1419981
"2013-10-03",62.42,62.65,62.17,62.5,1436734
"2013-10-10",58.65,59.89,57.45,58.66,6793777
"2013-10-17",57.41,60,57.36,58.9,3766554
"2013-10-24",58.79,58.83,58.21,58.27,1141050
"2013-10-31",59.65,60.04,59.58,59.91,1525538
"2013-11-07",63.23,64,63.23,63.7,2283933
"2013-11-14",62.79,63.09,62.6,62.65,2762220
"2013-11-21",61.41,61.72,61.2,61.48,1111165
"2013-12-05",60.85,61.08,60.17,60.21,1708548
"2013-12-12",55.02,55.16,53.75,53.81,4554187
"2013-12-19",53.04,53.53,52.5,52.79,3048516
"2013-12-26",54.39,54.44,53.77,53.87,1170079
"2014-01-02",53.45,53.5,52.75,52.85,2857287
"2014-01-09",53.08,53.81,53.08,53.73,1928978
"2014-01-16",54.33,54.78,54.12,54.63,1219122
"2014-01-23",54.81,54.92,54.12,54.45,1476381
"2014-01-30",54.69,55.68,51.8,52.38,6957635
"2014-02-06",51.29,51.3,50.58,51.06,2008807
"2014-02-13",51.77,52.56,51.77,52.2,3066569
"2014-02-20",52.84,53.07,52.61,52.97,1161854
"2014-02-27",53.05,53.19,52.64,52.76,1238427
"2014-03-06",52.31,52.77,52.26,52.4,1193927
"2014-03-13",54.03,54.65,53.89,54.04,2929076
"2014-03-20",55.7,56.28,55.5,55.68,2168414
"2014-03-27",57.95,58.01,56.77,57.88,3433769
"2014-04-03",61.11,61.46,60.23,60.62,2908859
"2014-04-10",59.97,60.25,58.9,59.16,2131068
"2014-04-17",59.98,60.29,59.12,59.48,1481955
"2014-04-24",58.39,58.63,56.88,57.57,3085080
"2014-05-01",55.81,56.5,55.54,55.97,993299
"2014-05-08",56.45,57.99,56.34,57.27,4853979
"2014-05-15",56.97,57.53,56.53,57.51,1515930
"2014-05-22",57.43,57.7,57.34,57.34,1002039
"2014-05-29",58.15,59.62,58.03,59.6,2258233
"2014-06-05",61.69,62.08,61.17,61.34,3513158
"2014-06-12",59.67,60.09,58.66,59.71,2076323
"2014-06-19",58.55,58.67,58.06,58.64,1230766
"2014-06-26",58.57,58.58,57.94,58.32,1351678
"2014-07-03",59.75,60.12,59.41,60.07,854156
"2014-07-10",59,59.27,58.84,59.04,880536
"2014-07-17",61.23,61.83,60.62,60.65,1388189
"2014-07-24",61.92,61.92,60.42,61.43,1947563
"2014-07-31",62.41,62.48,61.04,61.1,2131422
"2014-08-07",60.62,60.67,59.68,59.9,1568490
"2014-08-14",61.38,61.82,61.14,61.75,983837
"2014-08-21",62.6,62.89,62.43,62.77,636603
"2014-08-28",62.19,62.49,61.85,61.95,814909
"2014-09-04",63.92,64.18,63.03,63.45,1298738
"2014-09-11",62.78,63.18,62.41,63.05,1014404
"2014-09-18",63,63.29,62.8,63.06,563199
"2014-09-25",62.09,62.14,60.91,60.92,907124
"2014-10-02",60.25,60.79,59.68,60.63,1242683
"2014-10-09",60.27,60.49,58.31,58.35,1922637
"2014-10-16",56.91,58.43,56.9,57.93,1679733
"2014-10-23",60.84,63.46,59.99,62.88,2091379
"2014-10-30",63.55,63.7,63.35,63.48,1572449
"2014-11-06",60.48,62.87,60.45,62.76,2706780
"2014-11-13",63.62,64.65,63.1,63.77,2397519
"2014-11-20",62.96,63.54,62.95,63.52,618567
"2014-12-04",65.64,65.89,64.16,64.6,2380304
"2014-12-11",64.57,65.46,64.56,64.82,1484368
"2014-12-18",63.93,65.56,63.93,65.56,1317361
"2015-01-08",67.77,69.1,67.77,68.88,1703242
"2015-01-15",68.4,68.58,67.49,67.52,1341398
"2015-01-22",69.82,72.05,69.37,72.01,1921933
"2015-01-29",70.19,71.21,68.41,71.09,2887548
"2015-02-05",71.83,72.47,71.02,71.31,1720520
"2015-02-12",71.65,71.83,71.03,71.65,1381049
"2015-02-19",71.26,71.5,70.92,71.45,616118
"2015-02-26",71.21,71.74,70.76,71.1,1893337
"2015-03-05",71.77,72.75,71.65,72.31,1143178
"2015-03-12",71.43,72.74,71.29,72.59,1130328
"2015-03-19",76.19,76.32,75.39,76.18,1437733
"2015-03-26",75.78,76.39,74.72,75.87,2879389
"2015-04-02",75.51,76.52,75.3,75.8,1132398
"2015-04-09",75.56,76.39,75.55,76.18,1504813
"2015-04-16",75.96,76.25,75.68,76.15,1508159
"2015-04-23",76.29,76.29,74.94,75.21,2380171
"2015-04-30",72.36,72.76,71.14,71.42,1549240
"2015-05-07",70.27,71.12,70.01,71.02,1339445
"2015-05-14",71.39,71.95,71.08,71.7,1100131
"2015-05-21",74.57,74.84,73.56,73.88,1093523
"2015-05-28",77.16,77.55,75.66,76.04,2300717
"2015-06-04",74.28,75.62,74.02,74.94,1360421
"2015-06-11",74.08,74.29,73.71,74.16,863828
"2015-06-18",72.98,73.13,72.71,72.86,1120495
"2015-06-25",71.97,73.82,71.4,72.83,1317703
"2015-07-02",72.91,72.91,71.7,71.83,939497
"2015-07-09",70.51,71.03,70.31,70.84,1342657
"2015-07-16",73.85,73.92,72.9,73.87,737171
"2015-07-23",71.95,75.25,71.24,74.4,1900098
"2015-07-30",73.48,73.65,72.96,73.49,427111
"2015-08-06",74.35,74.52,73.46,73.89,700415
"2015-08-13",72.25,72.69,71.91,72.2,541407
"2015-08-20",72.66,72.87,70.88,70.98,956777
"2015-08-27",68.17,69.6,67.84,69.08,1036687
"2015-09-03",67.11,68.35,66.76,66.93,1021807
"2015-09-10",65.44,66.01,65.26,65.46,829793
"2015-09-17",67.99,68.98,67.85,68.16,572298
"2015-09-24",65.43,65.79,64.62,65.52,774518
"2015-10-01",61.5,62.05,60.69,61.58,1446841
"2015-10-08",62.62,63.16,62.08,63,1405917
"2015-10-15",62.04,64.17,62.04,64.07,1488386
"2015-10-22",65,66.65,61,62.29,2987241
"2015-10-29",66.28,67.23,66.01,66.82,1268911
"2015-11-05",69.11,69.25,68.46,68.65,1188777
"2015-11-12",66.63,66.88,66.03,66.37,843483
"2015-11-19",68.94,69.06,67.61,67.85,1126977
"2015-12-03",68.71,68.73,65.47,66.21,1087038
"2015-12-10",68.13,68.72,68.08,68.19,967950
"2015-12-17",68.74,69.71,68.64,68.85,1761030
"2015-12-24",71.7,71.78,71.19,71.41,300925
"2015-12-31",71.41,71.77,70.99,71.14,726040
"2016-01-07",68.72,69.24,67.82,68.15,1177735
"2016-01-14",66.92,67.25,65.98,66.9,1152971
"2016-01-21",65.11,65.72,64.34,64.75,1077397
"2016-01-28",66.43,67.31,63.13,64.15,1938069
"2016-02-04",63.92,64.9,63.58,63.87,992948
"2016-02-11",61.26,62.09,61.11,61.3,1077689
"2016-02-18",64.64,66.86,63.85,66.05,1349366
"2016-02-25",66.48,66.96,66.07,66.72,1073775
"2016-03-03",67.7,69.83,67.7,69.71,1200981
"2016-03-10",69.04,69.08,67.36,68.03,1104095
"2016-03-17",69.51,69.7,68.2,69.08,1073888
"2016-03-24",69.44,69.91,68.91,69.79,886464
"2016-03-31",71.99,72.23,71.27,71.45,1240782
"2016-04-07",72.66,73.33,71.61,71.98,722199
"2016-04-14",73.28,74.42,72.95,73.95,786798
"2016-04-21",74.93,75.8,73.21,75,1203234
"2016-04-28",75.34,76.2,75.14,75.33,722535
"2016-05-05",75.1,75.69,74.78,75.51,988262
"2016-05-12",76.3,76.52,75.1,75.72,817713
"2016-05-19",76.58,77.23,75.77,76.16,617816
"2016-05-26",77.33,77.59,76.49,77.24,1054601
"2016-06-02",77.01,78.22,77.01,78.22,1141865
"2016-06-09",78.79,78.97,78.21,78.75,1244963
"2016-06-16",76.16,77.19,75.89,77.1,1234127
"2016-06-23",80.08,80.54,79.67,80.53,987927
"2016-06-30",80,81.41,79.93,81.41,1406372
"2016-07-07",81.19,81.69,80.97,81.23,1170638
"2016-07-14",83.57,83.92,83.37,83.56,1007399
"2016-07-21",83.36,85.11,83.15,84.02,1678495
"2016-07-28",84.17,85.5,83.97,85.31,919796
"2016-08-04",85.86,85.95,85.27,85.8,943287
"2016-08-11",85.63,86.19,85.35,86.06,797986
"2016-08-18",84.54,85.39,84.54,85.18,711753
"2016-08-25",83.11,83.66,82.8,83.17,1688121
"2016-09-01",82.93,82.93,81.97,82.36,1629277
"2016-09-08",84.1,84.5,83.84,84.13,1294396
"2016-09-15",82.11,83.43,81.75,83.05,974738
