"","TJX.Open","TJX.High","TJX.Low","TJX.Close","TJX.Volume"
"2014-12-18",66.12,67.1,65.42,67.08,4581827
"2015-01-08",68.5,68.99,68.28,68.6,4158423
"2015-01-15",66.6,67.04,65.26,65.28,3701857
"2015-01-22",66.47,67.74,66.01,67.5,2556994
"2015-01-29",67.23,67.66,66.48,67.61,2838557
"2015-02-05",68.28,68.65,67.93,68.44,2764833
"2015-02-12",68.66,68.91,68.05,68.88,3245222
"2015-02-19",67.73,68.07,67.66,67.82,2245507
"2015-02-26",68.57,68.98,67.92,68.07,5425528
"2015-03-05",68.32,68.91,68.32,68.72,2485425
"2015-03-12",67.52,68.75,67.52,68.69,2612487
"2015-03-19",68.07,68.26,67.72,68.16,2826616
"2015-03-26",69.18,69.26,68.4,69.02,4421227
"2015-04-02",69.26,69.69,68.91,69.32,1729334
"2015-04-09",69.39,69.83,68.27,68.63,3222989
"2015-04-16",66.83,66.92,66.4,66.48,3046945
"2015-04-23",66.3,66.6,66.08,66.33,2517379
"2015-04-30",63.97,65.08,63.91,64.54,4164831
"2015-05-07",65.96,66.3,65.63,66.19,2531074
"2015-05-14",66.16,66.23,65.23,65.66,3250701
"2015-05-21",68.22,68.25,67.72,67.87,3180336
"2015-05-28",66.51,66.56,65.89,65.97,1925270
"2015-06-04",64.65,66.2,64.65,65.61,2486678
"2015-06-11",65.85,66.16,65.45,65.53,2048935
"2015-06-18",65.95,67.2,65.71,67.16,3239288
"2015-06-25",67.71,67.88,67.26,67.29,2617297
"2015-07-02",67.31,67.76,66.65,66.8,2148737
"2015-07-09",68.18,68.27,67.67,67.67,2515928
"2015-07-16",69,69.57,68.62,69.37,2108975
"2015-07-23",68.81,68.85,68.18,68.24,1482320
"2015-07-30",69.35,69.68,68.9,69.62,2939970
"2015-08-06",70.08,70.36,68.94,69.49,2174069
"2015-08-13",70,71.3,69.61,70.57,3481549
"2015-08-20",74.14,75.26,74,74.33,3686597
"2015-08-27",71.3,71.63,70.03,71.44,3359904
"2015-09-03",71,72.18,70.69,71.44,3027821
"2015-09-10",70.83,71.93,70.81,71.49,2323136
"2015-09-17",72.4,73.49,72.06,72.54,4700445
"2015-09-24",70.4,71.54,70.37,71.23,2062250
"2015-10-01",71.42,71.63,69.88,70.8,3196541
"2015-10-08",71.59,72.74,71.35,72.23,2382103
"2015-10-15",71.86,71.98,70.54,71.73,3578453
"2015-10-22",72.87,74.01,72.38,73.9,2806546
"2015-10-29",73.38,73.46,72.43,73.08,1921233
"2015-11-05",74.12,74.49,73.13,74.32,2837365
"2015-11-12",68.68,69.12,68.17,68.25,6078099
"2015-11-19",67.75,68.65,67.58,67.7,4033071
"2015-12-03",70.81,71,69.25,69.84,3804716
"2015-12-10",71.03,72.22,70.84,71.48,3412576
"2015-12-17",72.45,72.74,70.63,70.65,3270963
"2015-12-24",70.99,71.29,70.62,70.89,885789
"2015-12-31",71.01,71.65,70.89,70.91,1796044
"2016-01-07",69,70.82,69,69.99,4826764
"2016-01-14",67.7,69.24,66.99,68.47,3371646
"2016-01-21",67.3,68.18,66.84,67.85,3821997
"2016-01-28",69.55,69.61,68.77,69.39,1910488
"2016-02-04",70.87,71.52,69.72,70.76,3111083
"2016-02-11",68.17,69.4,67.41,67.91,3562275
"2016-02-18",71.6,72,70.76,71.61,2942795
"2016-02-25",73.95,75.14,73.23,75.08,5059445
"2016-03-03",75.08,75.24,74,75.22,2859730
"2016-03-10",75.55,75.76,74.44,75.5,2314255
"2016-03-17",76.12,77.49,76.12,77.22,2682724
"2016-03-24",77.23,77.71,77.08,77.12,2678452
"2016-03-31",78.88,79.2,78.26,78.35,3743472
"2016-04-07",77.18,77.27,75.83,76.19,3264827
"2016-04-14",76.57,76.66,75.86,76.33,2714350
"2016-04-21",77.52,77.99,76.89,77.01,1873694
"2016-04-28",77.29,77.82,76.7,76.89,1691236
"2016-05-05",76.85,77.14,76.03,76.54,2343461
"2016-05-12",74.22,74.83,73.47,74.28,6588108
"2016-05-19",74.77,76.12,74.56,75.8,3994348
"2016-05-26",76.11,76.65,75.62,75.92,2904184
"2016-06-02",76.48,77.13,76.28,77,2723577
"2016-06-09",76.86,77.4,76.72,77.31,1873812
"2016-06-16",75.8,76.16,75.29,75.89,3154533
"2016-06-23",77.65,77.87,76.6,76.88,2115260
"2016-06-30",76.45,77.25,75.85,77.23,3144662
"2016-07-07",77.34,77.65,76.81,77.27,2689479
"2016-07-14",78.79,78.83,77.87,78.05,2671258
"2016-07-21",79.59,79.79,78.88,79.13,2253364
"2016-07-28",81,81.36,80.52,81.24,2390962
"2016-08-04",80.77,81.42,80.67,81.29,2583902
"2016-08-11",83,83.54,81.3,82.43,3740846
"2016-08-18",78.37,78.58,77.67,77.81,3935070
"2016-08-25",78.47,78.98,78.24,78.8,4472295
"2016-09-01",77.64,77.84,76.84,77.73,3411835
"2016-09-08",77.3,77.51,76.04,76.22,4938276
"2016-09-15",74.09,75.22,73.94,75.04,4861972
