"","D.Open","D.High","D.Low","D.Close","D.Volume"
"2014-12-03",72.82,73.06,72.22,72.58,1496704
"2014-12-04",72.59,73.05,72.17,72.74,1735820
"2014-12-05",72.03,72.67,71.86,72.15,1571463
"2014-12-08",72.31,73.01,72,72.35,1654330
"2014-12-09",72.25,72.8,72.11,72.51,2096976
"2014-12-10",73.53,74.47,71.81,71.88,8408282
"2014-12-11",72.57,73.95,72.32,73.37,3741002
"2014-12-12",73.23,73.88,72.69,72.72,3800104
"2014-12-15",73.06,73.06,71.43,71.98,2362066
"2014-12-16",72.01,73.31,71.34,71.79,2127343
"2014-12-17",72.36,74.09,72.18,73.97,2644725
"2014-12-18",74.24,75.34,73.78,75.33,2756164
"2014-12-19",75.3,75.95,74.44,75.4,4360706
"2014-12-22",76.03,76.97,75.78,76.51,2753531
"2014-12-23",76.83,77.51,76.2,76.9,1924647
"2014-12-24",76.8,78.66,76.71,78.38,1414710
"2014-12-26",78.48,79.85,78.24,79.28,3526815
"2014-12-29",79.24,80.89,79.24,80.23,2765851
"2014-12-30",79.95,80.13,78.03,78.3,1990212
"2014-12-31",78.37,78.51,76.8,76.9,2080762
"2015-01-02",77.26,77.6,76.53,77.49,2211913
"2015-01-05",77.28,77.6,76.3,76.55,2779685
"2015-01-06",76.79,77.94,76.03,76.16,3290012
"2015-01-07",76.37,77.01,75.72,76.47,2908205
"2015-01-08",77.06,77.74,76.88,77.37,2168806
"2015-01-09",77.55,77.68,76.21,76.5,1815059
"2015-01-12",76.76,76.9,75.73,76.5,2177945
"2015-01-13",77.23,77.72,75.87,76.44,2347016
"2015-01-14",76.27,76.95,75.33,76.45,3647755
"2015-01-15",76.53,77.38,76.02,77.17,2659429
"2015-01-16",77.22,77.8,76.83,77.76,2559421
"2015-01-20",78,78.39,77.3,78.37,1912975
"2015-01-21",78,79.43,77.47,79.27,2467242
"2015-01-22",79.44,79.71,78.12,78.72,3053691
"2015-01-23",78.96,79.54,78.42,79.09,1508732
"2015-01-26",78.76,79.09,77.98,78.93,1618107
"2015-01-27",78.73,79.4,78.26,78.98,1523575
"2015-01-28",79,79.89,77.7,77.85,2090448
"2015-01-29",77.95,79.27,77.35,79.14,1887332
"2015-01-30",78.82,78.85,76.82,76.89,2939736
"2015-02-02",77.18,78.04,76.44,77.72,2560770
"2015-02-03",77.65,78.88,77.12,78.58,3045720
"2015-02-04",78.16,78.85,77.38,77.63,2138263
"2015-02-05",78.03,78.82,77.31,78.69,1779713
"2015-02-06",78.19,78.31,75.03,75.71,3980900
"2015-02-09",75.72,78.15,74.71,75.23,4549670
"2015-02-10",75.23,76.86,75.22,76.66,4019865
"2015-02-11",76.21,76.49,74,74.12,4041042
"2015-02-12",74.27,74.6,73.37,73.72,5422054
"2015-02-13",73.83,73.83,72.12,72.91,4098069
"2015-02-17",72.85,73.64,72.19,73.18,4605176
"2015-02-18",73,74.7,73,74.67,2974519
"2015-02-19",74.35,74.57,73.5,73.79,3625165
"2015-02-20",73.74,74.03,73.03,73.99,3342593
"2015-02-23",73.97,74.3,73.47,73.9,1660181
"2015-02-24",73.85,74.73,73.51,74.06,2217360
"2015-02-25",73.72,73.84,72.59,72.71,2381502
"2015-02-26",72.81,73.01,71.75,71.95,2416248
"2015-02-27",71.99,72.5,71.61,72.09,2220205
"2015-03-02",71.87,71.87,69.9,70.32,4422775
"2015-03-03",70.42,71.02,69.78,70.97,3734837
"2015-03-04",70.56,70.82,70.36,70.61,2640185
"2015-03-05",70.83,71.74,70.64,71.18,3371282
"2015-03-06",70.15,70.17,69.19,69.58,4783397
"2015-03-09",69.58,70.14,69.47,69.57,2358995
"2015-03-10",69.42,70.22,69.23,69.26,5120882
"2015-03-11",69.51,69.87,68.74,68.75,3760068
"2015-03-12",69.2,70.11,69.06,69.82,3043052
"2015-03-13",69.83,69.84,68.25,68.96,2858269
"2015-03-16",69.23,70.39,69.03,69.98,2621767
"2015-03-17",69.89,70.29,69.55,69.99,2293772
"2015-03-18",69.88,72.31,69.58,71.92,3216668
"2015-03-19",71.8,72.62,71.24,71.6,2561965
"2015-03-20",71.81,72.55,71.66,72.19,4294089
"2015-03-23",72.04,72.55,71.92,72.2,2383734
"2015-03-24",72,72.52,71.3,71.46,2376781
"2015-03-25",71.45,71.92,70.64,70.7,2456095
"2015-03-26",70.6,71.05,70.08,70.36,2370905
"2015-03-27",70.44,70.87,70.17,70.39,1962228
"2015-03-30",70.57,71.4,70.28,71.14,1427481
"2015-03-31",71.01,71.54,70.33,70.87,2479602
"2015-04-01",71.11,71.79,70.13,71.51,2596680
"2015-04-02",71.61,71.83,71.23,71.58,1784269
"2015-04-06",71.68,73,71.68,72.71,2330048
"2015-04-07",72.71,72.85,71.91,71.95,1853735
"2015-04-08",71.92,72.04,71.41,71.75,2027332
"2015-04-09",71.57,71.59,70.81,71.37,1546388
"2015-04-10",71.45,72.28,71.26,71.9,1175639
"2015-04-13",71.9,72,71.02,71.09,1360809
"2015-04-14",71.14,71.8,71.03,71.63,1799592
"2015-04-15",71.83,72.56,71.61,72.42,2953208
"2015-04-16",72.15,72.16,71.31,71.8,2373780
"2015-04-17",71.36,72,71.27,71.47,2942045
"2015-04-20",71.62,73.44,71.62,72.75,2333095
"2015-04-21",72.78,73.21,71.74,72.09,3569151
"2015-04-22",72.34,72.67,71.93,72.52,2774203
"2015-04-23",72.58,73.46,72.39,73.2,2067454
"2015-04-24",73.05,74.34,72.97,73.54,2868135
"2015-04-27",73.68,73.9,72.02,72.57,2022486
"2015-04-28",72.2,72.76,71.57,72.74,2206901
"2015-04-29",72.11,72.51,71.7,72.3,2126147
"2015-04-30",72.08,72.19,70.97,71.68,2837260
"2015-05-01",71.8,72.09,70.85,71.7,2282648
"2015-05-04",71.45,72.57,71.45,71.76,2210893
"2015-05-05",71.65,71.75,70.14,70.82,3344946
"2015-05-06",70.83,71.24,70.07,70.71,3461721
"2015-05-07",71.02,71.53,70.79,70.93,2107835
"2015-05-08",71.74,72.33,71.58,71.79,1927829
"2015-05-11",71.75,72.22,70.99,71.01,1772792
"2015-05-12",70.56,71.31,70.27,71.09,2253778
"2015-05-13",71.09,72.09,70.65,70.9,2544579
"2015-05-14",71.34,71.76,71.23,71.6,1723634
"2015-05-15",71.71,72.38,71.6,72.19,1714944
"2015-05-18",71.85,72.42,71.8,72.26,1396719
"2015-05-19",71.86,72.47,71.77,72.19,1792198
"2015-05-20",72.15,72.42,71.76,71.89,2738097
"2015-05-21",72.07,72.44,71.66,72.02,3154720
"2015-05-22",71.8,72.12,71.55,71.97,1415319
"2015-05-26",71.82,71.99,70.97,71.51,2563915
"2015-05-27",70.88,71.06,70.58,70.83,2620577
"2015-05-28",70.8,71.22,70.58,70.97,1899657
"2015-05-29",71.11,71.13,70.31,70.52,3582076
"2015-06-01",70.6,70.91,70.32,70.5,1769088
"2015-06-02",70.15,70.18,68.84,69.59,3020018
"2015-06-03",69.59,69.68,68.03,68.43,3376084
"2015-06-04",68.26,68.8,67.77,67.88,3238427
"2015-06-05",67.29,67.44,66.72,67.14,3602321
"2015-06-08",67.08,67.37,66.81,66.93,3405552
"2015-06-09",66.86,67.14,66.72,66.83,2792702
"2015-06-10",67.12,67.2,66.75,66.85,2968325
"2015-06-11",67.3,67.45,66.9,67.27,2135507
"2015-06-12",66.93,67.38,66.76,66.8,3758682
"2015-06-15",66.77,67.35,66.6,67.1,2489745
"2015-06-16",66.96,67.42,66.68,67.37,1698182
"2015-06-17",67.36,68.15,67.25,68,2737385
"2015-06-18",68.02,68.93,67.86,68.85,3381722
"2015-06-19",68.88,69.14,67.98,68.05,3985492
"2015-06-22",68.66,68.73,67.89,68.26,2495684
"2015-06-23",68.21,68.27,67.27,67.56,3510940
"2015-06-24",67.5,67.85,67.35,67.65,3153956
"2015-06-25",67.62,67.83,67.04,67.04,2670369
"2015-06-26",67,67.36,66.58,67.27,1928415
"2015-06-29",67.2,68.14,67.19,67.29,2939035
"2015-06-30",67.49,67.49,66.52,66.87,3367584
"2015-07-01",67.19,67.3,66.65,67.07,2747380
"2015-07-02",67.42,68.05,67.41,67.9,2274385
"2015-07-06",67.73,68.1,67.25,67.85,3191509
"2015-07-07",68.27,69.64,68.08,69.33,3035733
"2015-07-08",69.06,69.65,68.93,69.43,3279054
"2015-07-09",69.64,69.75,68.35,68.65,3031759
"2015-07-10",68.82,69.49,68.43,68.96,1849888
"2015-07-13",69,69.43,68.56,69.09,2154541
"2015-07-14",69.02,69.43,68.9,69.2,1746542
"2015-07-15",69.03,69.56,68.81,69.52,1607664
"2015-07-16",69.58,70.33,69.44,70.18,2100207
"2015-07-17",69.91,70.19,69.51,69.65,2048843
"2015-07-20",69.56,69.63,68.9,69.29,1237880
"2015-07-21",69.12,69.32,68.42,68.77,2424405
"2015-07-22",68.7,69.39,68.65,68.73,2236826
"2015-07-23",68.53,68.74,67.58,68.23,2395549
"2015-07-24",68.21,68.77,67.98,68.59,2364019
"2015-07-27",68.6,69.51,68.6,69.14,2191245
"2015-07-28",69.08,70.14,68.84,70.13,2792158
"2015-07-29",70.04,70.72,69.49,70.65,2542316
"2015-07-30",70.44,71.18,70.08,71.05,1569897
"2015-07-31",71.58,72.17,71.5,71.7,2190523
"2015-08-03",71.92,72.23,71.27,71.72,1749315
"2015-08-04",71.4,71.58,69.92,70.25,3071250
"2015-08-05",70.26,71.69,70.13,71.16,2353600
"2015-08-06",71.3,71.35,70.19,71.33,2159737
"2015-08-07",71.21,72.76,70.91,72.34,1934872
"2015-08-10",72.41,72.72,72.04,72.35,1535614
"2015-08-11",72.22,73.11,71.95,72.68,1902658
"2015-08-12",72.56,74.53,72.44,74.49,3432248
"2015-08-13",74.11,75,73.57,74.93,3018060
"2015-08-14",74.52,75.43,74.18,75.37,1730102
"2015-08-17",75.5,76.48,75.23,76.22,2882726
"2015-08-18",76.06,76.4,75.81,76.09,1795406
"2015-08-19",75.71,76.52,75.54,76.14,2020569
"2015-08-20",75.72,76.59,75.4,75.72,4340984
"2015-08-21",75.41,75.82,74.93,75.4,6975235
"2015-08-24",73.75,75,72.03,72.36,6374848
"2015-08-25",73.52,73.73,70.11,70.23,5229102
"2015-08-26",70.38,70.8,68.83,70.62,3856554
"2015-08-27",70.96,71.3,70.24,71.21,3306748
"2015-08-28",71.17,71.33,70.12,71.03,2427525
"2015-08-31",70.89,70.89,69.31,69.75,3322388
"2015-09-01",68.88,69.27,67.35,67.8,2851059
"2015-09-02",68.47,68.51,67.43,68.09,2651476
"2015-09-03",68.34,68.63,67.8,68.09,3032653
"2015-09-04",67.69,68,66.9,67.23,2842946
"2015-09-08",67.94,68.76,67.89,68.72,3512300
"2015-09-09",69.03,69.31,67.96,68.08,2762268
"2015-09-10",67.99,68.27,67.11,67.27,2461593
"2015-09-11",67.14,67.77,66.96,67.76,2184923
"2015-09-14",67.89,68.37,67.66,68.11,2241630
"2015-09-15",68.19,68.33,67.64,68.08,1866493
"2015-09-16",68.25,68.98,68.06,68.75,2114672
"2015-09-17",68.68,70.28,68.59,69.46,1887394
"2015-09-18",69.06,70.16,68.85,69,3596253
"2015-09-21",69.17,69.6,68.87,69.32,2209304
"2015-09-22",69,69.46,68.75,69.08,2504634
"2015-09-23",69.04,69.37,68.87,69.22,1739076
"2015-09-24",68.85,69.56,68.76,69.42,2132296
"2015-09-25",69.48,70.69,69.26,70.06,2409796
"2015-09-28",69.94,70.39,69.35,69.43,2861645
"2015-09-29",69.46,69.73,68.97,69.29,2517123
"2015-09-30",69.51,70.48,69.38,70.38,2738750
"2015-10-01",70.45,70.58,68.9,69.16,3174893
"2015-10-02",69.51,69.76,68.46,69.35,3860754
"2015-10-05",69.59,70.34,69.24,70.32,2881860
"2015-10-06",70.17,70.32,69.45,69.78,2379080
"2015-10-07",69.87,70.02,69.43,69.78,1745852
"2015-10-08",69.57,70.84,69.44,70.71,1935068
"2015-10-09",70.8,71.15,70.46,71.02,2538642
"2015-10-12",71.04,72.08,71,72,1839072
"2015-10-13",71.74,72.09,71.44,71.9,1673071
"2015-10-14",71.92,72.35,71.71,72.09,1851837
"2015-10-15",72.42,72.95,71.75,72.8,2241974
"2015-10-16",73.14,73.46,72.8,73.14,2018860
"2015-10-19",73.06,73.4,72.43,73.37,1896460
"2015-10-20",73.14,73.78,73.06,73.69,2308680
"2015-10-21",73.92,74.35,73.52,73.92,2358174
"2015-10-22",74.03,74.88,73.77,74.49,2089874
"2015-10-23",74.33,74.47,73.01,73.08,2154685
"2015-10-26",73.27,73.4,72.23,72.84,2048447
"2015-10-27",72.69,73.17,72.17,72.36,2262542
"2015-10-28",72.47,72.74,70.74,71.52,2160222
"2015-10-29",71.24,71.33,70,70.88,2861117
"2015-10-30",71.07,71.68,70.69,71.43,2932210
"2015-11-02",71.06,71.79,70.01,70.73,3051109
"2015-11-03",70.69,71.41,70.31,70.71,2710304
"2015-11-04",70.65,71.28,70.41,70.57,2375293
"2015-11-05",70.38,70.92,70.18,70.24,1522433
"2015-11-06",69.47,69.66,67.58,67.85,2883058
"2015-11-09",67.55,68.19,67.27,67.73,2455669
"2015-11-10",67.8,68.32,67.63,67.8,2066041
"2015-11-11",67.88,68.41,67.79,68.31,1530586
"2015-11-12",68.04,68.67,67.6,67.91,2342989
"2015-11-13",67.95,68.59,67.91,68.2,2717513
"2015-11-16",68.06,69.29,68.02,69.26,2454843
"2015-11-17",69.21,69.98,68.13,68.3,2017839
"2015-11-18",68.26,68.58,67.46,68.48,2114069
