"","MHK.Open","MHK.High","MHK.Low","MHK.Close","MHK.Volume"
"2014-03-13",142.63,142.82,138.27,138.96,977988
"2014-03-20",141.27,142.03,139.5,140.4,1426470
"2014-03-27",135.11,135.26,132.87,133.39,1221069
"2014-04-03",138.49,138.49,135.41,136.07,837742
"2014-04-10",134.89,136.01,132.62,132.64,1161370
"2014-04-17",135.01,135.72,134.32,134.82,590060
"2014-04-24",137.27,138.07,135.63,137.62,401726
"2014-05-01",132.31,134.88,131.64,133.32,1011507
"2014-05-08",137.25,138.65,135.39,136.02,675291
"2014-05-15",134,134.98,131.19,132.09,1260596
"2014-05-22",133.67,134.75,133.29,134.03,645497
"2014-05-29",138.24,138.28,134.65,135.52,694212
"2014-06-05",135.19,136,134.17,135.61,669570
"2014-06-12",134.82,135.93,132.28,132.51,547917
"2014-06-19",133.34,133.66,131.82,133.19,555442
"2014-06-26",136.79,136.79,133.5,135.83,486266
"2014-07-03",138.25,139.68,138.07,139.49,232057
"2014-07-10",128.14,132.79,127.77,130.37,3824990
"2014-07-17",131.01,131.67,130.04,130.19,786105
"2014-07-24",131.91,132.38,130.04,130.43,588953
"2014-07-31",125.71,126.39,123.81,124.77,1533593
"2014-08-07",131.21,131.61,129.62,130,637544
"2014-08-14",136.1,139.96,136.07,139.92,1143230
"2014-08-21",146.13,146.51,144.69,146.12,478548
"2014-08-28",145.45,146.05,143.84,145.53,477566
"2014-09-04",146.55,149.84,146.1,147.15,719235
"2014-09-11",144.72,145.55,144.24,145.26,391670
"2014-09-18",142.96,143.4,141.54,142.42,603974
"2014-09-25",136.91,136.91,135,136.37,749230
"2014-10-02",131.53,132.78,130.71,132.06,1083275
"2014-10-09",134.4,134.55,129.94,130.01,913314
"2014-10-16",123.18,127.5,123.14,126,754558
"2014-10-23",134.15,136.57,134.15,135.32,747423
"2014-10-30",134.42,135.75,133.44,135.74,904913
"2014-11-06",140.18,142.31,139.13,142.15,596855
"2014-11-13",143.19,143.67,141.68,142.53,326795
"2014-11-20",144.5,149.84,144.26,148.36,929800
"2014-12-04",152.87,155.4,152.03,154.78,659099
"2014-12-11",154.84,158.58,154.39,156.62,760385
"2014-12-18",153.95,154.16,152.2,153.92,895795
"2015-01-08",155.4,156.67,155.24,155.99,839854
"2015-01-15",167.75,170.06,161.48,162.66,1946361
"2015-01-22",167.81,169.73,165.77,168.1,707637
"2015-01-29",164.55,169.36,164.01,169.03,615155
"2015-02-05",168.89,169.58,165.72,166.48,585599
"2015-02-12",168.7,172.17,168.7,171.92,563726
"2015-02-19",171.52,174.8,171.5,172.67,867075
"2015-02-26",186.22,187.25,184.13,186.15,760789
"2015-03-05",185.75,186.6,184.5,185.18,501018
"2015-03-12",178.55,181.77,178.55,180.16,776653
"2015-03-19",180.31,181.74,177.83,179.87,822677
"2015-03-26",180.13,181.12,178.44,180.09,872101
"2015-04-02",184.29,187.29,183.47,185.28,368948
"2015-04-09",183.32,184.81,181.7,184.25,320376
"2015-04-16",180.26,180.85,175.52,176.39,1523582
"2015-04-23",180,181.36,177.09,178.54,956894
"2015-04-30",175.01,176.57,172.97,173.5,765815
"2015-05-07",175.5,180.05,174.89,179.19,805542
"2015-05-14",182.8,183.67,180.47,183.12,554667
"2015-05-21",187.89,189.63,187.39,188.62,451048
"2015-05-28",188.79,190.16,188.39,188.83,347547
"2015-06-04",188.67,189.87,188.28,188.57,359536
"2015-06-11",191.89,194.14,189.98,189.99,495980
"2015-06-18",192.88,194.14,191.48,191.65,536399
"2015-06-25",193.07,193.07,191.16,191.9,553048
"2015-07-02",194.65,195.53,191.72,193.55,381931
"2015-07-09",192.41,193.82,189.32,189.41,490511
"2015-07-16",195.59,195.87,193.51,195.21,288501
"2015-07-23",198.56,202.22,197.88,197.99,711075
"2015-07-30",198.67,201.2,197.99,200.66,367035
"2015-08-06",202.14,203.59,195.6,197.64,1014907
"2015-08-13",205.29,207.39,204.91,205.89,705492
"2015-08-20",209.36,211.01,204.27,204.41,517035
"2015-08-27",194.99,196.21,191.22,194.37,745748
"2015-09-03",198.68,201.55,198.3,200.38,667423
"2015-09-10",200.68,203.58,200.65,202.21,514671
"2015-09-17",205.78,209.98,205.08,206.97,670218
"2015-09-24",195.09,196.01,191.58,192.82,1088822
