"","ALXN.Open","ALXN.High","ALXN.Low","ALXN.Close","ALXN.Volume"
"2013-07-25",107.87,110.88,105.32,107.56,2636867
"2013-08-01",117.55,118.4,116.44,117.21,1235004
"2013-08-08",114.93,115.25,112.74,114.13,678625
"2013-08-15",108.87,109,105.79,106.15,908048
"2013-08-22",105.08,106.95,104.31,106.77,429863
"2013-08-29",107.31,109.98,107.05,109.3,755859
"2013-09-05",112.65,113.23,111.52,112.49,433972
"2013-09-12",114.71,114.74,113.42,114.21,500510
"2013-09-19",116.07,116.24,112.57,114.03,1064143
"2013-09-26",113.63,116.01,113.32,115.97,1084598
"2013-10-03",116.24,116.44,112.72,114.22,895224
"2013-10-10",106.94,109.08,106.25,108.67,744934
"2013-10-17",110.75,110.92,109.47,110.79,937987
"2013-10-24",111.22,117,110.67,116.7,2090827
"2013-10-31",125,125.67,122.94,122.95,1253786
"2013-11-07",117,118.32,113.92,114.1,1456002
"2013-11-14",116.94,120.11,116.35,119.97,1222337
"2013-11-21",119.69,122.04,119.69,121.3,709286
"2013-12-05",122.19,123.08,121.07,122.17,831237
"2013-12-12",120.99,123.42,120.87,122.35,1038951
"2013-12-19",129.24,131.11,126.08,130.75,1523215
"2013-12-26",132,133.75,130.01,132.91,531003
"2014-01-02",132.46,133.82,130.54,133.44,760197
"2014-01-09",134.12,135.46,132.22,134.07,992686
"2014-01-16",137.04,139.88,136.86,139.81,936655
"2014-01-23",139.35,141.23,136.33,137.94,1137516
"2014-01-30",155.06,169.98,154,162,5802061
"2014-02-06",154.33,157.59,153.72,157.4,1249282
"2014-02-13",174.23,180.34,173.2,180,1608893
"2014-02-20",180.5,180.99,176,179.06,2073117
"2014-02-27",182.27,184.84,181.65,183.89,781951
"2014-03-06",173.27,173.99,167.24,168.55,2113164
"2014-03-13",178.73,179.23,173.4,175.17,1467084
"2014-03-20",175.71,175.74,172.28,173.66,1041477
"2014-03-27",151.79,153.52,146.1,151.1,2106644
"2014-04-03",153.09,155.08,148.3,151.46,1864352
"2014-04-10",155.24,155.24,142.31,144.19,3058807
"2014-04-17",149.27,154.11,147.3,149.8,2298989
"2014-04-24",158.35,163.5,150.1,156.01,3373819
"2014-05-01",157.56,162.92,156.29,159.8,1314028
"2014-05-08",153.04,157.07,150.68,151.05,1043145
"2014-05-15",159.28,159.65,154,157.71,1175078
"2014-05-22",156.53,164.5,156.53,160.48,1292783
"2014-05-29",168.12,171.03,166.2,167.52,1108438
"2014-06-05",169.85,170.35,165.76,169.5,945454
"2014-06-12",167.23,168.97,165.18,165.97,806874
"2014-06-19",160.91,160.92,157.8,159.69,968763
"2014-06-26",160.01,160.38,157.09,160.14,1296626
"2014-07-03",164.79,165.96,162.48,164.21,719057
"2014-07-10",161.62,163.44,160,162.89,1208344
"2014-07-17",157.66,158.94,154.38,155.06,1557152
"2014-07-24",171.43,173.7,163.02,167.48,2882576
"2014-07-31",161.03,163.49,158.35,158.99,1445609
"2014-08-07",159.05,159.43,155.37,155.96,1131453
"2014-08-14",164.29,169.02,164.29,168.9,1158815
"2014-08-21",169.51,170.45,166.02,166.47,820652
"2014-08-28",168.59,169.55,167.14,168.31,578994
"2014-09-04",170.87,171.16,164.79,165.64,938675
"2014-09-11",164.87,167.11,164.41,166.95,917511
"2014-09-18",161.83,163.32,160.45,161.56,674051
"2014-09-25",167.6,168.61,164.56,165.86,1394550
"2014-10-02",167.23,169.49,164.68,167.86,1051373
"2014-10-09",175.41,175.79,169.75,170.3,1372774
"2014-10-16",155.5,166.25,155.01,163.25,1796176
"2014-10-23",179.74,186.47,177.72,185.92,2389026
"2014-10-30",190.21,194.2,189.15,192.93,1146377
"2014-11-06",191.42,195.95,190.53,193.14,1380964
"2014-11-13",194.3,194.96,191.21,193.59,636872
"2014-11-20",190.9,193.23,189.45,192.55,554249
"2014-12-04",196.25,199.97,195.55,197.66,512866
"2014-12-11",194.06,197.32,190.16,191.62,1038443
"2014-12-18",185.89,189.01,184,188.96,1291520
"2015-01-08",183.34,188.5,183.02,183.8,1980482
"2015-01-15",176.22,177.83,171.68,172.87,1680510
"2015-01-22",180.58,181.92,174.57,180.32,1205905
"2015-01-29",172.58,189.03,172.35,188.05,3015202
"2015-02-05",178.96,181.38,176.35,178.17,1339437
"2015-02-12",175.35,176.36,172.55,176.27,1173914
"2015-02-19",180.04,182.98,179.92,182.28,723016
"2015-02-26",185.7,186,181,183.11,757501
"2015-03-05",182.81,186.89,182.78,185.79,1085248
"2015-03-12",180.2,180.2,176.27,178,1021388
"2015-03-19",189.04,189.97,187.02,189.07,1168921
"2015-03-26",174.08,178.14,171.53,176.04,1593367
"2015-04-02",169.15,170.81,166.72,169.94,1178575
"2015-04-09",178.33,180,174.52,177.37,908006
"2015-04-16",183.65,185.25,182.29,184.28,611753
"2015-04-23",185.6,186.99,179.18,184.58,2348891
"2015-04-30",172.99,174.61,167.51,169.23,1407592
"2015-05-07",156.77,163.81,156.65,162.96,7102323
"2015-05-14",160.33,161.96,156.54,161.69,1869971
"2015-05-21",163.9,169.26,162.15,168.57,2653367
"2015-05-28",167.22,168.05,164.77,166.19,1211439
"2015-06-04",160,161.67,158.05,159.06,1616331
"2015-06-11",170,171.02,167.32,168.77,1368776
"2015-06-18",180.95,184.89,180.16,184.01,2418440
"2015-06-25",184.01,187.6,184,185.9,2486025
"2015-07-02",184,185.25,183.18,185.22,1501802
"2015-07-09",187.92,189.24,186.36,188.16,1299341
"2015-07-16",204.67,205.87,202.83,204.26,1595222
"2015-07-23",206.66,208.88,205.51,207.84,1012050
"2015-07-30",200.41,203.06,189.4,199.29,2578733
"2015-08-06",197.73,198.23,189.5,189.73,1132665
"2015-08-13",190.09,191.89,188.32,188.83,980487
"2015-08-20",184.25,186.04,178.24,178.62,1325281
"2015-08-27",175.32,179.98,174.23,179.82,2023075
"2015-09-03",177.95,179,173.51,175.28,1531677
"2015-09-10",169.15,173.75,169.15,171.65,2175273
"2015-09-17",168.6,170,165.17,167.99,2168132
"2015-09-24",157.87,159.47,152.72,157.05,2083873
"2015-10-01",155.92,158.8,154.03,157.82,1847761
"2015-10-08",163.91,165.68,156.75,164.31,2189349
"2015-10-15",152.12,161.16,150.69,161.07,2018108
"2015-10-22",160.09,168.39,159.11,166.76,2352165
"2015-10-29",176.04,179.51,170.12,175.95,2170756
"2015-11-05",175.54,175.86,170.3,173.44,1079770
"2015-11-12",169.53,170.6,165.98,166.13,1067023
"2015-11-19",176.5,177.62,174.03,174.48,881747
"2015-12-03",176.46,177.36,167.02,168.79,1717999
"2015-12-10",183.6,189.74,182.19,187.63,1257124
"2015-12-17",189.72,190.74,185.43,185.79,1366638
"2015-12-24",187.96,190.22,186.98,189.41,335362
"2015-12-31",190.18,193.45,189.94,190.75,882320
"2016-01-07",180.51,181.13,174.37,174.37,1966700
"2016-01-14",158.39,169.84,155.28,167.29,2666367
"2016-01-21",159.68,161.35,155.28,155.52,1773917
"2016-01-28",151.96,155,143.03,145.61,2983378
"2016-02-04",143.81,152.41,143.81,146.02,2797659
"2016-02-11",134.52,137.63,134.25,135.36,1393421
"2016-02-18",148.52,149.27,142.78,143.15,1715713
"2016-02-25",142.09,144.99,139.03,140.54,1343274
"2016-03-03",150.75,151.19,145.67,145.85,1328816
"2016-03-10",141.73,141.73,135.01,136.76,1803034
"2016-03-17",130.56,131.59,124.16,127.91,2832880
"2016-03-24",132.88,136.37,130.37,133.19,1218630
"2016-03-31",135.32,140.41,134.3,139.22,1823623
"2016-04-07",154.97,156.48,147.67,148.03,2062660
"2016-04-14",153.55,155.99,152.02,154.75,983352
"2016-04-21",157.07,161.64,156.78,161.38,1191756
"2016-04-28",142.99,146.48,139.12,142.53,3267305
"2016-05-05",142.16,143.74,140.36,142.58,1005004
"2016-05-12",139.58,140.46,136.68,139.11,1141351
"2016-05-19",140.9,142.3,137.64,139.03,1290936
"2016-05-26",148.97,149.7,147.02,148.17,905542
"2016-06-02",152.69,157.02,152.69,156.77,1570450
"2016-06-09",138.26,141.48,137.75,138.24,2376206
"2016-06-16",128.74,129.55,127.2,127.49,2189871
"2016-06-23",123.08,123.71,121.43,123.57,1922846
"2016-06-30",114.1,116.89,113.24,116.76,2561967
"2016-07-07",122.2,125.54,121.9,123.34,2812834
"2016-07-14",125,125.72,123.97,125.15,1317911
"2016-07-21",128.24,129.95,126.34,127.3,2172208
"2016-07-28",134,135,129.52,130.4,2899315
"2016-08-04",138.18,138.4,135.2,135.43,1708000
"2016-08-11",132.86,134.46,132.28,133.67,701318
"2016-08-18",132.72,133.32,132.04,132.43,1024044
"2016-08-25",132.19,133.42,127.46,129.17,1695228
"2016-09-01",125.9,126.42,123.79,125.63,1335715
"2016-09-08",124.97,130.49,124.93,130.06,2071064
"2016-09-15",126.99,131.22,126.99,129.7,1577865
