"","PPG.Open","PPG.High","PPG.Low","PPG.Close","PPG.Volume"
"2016-02-11",89.35,90.73,88.47,89.27,1318671
"2016-02-18",95.2,95.58,94.14,94.69,1506434
"2016-02-25",96.11,97.06,94.56,97.01,1036816
"2016-03-03",98.96,100.75,98.23,100.3,1921425
"2016-03-10",102.6,104.22,101.84,102.91,901493
"2016-03-17",106.9,109.71,106.9,109.4,1789771
"2016-03-24",108.2,109.06,107.38,108.95,1386202
"2016-03-31",111.9,112.08,111.13,111.49,1437124
"2016-04-07",111.35,111.83,110.08,110.61,917982
"2016-04-14",113.74,114.59,113.74,114.51,1070934
"2016-04-21",111.7,113,110.1,110.26,3640664
"2016-04-28",111.89,113.4,111.53,112.77,1617299
"2016-05-05",109.04,109.53,108.23,108.58,810173
"2016-05-12",108.23,108.55,106.36,107.49,1130257
"2016-05-19",106,106.65,104.96,105.64,978786
"2016-05-26",108.35,109,107.59,107.7,568635
"2016-06-02",107.36,108.2,106.89,108.2,759921
"2016-06-09",110.21,110.49,109.52,110.43,2689507
"2016-06-16",105.62,107.01,105.06,106.96,843422
"2016-06-23",109.7,111.26,109.44,111.22,2078270
"2016-06-30",102.57,104.15,101.99,104.15,2192977
"2016-07-07",103.28,103.78,102.52,103.03,1547875
"2016-07-14",109.81,109.99,108.35,108.63,1359368
"2016-07-21",109,110.13,107.56,108.59,2139928
"2016-07-28",105.72,106.32,104.82,105.48,2163041
"2016-08-04",104.3,104.82,103.85,104.1,1282197
"2016-08-11",104.82,105.38,104.43,104.74,1096106
"2016-08-18",103.59,103.96,103.36,103.77,1036944
"2016-08-25",106.1,107.19,106.05,106.75,914054
"2016-09-01",106.02,106.3,105.09,105.98,929606
"2016-09-08",106.54,106.88,105.28,105.3,1042443
"2016-09-15",100.69,101.6,100.38,101.24,1199563
