"","ARE.Open","ARE.High","ARE.Low","ARE.Close","ARE.Volume"
"2012-12-06",68.99,69.88,68.99,69.75,442227
"2012-12-13",70.13,70.18,69.27,69.73,207632
"2012-12-20",69.67,70.61,69.67,70.45,461498
"2012-12-27",68.93,69.26,67.81,68.4,695365
"2013-01-03",70.55,71.13,70.4,70.98,356352
"2013-01-10",72.4,72.4,71.9,71.92,620149
"2013-01-17",72.47,72.78,72.26,72.4,287252
"2013-01-24",72.93,73.18,72.52,72.98,222431
"2013-01-31",73.14,73.14,72.45,72.5,539574
"2013-02-07",72.6,72.6,71.7,72.47,288496
"2013-02-14",72.31,72.36,71.42,71.56,762407
"2013-02-21",71.75,71.85,71.2,71.43,523086
"2013-02-28",71.03,71.6,71.02,71.14,476029
"2013-03-07",72.41,72.72,71.98,72.25,295801
"2013-03-14",71.72,72.31,71.45,71.51,370035
"2013-03-21",70.65,71.56,70.65,71.34,427325
"2013-03-28",70.97,71.18,70.71,70.98,456935
"2013-04-04",70.49,70.74,70.15,70.61,879776
"2013-04-11",71.6,72.46,71.6,72.09,374865
"2013-04-18",70.53,70.53,70,70.33,283423
"2013-04-25",71.53,71.84,70.9,71,445334
"2013-05-02",72.58,73.59,72.52,73.15,376070
"2013-05-09",75.22,75.41,74.83,75.27,941864
"2013-05-16",78.07,78.43,77.49,77.8,801318
"2013-05-23",73.38,73.93,72.01,73.63,1413288
"2013-05-30",70.35,70.93,69.63,69.77,972772
"2013-06-06",67.18,68.05,66.46,68.04,627233
"2013-06-13",65.03,67.44,65.02,67.24,553471
"2013-06-20",64.81,64.96,63.07,63.28,565898
"2013-06-27",64.78,66.58,64.68,65.86,646982
"2013-07-11",69.27,69.93,69.19,69.93,512514
"2013-07-18",69.56,70.62,69.56,70.38,348112
"2013-07-25",69.49,70.2,69.21,70.04,279771
"2013-08-01",68.91,69.69,68.27,68.44,817682
"2013-08-08",68.39,68.4,67.58,67.71,249086
"2013-08-15",65.52,65.52,64.07,64.07,445742
"2013-08-22",61.86,62.26,61.29,62.04,323183
"2013-08-29",61.95,62.17,61.57,62.16,213313
"2013-09-05",61.85,62.29,61.38,61.43,439102
"2013-09-12",63.46,63.92,62.77,62.99,462121
"2013-09-19",66.98,67.62,66.58,67.4,591409
"2013-09-26",64.72,65.19,64.25,64.89,285983
"2013-10-03",64.56,64.72,63.38,63.46,438909
"2013-10-10",63.79,64.57,63.79,64.47,471001
"2013-10-17",63.9,66.06,63.8,65.98,601139
"2013-10-24",66.54,66.77,65.98,66.43,440397
"2013-10-31",66.47,66.96,64.85,65.78,735596
"2013-11-07",65.23,65.29,64.11,64.4,289066
"2013-11-14",63.81,64.73,63.81,64.24,137998
"2013-11-21",63.7,64.75,63.35,64.58,455281
"2013-12-05",62.14,62.89,61.87,62.65,782788
"2013-12-12",61.9,62.51,61.11,61.12,426154
"2013-12-19",63.83,64.02,62.61,62.63,362552
"2013-12-26",64.31,64.77,63.6,63.98,293630
"2014-01-02",63.34,64.11,62.93,63.73,402659
"2014-01-09",64.52,64.55,63.62,64.12,329065
"2014-01-16",65.89,66.19,65.45,66.01,399195
"2014-01-23",68.05,68.95,67.97,68.7,759900
"2014-01-30",68.89,69.44,68.34,69.25,407924
"2014-02-06",70.36,71.21,70.2,71.08,434859
"2014-02-13",70.88,72.03,70.7,71.64,306049
"2014-02-20",72.65,73.32,71.62,72.09,604576
"2014-02-27",72.68,73.09,72.03,72.53,230637
"2014-03-06",73.91,73.91,72.91,73.3,290113
"2014-03-13",73.3,73.3,72.54,73.07,267233
"2014-03-20",71.92,72.2,71,72.18,386542
"2014-03-27",70.73,71.39,70.09,71.28,227635
"2014-04-03",72.25,72.61,71.99,72.41,526669
"2014-04-10",72.96,73.22,71.37,71.48,374263
"2014-04-17",73.69,73.87,73.09,73.28,302297
"2014-04-24",73.91,74.17,73.42,74.01,454489
"2014-05-01",73.76,73.86,72.89,73.57,386249
"2014-05-08",74.73,75.66,74.6,74.74,384132
"2014-05-15",75.05,75.44,74.29,75.43,293243
"2014-05-22",74.97,75.29,74.53,74.61,218203
"2014-05-29",75.02,75.53,74.71,75.47,188792
"2014-06-05",77.13,78.36,76.9,78.3,359969
"2014-06-12",76.25,76.98,75.74,76.91,450206
"2014-06-19",77.52,77.83,77.2,77.5,255418
"2014-06-26",76.43,76.43,75.9,76.32,203157
"2014-07-03",77.69,77.71,76.98,77.36,269434
"2014-07-10",77.09,78.13,77.04,77.87,310497
"2014-07-17",77.89,78.24,77.65,77.69,186366
"2014-07-24",79.43,79.73,79.08,79.32,263271
"2014-07-31",77.22,79.08,76.98,78.6,766898
"2014-08-07",77.59,77.89,76.98,77.28,314367
"2014-08-14",78.31,78.91,78.22,78.39,348359
"2014-08-21",80.48,80.65,79.75,80.2,315363
"2014-08-28",78.91,79.17,78.53,78.82,221044
"2014-09-04",79.53,79.86,79.19,79.42,441427
"2014-09-11",78.29,78.92,78.08,78.8,379397
"2014-09-18",76.33,76.36,75.16,75.31,728409
"2014-09-25",73.76,74.13,73.37,74,703731
"2014-10-02",74,74.5,73.44,73.92,373719
"2014-10-09",76.18,77.49,76.18,76.9,650727
"2014-10-16",79.56,80.44,78.64,80.29,898152
"2014-10-23",82.42,82.77,81.98,82.52,423906
