"","EIX.Open","EIX.High","EIX.Low","EIX.Close","EIX.Volume"
"2015-11-19",59.51,60.58,59.4,60.3,2141991
"2015-12-03",58.32,58.72,57.84,58.64,3057177
"2015-12-10",59.31,59.56,58.87,59.02,3092861
"2015-12-17",60.85,61.35,60.31,60.9,1396240
"2015-12-24",60.36,60.61,60.12,60.36,439989
"2015-12-31",60.08,60.2,58.74,59.21,2296226
"2016-01-07",58.03,58.63,57.97,58.29,2960726
"2016-01-14",59.45,60.06,58.89,59.55,2109726
"2016-01-21",59.03,59.49,58.48,58.72,2028202
"2016-01-28",60.33,62.11,60.01,61.56,1894862
"2016-02-04",63.89,64.31,62.88,63.07,2500018
"2016-02-11",63.19,63.61,62.32,62.35,2155929
"2016-02-18",62.48,64.01,62.37,63.7,1738712
"2016-02-25",67.83,69.24,67.71,68.79,4013717
"2016-03-03",67.1,67.46,66.38,67.42,2379685
"2016-03-10",69.56,69.9,69.1,69.76,1898947
"2016-03-17",70.69,71.52,70.5,71.25,1523750
"2016-03-24",71.42,71.93,70.83,71.34,2127558
"2016-03-31",71.83,72.07,71.34,71.89,1767076
"2016-04-07",70.3,70.81,70.02,70.2,1958492
"2016-04-14",69.95,70.51,69.67,70.04,1526860
"2016-04-21",69.35,69.38,67.71,68,1531717
"2016-04-28",69.27,70.22,69.01,70.11,1264457
"2016-05-05",72.76,73.25,71.88,72.3,1571980
"2016-05-12",71.96,72.3,71.6,71.94,1865527
"2016-05-19",68.8,69.58,68.47,69.58,1424513
"2016-05-26",69.86,70.93,69.81,70.84,1167411
"2016-06-02",71.32,71.79,70.72,71.76,1532913
"2016-06-09",72.83,73.75,72.83,73.66,1344753
"2016-06-16",73.63,74.15,73.59,73.92,923226
"2016-06-23",73.94,73.99,73.39,73.99,1072074
"2016-06-30",75.91,77.71,75.71,77.67,3282790
"2016-07-07",78.01,78.01,76.77,77.04,1418478
"2016-07-14",76.82,77.22,76.39,77.11,2005514
"2016-07-21",76.27,76.87,75.99,76.74,1850537
"2016-07-28",76.09,76.74,76.06,76.45,1236316
"2016-08-04",76.07,76.86,75.92,76.23,1343974
"2016-08-11",75.26,75.54,74.99,75.5,987920
"2016-08-18",74.26,75.06,74.08,75.06,2114632
"2016-08-25",74.04,74.23,73.59,73.65,1536734
"2016-09-01",72.66,72.76,72.25,72.7,1509660
"2016-09-08",73.59,74.01,73.32,73.85,1254211
"2016-09-15",71.65,72.32,71.46,72.2,1245484
