"","PXD.Open","PXD.High","PXD.Low","PXD.Close","PXD.Volume"
"2012-09-06",97.95,101.38,96.12,99.31,2354434
"2012-09-13",106.95,110.59,105.57,109.28,2167148
"2012-09-20",106.12,106.9,104.42,106.52,1960285
"2012-09-27",103.22,104.97,102.21,104.66,1043740
"2012-10-04",103.6,104.27,102.86,104,1210649
"2012-10-11",103.85,105.69,103.77,104.11,1287870
"2012-10-18",107.4,108.56,106.98,107.78,964911
"2012-10-25",103.23,104.56,102.13,104.27,1300490
"2012-11-01",103.15,110.49,101.8,109.34,3318136
"2012-11-08",105.12,105.56,102.33,102.35,1714556
"2012-11-15",107,107,101.16,102.82,1795883
"2012-11-29",105.96,107.21,105.41,106.64,1202150
"2012-12-06",104.49,105.13,102.66,103.25,1312875
"2012-12-13",105.34,105.46,102.51,103.18,1066214
"2012-12-20",107.51,109.22,107.28,108.79,787562
"2012-12-27",106.28,106.49,103.48,104.95,798848
"2013-01-03",109.3,112.95,108.31,111.32,1447166
"2013-01-10",112.21,113.25,111.09,112.56,1336566
"2013-01-17",114.25,115,112.77,114.14,1631689
"2013-01-24",112.71,114.56,111.32,113.87,1813543
"2013-01-31",115.2,118.4,113.57,117.54,1893359
"2013-02-07",125.12,125.37,123.06,124.54,1352358
"2013-02-14",122.43,133.68,120.03,130.05,5506000
"2013-02-21",127.7,127.99,123.27,125.52,2216929
"2013-02-28",125.96,126.85,124.53,125.81,1706710
"2013-03-07",124.88,128,123.25,127.65,3153381
"2013-03-14",126.61,127.82,125.11,127.62,1741934
"2013-03-21",123.56,124.93,121.39,121.83,1090485
"2013-03-28",125.79,126.7,124.07,124.25,1465926
"2013-04-04",120.41,120.81,116.66,117.82,1934073
"2013-04-11",123.45,123.97,122.12,123.52,1128253
"2013-04-18",111.6,113.56,109.73,112.35,1460500
"2013-04-25",115.75,119.26,115.53,117.49,1629126
"2013-05-02",119.36,127.86,119.13,126.31,2367631
"2013-05-09",137.47,138.95,136.31,136.97,2179992
"2013-05-16",138.75,139.82,137.48,138.58,838510
"2013-05-23",140.9,144.65,138.63,144.02,1220365
"2013-05-30",143.53,145.61,142.52,144.47,713187
"2013-06-06",137.66,142.12,137.44,142.02,1088365
"2013-06-13",142.8,147.99,142.39,146.95,1126597
"2013-06-20",150.42,150.44,145.82,146.29,2374804
"2013-06-27",148.79,149.93,146.64,146.71,1102135
"2013-07-11",154.89,157.18,152.16,153.45,1212834
"2013-07-18",153.95,156.48,153.61,156.23,835638
"2013-07-25",153.45,156.23,152.21,154.76,954941
"2013-08-01",173.7,181.62,169.51,174.15,4224824
"2013-08-08",179.48,179.48,174.38,176.35,981491
"2013-08-15",169.14,170.07,166.74,169.15,862325
"2013-08-22",168.04,171.25,167.19,170.34,420884
"2013-08-29",176.39,176.49,173.09,173.78,912172
"2013-09-05",182.17,184.7,181.36,182,1076011
"2013-09-12",186.47,190.15,185.46,186.81,760975
"2013-09-19",187.22,189.33,184.93,185.81,809361
"2013-09-26",186.42,188.61,184.61,188.23,945123
"2013-10-03",195.37,197.84,192.17,197.03,1569499
"2013-10-10",192.82,192.99,190.86,192.71,1235728
"2013-10-17",214.32,219.47,211.55,215.78,2516486
"2013-10-24",202.2,210.49,199.61,209.88,1388497
"2013-10-31",208.41,209.41,203.9,204.78,1264079
"2013-11-07",199.13,200.3,184.06,186.16,6130825
"2013-11-14",195,196.79,191.26,195.36,1735345
"2013-11-21",182.84,189.12,181.11,186.72,1779872
"2013-12-05",184.03,186.7,182.88,184.44,1213428
"2013-12-12",177.27,180.13,176.75,179.08,1037573
"2013-12-19",183.41,188.85,183.41,187.55,1877965
"2013-12-26",184.39,186.9,183.42,186.32,853545
"2014-01-02",182.95,182.95,175,176.53,2083434
"2014-01-09",175.41,176.73,167.85,171.52,2404321
"2014-01-16",171.35,175.66,171.18,175.52,1371366
"2014-01-23",182.59,184.24,179,179.74,1452525
"2014-01-30",169.23,174.51,169.23,172.39,1800763
"2014-02-06",174.75,181.5,174.75,180.18,2217725
"2014-02-13",179,181.38,177.89,179.5,1524977
"2014-02-20",187.72,191.25,187.61,189.6,2011103
"2014-02-27",191.6,196.21,190.79,195,1216350
"2014-03-06",198.96,198.96,196.3,198.32,1198147
"2014-03-13",187.11,187.39,181.8,182.89,1153369
"2014-03-20",184.24,185.85,182.5,184.54,1085799
"2014-03-27",180.77,186.37,179.18,185.44,1458603
"2014-04-03",194.3,196.13,192.36,192.78,1254410
"2014-04-10",187.29,188.43,182,183.62,1150556
"2014-04-17",199.99,204.66,199.12,203.31,1684198
"2014-04-24",198,199.67,196.25,197.32,846810
"2014-05-01",192.94,195.9,191.48,193.11,785905
"2014-05-08",206.2,208.6,202.54,203,1718755
"2014-05-15",203.38,203.73,199.2,202.3,1456569
"2014-05-22",203.86,205.82,202.43,202.81,940383
"2014-05-29",204.32,211.47,203.5,210.15,1865390
"2014-06-05",214.06,217.4,213.88,215.01,1210337
"2014-06-12",224.43,228.77,222.54,223,1750540
"2014-06-19",228.14,230.03,227.22,229.97,1229582
"2014-06-26",231.99,232.52,225.85,228.16,1563224
"2014-07-03",225.41,226.39,223.02,224.98,691318
"2014-07-10",222.8,225.37,221.66,224.14,1028095
"2014-07-17",226.01,229.01,222.07,222.58,905753
"2014-07-24",231.71,234.6,230.01,232.28,1052090
"2014-07-31",226.49,226.49,220.51,221.46,1281349
"2014-08-07",207.6,207.62,201.76,205.71,1464972
"2014-08-14",205.45,205.45,199.39,200.07,2810057
"2014-08-21",204.01,206.27,202.43,205.95,860582
"2014-08-28",204.63,206.71,204.1,205.14,756763
"2014-09-04",205.95,206.66,198.27,199.91,1381821
"2014-09-11",198.18,205.11,197.34,203.62,1431926
"2014-09-18",206.22,206.44,200.75,202.16,1517646
"2014-09-25",198.56,198.75,194.33,194.69,1217103
"2014-10-02",188.23,189.9,183.06,188.36,2610279
"2014-10-09",182.52,184.15,176.81,178,2550988
"2014-10-16",167.57,179.82,166.56,177.92,3559461
"2014-10-23",181.97,186.35,179.95,183.94,1593076
"2014-10-30",184.09,186.9,180.5,185.36,1461136
"2014-11-06",172.28,175.41,171.06,174.83,4571881
"2014-11-13",168.91,169.88,163.82,165.17,2475295
"2014-11-20",168.86,173.15,168.5,172.54,1773433
"2014-12-04",142.41,147.32,142.14,145.53,3435165
"2014-12-11",131.55,136,130.46,130.6,2684298
"2014-12-18",149.48,151.5,143.27,147.94,3418667
"2015-01-08",139.36,145.25,138.6,141.41,2491167
"2015-01-15",145.09,147.61,141.17,141.31,3074520
"2015-01-22",154.21,154.49,148,152.46,1714332
"2015-01-29",147,147,141.71,146.26,1840209
"2015-02-05",159.98,162.2,157.15,158.59,2170217
"2015-02-12",149.43,151.98,147.81,148.14,3686560
"2015-02-19",151.35,160.83,151.2,160.16,2347048
"2015-02-26",159.4,160.43,155,156.03,1543720
"2015-03-05",162.01,162.8,160.37,160.44,2467934
"2015-03-12",154.56,155.41,152.64,153.27,1840257
"2015-03-19",155.5,159.17,154.77,158.74,1543139
"2015-03-26",164.9,167.3,163.74,164.01,2620084
"2015-04-02",167.03,172.27,166.16,170.94,2524564
"2015-04-09",171.44,176.21,171.41,174.59,1793740
"2015-04-16",178.76,181.97,177.54,180.23,1479704
"2015-04-23",174.18,176.07,174.01,175.16,1355816
"2015-04-30",175.24,175.63,171.45,172.78,1457874
"2015-05-07",160.19,160.73,155.07,159.57,3653028
"2015-05-14",151.84,154.65,150.03,153.24,2989307
"2015-05-21",153.24,156.33,153.15,156,1740669
"2015-05-28",151.23,151.61,147.38,148.69,2027411
"2015-06-04",149.57,150.7,148.29,148.69,1261989
"2015-06-11",151.07,151.57,149.63,149.81,1097566
"2015-06-18",146.38,146.38,142.6,143.44,3105119
"2015-06-25",141.84,143.64,141.84,142.24,1918934
"2015-07-02",136.7,139.53,136.51,138.18,1976031
"2015-07-09",137.36,140.08,136.08,138.66,2572646
"2015-07-16",133.3,133.72,129.5,130.07,1964229
"2015-07-23",125.12,126.46,122.52,125.78,2566359
"2015-07-30",129.55,132.99,129.47,129.94,2001584
"2015-08-06",125.3,129.03,124.16,128.27,2165778
"2015-08-13",129.59,129.69,125.81,127.01,1700592
"2015-08-20",124.67,125.84,121.4,123,2437155
"2015-08-27",112.13,117.12,111.12,115.38,2611893
"2015-09-03",118.92,122.49,116.98,119.12,1816736
"2015-09-10",118.77,122.9,117.77,121.26,1737627
"2015-09-17",123.33,127.11,122.43,123.84,2057876
"2015-09-24",119.85,124.4,119.17,123.18,1609388
"2015-10-01",122.96,127.36,120.13,122.87,2359509
"2015-10-08",136.09,140,133.26,138.53,4161065
"2015-10-15",133,137.08,132.51,136.58,2275751
"2015-10-22",135.97,138.22,134,136.89,2145294
"2015-10-29",137.41,139.95,137.08,138.03,1538714
"2015-11-05",143.75,149.28,142.49,145.42,1786480
"2015-11-12",138.51,142.47,138,140.01,1581003
"2015-11-19",142.83,143.64,138.41,141.1,1325422
"2015-12-03",145.25,147.28,143.82,145.18,1716743
"2015-12-10",142.31,149.7,141.47,145.39,3411546
"2015-12-17",134.51,135.44,126.11,130.51,4790850
"2015-12-24",125.9,126.2,123.04,125.02,873033
"2015-12-31",123.42,126.49,123.3,125.38,1739917
"2016-01-07",115.54,118.51,115,116.42,5316368
"2016-01-14",115.12,118.79,113.45,115.96,4341953
"2016-01-21",108.92,115,106.73,111.8,4017526
"2016-01-28",119.1,120.69,116.35,120.01,5261887
"2016-02-04",129.33,133.79,123.82,124.49,3714053
"2016-02-11",107.33,114.45,105.22,110.75,7238853
"2016-02-18",124.86,126.54,120.85,121.36,2913234
"2016-02-25",119.45,121.94,115.17,120.49,1965923
"2016-03-03",130.99,133.23,126.89,128.27,3731213
"2016-03-10",127.27,130.96,125.5,129.49,2506361
"2016-03-17",139.31,144.3,137.82,142.25,3769723
"2016-03-24",133.5,139.5,131.36,139.19,1746778
"2016-03-31",139.52,141.27,138.11,140.74,2020298
"2016-04-07",142.15,143.4,140,141.78,1363488
"2016-04-14",147,149.81,145,149.66,2089929
"2016-04-21",155.15,155.98,150.14,150.63,2343755
"2016-04-28",167.19,171.08,163.76,164.99,2429335
"2016-05-05",160.85,163.72,159.63,161.82,2475169
"2016-05-12",166.12,168.5,163.3,167.03,1962532
"2016-05-19",162.07,163.36,157.64,162.84,2186813
"2016-05-26",163.95,166,161.73,162.3,2034249
"2016-06-02",157.79,159.97,156.29,159.4,1374106
"2016-06-09",164.56,167.21,164.07,164.2,1049049
"2016-06-16",156.49,157.08,151.91,152.64,8238479
"2016-06-23",160.61,162.43,159.66,160.59,1999627
"2016-06-30",151.78,152.01,149.87,151.21,1841943
"2016-07-07",153.19,153.77,148.86,149.23,2243685
"2016-07-14",155.92,156.68,154.44,155.5,1476701
"2016-07-21",153.8,155.28,151.83,152.25,1869095
"2016-07-28",153.25,158.8,152.89,157.54,4030093
"2016-08-04",161.55,165.46,160.2,162.9,2179593
"2016-08-11",173.04,175,171.68,174.2,1431619
"2016-08-18",181.9,183.94,181,183.91,1647768
"2016-08-25",180.57,181.04,179.08,180.41,1697177
"2016-09-01",178.03,180.34,176.84,180.22,1548758
"2016-09-08",189.68,190.94,186.43,187.51,2240932
"2016-09-15",176.88,181.06,176.31,178.48,1587187
