"","AFL.Open","AFL.High","AFL.Low","AFL.Close","AFL.Volume"
"2015-03-05",62.55,62.93,62.25,62.8,2043393
"2015-03-12",61.9,62.68,61.86,62.65,1621932
"2015-03-19",63.42,63.49,62.53,63.09,1724264
"2015-03-26",63.26,63.72,62.94,63.5,2285178
"2015-04-02",63.5,63.9,63.32,63.58,1779634
"2015-04-09",64.22,64.74,63.99,64.53,1439487
"2015-04-16",64.68,64.81,64.35,64.48,1447490
"2015-04-23",63.84,64.42,63.73,64.17,1261227
"2015-04-30",63.64,64.09,62.99,63.04,3283962
"2015-05-07",63.64,64.22,63.37,63.75,2364352
"2015-05-14",63.89,64.08,63.62,63.77,1588598
"2015-05-21",64.45,64.53,62.83,62.89,4868201
"2015-05-28",62.26,62.62,61.96,62.56,1662833
"2015-06-04",62.42,62.67,62.05,62.11,1758080
"2015-06-11",62.63,63.14,62.51,62.99,1725339
"2015-06-18",62.6,63.27,62.6,63.09,1781518
"2015-06-25",63.09,63.81,62.99,63.34,4083321
"2015-07-02",62.37,62.5,61.63,61.96,1438351
"2015-07-09",61.21,61.39,60.57,60.66,2347285
"2015-07-16",62.14,62.43,61.82,62.22,1586530
"2015-07-23",61.89,62.14,61.63,61.86,1550760
"2015-07-30",64.32,64.66,63.89,64.04,2659664
"2015-08-06",64.1,64.26,63.58,63.68,2126722
"2015-08-13",64.13,64.61,63.96,64.17,1184667
"2015-08-20",62.49,62.66,61.22,61.25,3512163
"2015-08-27",57.81,58.77,57.35,58.63,2592032
"2015-09-03",57.65,58.09,57.3,57.55,2333658
"2015-09-10",57.66,57.96,57.06,57.7,2464264
"2015-09-17",58.9,59.08,57.94,58.11,2185729
"2015-09-24",56.83,57.63,56.83,57.49,2188687
"2015-10-01",58.14,58.47,57.52,57.96,1961921
"2015-10-08",60.17,61.01,59.94,60.81,1768252
"2015-10-15",60.29,60.96,59.79,60.9,1749106
"2015-10-22",61.7,62.55,61.66,62.22,2591295
"2015-10-29",64.03,64.6,63.47,64.42,2813586
"2015-11-05",64.19,64.51,63.98,64.17,1728469
"2015-11-12",63.76,64.34,63.29,63.32,2491640
"2015-11-19",64.99,65.42,64.76,65.37,2417687
"2015-12-03",65.71,65.71,62.62,63.1,5218653
"2015-12-10",61.18,61.59,60.97,61.09,1587226
"2015-12-17",61.71,61.72,60.38,60.38,1978655
"2015-12-24",60.21,60.54,60,60.18,883655
"2015-12-31",60.15,60.55,59.85,59.9,1025769
"2016-01-07",57.12,58,56.93,57.21,2353018
"2016-01-14",57.02,57.89,56.51,57.32,2709359
"2016-01-21",55.74,56.46,55.35,55.82,2422421
"2016-01-28",57.89,58.49,57.41,58.31,2118432
"2016-02-04",57.14,58.11,56.96,58.02,2270767
"2016-02-11",55.61,56.6,55.24,55.6,3412220
"2016-02-18",59.08,59.41,58.81,59.16,2078657
"2016-02-25",59.72,60.35,59.15,60.33,1716729
"2016-03-03",61.26,61.38,60.75,60.98,2457356
"2016-03-10",60.53,61,59.87,60.37,1905762
"2016-03-17",62.33,63.78,61.86,63.39,2804301
"2016-03-24",62.91,62.94,62.34,62.7,1744713
"2016-03-31",63.73,63.97,63.08,63.14,2325630
"2016-04-07",63.18,63.63,62.59,63,1765851
"2016-04-14",66.8,67.34,66.67,66.97,2533178
"2016-04-21",67.55,68.08,67.34,67.4,1965317
"2016-04-28",69.06,69.6,68.76,69.01,2755777
"2016-05-05",68.48,68.98,68.41,68.66,1971633
"2016-05-12",69.21,69.44,68.77,69.24,2336879
"2016-05-19",68.84,68.96,68.02,68.6,2329306
"2016-05-26",69.77,69.9,69.15,69.18,2297324
"2016-06-02",69.23,69.59,68.97,69.58,2670123
"2016-06-09",69.55,69.78,69.25,69.7,1542744
"2016-06-16",67.64,68.82,67.42,68.81,1420160
"2016-06-23",71.6,71.97,71.26,71.77,2269620
"2016-06-30",70.19,72.17,70,72.16,2574177
"2016-07-07",72.15,72.16,71.02,71.42,1958020
"2016-07-14",74,74.11,73.7,73.7,2385399
"2016-07-21",73.51,73.62,73.16,73.33,1022238
"2016-07-28",73.12,73.51,72.83,73.32,1972684
"2016-08-04",71.79,72.07,71.51,71.96,1476305
"2016-08-11",73.2,73.86,73.05,73.07,2260598
"2016-08-18",72.75,72.75,71.97,72.26,1669467
"2016-08-25",72.52,73.05,72.51,72.99,2153858
"2016-09-01",74.28,74.36,73.37,73.87,1415585
"2016-09-08",73.54,73.55,72.9,72.94,1608004
"2016-09-15",71.83,72.46,71.81,72.34,1515737
