"","VMC.Open","VMC.High","VMC.Low","VMC.Close","VMC.Volume"
"2012-10-25",46.88,47.2,46.32,46.89,275570
"2012-11-01",45.27,47.48,44.61,47.47,627891
"2012-11-08",45.01,46.41,44.62,46.01,1115501
"2012-11-15",47.01,47.33,46.07,46.45,877912
"2012-11-29",49.97,51.75,49.84,51.31,1496559
"2012-12-06",51.19,52.06,51,52.02,647259
"2012-12-13",51.41,51.98,51.19,51.68,803763
"2012-12-20",53.02,53.25,52.76,53.25,811710
"2012-12-27",52.98,53.09,51.36,51.7,527699
"2013-01-03",53.91,54.22,53.31,53.5,590815
"2013-01-10",53.9,54.25,53.44,54.2,614784
"2013-01-17",54.5,55.4,54.34,55.14,879542
"2013-01-24",57.78,58.41,56.96,57.5,790292
"2013-01-31",56.7,57.06,56.04,56.56,826262
"2013-02-07",56.27,56.38,54.87,55.41,463369
"2013-02-14",55.46,55.5,52.79,54.87,1673966
"2013-02-21",51.81,52.39,51.5,51.99,783713
"2013-02-28",51.1,51.42,50.58,50.93,1480497
"2013-03-07",53.57,54.04,53.18,53.98,498730
"2013-03-14",54.49,55.37,54.49,54.81,548329
"2013-03-21",53.71,53.71,52.17,52.25,397779
"2013-03-28",51.14,51.84,50.39,51.7,723505
"2013-04-04",48.24,48.89,48.14,48.47,431715
"2013-04-11",49.85,51.01,49.43,50.78,550284
"2013-04-18",47.82,47.85,45.68,46.03,463524
"2013-04-25",48.14,48.24,47.33,47.42,703930
"2013-05-02",49,51.28,48.53,50.98,981964
"2013-05-09",54.75,55.1,54.27,54.61,904980
"2013-05-16",54.65,55.14,54.41,54.49,383444
"2013-05-23",52.25,53.75,52.25,53.51,813316
"2013-05-30",54.38,54.88,54.25,54.66,877265
"2013-06-06",50.85,51.72,50.19,51.71,812314
"2013-06-13",53.06,54.57,52.74,54.49,515896
"2013-06-20",52.7,52.95,51.36,51.55,632426
"2013-06-27",49.54,50.31,49.03,50.25,629461
"2013-07-11",50.08,50.81,49.67,50.71,718102
"2013-07-18",50.09,50.83,49.99,50.22,334737
"2013-07-25",48.75,49.02,47.65,48.08,534180
"2013-08-01",47.95,50.78,47.95,49.68,989486
"2013-08-08",47.57,48.43,47.09,48.2,491150
"2013-08-15",47.72,47.72,46.78,47.31,847834
"2013-08-22",48.97,50.08,48.97,49.71,752760
"2013-08-29",47.6,48.35,47.15,47.65,789833
"2013-09-05",48.75,49.22,48.6,49.2,456588
"2013-09-12",52.03,52.4,51.36,51.7,354911
"2013-09-19",53.64,54.17,52.86,52.93,652428
"2013-09-26",52.27,52.71,51.39,52.08,398753
"2013-10-03",53.54,53.9,51.87,52.66,542992
"2013-10-10",51.46,52.4,51.33,52.35,460546
"2013-10-17",51.63,52.08,51.09,52,812593
"2013-10-24",53.73,54.94,53.59,54.85,542248
"2013-10-31",53.86,54.09,53.17,53.55,402807
"2013-11-07",56.63,57.34,55.18,55.35,750284
"2013-11-14",56.26,56.43,55.45,55.96,534715
"2013-11-21",55.68,56.75,55.68,56.35,999466
"2013-12-05",54.24,54.79,53.94,54.62,588554
"2013-12-12",53.87,54.55,53.65,54.41,533672
"2013-12-19",57.49,57.59,56.59,57.16,449713
"2013-12-26",58.44,58.51,57.84,58.27,441883
"2014-01-02",59.34,59.41,58.51,58.68,497048
"2014-01-09",59.56,59.93,58.8,59.82,716425
"2014-01-16",59.6,60.27,59.32,59.91,1272510
"2014-01-23",60.78,62.4,60.12,61.31,1835675
"2014-01-30",62.65,62.81,61.32,61.68,1080094
"2014-02-06",61.58,67.97,61.58,65.66,4067686
"2014-02-13",64.99,66.2,64.41,66,1055255
"2014-02-20",64.93,65.46,64.23,65.3,662728
"2014-02-27",66.95,68.45,66.95,67.93,802479
"2014-03-06",68.36,68.86,67.72,67.99,726226
"2014-03-13",67.35,67.35,65.61,65.79,652290
"2014-03-20",66.93,67.18,66.1,67.01,672723
"2014-03-27",64.56,65.22,63.83,65.11,661443
"2014-04-03",66.05,67,65.6,66.34,890695
"2014-04-10",65.2,66.44,64.49,64.82,1276521
"2014-04-17",64.57,65.04,62.98,64.75,1915208
"2014-04-24",65,65.27,63.54,65.25,979500
"2014-05-01",64.56,66.14,64.38,64.78,2268081
"2014-05-08",62.25,63.26,60.91,61.1,1332373
"2014-05-15",60.56,60.57,58.94,59.74,1196328
"2014-05-22",59.28,60.02,58.88,59.91,995234
"2014-05-29",61.83,62.1,60.14,60.93,601366
"2014-06-05",61.23,63.1,61.15,62.8,1072873
"2014-06-12",64.2,64.44,63.53,63.94,845801
"2014-06-19",65.16,65.42,64.5,65.01,551870
"2014-06-26",63.6,63.6,62.51,63.03,717140
"2014-07-03",63.6,64.45,63.6,64.36,544556
"2014-07-10",63.71,64.73,63.36,64.5,836700
"2014-07-17",63.78,63.97,62.82,62.99,726564
"2014-07-24",65.22,66.01,64.55,65.95,1219737
"2014-07-31",64.56,64.9,63.02,63.13,1049861
"2014-08-07",62.59,62.78,60.78,61.5,1356893
"2014-08-14",62.13,62.35,61.95,62.04,525370
"2014-08-21",63.12,63.18,62.27,63.08,612058
"2014-08-28",63.21,63.32,62.77,63.22,532898
"2014-09-04",62.07,63.11,61.76,62.03,811299
"2014-09-11",61.91,63.19,61.78,63.16,756794
"2014-09-18",63.48,63.56,62.34,62.44,869242
"2014-09-25",62.6,62.94,60.95,61.34,1123384
"2014-10-02",58.8,59.51,58,58.78,1972878
"2014-10-09",58.67,59.24,56.9,57.33,2008804
"2014-10-16",55.86,57.32,55.16,56.77,2142491
"2014-10-23",59.92,60.94,59.35,60.24,1195335
"2014-10-30",59.01,60.75,58.92,60.29,1202411
"2014-11-06",64.19,64.85,63.51,64.77,1039018
"2014-11-13",65.42,65.9,64.92,65.58,842542
