"","AIV.Open","AIV.High","AIV.Low","AIV.Close","AIV.Volume"
"2013-03-21",30.22,30.6,30.1,30.11,734899
"2013-03-28",30.53,30.72,30.36,30.66,1150233
"2013-04-04",30.91,31.46,30.79,31.43,942326
"2013-04-11",31.55,31.91,31.55,31.69,842989
"2013-04-18",31.02,31.16,30.72,30.83,1120908
"2013-04-25",31.15,31.23,30.72,30.93,524918
"2013-05-02",31.05,31.39,30.93,30.93,1140683
"2013-05-09",31.29,31.58,31.14,31.45,1046332
"2013-05-16",32.89,33.25,32.78,32.94,1108759
"2013-05-23",32.24,32.24,31.44,31.87,1967803
"2013-05-30",30.27,30.62,30.18,30.33,1894061
"2013-06-06",29.93,30.08,29.58,30.02,1022104
"2013-06-13",28.18,29.25,28.12,29.16,1325057
"2013-06-20",27.92,28,27.44,27.56,1827315
"2013-06-27",29.56,30.23,29.46,29.98,1196459
"2013-07-11",30.72,31.25,30.72,31.22,711563
"2013-07-18",31.31,31.76,31.24,31.46,735971
"2013-07-25",30.34,30.63,30.23,30.63,868439
"2013-08-01",29.46,29.75,29.36,29.42,1552709
"2013-08-08",29.06,29.2,28.71,28.97,478005
"2013-08-15",28.4,28.46,27.95,28.25,1224291
"2013-08-22",28.19,28.34,27.81,28.27,808525
"2013-08-29",27.66,27.81,27.46,27.69,626058
"2013-09-05",27.7,27.76,27.31,27.33,504451
"2013-09-12",28.47,28.64,28.33,28.47,1028496
"2013-09-19",29.87,30.25,29.61,29.64,950735
"2013-09-26",28.2,28.42,28.06,28.31,627716
"2013-10-03",28.02,28.12,27.47,27.63,1335882
"2013-10-10",27.8,28.25,27.69,28.23,999179
"2013-10-17",28.97,29.51,28.95,29.42,788090
"2013-10-24",29.41,29.41,28.77,28.88,670374
"2013-10-31",28.2,28.32,27.6,27.98,1367224
"2013-11-07",27.26,27.5,26.57,26.58,2307335
"2013-11-14",26.5,26.79,26.28,26.29,750591
"2013-11-21",25.59,25.74,25.46,25.72,602785
"2013-12-05",25.83,25.84,25.46,25.76,1516143
"2013-12-12",25.6,25.83,25.24,25.45,1542245
"2013-12-19",25.89,26.01,25.07,25.7,1237362
"2013-12-26",25.87,26.16,25.64,25.91,529687
"2014-01-02",25.9,26.14,25.66,25.91,844901
"2014-01-09",25.85,25.9,25.59,25.72,1764406
"2014-01-16",26.74,26.9,26.66,26.89,1295605
"2014-01-23",27.22,27.29,26.96,27.05,953154
"2014-01-30",27.43,28.06,27.33,27.83,2345285
"2014-02-06",28.36,28.77,28.34,28.75,2194416
"2014-02-13",29.62,30.1,29.55,29.99,1892740
"2014-02-20",29.67,29.89,29.18,29.28,1808889
"2014-02-27",29.75,29.89,29.63,29.81,1464562
"2014-03-06",31.06,31.06,30.56,30.68,1333194
