"","ADM.Open","ADM.High","ADM.Low","ADM.Close","ADM.Volume"
"2012-06-14",31.32,31.51,31.08,31.26,5233773
"2012-06-21",29.91,29.99,29.32,29.38,5947569
"2012-06-28",28.72,29.17,28.61,29.14,5057692
"2012-07-05",29.02,29.02,28.28,28.5,6988627
"2012-07-12",27.32,27.5,27.09,27.31,5710085
"2012-07-19",27.64,27.74,27.2,27.29,4320008
"2012-07-26",27.04,27.26,26.8,27.18,4394858
"2012-08-02",25.44,25.61,25.02,25.13,8136753
"2012-08-09",26.47,26.53,26.18,26.47,5507074
"2012-08-16",26.23,26.46,26.13,26.32,5912830
"2012-08-23",26.25,26.32,26.13,26.21,2981630
"2012-08-30",26.41,26.6,26.35,26.53,3361180
"2012-09-06",26.83,27.42,26.78,27.36,5352783
"2012-09-13",27.16,27.43,26.77,27.39,4962675
"2012-09-20",27.06,27.26,27,27.02,4305321
"2012-09-27",27.58,27.72,27.26,27.56,3929040
"2012-10-04",28.01,28.26,27.89,28.15,4111696
"2012-10-11",28.2,28.2,27.95,28.03,3979281
"2012-10-18",29.03,29.23,28.95,29.07,5604245
"2012-10-25",27.12,27.23,26.9,26.99,4194410
"2012-11-01",26.98,27.28,26.72,27.1,5603207
"2012-11-08",26.04,26.25,25.47,25.47,7041332
"2012-11-15",24.5,24.74,24.38,24.48,5723271
"2012-11-29",26.57,26.79,26.49,26.76,3519446
"2012-12-06",26.82,26.83,26.37,26.72,5951438
"2012-12-13",27.22,27.36,27.07,27.15,4842076
"2012-12-20",28.02,28.04,27.85,28.03,4269768
"2012-12-27",27.44,27.56,27.26,27.49,5024013
"2013-01-03",28.76,28.76,28.3,28.44,3970719
"2013-01-10",28.57,28.62,28.26,28.34,3470397
"2013-01-17",28.52,28.92,28.45,28.78,3916630
"2013-01-24",28.69,29.08,28.69,29.03,3201527
"2013-01-31",28.62,28.79,28.44,28.53,5420033
"2013-02-07",30.31,30.84,30.1,30.28,7516990
"2013-02-14",31.03,31.54,30.96,31.4,7259769
"2013-02-21",32.32,32.43,31.98,32.11,6469524
"2013-02-28",32.05,32.16,31.86,31.86,5567921
"2013-03-07",32.45,32.62,32.32,32.57,3024827
"2013-03-14",32.99,32.99,32.78,32.91,3649215
"2013-03-21",32.86,32.97,32.49,32.61,2467505
"2013-03-28",32.93,33.77,32.87,33.73,5932303
"2013-04-04",33.22,33.59,33.1,33.59,4015573
"2013-04-11",33.11,33.2,32.87,32.98,3258542
"2013-04-18",32.07,32.17,31.69,31.91,4427687
"2013-04-25",32.62,33.23,32.36,33.18,4985891
"2013-05-02",32.85,33.91,32.73,33.6,6101197
"2013-05-09",34.34,34.49,33.86,33.91,3798573
"2013-05-16",34.38,34.58,34.02,34.16,5008435
"2013-05-23",33.7,34.26,33.58,34.16,3128285
"2013-05-30",33.53,33.61,33.27,33.31,2616150
"2013-06-06",32.71,32.73,32.22,32.65,2514666
"2013-06-13",32.86,33.47,32.6,33.39,2911911
"2013-06-20",32.99,33.13,32.6,32.61,3802529
"2013-06-27",33.79,34.03,33.65,33.71,2144625
"2013-07-11",36.14,36.27,35.91,36.19,3390393
"2013-07-18",35.69,35.95,35.58,35.79,2148595
"2013-07-25",36.11,36.74,35.83,36.64,3318969
"2013-08-01",36.72,37.19,36.65,37.18,3601520
"2013-08-08",37.97,38.39,37.86,38.3,4012315
"2013-08-15",38.2,38.36,36.94,37.03,5150452
"2013-08-22",36.39,36.5,35.9,36.07,2995031
"2013-08-29",34.53,35.09,34.38,34.81,3722261
"2013-09-05",36.02,36.31,36.02,36.19,2515437
"2013-09-12",36.11,36.21,35.63,35.99,3281162
"2013-09-19",37.09,37.2,36.83,37.06,2255536
"2013-09-26",36.71,37.02,36.65,36.81,2667202
"2013-10-03",37.04,37.13,36.5,36.75,3317194
"2013-10-10",36.72,37.2,36.01,37.07,6645080
"2013-10-17",37.4,37.99,37.19,37.9,2505532
"2013-10-24",39.27,39.39,39,39.18,2388836
"2013-10-31",41.08,41.36,40.51,40.9,6332938
"2013-11-07",41.78,41.86,41.14,41.23,5913698
"2013-11-14",41.29,42.1,41.29,42,6484284
"2013-11-21",40.1,41.44,40.07,41.15,6584015
"2013-12-05",41.7,41.72,41.2,41.47,3366375
"2013-12-12",41.72,41.72,40.49,40.59,5148165
"2013-12-19",42.98,43.83,42.77,43.79,6512718
"2013-12-26",43.32,43.8,43.24,43.65,2370586
"2014-01-02",43.22,43.29,42.79,42.99,2753765
"2014-01-09",42.51,42.56,41.66,42.16,4444284
"2014-01-16",42.51,42.63,41.22,41.25,7134238
"2014-01-23",41.91,42.01,40.82,40.84,5519541
"2014-01-30",39.59,39.69,39.17,39.51,3986996
"2014-02-06",38.82,39.26,38.74,39.11,5759035
"2014-02-13",40.5,40.9,40.22,40.67,3070860
"2014-02-20",39.95,40.26,39.86,40.12,3709568
"2014-02-27",40.32,40.54,39.79,39.89,5100116
"2014-03-06",40.7,41.1,40.6,40.94,3845694
"2014-03-13",43.03,43.21,42.38,42.4,3983876
"2014-03-20",42.58,42.79,42.28,42.7,2430317
"2014-03-27",42.8,43.16,42.61,43.1,3253940
"2014-04-03",43.47,43.58,42.83,43.15,4171526
"2014-04-10",44.45,44.74,44.04,44.17,5185153
"2014-04-17",44.86,45.34,44.8,45.04,4119949
"2014-04-24",44.82,44.93,44.46,44.63,2123986
"2014-05-01",43.74,43.78,43.18,43.24,3122117
"2014-05-08",44.18,44.52,43.87,44.07,3364536
"2014-05-15",43.8,43.88,43.43,43.53,2654030
"2014-05-22",42.93,44.02,42.9,43.65,1657192
"2014-05-29",44.39,44.69,44.35,44.64,1727251
"2014-06-05",44.31,45,44.22,44.97,2506415
"2014-06-12",44.54,44.65,43.41,43.47,3651348
"2014-06-19",44.54,45.21,44.34,45.12,3026327
"2014-06-26",43.89,44.11,43.74,43.93,1833624
"2014-07-03",45.35,45.95,45.29,45.77,3146688
"2014-07-10",45.74,47.5,45.68,47.35,5795234
"2014-07-17",47.75,47.9,47.31,47.32,2565763
"2014-07-24",48.36,48.84,48.35,48.43,2213499
"2014-07-31",46.48,46.86,46.19,46.4,3677876
"2014-08-07",48.77,48.95,48.43,48.52,2308100
"2014-08-14",50.1,50.15,49.83,49.97,2034226
"2014-08-21",49.85,49.94,49.49,49.57,1898217
"2014-08-28",49.49,49.9,49.41,49.75,1829959
"2014-09-04",49.92,50.29,49.8,50.2,3258286
"2014-09-11",50.62,50.94,50.52,50.92,2943337
"2014-09-18",51.3,52.36,51.25,52.06,3509386
"2014-09-25",51.34,51.34,50.4,50.48,2087662
"2014-10-02",50.5,51.09,50.42,50.53,2719044
"2014-10-09",47.89,48.16,47.06,47.13,6596609
"2014-10-16",42.53,43.47,42.37,43.17,4996124
"2014-10-23",46.27,46.54,45.4,45.54,2949851
"2014-10-30",45.73,46.62,45.62,46.58,2983101
"2014-11-06",50.35,50.66,49.94,49.97,3388384
"2014-11-13",51,51.16,50.33,50.81,2555458
"2014-11-20",51.94,52.63,51.82,52.57,2226305
"2014-12-04",53.27,53.91,52.55,52.78,3949012
"2014-12-11",51.5,52.06,50.7,50.9,4036465
"2014-12-18",50.25,51.21,50.22,51.16,4828603
"2015-01-08",49.29,49.6,48.54,49.24,7469615
"2015-01-15",47.34,47.77,46.85,47.21,4258627
"2015-01-22",47.99,48.47,47.53,48.08,4547980
"2015-01-29",47.57,48.04,46.89,47.92,3678945
"2015-02-05",46.55,48.72,46.55,48.68,7981700
"2015-02-12",46.8,47.62,46.75,47.44,4750089
"2015-02-19",47.5,48.1,47.41,47.78,2351088
"2015-02-26",48.28,48.29,47.4,47.55,2940917
"2015-03-05",47.3,47.54,46.63,47.48,4734767
"2015-03-12",45.8,46.71,45.8,46.64,3547424
"2015-03-19",47.05,47.11,46.06,46.49,2922699
"2015-03-26",46.57,47.05,46.28,46.3,3803159
"2015-04-02",47.47,48.34,47.34,47.35,5836027
"2015-04-09",48.17,48.28,47.71,47.9,4275498
"2015-04-16",48.19,48.48,48.1,48.3,4242320
"2015-04-23",47.93,48.54,47.85,48.27,2298024
"2015-04-30",48.88,49.43,48.66,48.88,4257577
"2015-05-07",50.14,50.82,49.79,50.32,4169901
"2015-05-14",52.51,52.97,52.31,52.88,2964692
"2015-05-21",52.33,53.07,52.29,52.92,2991118
"2015-05-28",53,53.01,52.36,52.66,2119934
"2015-06-04",52.05,52.23,51.31,51.39,4997320
"2015-06-11",52.17,52.69,52,52.06,2827490
"2015-06-18",51.17,51.65,51.17,51.37,3274983
"2015-06-25",51.62,51.62,50.66,50.7,2570736
"2015-07-02",48.82,49.01,48.34,48.65,3063015
"2015-07-09",47.75,48.04,46.93,47.09,6044975
"2015-07-16",47.86,48.01,47.62,47.85,2663251
"2015-07-23",47.7,48.38,47.7,48.02,2618483
"2015-07-30",47.71,47.9,47.32,47.82,3660749
"2015-08-06",48.4,48.47,47.45,47.95,3282334
"2015-08-13",46.88,47.78,46.84,47.51,4254353
"2015-08-20",46.23,46.75,46.11,46.2,3349540
"2015-08-27",44.27,45.17,44.09,44.83,4459476
"2015-09-03",43.87,44.42,43.64,43.75,3680634
"2015-09-10",42.82,43.48,42.71,43.06,2871854
"2015-09-17",44.18,44.9,44.02,44.25,3626090
"2015-09-24",41.86,42.26,41.31,42.02,4705154
"2015-10-01",41.69,41.95,41.06,41.46,3711858
"2015-10-08",44.28,45.2,44.04,45.13,3153565
"2015-10-15",45.18,45.56,44.94,45.56,2396715
"2015-10-22",45.51,46.88,45.46,46.7,3118556
"2015-10-29",46.64,46.72,45.46,45.53,4271515
"2015-11-05",42.95,43.21,42.43,43.07,5384820
"2015-11-12",40.22,40.3,38.49,38.51,8236658
"2015-11-19",37.41,37.53,36.28,36.43,5944681
"2015-12-03",36.48,36.74,35.41,35.61,9034539
"2015-12-10",35.41,35.69,35.04,35.09,5404299
"2015-12-17",35.33,35.45,34.27,34.29,4872309
"2015-12-24",36.68,36.88,36.47,36.65,1250976
"2015-12-31",36.64,36.9,36.45,36.68,2668072
"2016-01-07",34.91,35.09,34.33,34.52,4820544
"2016-01-14",33.42,33.68,32.76,33.36,5462560
"2016-01-21",31.26,32.48,31.2,31.92,6085401
"2016-01-28",34.16,34.95,33.98,34.7,5351143
"2016-02-04",33.44,34.69,33.34,34.25,6600953
"2016-02-11",32.27,32.83,31.5,31.63,6910951
"2016-02-18",33.4,33.99,33.24,33.9,3616159
"2016-02-25",34.04,34.74,33.75,34.62,3580361
"2016-03-03",36.17,36.86,35.74,36.83,4054828
"2016-03-10",36.11,36.35,35.36,35.77,3242251
"2016-03-17",37.51,38.76,37.51,38.2,4384779
"2016-03-24",36.3,36.73,35.83,36.47,3465879
"2016-03-31",36.69,36.75,35.98,36.31,3769095
"2016-04-07",35.35,36.22,35.29,35.72,3292270
"2016-04-14",37.02,37.11,36.35,36.59,2809854
"2016-04-21",39,39.16,38.2,38.35,3701165
"2016-04-28",39.86,40.62,39.72,40.07,4531354
"2016-05-05",38.87,39.23,37.96,38.08,3934348
"2016-05-12",38.25,38.79,38.04,38.54,3282809
"2016-05-19",37.3,38.38,37,38.37,4182240
"2016-05-26",42.97,43.54,42.66,43.07,3557160
"2016-06-02",42.77,43.73,42.61,43.47,4760893
"2016-06-09",43.63,43.95,43.22,43.83,3901909
"2016-06-16",41.88,42.14,41.56,42.05,2618147
"2016-06-23",42.43,42.76,42.43,42.71,1955653
"2016-06-30",41.7,42.9,41.64,42.89,4139163
"2016-07-07",42.25,42.85,41.9,42.12,2600433
"2016-07-14",43.35,43.6,43.14,43.48,2840197
"2016-07-21",43.35,43.86,43.2,43.39,2366485
"2016-07-28",44.02,45,43.8,44.94,4282567
"2016-08-04",44.37,44.49,43.42,43.74,2843768
"2016-08-11",44.4,44.43,43.74,43.93,2284259
"2016-08-18",43.69,43.96,43.51,43.57,2053506
"2016-08-25",43.22,43.22,42.5,42.56,2872290
"2016-09-01",43.68,43.76,42.92,43.14,2274913
"2016-09-08",43.87,43.89,43.17,43.24,2821893
"2016-09-15",41.94,42.36,41.75,42.28,2264444
