"","RTN.Open","RTN.High","RTN.Low","RTN.Close","RTN.Volume"
"2015-07-02",96.55,97.23,95.51,95.57,2163391
"2015-07-09",98.74,99.24,98.62,98.63,1970813
"2015-07-16",100.02,100.57,99.62,100.51,1263669
"2015-07-23",100,106.06,98.27,103.21,5393489
"2015-07-30",108.98,110.74,108.5,109.84,3016202
"2015-08-06",109.8,110,108.88,109.4,1509911
"2015-08-13",108.4,109.62,108.25,109.15,860780
"2015-08-20",108.9,109.16,107.59,107.64,1362855
"2015-08-27",103.98,105.76,103.6,105.11,1902208
"2015-09-03",103.55,105.32,103.55,104.53,1989926
"2015-09-10",105.65,106.71,105.28,106.07,1538115
"2015-09-17",107.32,108.41,106.23,106.49,1385937
"2015-09-24",103.93,106.53,103.64,106.37,2026591
"2015-10-01",108.59,109.57,106.18,108.71,2251418
"2015-10-08",109.24,112,108.83,111.65,1214530
"2015-10-15",110.3,112.15,109.83,111.93,2286748
"2015-10-22",112.93,118.36,111.6,117.28,3136040
"2015-10-29",118.4,119.42,118.06,118.78,1250908
"2015-11-05",118.82,119.37,118.19,119.15,1191566
"2015-11-12",119.26,119.47,117.5,118.21,1399863
"2015-11-19",125.64,126.65,124.99,126,1676193
"2015-12-03",123.75,123.91,122.25,122.81,2197236
"2015-12-10",126.26,128.3,125.6,127.4,1697242
"2015-12-17",127.95,129.99,127.44,127.47,1900604
"2015-12-24",126.36,126.73,126.01,126.29,631000
"2015-12-31",125.13,125.42,123.2,124.53,1186695
"2016-01-07",124.4,125.2,122.14,123,2082566
"2016-01-14",121.32,121.98,119.74,121.53,2593639
"2016-01-21",118.89,119.1,117.02,117.62,1788187
"2016-01-28",119.35,123.27,118.5,122.18,2680320
"2016-02-04",127.54,128.25,125.54,126.42,2499240
"2016-02-11",124.17,125.26,120.03,122.18,3902311
"2016-02-18",119.83,122.81,119.38,121.58,1997916
"2016-02-25",123.84,125.02,123.56,125.02,1325611
"2016-03-03",124.58,125.46,124.07,124.91,1450125
"2016-03-10",122.52,123.11,121.53,121.85,1883810
"2016-03-17",123.38,123.91,121.55,122.59,2127947
"2016-03-24",123.46,124.33,122.8,122.95,1244091
"2016-03-31",123.81,123.97,122.1,122.63,1444055
"2016-04-07",126.67,127.1,125.81,126.57,1957124
"2016-04-14",125.99,126,124.86,125.15,890085
"2016-04-21",126.22,127.95,126.13,126.29,1710799
"2016-04-28",128.72,129.38,126.25,127.51,4325372
"2016-05-05",127.17,128.24,126.58,128.21,1477961
"2016-05-12",130.89,132.43,130.71,131.91,1401876
"2016-05-19",129.88,130.21,128.4,129.23,1223276
"2016-05-26",129.85,130.27,129.47,130.03,1707154
"2016-06-02",132.8,132.98,131.42,132.16,3434096
"2016-06-09",136.91,136.91,135.58,136.61,1606150
"2016-06-16",135.59,136.36,135.1,136.17,1232867
"2016-06-23",135.84,135.84,134.09,134.83,1032287
"2016-06-30",135.61,136.7,135,135.95,2526542
"2016-07-07",137.95,137.98,136.7,136.94,1453192
"2016-07-14",139.42,139.92,138.42,138.55,1101461
"2016-07-21",138.18,138.44,134.49,134.9,2335508
"2016-07-28",136.67,138.2,135.1,138.06,2103787
"2016-08-04",141,141.43,140.16,140.47,1365909
"2016-08-11",141.03,142.56,140.58,142.32,1962086
"2016-08-18",141.57,142.72,141.57,142.59,1296472
"2016-08-25",140.73,142.19,140.13,141.78,1096155
"2016-09-01",140.39,140.77,138.83,139.96,1272159
"2016-09-08",139.61,140.07,139.05,139.68,1275488
"2016-09-15",136.64,138.07,135.84,137.71,1009900
