"","DRI.Open","DRI.High","DRI.Low","DRI.Close","DRI.Volume"
"2013-11-14",52.19,52.76,52.12,52.66,718771
"2013-11-21",53.25,53.79,52.71,53.57,1137844
"2013-12-05",52.24,52.49,51.94,52.06,734783
"2013-12-12",51.1,51.67,50.69,51.38,1077984
"2013-12-19",51.73,51.82,49.35,51.02,14856919
"2013-12-26",54.02,54.41,53.92,54.32,894331
"2014-01-02",54.18,54.34,53.3,53.32,1782716
"2014-01-09",51.55,51.77,51.18,51.34,805996
"2014-01-16",51.92,52.8,51.75,52.24,1989946
"2014-01-23",50.49,51.18,50.06,51.09,1282747
"2014-01-30",49.52,49.7,49.11,49.5,1473576
"2014-02-06",47.4,48.19,47.39,47.82,854342
"2014-02-13",48.14,48.47,48.01,48.17,1157081
"2014-02-20",49.12,50.64,49.01,50.5,2182510
"2014-02-27",49.92,50.06,49.58,49.8,2025160
"2014-03-06",48.21,49.17,48.11,48.91,2361549
"2014-03-13",50.53,50.67,48.59,49.01,2816739
"2014-03-20",49.05,49.66,48.86,49.3,1334258
"2014-03-27",50.83,50.92,50,50.19,1159156
"2014-04-03",52.13,52.2,51.66,51.97,763687
"2014-04-10",50.3,51.07,49.43,49.43,1151445
"2014-04-17",49.24,49.36,48.24,48.47,1471188
"2014-04-24",50.55,50.56,49.98,50.11,883122
"2014-05-01",49.72,49.81,49.46,49.63,728241
"2014-05-08",49.22,49.75,49.18,49.38,791601
"2014-05-15",50.3,50.8,49.98,50.69,2139010
"2014-05-22",48.65,49.71,48.41,49.51,1083003
"2014-05-29",50.46,50.46,49.77,49.88,678526
"2014-06-05",50.17,50.94,49.91,50.71,700297
"2014-06-12",50.2,50.34,49,49.33,1290454
"2014-06-19",49.89,50.17,49.29,49.52,1450527
"2014-06-26",46.56,46.98,46.3,46.89,1592762
"2014-07-03",46.3,46.49,46.27,46.32,528296
"2014-07-10",45.16,45.35,44.66,44.76,1973473
"2014-07-17",43.75,43.91,43.56,43.76,1641682
"2014-07-24",44.46,45.41,44.25,45.29,1959192
"2014-07-31",46.74,46.9,46.31,46.75,3091359
"2014-08-07",47.28,47.43,46.67,46.79,3785090
"2014-08-14",46.82,47.42,46.76,47.09,883762
"2014-08-21",47.51,47.64,47.36,47.45,1041582
"2014-08-28",47.13,47.54,46.91,47.15,952625
"2014-09-04",47.51,48.09,47.49,47.83,1596454
"2014-09-11",47.77,48.36,47.55,48.29,1899246
"2014-09-18",49.78,50.39,49.43,50.35,1646025
"2014-09-25",51.55,51.72,51.21,51.28,1229941
"2014-10-02",51.3,51.9,51.15,51.48,1842660
"2014-10-09",49.62,50.29,49.17,49.27,1939811
"2014-10-16",47.62,48.73,47.53,48.36,2129387
"2014-10-23",50,50.6,49.81,50.3,2011719
"2014-10-30",50.74,51.4,48.91,51.18,1343989
"2014-11-06",52.5,53.23,52.44,53.1,1268558
"2014-11-13",56.52,56.85,56.02,56.3,1812704
"2014-11-20",55.36,56.09,55.36,55.79,1197011
"2014-12-04",58.16,58.34,57.74,57.85,1045598
"2014-12-11",57.87,58.36,57.72,57.83,1636631
