"","VFC.Open","VFC.High","VFC.Low","VFC.Close","VFC.Volume"
"2015-08-13",75.23,76.13,75.14,75.42,1375089
"2015-08-20",74.69,74.99,74.14,74.17,1458092
"2015-08-27",72.47,73.45,71.92,73.31,1904335
"2015-09-03",71.81,72.48,71.37,71.68,1391606
"2015-09-10",70.85,71.34,70.17,70.55,1101379
"2015-09-17",72,73.05,71.63,71.93,1565816
"2015-09-24",70.01,70.37,69.36,70.05,1351259
"2015-10-01",68.38,68.79,67.94,68.76,1830240
"2015-10-08",69.72,71.4,69.36,71.33,1613986
"2015-10-15",70.9,71.65,70.17,71.54,1687232
"2015-10-22",72.96,73.59,72.27,73.21,2265528
"2015-10-29",67.67,68.18,67.28,68.11,2417451
"2015-11-05",68.23,70.35,67.69,69.21,2478743
"2015-11-12",63.88,64.8,63.17,64.61,4128609
"2015-11-19",63.44,64.2,63.12,63.49,1908762
"2015-12-03",64.91,65.2,63.44,63.82,3706314
"2015-12-10",62.6,63.57,62.44,62.95,2123765
"2015-12-17",63.74,63.74,62.23,62.46,3039510
"2015-12-24",62.37,62.45,62.01,62.28,1181298
"2015-12-31",62.57,62.8,62.23,62.25,1583353
"2016-01-07",59.36,61.2,59.17,59.45,3156994
"2016-01-14",56.55,56.72,54.71,55.55,4969293
"2016-01-21",55.43,57.56,55.09,57,4842354
"2016-01-28",59.6,60.16,59.22,60.07,2837885
"2016-02-04",61.4,62.12,59.62,61.41,4069418
"2016-02-11",56.1,57.15,56.04,56.81,2648463
"2016-02-18",60.81,61.82,60.54,61.25,3097939
"2016-02-25",63.42,64.74,63.15,64.68,3150002
"2016-03-03",66.36,66.83,65.76,66.33,2372749
"2016-03-10",65.18,65.53,64.21,65.25,1810135
"2016-03-17",65.19,66.5,64.86,66.4,2332108
"2016-03-24",64.43,64.46,63.74,64.07,2050247
"2016-03-31",65.29,65.82,64.57,64.76,1747548
"2016-04-07",63.42,64.07,63.38,64.01,1703319
"2016-04-14",63.99,64.21,63.41,63.67,934275
"2016-04-21",65.42,65.5,63.82,63.96,1926038
"2016-04-28",63.77,63.85,62.49,62.66,2782019
"2016-05-05",64.15,64.28,63.61,63.84,3416474
"2016-05-12",61.1,61.19,60.01,60.84,4475303
"2016-05-19",60.31,61.12,59.63,60.28,2257338
"2016-05-26",62.35,62.42,61.93,62.07,1268775
"2016-06-02",62.12,62.89,62,62.74,2340367
"2016-06-09",62.88,63.22,62.65,63.16,1777068
"2016-06-16",61.92,62.38,61.68,62.3,2105106
"2016-06-23",65.13,65.28,64.62,65.03,913187
"2016-06-30",60.88,61.49,60.22,61.49,2172316
"2016-07-07",62.24,62.92,62.15,62.74,1692658
"2016-07-14",65.06,65.25,64.59,64.72,1198934
"2016-07-21",64.32,64.6,62.88,63.17,3300569
"2016-07-28",61.67,61.74,61.1,61.63,1537436
"2016-08-04",60.74,61.33,60.59,60.88,2344325
"2016-08-11",62.76,64,62.37,63.93,2461182
"2016-08-18",63.74,64.2,63.62,64.19,1976222
"2016-08-25",64.21,64.9,63.92,64.22,1339126
"2016-09-01",61.34,61.58,60.86,61.56,3150298
"2016-09-08",60.44,60.62,59.63,59.84,2385920
"2016-09-15",55.25,56.68,55.21,56.2,8732814
