"","PFG.Open","PFG.High","PFG.Low","PFG.Close","PFG.Volume"
"2012-11-08",26.79,27.29,26.5,26.5,1412429
"2012-11-15",26.23,26.47,26.02,26.23,1146375
"2012-11-29",26.92,27.01,26.74,26.92,1450722
"2012-12-06",27.66,27.77,27.58,27.69,973967
"2012-12-13",27.95,28.09,27.6,27.62,1744498
"2012-12-20",28.12,28.44,28.02,28.42,925134
"2012-12-27",28.11,28.19,27.89,28.11,1372151
"2013-01-03",29.02,29.19,28.76,28.87,1864088
"2013-01-10",29.48,29.67,29.35,29.67,1214101
"2013-01-17",29.21,29.68,29.05,29.51,1694386
"2013-01-24",30.36,30.74,30.28,30.56,1496304
"2013-01-31",30.67,31.03,30.49,31.01,2057205
"2013-02-07",30.67,30.7,30.19,30.52,1627347
"2013-02-14",31.26,31.7,31.12,31.62,1753022
"2013-02-21",31.41,31.48,30.77,30.91,2553983
"2013-02-28",31.7,31.94,31.54,31.61,1934371
"2013-03-07",32.33,32.8,32.24,32.65,1332107
"2013-03-14",34.27,34.58,34.24,34.38,1384752
"2013-03-21",33.42,33.66,33.21,33.35,1353233
"2013-03-28",33.64,34.05,33.56,34.03,1363523
"2013-04-04",33.35,33.71,33.31,33.66,1075139
"2013-04-11",34.89,35.48,34.82,35.45,2408786
"2013-04-18",34.25,34.25,33.43,33.58,2084221
"2013-04-25",35.69,36.37,35.46,35.78,2286838
"2013-05-02",35.72,36.18,35.51,35.99,1076333
"2013-05-09",37.22,37.34,36.75,36.89,1167220
"2013-05-16",37.92,38.14,37.56,37.64,934842
"2013-05-23",37.11,37.35,36.77,37.26,1286749
"2013-05-30",37.97,38.75,37.96,38.51,1203903
"2013-06-06",37.27,37.81,36.96,37.8,1302666
"2013-06-13",38.02,38.77,37.89,38.67,1169828
"2013-06-20",37.82,38.01,37.06,37.23,2652374
"2013-06-27",37.71,38.04,37.62,37.97,834083
"2013-07-11",38.93,39,38.43,38.85,1395095
"2013-07-18",39.61,39.98,39.55,39.83,1341969
"2013-07-25",39.88,40.52,39.8,40.46,1362653
"2013-08-01",43.82,44.94,43.82,44.85,2271542
"2013-08-08",43.37,43.68,42.91,43.11,1203121
"2013-08-15",42.37,42.52,41.91,41.97,715020
"2013-08-22",42.15,42.86,42.07,42.45,864908
"2013-08-29",40.76,41.68,40.53,41.16,1180843
"2013-09-05",42,42.46,41.92,42.08,998420
"2013-09-12",43.77,43.82,43.3,43.44,923475
"2013-09-19",44.07,44.11,43.14,43.2,1783859
"2013-09-26",43.28,43.76,43.21,43.49,754621
"2013-10-03",42.85,43.05,42.05,42.61,1081597
"2013-10-10",42.66,43.32,42.62,43.32,1469277
"2013-10-17",44.68,45.72,44.55,45.62,1702818
"2013-10-24",46.32,46.79,46.04,46.75,1160920
"2013-10-31",47.41,47.9,47.27,47.46,1211219
"2013-11-07",48,48.45,46.94,46.96,1383335
"2013-11-14",48.4,48.99,48.11,48.94,836103
"2013-11-21",49.24,49.71,49.16,49.69,1130944
"2013-12-05",49.09,49.49,48.87,49.17,1177658
"2013-12-12",48.4,48.8,48.23,48.32,949272
"2013-12-19",48.28,48.4,47.99,48.2,2402960
"2013-12-26",49.43,49.67,49.13,49.56,630658
"2014-01-02",48.96,49.1,48.35,48.62,1014181
"2014-01-09",49.47,49.83,49.19,49.79,1178255
"2014-01-16",48.13,48.28,47.76,47.94,1144957
"2014-01-23",46.77,46.86,45.46,45.68,1640989
"2014-01-30",43.71,44.39,43.71,44.3,1018650
"2014-02-06",42.47,42.76,42.17,42.74,1285902
"2014-02-13",43.5,44.49,43.26,44.46,1892812
"2014-02-20",44.23,44.37,43.69,44.09,967836
"2014-02-27",44.36,44.78,44.17,44.66,575157
"2014-03-06",46.4,46.98,46.09,46.69,1181103
"2014-03-13",46.61,46.8,45.7,45.8,959049
"2014-03-20",45.9,46.47,45.79,46.03,1783892
"2014-03-27",46.58,46.66,45.22,45.29,2240121
"2014-04-03",47.47,47.49,46.71,47.26,1321666
"2014-04-10",45.92,46,44.31,44.31,1343724
"2014-04-17",44.82,45.6,42.9,45.2,1290807
"2014-04-24",45.36,45.63,44.44,44.79,1464804
"2014-05-01",46.72,46.94,46.29,46.5,1100490
"2014-05-08",46.43,47.15,46.32,46.78,1437079
"2014-05-15",46.2,46.28,44.66,45.25,2049857
"2014-05-22",46.06,46.67,45.94,46.41,1003653
"2014-05-29",46.73,47,46.3,46.63,690893
"2014-06-05",48.16,48.26,47.49,48.18,1402339
"2014-06-12",48.83,49,48.38,48.68,863165
"2014-06-19",49.82,49.96,49.5,49.96,924385
"2014-06-26",50.22,50.42,49.65,50.37,1225902
"2014-07-03",51.11,51.64,51.08,51.54,536349
"2014-07-10",50.77,51.32,50.45,51.22,1401978
"2014-07-17",51.6,52.08,50.94,51.09,1049254
"2014-07-24",51.97,51.97,51.46,51.78,1028837
"2014-07-31",50.83,51.03,49.68,49.68,1335768
"2014-08-07",50.45,50.71,49.32,49.5,1109416
"2014-08-14",51.11,51.52,51.09,51.4,508196
"2014-08-21",52.61,53.52,52.28,53.47,1465028
"2014-08-28",53.92,54.35,53.68,53.93,970902
"2014-09-04",54.38,54.56,53.92,54.18,1066116
"2014-09-11",53.46,53.99,53.36,53.96,676136
"2014-09-18",54.13,54.77,54.13,54.61,851568
"2014-09-25",53.93,54.1,53.05,53.05,939460
"2014-10-02",50.58,51.11,50.06,50.8,1478702
"2014-10-09",51.37,51.43,49.87,50.05,1683170
"2014-10-16",47.01,48.58,46.85,48.13,2464263
"2014-10-23",50.53,50.98,50.31,50.6,1690829
"2014-10-30",51.05,52,50.94,51.73,1178688
"2014-11-06",52.55,52.61,51.97,52.4,1444206
"2014-11-13",53.38,53.62,52.92,53.25,654082
"2014-11-20",52.49,53.18,52.27,53.04,614577
"2014-12-04",52.9,53.04,52.4,52.65,844621
"2014-12-11",52.9,53.77,52.81,53.3,1417096
"2014-12-18",50.97,52.27,50.72,52.26,2249646
"2015-01-08",51.03,51.87,50.8,51.73,2332932
"2015-01-15",48.32,48.65,47.43,47.46,1211155
"2015-01-22",48.26,49.44,47.79,49.32,1093847
"2015-01-29",47.92,48.55,47.44,48.08,1614026
"2015-02-05",48.25,49.11,48.03,48.93,1646346
"2015-02-12",50.19,51.12,50.19,51.1,1160233
"2015-02-19",51.16,51.74,51.07,51.6,853876
"2015-02-26",51.99,52.01,51.36,51.67,766599
"2015-03-05",50.28,50.77,50.13,50.71,1280539
"2015-03-12",50.12,51.04,50.11,51.04,1067926
"2015-03-19",51.13,51.15,50.05,50.66,1419204
"2015-03-26",50.69,51.11,50.44,50.81,1138558
"2015-04-02",50.98,51.58,50.88,51.41,786327
"2015-04-09",51.77,52.23,51.5,51.96,947719
"2015-04-16",51.56,52.02,51.16,51.85,983525
"2015-04-23",51.16,51.47,50.85,51.31,1480305
"2015-04-30",51.7,51.9,50.91,51.12,964162
"2015-05-07",51.3,52,50.99,51.64,1139066
"2015-05-14",52.08,52.21,51.66,51.99,989767
"2015-05-21",52.8,53.28,52.69,52.88,1154624
"2015-05-28",51.94,52.39,51.49,52.33,942095
"2015-06-04",52.46,52.69,51.73,51.78,1362295
"2015-06-11",52.73,53.26,52.59,52.86,1360494
"2015-06-18",52.32,53.1,52.07,52.88,2002008
"2015-06-25",53.15,53.24,52.08,52.08,1366476
"2015-07-02",51.69,51.8,51.23,51.48,855098
"2015-07-09",51.19,51.38,50.39,50.59,1811730
"2015-07-16",52.92,53.13,52.64,53.09,1062174
"2015-07-23",52.95,53.17,52.37,52.48,1092044
"2015-07-30",54.76,55.46,54.64,55.29,1308357
"2015-08-06",55.94,56.19,55.33,55.56,1060720
"2015-08-13",56.11,57.08,56.03,56.92,1688426
"2015-08-20",56.05,56.61,56.05,56.12,1410476
"2015-08-27",51.18,51.75,50.19,51.42,2219452
"2015-09-03",48.72,49.3,48.5,48.72,1270873
"2015-09-10",46.99,47.78,46.62,47.41,1774520
"2015-09-17",49.41,49.86,48.92,49.07,1941855
"2015-09-24",46.95,47.51,46.75,47.4,1101992
"2015-10-01",47.5,47.54,46.81,47.37,1070658
"2015-10-08",49.21,49.8,49.04,49.72,886350
"2015-10-15",48.07,48.78,47.84,48.77,871083
"2015-10-22",49.02,50.22,48.94,49.77,1574011
"2015-10-29",50.79,51.22,50.51,50.8,1365337
"2015-11-05",50.87,51.11,50.55,50.93,856416
"2015-11-12",50.14,50.25,49.02,49.04,1292700
"2015-11-19",50.74,50.98,50.45,50.72,633436
"2015-12-03",50.76,50.76,48.03,48.2,3629689
"2015-12-10",47.26,47.91,47.16,47.43,1759444
"2015-12-17",46.81,46.92,45.21,45.23,1703893
"2015-12-24",45.66,45.87,45.48,45.66,383542
"2015-12-31",45.21,45.87,44.92,44.98,933670
"2016-01-07",41.3,41.65,40.1,40.23,2936186
"2016-01-14",38.77,39.39,37.69,38.99,1954810
"2016-01-21",36.59,37.74,36.38,36.84,1719388
"2016-01-28",38.04,38.7,36.99,37.46,1830871
"2016-02-04",35.51,36.78,35.21,36.34,2758107
"2016-02-11",34.78,34.99,33.72,34.34,3174711
"2016-02-18",37.66,37.69,36.93,37.18,2091838
"2016-02-25",37.21,37.79,37.06,37.74,1589260
"2016-03-03",39.09,39.21,38.52,39.1,2093941
"2016-03-10",38.93,39.03,37.69,38.46,1164484
"2016-03-17",39.9,40.94,39.61,40.66,1589374
"2016-03-24",39.27,39.27,38.36,38.9,2340614
"2016-03-31",39.66,39.92,39.21,39.45,1568633
"2016-04-07",38.99,39.13,38.38,38.69,2040244
"2016-04-14",41.59,41.85,41.27,41.46,1631967
"2016-04-21",43.31,43.75,43.15,43.3,1652142
"2016-04-28",43.41,43.62,42.79,42.87,2279493
"2016-05-05",42.17,42.56,41.76,42.25,2148215
"2016-05-12",42.82,43.07,42.15,42.45,1231210
"2016-05-19",43.1,43.4,42.01,42.36,1908954
"2016-05-26",44.43,44.47,43.95,44.04,1061023
"2016-06-02",43.71,43.93,43.5,43.93,1041530
"2016-06-09",43.46,43.62,43,43.14,998885
"2016-06-16",41.07,42.18,40.92,42.13,2082640
"2016-06-23",44.05,44.82,44.05,44.52,2851401
"2016-06-30",40.46,41.13,39.98,41.11,1489450
"2016-07-07",40.12,40.84,39.8,40.18,1164540
"2016-07-14",44.15,44.35,43.68,44.08,1550395
"2016-07-21",44.47,44.6,44.11,44.28,881950
"2016-07-28",44.52,44.78,44.22,44.71,993079
"2016-08-04",45.71,45.94,45.35,45.88,1369496
"2016-08-11",47.07,47.32,46.8,47.16,837077
"2016-08-18",47.37,47.61,47.13,47.4,780224
"2016-08-25",47.63,47.99,47.5,47.99,871208
"2016-09-01",49.22,49.42,48.21,48.88,1007713
"2016-09-08",49.08,49.29,48.8,48.96,925815
"2016-09-15",48.36,49.14,48.2,48.96,1434827
