"","GPC.Open","GPC.High","GPC.Low","GPC.Close","GPC.Volume"
"2012-08-16",63.4,64.22,63.1,64.02,426266
"2012-08-23",63.84,64.02,63.51,63.67,485969
"2012-08-30",62.82,63.53,62.63,63.31,561613
"2012-09-06",61.46,62.48,61.44,62.37,621597
"2012-09-13",62.46,63.21,62,63.01,616027
"2012-09-20",62.32,62.61,61.98,62.53,714811
"2012-09-27",61.77,61.77,60.75,60.99,797469
"2012-10-04",61.2,63.02,61.01,62.56,997477
"2012-10-11",61.77,62.2,61.34,61.34,570759
"2012-10-18",64,64.58,59.53,61.87,3368160
"2012-10-25",61.05,61.46,60.62,60.88,757974
"2012-11-01",62.5,64.34,62.31,63.6,1519766
"2012-11-08",62.72,62.86,61.75,61.76,938073
"2012-11-15",60.1,60.96,60.01,60.41,666308
"2012-11-29",63.84,64.41,63.53,64.39,722501
"2012-12-06",64.21,64.29,63.68,63.99,459217
"2012-12-13",63.19,63.6,62.9,63,631999
"2012-12-20",64,64.69,63.68,64.67,584069
"2012-12-27",63.17,63.69,62.76,63.56,632137
"2013-01-03",65.45,65.92,65.27,65.4,580826
"2013-01-10",66.04,66.5,64.98,65.64,643863
"2013-01-17",65.59,65.89,65.42,65.42,483574
"2013-01-24",66.14,66.88,65.83,66.6,499210
"2013-01-31",67.52,68.14,67.11,68.03,1096469
"2013-02-07",69.7,70.07,69.17,69.5,802365
"2013-02-14",70.55,70.87,70.36,70.79,581533
"2013-02-21",68.92,68.98,68.3,68.64,907974
"2013-02-28",70.58,71.47,70.37,71.03,1767205
"2013-03-07",73.26,73.34,72.47,73.21,1556153
"2013-03-14",75.87,76.56,75.65,76.56,1070572
"2013-03-21",76.34,77.35,76.27,77.21,1004867
"2013-03-28",77.34,78.12,77.1,78,556796
"2013-04-04",76.83,77.53,76.7,77.5,372413
"2013-04-11",78.04,78.24,77.68,78,1256299
"2013-04-18",75.61,76.24,74.52,75.3,1027809
"2013-04-25",74.55,76.15,74.2,75.52,771661
"2013-05-02",74.76,76.05,74.71,75.92,520812
"2013-05-09",77.87,78.05,77.36,77.66,658955
"2013-05-16",79.89,80.38,79.45,79.85,702821
"2013-05-23",81.4,82.68,81.18,81.97,502621
"2013-05-30",79.83,80.17,78.34,78.53,1098821
"2013-06-06",75.56,76,75.12,75.9,653606
"2013-06-13",77.57,78.69,77.3,78.62,411837
"2013-06-20",77.94,78,76.33,76.47,752993
"2013-06-27",77.11,77.65,76.86,77.35,465414
"2013-07-11",84.33,84.86,84,84.8,789012
"2013-07-18",83,84.61,81.1,82.34,2099912
"2013-07-25",81.07,81.93,80.82,81.91,917645
"2013-08-01",82.66,84.04,82.53,83.97,493571
"2013-08-08",83.29,83.48,82.23,82.4,776168
"2013-08-15",80.16,80.17,78.69,78.75,864653
"2013-08-22",78.98,79.57,78.52,79.35,364550
"2013-08-29",77.2,77.74,77.01,77.3,425604
"2013-09-05",77.06,78.56,76.94,78.32,614451
"2013-09-12",80.91,81.22,80.01,80.23,551639
"2013-09-19",81.94,82.42,81.43,81.75,336957
"2013-09-26",80.99,81.5,80.32,80.7,463665
"2013-10-03",81.36,81.43,79.28,79.35,895424
"2013-10-10",79.23,80.72,78.96,80.55,670490
"2013-10-17",79.47,80.9,79.16,80.77,926845
"2013-10-24",78.7,79.06,78.37,78.84,602390
"2013-10-31",78.93,79.33,78.38,78.83,675427
"2013-11-07",81.25,81.31,79.4,79.48,716786
"2013-11-14",81.94,82.67,81.55,82.63,958799
"2013-11-21",81.4,81.82,81.12,81.65,1703977
"2013-12-05",81.34,81.39,80.25,80.33,1006224
"2013-12-12",81.43,81.68,81,81.09,544184
"2013-12-19",81.64,81.93,81.39,81.6,907427
"2013-12-26",82.84,83.14,82.68,83.03,254552
"2014-01-02",83.1,83.13,81.63,81.92,545102
"2014-01-09",82.98,83.42,82.23,82.83,567455
"2014-01-16",83.52,84.61,83.28,84.6,726259
"2014-01-23",84.03,84.16,83.5,84.05,674024
"2014-01-30",81.99,82.14,81.25,82.08,805802
"2014-02-06",78.54,80.89,78.26,80.6,1085552
"2014-02-13",83.11,85.04,83.11,84.64,931770
"2014-02-20",86.27,87.17,85.86,87.05,663401
"2014-02-27",86.94,87.14,86.1,86.79,618721
"2014-03-06",88.03,88.12,87.01,87.09,523179
"2014-03-13",87.11,87.25,85.54,85.54,818773
"2014-03-20",84.68,85.3,84.46,85.08,598372
"2014-03-27",84.05,84.16,83.51,83.96,449809
"2014-04-03",87.71,87.95,87.17,87.61,690184
"2014-04-10",87.03,87.32,85.45,85.46,655603
"2014-04-17",87.4,88.28,87.16,87.32,936059
"2014-04-24",86.84,86.84,85.89,86.23,435866
"2014-05-01",87.08,87.5,85.63,85.84,761913
"2014-05-08",84.78,85.68,84.62,85,551702
"2014-05-15",85,85.16,83.96,84.54,545903
"2014-05-22",84.87,85.5,84.69,85.04,284622
"2014-05-29",86.27,86.27,85.5,85.76,448214
"2014-06-05",85.7,86.19,85.05,85.97,524656
"2014-06-12",85.49,85.49,84.98,85.09,431301
"2014-06-19",87.03,87.34,86.37,86.66,451665
"2014-06-26",86.62,86.72,85.74,86.46,291921
"2014-07-03",88.01,89.15,87.88,89.05,417657
"2014-07-10",87.6,87.86,86.85,86.88,561985
"2014-07-17",86.34,87.05,85.99,86.03,414547
"2014-07-24",85.73,85.91,85.24,85.46,519961
"2014-07-31",84.27,84.56,82.82,82.82,1142656
"2014-08-07",83.42,83.66,82.17,82.35,463030
"2014-08-14",84.71,85.62,84.48,85.55,642040
"2014-08-21",87.56,88.36,86.99,87.7,559719
"2014-08-28",86.41,87.55,86.41,87.45,429642
"2014-09-04",87.5,88.44,87.48,87.86,356250
"2014-09-11",87.11,87.52,86.98,87.27,344730
"2014-09-18",89.17,89.49,88.77,89.44,339992
"2014-09-25",88.32,88.45,87.3,87.41,359305
"2014-10-02",86.47,87.35,86.17,87.09,509954
"2014-10-09",88.09,88.2,86.37,86.52,596176
"2014-10-16",85.57,88.36,85.57,88.05,818046
"2014-10-23",93.84,94.36,92.66,92.8,900854
"2014-10-30",93.76,95.47,93.44,95.36,572969
"2014-11-06",98.38,99,97.84,98.59,999414
"2014-11-13",100.59,101.07,100.25,100.54,818094
"2014-11-20",99.72,100.77,99.57,100.66,381102
"2014-12-04",103.44,103.79,102.82,103.65,858611
"2014-12-11",102.7,104.43,102.47,103.27,542154
"2014-12-18",105.12,105.47,104.31,105.47,764345
"2015-01-08",103.71,104.23,102.58,103.27,1218794
"2015-01-15",95.5,95.97,94.91,95.08,1471101
"2015-01-22",98.24,99.01,97.3,98.58,779531
"2015-01-29",95.67,95.77,94.52,95.42,1363182
"2015-02-05",95.97,97.02,95.3,95.95,1330320
"2015-02-12",96.29,96.96,95.92,96.79,656658
"2015-02-19",95.65,96.49,95.37,95.71,583535
"2015-02-26",96.44,96.79,96.16,96.53,440176
"2015-03-05",94.22,94.64,93.97,94.23,435602
"2015-03-12",92.89,94.82,92.89,94.72,774132
"2015-03-19",95.14,95.81,94.72,95.53,577323
"2015-03-26",92.46,92.73,91.74,92.33,472899
"2015-04-02",91.76,92.96,91.51,92.73,714570
"2015-04-09",92.92,93.31,92.42,92.91,353890
"2015-04-16",92.47,92.67,91.65,92.11,356048
"2015-04-23",92.96,93.71,92.34,93.13,587358
"2015-04-30",90.6,91.23,89.47,89.85,1054306
"2015-05-07",92.02,92.98,91.74,92.59,455029
"2015-05-14",93.21,94.1,92.5,94.04,690300
"2015-05-21",93.42,93.82,92.99,93.57,420489
"2015-05-28",92.94,93.1,91.95,92.41,398434
"2015-06-04",91.84,91.87,90.63,91,689317
"2015-06-11",91.51,91.88,90.73,90.85,602250
"2015-06-18",92.07,92.95,91.79,92.63,539206
"2015-06-25",91.82,92.04,91.26,91.6,442268
"2015-07-02",90.83,90.91,89.61,90.03,497230
"2015-07-09",88.93,88.95,87.96,88.27,639757
