"","EW.Open","EW.High","EW.Low","EW.Close","EW.Volume"
"2012-12-13",45.24,45.63,45.12,45.24,904542
"2012-12-20",45.96,46.32,45.75,46.15,869610
"2012-12-27",45.26,45.66,45.02,45.52,1005250
"2013-01-03",46.04,46.46,46,46.26,1179648
"2013-01-10",46.74,46.75,45.98,46.02,1367436
"2013-01-17",45.8,46.03,45.41,45.76,1221666
"2013-01-24",45.39,45.88,45.36,45.8,1574566
"2013-01-31",45.13,45.32,44.85,44.96,2214222
"2013-02-07",43.4,43.46,42.24,43,3232620
"2013-02-14",43.48,43.6,43.04,43.18,1389420
"2013-02-21",43.02,43.4,42.55,42.84,2068850
"2013-02-28",43.26,43.7,42.9,42.96,1915138
"2013-03-07",44.28,44.62,44.23,44.46,1520616
"2013-03-14",43.94,43.94,42.62,42.69,1976866
"2013-03-21",40.37,41.09,40.35,40.96,2244092
"2013-03-28",40.9,41.4,40.74,41.08,1759610
"2013-04-04",41.74,41.9,41.14,41.21,1591784
"2013-04-11",41.61,42.3,41.57,41.91,1551996
"2013-04-18",41.98,42.21,41.22,41.38,1337894
"2013-04-25",32.87,33.06,32.68,32.7,8269470
"2013-05-02",31.39,32.34,31.39,32.1,3043082
"2013-05-09",32.72,33.73,32.56,33.36,2868680
"2013-05-16",35.42,35.42,33.88,34.3,3990718
"2013-05-23",31.98,33.15,31.98,32.86,2924968
"2013-05-30",32.2,32.67,32.14,32.48,2561634
"2013-06-06",33.18,33.48,32.74,33.25,2755606
"2013-06-13",34.35,36.32,34.35,35.98,3993926
"2013-06-20",34.2,34.24,33.3,33.34,1596498
"2013-06-27",33.28,33.73,33.26,33.41,962184
"2013-07-11",33.1,33.23,32.67,32.9,2814134
"2013-07-18",33.94,34.08,33.1,33.5,2133458
"2013-07-25",35.08,35.43,34.83,35.34,2745710
"2013-08-01",36.1,36.86,36.08,36.7,2402350
"2013-08-08",36.14,36.52,35.82,36.42,1168428
"2013-08-15",36.16,36.16,35.3,35.66,1741962
"2013-08-22",35.88,36.46,35.87,36.15,2290262
"2013-08-29",35.16,35.46,35.12,35.34,1125970
"2013-09-05",35.62,36.16,35.62,35.9,1398000
"2013-09-12",36.14,36.15,35.81,35.85,1014218
"2013-09-19",35.58,35.58,35.23,35.36,1250886
"2013-09-26",34.34,34.5,33.77,34.29,6125076
"2013-10-03",35.96,36.42,35.56,36.1,2987740
"2013-10-10",36.82,36.88,36.36,36.87,1727040
"2013-10-17",38.3,38.56,38.22,38.54,1429926
"2013-10-24",39.12,39.32,38.34,38.73,1771390
"2013-10-31",33.08,33.13,32.44,32.6,6728288
"2013-11-07",31.42,32.06,31.3,31.8,2842912
"2013-11-14",31.84,32.26,31.46,31.78,2602346
"2013-11-21",31.61,32.56,31.5,32.36,2647186
"2013-12-05",32.43,32.74,32.3,32.6,1236882
"2013-12-12",30.84,31,30.68,30.81,2834554
"2013-12-19",31.71,32.07,31.46,31.98,2271054
"2013-12-26",32.89,32.89,32.48,32.7,1611390
"2014-01-02",32.84,33.22,32.6,32.96,1670338
"2014-01-09",33.44,34.24,33.21,34.2,1798152
"2014-01-16",36.25,36.7,36.08,36.34,4181736
"2014-01-23",34.01,34.43,34.01,34.14,1796604
"2014-01-30",32.95,32.99,32.52,32.74,1805040
"2014-02-06",33.35,33.72,33.02,33.3,2139918
"2014-02-13",33.26,33.76,33.12,33.6,2143910
"2014-02-20",33.49,34.12,33.36,34.05,1509124
"2014-02-27",33.87,34.24,33.43,34.12,1906104
"2014-03-06",36.2,37.1,35.9,36.15,3792010
"2014-03-13",36.99,36.99,35.95,36,1263904
"2014-03-20",36.91,37.02,36.27,36.52,1391408
"2014-03-27",36.39,36.7,35.44,35.63,2191068
"2014-04-03",37.46,37.66,37.13,37.6,2347050
"2014-04-10",37.25,37.73,37.05,37.25,2944786
"2014-04-17",40,40.84,39.63,40.64,4266826
"2014-04-24",40.2,40.22,39.26,40.14,1906332
"2014-05-01",40.64,41.36,40.6,41.21,2011324
"2014-05-08",41.92,42.36,41.68,41.94,1549430
"2014-05-15",43,43.3,42.8,42.94,2650720
"2014-05-22",42.55,42.62,40.51,40.7,4418338
"2014-05-29",40.38,40.68,40.18,40.27,1195434
"2014-06-05",40.36,40.71,40,40.21,1812890
"2014-06-12",41.12,41.24,39.94,39.94,3793712
"2014-06-19",41.35,42.06,41.24,42.04,1631910
"2014-06-26",42.46,42.97,42.4,42.96,851004
"2014-07-03",43.86,44.1,43.75,44.04,1316886
"2014-07-10",43.54,44.12,43.38,44.08,836712
"2014-07-17",43,43.55,42.5,42.52,1833460
"2014-07-24",43.02,43.06,42.55,42.58,4484394
"2014-07-31",46.06,46.25,45.1,45.12,4578524
"2014-08-07",47.63,47.76,47.01,47.18,2302104
"2014-08-14",48.08,48.08,47.73,47.84,1715948
"2014-08-21",49.22,49.47,49.04,49.35,1896500
"2014-08-28",48.84,49.2,48.42,49.13,1239196
"2014-09-04",49.03,49.43,48.8,49.22,1548652
"2014-09-11",50.37,50.75,50.22,50.59,1375458
"2014-09-18",51.24,51.73,51.07,51.66,1154996
"2014-09-25",52.02,52.07,51.32,51.32,1110582
"2014-10-02",51.63,52.23,51.42,52.14,1414088
"2014-10-09",53.42,54.02,52.8,52.84,1627378
"2014-10-16",49.09,49.54,48.54,49.02,2524746
"2014-10-23",52.82,53.94,52.22,52.6,2942472
"2014-10-30",59.82,60.26,59.53,60.14,1319536
"2014-11-06",60.36,61.84,60.29,61.78,1587684
"2014-11-13",61.46,62.43,61.46,62.28,1482004
"2014-11-20",62.13,62.74,61.45,62.7,1098142
"2014-12-04",65.53,66,64.89,65,1650670
"2014-12-11",65.52,66.72,65.38,66.04,2520122
"2014-12-18",65.48,65.72,64.94,65.7,2588702
"2015-01-08",65.51,66.74,65.28,66.58,2319514
"2015-01-15",66.3,66.56,64.24,64.3,2550696
"2015-01-22",64.88,65.44,63.78,65.17,2322688
"2015-01-29",64.46,64.81,63.9,64.64,1569002
"2015-02-05",67.5,68.44,67.32,67.42,2112174
"2015-02-12",66.19,66.44,65.28,66.17,1438948
"2015-02-19",67.16,67.49,66.76,66.86,1357310
"2015-02-26",67.11,67.75,66.98,67.45,1256982
"2015-03-05",67.8,68.48,67.56,67.82,1358894
"2015-03-12",67.53,68.71,67.36,68.5,2336802
"2015-03-19",73.64,74.66,73.63,74.47,1770312
"2015-03-26",70.38,71.4,69.06,70.95,2106946
"2015-04-02",70.66,71.02,69.94,70.3,1682970
"2015-04-09",69.46,70,68.85,69.68,1606340
"2015-04-16",70.51,71.14,70.38,70.86,918994
"2015-04-23",70.38,71.6,70.33,70.96,2209892
"2015-04-30",64.77,65.48,63.04,63.32,2477260
"2015-05-07",62.37,62.93,61.88,61.98,2474344
"2015-05-14",64.54,65.39,64.1,65.28,2204780
"2015-05-21",65.96,66.11,65.14,65.91,2067510
"2015-05-28",65,65.72,64.87,65.32,1981460
"2015-06-04",65.53,65.98,65.14,65.8,1822588
"2015-06-11",67.42,68.2,67.18,67.58,1232352
"2015-06-18",70.82,73.44,70.53,72.55,4615768
"2015-06-25",71.81,73.04,71.46,72.3,1918866
"2015-07-02",72.07,72.28,70.56,71.22,1714560
"2015-07-09",72.5,73,72,72.54,1804172
"2015-07-16",76.62,77.52,76.58,77.24,1993326
"2015-07-23",78.62,78.78,77.74,78.12,1414594
"2015-07-30",76.8,77.5,76.26,76.55,2378784
"2015-08-06",75.02,75.96,71.81,72.14,2917978
"2015-08-13",71.9,72.65,71.34,72.2,1441732
"2015-08-20",72.1,72.48,71.45,71.45,2005278
"2015-08-27",70.32,73.1,70.26,72.8,3172868
"2015-09-03",69.78,70.49,68.53,68.78,1507426
"2015-09-10",68.68,69.67,68.59,69.1,1473982
"2015-09-17",70.24,71.68,70.04,70.8,1309358
"2015-09-24",70.39,70.76,69.75,70.16,1394568
"2015-10-01",70.76,74.65,70.32,74.5,4788728
"2015-10-08",72.22,73.36,71.6,73.14,2118100
"2015-10-15",72.34,73.91,71.98,73.58,2735418
"2015-10-22",74.98,75.72,72.88,74.29,2718648
"2015-10-29",76.78,77.99,76.34,77.5,2042988
"2015-11-05",78,79.73,78,79.32,1562746
"2015-11-12",77.21,79.5,76.4,76.48,1857470
"2015-11-19",78.2,78.68,77.5,77.96,1123142
"2015-12-03",81.58,82.16,78.45,78.7,2285126
"2015-12-10",81.22,82.98,80.7,81.78,2085508
"2015-12-17",82.4,82.84,80.93,80.99,881151
"2015-12-24",79.05,80.06,79,79.18,515393
"2015-12-31",78.81,79.76,78.42,78.98,1444757
"2016-01-07",79.39,79.39,76.79,77.56,2370374
"2016-01-14",74.81,77.33,73.92,77.1,2154356
"2016-01-21",76.63,79.66,76.33,77.8,3677726
"2016-01-28",78.18,78.18,75.24,75.88,2086181
"2016-02-04",83.19,84.48,82.47,83.6,3276103
"2016-02-11",77.55,79.78,76.9,79.04,2135131
"2016-02-18",86.72,88.53,86.05,86.24,2465393
"2016-02-25",88.08,89.58,87.92,89.56,1421384
"2016-03-03",88.09,88.3,86.5,87.12,1301303
"2016-03-10",86.11,87,85.66,86.49,1254626
"2016-03-17",85.62,86.23,83.9,84.37,1791897
"2016-03-24",85.23,87.64,85.13,87.34,2085194
"2016-03-31",88.84,89.12,87.91,88.21,2269201
"2016-04-07",107.55,107.65,104.29,105.25,1643936
"2016-04-14",107.91,108.73,107.27,107.49,1173326
"2016-04-21",108.03,108.93,107.19,108.1,1067058
"2016-04-28",109.29,109.82,106.97,107.25,1078345
"2016-05-05",103.13,104.68,102.92,104.37,1815337
"2016-05-12",105.08,105.8,103.49,105.59,1172506
"2016-05-19",99.8,99.8,97.2,97.82,4886459
"2016-05-26",100,100.42,99.28,99.43,1513697
"2016-06-02",100,102.27,99.84,102.1,2246217
"2016-06-09",102.4,103.87,102.2,102.48,963164
"2016-06-16",97.25,99.64,96.86,99.31,1629229
"2016-06-23",98.88,99.31,98.55,99.08,1392060
"2016-06-30",97.05,99.74,96.92,99.73,2145150
"2016-07-07",103.5,105.28,103.1,103.75,2166412
"2016-07-14",107.07,107.56,106.62,107.03,1280956
"2016-07-21",106.77,107.13,105.69,106.26,850420
"2016-07-28",114.68,115.38,112.66,112.99,1707263
"2016-08-04",113.65,113.99,112.59,112.98,732535
"2016-08-11",114.13,114.86,113.69,113.92,876710
"2016-08-18",112.52,116.37,112.27,114.95,2291584
"2016-08-25",114.17,115.31,113.34,114.77,1166424
"2016-09-01",115.5,115.98,114.5,115.87,1097907
"2016-09-08",115.98,117.43,115.4,117.33,1258636
"2016-09-15",115.07,117.53,114.86,116.97,981958
