"","NTAP.Open","NTAP.High","NTAP.Low","NTAP.Close","NTAP.Volume"
"2014-05-01",35.69,36.28,35.32,35.54,2965043
"2014-05-08",33.67,34.21,33.49,33.84,3978085
"2014-05-15",34.53,34.78,33.99,34.7,5309007
"2014-05-22",34.83,36.67,34.82,36.16,10438157
"2014-05-29",37,37.17,36.64,37.05,3562181
"2014-06-05",36.22,36.35,35.97,36.12,4118238
"2014-06-12",35.74,35.77,35.47,35.53,2574594
"2014-06-19",36.4,36.59,35.86,36.23,2949678
"2014-06-26",35.92,36.04,35.59,35.78,2360035
"2014-07-03",37.17,37.91,37.05,37.83,3325177
"2014-07-10",36.19,37.01,36.03,36.64,3201436
"2014-07-17",36.55,37.07,36.36,36.7,3910437
"2014-07-24",37.89,38.2,37.8,38.12,2653085
"2014-07-31",38.17,39.06,38.17,38.84,4899809
"2014-08-07",39.11,39.36,38.26,38.44,3220512
"2014-08-14",40,41.48,39.5,41.35,11062671
"2014-08-21",40.91,41.15,40.74,40.92,1805032
"2014-08-28",41.48,42.07,41.42,41.99,2946074
"2014-09-04",42.1,42.45,41.91,41.91,3338705
"2014-09-11",42.05,42.48,42,42.46,1385088
"2014-09-18",43.18,43.65,43.07,43.4,2131263
"2014-09-25",43.24,43.32,42.16,42.17,3162514
"2014-10-02",41.31,41.55,40.7,41.38,1967829
"2014-10-09",40.18,40.52,39.54,39.57,2402007
"2014-10-16",37.98,39.32,37.76,38.4,3313631
"2014-10-23",40.11,40.68,39.78,40.3,2377931
"2014-10-30",41.22,42.21,41.22,42.11,1831102
"2014-11-06",43.2,43.67,42.95,43.17,2082987
"2014-11-13",40.53,41.91,40.38,41.08,9249111
"2014-11-20",41.67,42.23,41.61,42.2,2592974
"2014-12-04",43.02,43.3,42.81,43.29,2106453
"2014-12-11",41.97,42.59,41.89,42.19,2112676
"2014-12-18",41.48,42.77,41.01,42.72,3756254
"2015-01-08",39.92,40.89,39.88,40.55,1959947
"2015-01-15",38.9,38.9,38.23,38.46,3159078
"2015-01-22",38.33,39.68,38.3,39.66,2378746
"2015-01-29",37.83,38.47,37.69,38.06,3773758
"2015-02-05",38.99,39.14,38.5,38.79,2028247
"2015-02-12",36.23,37.28,35.88,36.9,14347329
"2015-02-19",37.78,38.06,37.72,37.84,2765573
"2015-02-26",38.65,39.14,38.49,38.65,2912952
"2015-03-05",37.82,38.6,37.72,38.54,2793961
"2015-03-12",37.71,38.86,37.22,37.4,4017602
"2015-03-19",37.28,37.42,36.64,36.7,3775492
"2015-03-26",35.43,35.68,35.26,35.55,5171059
"2015-04-02",35.32,35.93,35.14,35.62,4377450
"2015-04-09",35.69,35.92,35.45,35.74,3285671
"2015-04-16",36.57,36.66,36.22,36.36,3152980
"2015-04-23",36.01,36.42,35.98,36.29,1701661
"2015-04-30",36.54,36.96,36.17,36.25,2558368
"2015-05-07",35.43,35.77,35.23,35.57,1865126
"2015-05-14",35.63,36.06,35.51,35.96,3470948
"2015-05-21",31.05,32.13,30.85,31.77,25743849
"2015-05-28",33.01,33.35,32.83,33.26,3661389
"2015-06-04",33.01,33.87,32.94,33.86,5443100
"2015-06-11",33.54,33.96,33.4,33.68,3124767
"2015-06-18",33.81,34.07,33.72,33.76,3325407
"2015-06-25",33.2,33.29,32.46,32.64,6070984
"2015-07-02",31.5,31.72,31.38,31.5,2803150
"2015-07-09",30.73,30.99,30.26,30.35,4698458
"2015-07-16",31.14,31.37,31.06,31.22,3851202
"2015-07-23",31.23,32.18,31.11,31.4,4703956
"2015-07-30",30.9,31.64,30.84,31.57,2484428
"2015-08-06",30.96,31,30.52,30.69,2813474
"2015-08-13",30.94,31.06,30.54,30.62,2008826
"2015-08-20",31.98,32.29,30.48,30.78,14070150
"2015-08-27",30.85,31.44,30.73,31.39,4354751
"2015-09-03",31.27,31.69,31.12,31.19,3107523
"2015-09-10",31.07,31.64,30.95,31.36,2413785
"2015-09-17",32.34,32.73,32.16,32.21,2740808
"2015-09-24",29.5,29.89,29.11,29.49,3330860
"2015-10-01",29.65,29.75,28.87,29.24,3104681
"2015-10-08",31.62,32.28,31.46,32.27,3787288
"2015-10-15",33.63,33.78,33.37,33.78,3036231
