"","DISH.Open","DISH.High","DISH.Low","DISH.Close","DISH.Volume"
"2012-06-07",28.08,28.24,27.59,27.65,1567069
"2012-06-14",27.07,27.35,26.95,27.22,2043912
"2012-06-21",28.45,28.55,27.74,27.85,1149777
"2012-06-28",27.11,27.62,27.02,27.55,1424272
"2012-07-05",28.64,28.74,28.17,28.54,1713057
"2012-07-12",26.77,26.93,26.12,26.31,1892630
"2012-07-19",28.98,30.27,28.72,29.88,3535653
"2012-07-26",29.47,30.19,29.34,29.96,1880228
"2012-08-02",30.34,30.34,29.45,29.75,2602092
"2012-08-09",30.33,31.05,29.95,30.99,2372041
"2012-08-16",30.93,31.2,30.8,31,1261887
"2012-08-23",31.41,32.05,31.27,32,2251927
"2012-08-30",31.68,32.01,31.63,31.84,947713
"2012-09-06",32.31,32.65,32.05,32.59,1120824
"2012-09-13",32.49,33.27,32.31,33.15,1721671
"2012-09-20",31.08,31.36,30.84,30.98,2760852
"2012-09-27",30.71,31.07,30.46,30.97,1318314
"2012-10-04",32,32.39,32,32.27,1908185
"2012-10-11",33.03,34.16,32.9,33.7,3767230
"2012-10-18",33.65,36.01,33.32,35.74,6914827
"2012-10-25",35.7,36.02,35.52,35.77,2176655
"2012-11-01",35.74,36.38,35.09,36,1621362
"2012-11-08",35.03,35.87,34.73,35.47,2663689
"2012-11-15",34.3,35.11,34.26,34.63,2730393
"2012-11-29",35,35.87,34.89,35.78,2107836
"2012-12-06",36.33,37.37,36.26,37.33,3773563
"2012-12-13",37.44,37.44,36.1,36.21,2860950
"2012-12-20",35.83,36.84,35.68,36.73,4504794
"2012-12-27",35,35.91,35,35.81,2810674
"2013-01-03",37.08,37.24,36.61,36.93,1101965
"2013-01-10",37.17,37.27,36.77,36.95,1636708
"2013-01-17",37.74,37.93,37.42,37.75,1877452
"2013-01-24",37.2,37.28,36.5,36.63,2655758
"2013-01-31",37.35,37.6,36.86,37.26,3332327
"2013-02-07",37.23,37.23,36.52,37.14,1836689
"2013-02-14",37.45,37.47,36.52,36.84,3448344
"2013-02-21",35.8,35.83,34.57,35.04,3650005
"2013-02-28",34.73,35.1,34.53,34.8,2067742
"2013-03-07",34.27,34.57,33.79,34.44,2847836
"2013-03-14",34.7,34.81,34.18,34.23,2343427
"2013-03-21",36.44,37.08,36.29,36.85,3470603
"2013-03-28",38.1,38.2,37.64,37.9,1452357
"2013-04-04",36.74,37.16,36.28,36.99,2415668
"2013-04-11",36.67,36.86,36.4,36.63,1395266
"2013-04-18",37.8,38.5,37.42,38.45,5215390
"2013-04-25",39.43,40.24,39.39,40.22,2247498
"2013-05-02",39.51,39.53,38.74,39.28,2690686
"2013-05-09",38.42,39.19,38,38.8,8242561
"2013-05-16",39.05,39.21,38.52,38.69,2711579
"2013-05-23",40.58,40.6,38.47,39.39,1487193
"2013-05-30",39.45,39.76,39.33,39.52,1895615
"2013-06-06",38.35,38.58,37.75,38.58,2162833
"2013-06-13",37.71,38.59,37.3,38.47,2562649
"2013-06-20",38.21,39.31,37.97,39.18,3699368
