"","GOOGL.Open","GOOGL.High","GOOGL.Low","GOOGL.Close","GOOGL.Volume"
"2014-01-23",580.58,581.83,577.76,580.63,1951643
"2014-01-30",573.07,576.82,564.19,568.26,5141107
"2014-02-06",576.14,580.66,574.35,580.56,1948254
"2014-02-13",590.97,600.55,590.42,600.55,1836921
"2014-02-20",602.17,604.05,600.71,602.66,1701894
"2014-02-27",609.8,612.73,609.11,610.22,1260794
"2014-03-06",611.75,613.69,609.91,610.42,1269591
"2014-03-13",604.58,605.86,592.97,595.12,2345640
"2014-03-20",600.58,605.41,598.28,599.18,1684975
"2014-03-27",565.99,566.54,551.6,557.7,3826676
"2014-04-03",573.39,588.3,566.01,571.5,4019626
"2014-04-10",568,568.21,545.5,546.69,3296996
"2014-04-17",556.32,557,539.4,543.34,5616862
"2014-04-24",541.69,542.5,531,534.44,2069559
"2014-05-01",534.25,539.91,532.86,538.53,2004375
"2014-05-08",515.72,527.35,514.46,520.17,2452197
"2014-05-15",533.14,534,525.31,529.12,1833044
"2014-05-22",552.2,557.96,551,555.45,2149757
"2014-05-29",573.39,573.48,568.45,570.56,1411296
"2014-06-05",557.11,565,555.05,564.93,1796370
"2014-06-12",567,567,557.15,559.5,1549487
"2014-06-19",561.15,565,556.67,564.99,2630539
"2014-06-26",589.3,589.6,579.6,584.77,2012360
"2014-07-03",591.7,594.25,589,593.08,898852
"2014-07-10",573,585.25,572.1,580.04,1436326
"2014-07-17",588.97,589.5,576.85,580.82,2941648
"2014-07-24",605.53,608.91,601,603.01,1355974
"2014-07-31",588.96,591.99,577.68,579.55,2310471
"2014-08-07",576.05,578.31,569.43,571.81,1163027
"2014-08-14",586.69,587.8,580.92,584.65,1272879
"2014-08-21",594.9,595.25,591.1,592.42,1133593
"2014-08-28",580.02,584.71,577.88,580.32,1405950
"2014-09-04",592.13,598,590.6,593.14,1634585
"2014-09-11",590,591.94,586.04,591.11,1501451
"2014-09-18",595.05,597.56,593.02,597.27,1494467
"2014-09-25",596.99,598.07,584.74,585.25,1676485
"2014-10-02",578,583.24,574.05,580.88,1536935
"2014-10-09",581.61,582.53,569.03,570.81,2413453
"2014-10-16",527,540.99,524.95,536.92,3805046
"2014-10-23",548.28,557.4,545.5,553.65,2153678
"2014-10-30",558.25,562.5,552.13,560.27,1612469
"2014-11-06",555.5,556.8,550.58,551.69,1650721
"2014-11-13",560.81,560.82,554.09,556.44,1510989
"2014-11-20",542.09,545.38,541.5,543.76,1750758
"2014-12-04",537.64,542.69,534.89,542.58,1633688
"2014-12-11",530.01,537.04,529.16,532.11,2073290
"2014-12-18",515.99,516.25,506.56,514.62,3876732
"2015-01-08",501.51,507.5,495.02,506.91,3662224
"2015-01-15",508.89,509.75,502.01,504.01,2556682
"2015-01-22",523,538.84,521.91,537.3,2803401
"2015-01-29",512.9,515.19,503.48,513.23,3950857
"2015-02-05",527.93,530.69,525.64,529.83,1658751
"2015-02-12",539.66,548.34,537,546.01,2429520
"2015-02-19",542.47,546.86,540.75,546.45,1541669
"2015-02-26",545.74,560.13,545.09,559.29,2701584
"2015-03-05",579.62,583.2,578.23,581.44,1795889
"2015-03-12",558.48,561.84,555.53,561.17,1780057
"2015-03-19",564.52,566.96,562.12,563.67,1232969
"2015-03-26",564.65,567.19,558.31,563.64,2492141
"2015-04-02",547.41,548,540.44,541.31,2388019
"2015-04-09",549.21,549.37,541.95,548.02,1618299
"2015-04-16",538.35,545.23,538.1,543.52,1586088
"2015-04-23",550.41,561.17,550.08,557.46,3909155
"2015-04-30",558.56,561.11,546.72,548.77,2362024
"2015-05-07",535.9,545.2,533.45,542.04,1592220
"2015-05-14",543.97,549.69,542.5,549.2,1586833
"2015-05-21",550.2,557.61,549.3,556.81,1708512
"2015-05-28",553.79,555.76,550.8,554.18,1177318
"2015-06-04",552.18,555.96,549.12,551.69,1343317
"2015-06-11",554.49,554.83,549.17,550.04,1293560
"2015-06-18",548,557.25,548,556.18,2059603
"2015-06-25",560.3,563.14,557.46,557.95,1335270
"2015-07-02",544.74,548,543.57,547.34,1406213
"2015-07-09",548.65,548.88,544.62,544.65,1488324
"2015-07-16",589.5,604.5,587.92,601.78,5632054
"2015-07-23",691.85,696.07,671.59,674.73,3811598
"2015-07-30",657.44,668.05,651.69,664.56,1980345
"2015-08-06",673.99,674.75,660.73,670.15,2032984
"2015-08-13",689.2,694.03,682.18,686.51,1817748
"2015-08-20",689.1,696.16,675.28,679.48,2889877
"2015-08-27",671.99,673.98,651.1,667.96,2948736
"2015-09-03",647.93,651.25,633.81,637.05,1728562
"2015-09-10",643.9,654.9,641.7,651.08,1384602
"2015-09-17",667.49,681.99,665,671.67,2387605
"2015-09-24",648.97,656.77,642.16,654.91,1934639
"2015-10-01",637.94,643.84,631.12,642,2125315
"2015-10-08",669.45,671.89,654.49,667,1961858
"2015-10-15",685.25,694.16,684.39,693.02,2343459
"2015-10-22",675.44,688.05,671.7,681.14,4132551
"2015-10-29",736.63,746.79,735.16,744.85,1822826
"2015-11-05",758.81,766.35,757.47,760.67,2271675
"2015-11-12",760.18,765.8,755.86,756.53,1604146
"2015-11-19",759.78,763.23,757.23,759.94,1401779
"2015-12-03",780.56,784.48,762.45,768.2,2097494
"2015-12-10",763.59,766.07,755,760.04,1622940
"2015-12-17",781.16,781.59,769.3,769.83,1825538
"2015-12-24",768.52,769.2,764.39,765.84,521141
"2015-12-31",787.82,788.33,777.32,778.01,1637561
"2016-01-07",746.49,755.31,735.28,741,3156563
"2016-01-14",724.44,739.89,705,731.39,2755725
"2016-01-21",720.17,737.67,711.11,726.67,2594281
"2016-01-28",738.19,751.16,730.6,748.3,3093589
"2016-02-04",744.59,745.24,722.6,730.03,5214827
"2016-02-11",696.34,712.32,691.19,706.36,3227256
"2016-02-18",733.96,736,715.55,717.51,2330509
"2016-02-25",722.93,729.51,713.23,729.12,1798643
"2016-03-03",739.48,741,729.63,731.59,2025353
"2016-03-10",727.79,736.54,723.29,732.17,2228566
"2016-03-17",757.65,765.34,757.36,758.48,2227322
"2016-03-24",751.2,757.56,750.5,754.84,1528469
"2016-03-31",768.34,769.08,758.25,762.9,1623821
"2016-04-07",765.32,769.36,757.5,760.12,1254028
"2016-04-14",775.36,779.61,773.22,775.39,1348011
"2016-04-21",777.31,781.68,771.55,780,3326803
"2016-04-28",723.29,729.26,703.2,705.06,3114203
