"","ROK.Open","ROK.High","ROK.Low","ROK.Close","ROK.Volume"
"2014-05-29",121.2,121.29,120.04,120.37,654051
"2014-06-05",123.23,125.39,123.1,125.3,907816
"2014-06-12",126.08,126.46,124.88,125.3,621600
"2014-06-19",126.27,126.27,125.07,125.34,811581
"2014-06-26",124.88,125.23,123.89,124.71,361486
"2014-07-03",126.01,126.82,125.11,126.19,395365
"2014-07-10",123,123.46,122.6,122.93,550502
"2014-07-17",122.59,122.84,120.65,120.67,709961
"2014-07-24",122.81,123.7,122.43,122.66,672164
"2014-07-31",112.13,113.14,111.54,111.66,1299853
"2014-08-07",111.97,112.68,111.19,111.55,891177
"2014-08-14",114.54,115.28,114.14,114.81,581236
"2014-08-21",117.74,117.74,116.76,117.39,470730
"2014-08-28",115.93,116.86,115.5,116.37,559729
"2014-09-04",116.48,118.77,116.01,116.98,856723
"2014-09-11",115.46,116.38,115.05,116.16,431100
"2014-09-18",116.6,117.9,116.5,117.72,477797
"2014-09-25",113.15,113.15,111.28,111.49,833900
"2014-10-02",109.44,109.67,107.7,109.44,1314878
"2014-10-09",108.02,108.14,102.68,102.95,2061610
"2014-10-16",98.84,103.53,98.61,103.12,1439760
"2014-10-23",106.5,108.79,106.5,107.67,1169962
"2014-10-30",108.83,110.31,107.97,110.25,724599
"2014-11-06",110.37,112.26,110.3,111.77,866639
"2014-11-13",110.85,111.85,107.25,108.16,1868374
"2014-11-20",109.34,110.84,109.16,110.36,747337
"2014-12-04",117.67,118.03,115.9,116.3,988160
"2014-12-11",107.37,108.31,106.57,106.89,1425084
"2014-12-18",109.69,111.47,109.32,111.44,1587149
"2015-01-08",107.34,109.41,107.17,109.39,847383
"2015-01-15",105.43,106.31,104.3,104.8,1280916
"2015-01-22",108.21,109.02,106.47,108.52,1809124
"2015-01-29",108.78,110.11,106.82,110.02,1738622
"2015-02-05",112.14,113.27,112.08,113.04,823415
"2015-02-12",115.94,117.05,115.32,116.88,1115027
"2015-02-19",117.91,118.52,117.01,117.83,733442
"2015-02-26",117.84,118.32,116.75,117.41,828658
"2015-03-05",115.07,115.37,113.73,114.2,980967
"2015-03-12",111.46,113.65,111.22,113.24,1091071
"2015-03-19",115,115.48,114.11,114.5,741140
"2015-03-26",113.35,113.91,112.89,113.4,1021855
"2015-04-02",113.11,113.87,112.47,112.8,991093
"2015-04-09",111.48,112.26,110.97,111.7,1437137
"2015-04-16",113.74,114.68,112.73,114.33,1033264
"2015-04-23",113.45,114.27,112.38,114.02,863013
"2015-04-30",117.12,122.66,116.44,118.6,3902752
"2015-05-07",120.67,120.99,119.06,119.44,1091165
"2015-05-14",123.42,124.7,122.86,124.41,1019109
"2015-05-21",125.1,126.29,125.1,125.67,759416
"2015-05-28",124.04,124.7,123.64,123.82,722231
"2015-06-04",125.69,125.78,124.2,124.53,925609
"2015-06-11",126.5,127.05,126.02,126.89,647001
"2015-06-18",124.88,126.32,124.8,125.59,627319
"2015-06-25",125.17,125.29,123.79,124.02,410549
"2015-07-02",126.35,126.71,125.9,126.13,573411
"2015-07-09",122.36,123.05,121.19,121.49,820105
"2015-07-16",124.06,124.8,122.97,123.5,586291
"2015-07-23",120.09,120.57,117.83,117.9,1131241
"2015-07-30",115.39,118.11,114.65,117.1,1244577
"2015-08-06",116.28,117.34,115.19,116.42,921732
"2015-08-13",114.91,115.63,113.51,115.19,606038
"2015-08-20",112.96,113.95,111.23,111.23,833163
"2015-08-27",108.16,111.44,107.94,111.22,1290600
"2015-09-03",108.54,109.57,107.63,107.99,1087543
"2015-09-10",106,106.46,104.5,105.15,1074863
"2015-09-17",107.35,107.61,105.51,105.84,1503568
"2015-09-24",100.09,101.64,99,101.05,1208674
"2015-10-01",101.42,102,99.77,100.36,1119346
"2015-10-08",102.8,105.83,102.52,105.42,1504649
"2015-10-15",104.07,105.32,102.96,105.24,812043
"2015-10-22",103.94,107.58,103.57,107.05,1637292
"2015-10-29",107.32,108.6,107.19,108.56,909758
"2015-11-05",109.45,110.05,108.74,108.95,1028027
"2015-11-12",102.44,104.41,102,102.38,1301005
"2015-11-19",105.72,106.52,104.28,105.76,1072411
"2015-12-03",105.99,106.15,103.18,104.08,1244765
"2015-12-10",103.73,104.95,103.19,103.7,692691
"2015-12-17",103.31,104.06,99.97,100.02,1220250
"2015-12-24",104.05,105,103.39,103.82,298185
"2015-12-31",103.73,104.15,102.61,102.61,563351
"2016-01-07",96.08,96.39,93.22,93.43,1859963
"2016-01-14",93.37,94.26,91.3,92.59,1509028
"2016-01-21",90.59,91.51,88.11,90.06,1326414
"2016-01-28",93.86,94.58,92.15,93.13,1703591
"2016-02-04",95.31,101.67,95.31,98.64,2649783
"2016-02-11",92.93,95.01,91.65,93.99,1131192
"2016-02-18",102.5,103.15,101.5,101.92,897494
"2016-02-25",102.45,104.06,101.94,104.04,935158
"2016-03-03",107.5,107.75,105.72,106.98,889776
"2016-03-10",105.52,106.5,104.48,106.09,904501
"2016-03-17",109.87,113.61,109.52,112.98,1524076
"2016-03-24",111.95,112.17,110.52,111.57,1058645
"2016-03-31",114.15,114.71,113.31,113.75,767185
"2016-04-07",110.83,111.89,110.4,110.98,565102
"2016-04-14",115.41,116.73,113.79,116.41,1205064
"2016-04-21",115.04,116.23,114.68,114.99,532681
"2016-04-28",114.86,115.96,113.86,114.24,739357
"2016-05-05",111.7,112.62,111.01,111.68,1091344
"2016-05-12",113.59,114.16,112.72,114.01,1119981
"2016-05-19",111.22,111.37,109.32,110.23,1087043
"2016-05-26",116.03,117.21,115.59,116.77,1108866
"2016-06-02",116,117.47,115.43,117.47,695622
"2016-06-09",118.16,119.04,117.79,118.74,504964
"2016-06-16",114.75,116.25,113.87,115.89,842301
"2016-06-23",119.59,120.6,119.15,120.52,981414
"2016-06-30",112.03,114.83,111.53,114.82,1008034
"2016-07-07",113.37,114.18,112.11,112.97,530756
"2016-07-14",119.95,120.75,118.47,118.73,848028
"2016-07-21",119.2,119.94,117.8,118.46,761973
"2016-07-28",116.2,116.92,114.98,116.23,821522
"2016-08-04",114.58,116.47,114.42,115.05,634961
"2016-08-11",118.95,119.56,118.8,119.02,968621
"2016-08-18",119,119.33,118.68,119.31,500432
"2016-08-25",117.57,118.2,117.25,117.69,446455
"2016-09-01",116.13,116.57,115.14,116.43,595303
"2016-09-08",116.41,116.84,115.89,116.21,485773
"2016-09-15",114.74,115.65,114.33,115.45,736022
