"","ADS.Open","ADS.High","ADS.Low","ADS.Close","ADS.Volume"
"2013-01-24",156.83,157.97,156.71,157.53,256836
"2013-01-31",157,159.05,155.43,157.6,701355
"2013-02-07",154.46,154.81,152.8,153.74,462724
"2013-02-14",152.27,152.62,151.68,152.37,410061
"2013-02-21",152.27,153.25,151.4,152.05,496263
"2013-02-28",158.06,159.96,157.76,158.69,567452
"2013-03-07",159.36,159.36,157.55,158.48,497230
"2013-03-14",157.41,158.11,157,157.83,385272
"2013-03-21",155.35,157.22,154.76,156.5,388100
"2013-03-28",159.71,162.07,159.23,161.89,364128
"2013-04-04",158.4,159.32,157.43,158.02,345504
"2013-04-11",156.5,158.68,156.15,158.51,436235
"2013-04-18",158.25,161.5,157.27,158.34,1104501
"2013-04-25",166.29,167.25,165.46,166.19,288441
"2013-05-02",167.45,172.82,167.45,172.54,420283
"2013-05-09",174.22,177.45,173.76,176.43,472014
"2013-05-16",178.43,179.99,177.21,177.36,287150
"2013-05-23",178.14,179.41,175.77,178.44,491242
"2013-05-30",181.12,181.4,177.93,180.97,1151817
"2013-06-06",173.46,178.39,173.46,178.31,879458
"2013-06-13",178.33,180.89,177.03,180.35,718286
"2013-06-20",177.04,177.87,172.66,173.09,1060886
"2013-06-27",179.1,180.82,178.75,180.07,812004
"2013-07-11",183.88,187.9,183.36,187.61,1441257
"2013-07-18",188.21,190.52,187.6,188.78,790736
"2013-07-25",190.06,191.55,189.01,191.29,1272147
"2013-08-01",199.38,203.82,197.62,203.23,744565
"2013-08-08",204.65,207.12,203.12,206.14,242185
"2013-08-15",202.05,203.56,198.89,199.7,785333
"2013-08-22",201.87,202.73,200.53,202.25,330696
"2013-08-29",196.6,199.52,196.28,198.7,292169
"2013-09-05",198.36,199.02,197.02,197.97,199334
"2013-09-12",206.95,209.38,206.34,208.05,350840
"2013-09-19",211,212.25,210.1,210.43,290708
"2013-09-26",209.54,212.02,209.54,211.18,251208
"2013-10-03",213.77,214.21,209.71,212.47,267205
"2013-10-10",215.77,220.49,214.15,220.37,265044
"2013-10-17",226.63,231.74,224.49,227.07,620908
"2013-10-24",233.3,236,232.78,235.8,558830
"2013-10-31",235,238.67,234.01,237.06,544576
"2013-11-07",243.32,245.63,237.24,237.45,556246
"2013-11-14",248.97,251.67,248.86,251.27,407002
"2013-11-21",245.66,245.98,242.35,243.14,716338
"2013-12-05",240,242.18,239.44,241.42,299713
"2013-12-12",248,248.27,240.4,245.97,1164511
"2013-12-19",252.33,255.38,250.09,251,711176
"2013-12-26",255.72,258.26,253.18,255.3,436022
"2014-01-02",262.44,262.68,258.78,262.34,547808
"2014-01-09",259.15,263.31,258.84,258.97,611623
"2014-01-16",252.9,256.42,252.55,254.96,523927
"2014-01-23",259.46,263.36,254.87,255.94,791424
"2014-01-30",248.3,249.91,246.03,248.95,659021
"2014-02-06",238.51,258.77,237.63,258.55,1937260
"2014-02-13",275.51,279.64,272.91,279.4,686924
"2014-02-20",282.64,284.43,279.26,284.23,879894
"2014-02-27",282.6,286.28,280.71,284.27,633213
"2014-03-06",285.53,286.77,282.03,286.14,485718
"2014-03-13",287.02,287.3,275.84,278.14,512159
"2014-03-20",284.19,294.49,283.98,294.27,952037
"2014-03-27",271.03,273.45,267.92,273.23,1022148
"2014-04-03",273.27,274.14,265.42,266.33,1237625
"2014-04-10",265,266.21,253.24,253.76,1164273
"2014-04-17",248,257.73,244.8,245.06,2118451
"2014-04-24",243.01,243.84,236.86,241.3,1652170
"2014-05-01",242.44,244.66,237.91,239.68,1082831
"2014-05-08",234,238.56,233.34,235.51,866461
"2014-05-15",240.8,241.02,234.45,234.98,847117
"2014-05-22",242.19,245.32,240.14,243.94,513469
"2014-05-29",253.63,256.88,251.94,256.83,403801
"2014-06-05",257.57,258.57,254.95,258.34,343474
"2014-06-12",264.8,267.09,262.15,263.2,309405
"2014-06-19",273,274.51,269.62,271.23,576836
"2014-06-26",280.98,281.52,278.41,278.96,523703
"2014-07-03",282.35,285.01,280.74,284.8,343340
"2014-07-10",273.4,276.87,272.67,273.99,579771
"2014-07-17",275.17,288.67,269.34,275.02,1175938
"2014-07-24",273.97,274.05,270.84,271.71,502907
"2014-07-31",268.8,269.31,262.03,262.29,571237
"2014-08-07",260.28,260.82,255.88,256.37,357792
"2014-08-14",261.34,263.25,261.18,262.8,782561
"2014-08-21",267.1,269.36,265.54,268.22,387486
"2014-08-28",264,265.91,263.43,264.7,179676
"2014-09-04",264.66,266.61,261.06,261.73,466435
"2014-09-11",258.45,259.24,251.93,252.87,874743
"2014-09-18",249.72,251.14,248.02,249.32,516573
"2014-09-25",247.07,247.07,242.24,243.09,547056
"2014-10-02",241.2,244.2,239.64,243.67,466755
"2014-10-09",249.48,249.52,240.78,242,761352
"2014-10-16",238,254.78,234.96,252.15,1341487
"2014-10-23",270.72,276.62,269.94,273.24,586567
"2014-10-30",274.67,283.27,274.4,282.97,521866
"2014-11-06",283.59,285.06,282.27,284.98,309050
"2014-11-13",284.46,284.8,281.26,284.23,382858
"2014-11-20",280,284.94,278.28,284.83,385294
"2014-12-04",281.37,281.37,277.24,278.66,459517
"2014-12-11",278.35,284.31,277.62,278.01,615168
"2014-12-18",286.01,290.23,283.18,290.18,640902
"2015-01-08",284.57,288.13,282.98,287.93,361878
"2015-01-15",281.95,286.98,279.25,279.65,345092
"2015-01-22",295,295.49,289.91,294.43,487176
"2015-01-29",289.71,292.93,286.15,292.93,328105
"2015-02-05",288.85,289.73,268.93,279.73,1853220
"2015-02-12",280.39,285.01,280.09,284.91,374840
"2015-02-19",281.92,283.34,280.9,281.93,491738
"2015-02-26",276,279.69,275.06,279.4,345188
"2015-03-05",279.27,283.29,278.01,282.71,335711
"2015-03-12",277.46,284.47,277.46,283.45,334579
"2015-03-19",291.42,293.36,288.91,292.4,378346
"2015-03-26",289.79,292.74,286.63,291.66,314744
"2015-04-02",295,297.84,290.55,293.68,461650
"2015-04-09",299.9,300.64,297.76,299.4,364077
"2015-04-16",305.9,307.98,298.79,299.93,737771
"2015-04-23",306.6,312,305.65,309.91,434424
"2015-04-30",299.54,304.07,295.15,297.31,408951
"2015-05-07",297.72,300.67,294.61,298.11,327733
"2015-05-14",299.23,301,297.79,298.8,314367
"2015-05-21",299.19,300.97,296.18,297.2,461705
"2015-05-28",301.01,304.02,299.43,300.07,406181
"2015-06-04",297.4,299.1,294.67,295.19,325529
"2015-06-11",300.98,302.82,299.4,300.63,285803
"2015-06-18",298.85,301.95,297.28,301.27,405565
"2015-06-25",303.95,306.1,302.4,303.97,459238
"2015-07-02",294.81,296.27,291.87,295.72,276805
"2015-07-09",296.78,298.17,294.79,295.44,471848
"2015-07-16",302.42,306.26,300.44,302.15,476287
"2015-07-23",298.67,298.98,283.72,284.34,1409884
"2015-07-30",271.2,273.34,267.15,272.51,473144
"2015-08-06",275.6,275.6,268.71,269.47,306067
"2015-08-13",270.12,270.88,268.09,268.92,297960
"2015-08-20",268.5,270.82,266.54,266.63,375088
"2015-08-27",260.2,265,259.08,263.83,620623
"2015-09-03",256.92,259.94,256,256.76,351966
"2015-09-10",250.07,253.98,249.72,251.74,382988
"2015-09-17",254.35,258.29,251.45,255.35,374526
"2015-09-24",252.35,254.55,250.22,254.02,578062
"2015-10-01",260.45,263.69,258.4,262.35,635301
"2015-10-08",277.28,280.48,275.09,279.41,361006
"2015-10-15",279,279.81,274.91,278.18,324511
"2015-10-22",285.15,298.06,283.35,294.49,950323
"2015-10-29",297.89,299.11,295.6,297.85,398832
"2015-11-05",300.83,301.85,298.46,299.11,439174
"2015-11-12",293.13,294.55,290.82,290.82,419216
"2015-11-19",287.27,288.77,284.5,286.07,276215
"2015-12-03",286.39,288.08,279.81,281.25,304392
"2015-12-10",281.02,283,278.91,280.16,258492
"2015-12-17",275.23,277.59,268.76,269.06,332977
"2015-12-24",278.22,279.98,276.5,278.2,98452
"2015-12-31",275.42,279.89,275,276.57,267048
"2016-01-07",266.94,269.98,261.54,262.03,605062
"2016-01-14",249.05,258.03,247.21,256.24,824911
"2016-01-21",247.01,252.96,245.71,248.81,509914
"2016-01-28",226.1,231.4,197.83,199,3379813
"2016-02-04",193.48,198.96,192,197.41,1163082
"2016-02-11",178.22,182.91,177.26,180.45,775455
"2016-02-18",195.05,201.63,195,197.43,863852
"2016-02-25",211.34,212.7,208.69,212.6,575517
"2016-03-03",215.22,218.69,213.71,216.88,596819
"2016-03-10",213.26,214.69,206.73,208.06,760838
"2016-03-17",207.99,208.88,204.86,205.56,1361733
"2016-03-24",209.42,212.35,207.11,211.77,550307
"2016-03-31",215.32,220.63,213.88,220,894721
"2016-04-07",212.23,216,210.58,212.43,812043
"2016-04-14",213.5,216.51,212.3,214.48,888200
"2016-04-21",202.09,205.87,197.96,202.6,2962252
"2016-04-28",202.92,203.44,200.08,201.2,1263680
"2016-05-05",201,202.52,199.96,200.24,634849
"2016-05-12",205.1,205.53,200.37,202.08,1217317
"2016-05-19",211.02,211.52,205.21,205.44,885418
"2016-05-26",212.66,214.12,210.23,212.05,422492
"2016-06-02",222.46,224.82,221.02,224.49,704167
"2016-06-09",223.42,224.24,222.05,222.61,436732
"2016-06-16",207.36,207.74,201.99,206.55,602005
"2016-06-23",201.46,202.41,200.69,201.61,549749
"2016-06-30",194.4,195.97,190.02,195.92,1079233
"2016-07-07",195.68,199.91,195.41,197.23,968969
"2016-07-14",211.04,213.23,210.06,212.51,556442
"2016-07-21",229.01,239.72,219.7,228.85,1841065
"2016-07-28",233.5,234.83,231.16,233.84,601789
"2016-08-04",221.97,222.83,216.6,219.3,676587
"2016-08-11",219.1,221.72,218.65,219.94,332646
"2016-08-18",203,204.3,199.92,202.31,1594531
"2016-08-25",199.4,201.98,199.02,200.36,678895
"2016-09-01",204.64,210.19,203.2,210.19,1366130
"2016-09-08",215.34,219.22,214.76,217.26,763921
"2016-09-15",212.36,216.85,211.52,215.4,500943
