"","COL.Open","COL.High","COL.Low","COL.Close","COL.Volume"
"2013-10-03",67.48,67.71,66.2,66.84,998473
"2013-10-10",67.57,68.31,66.99,68.27,784987
"2013-10-17",68.75,70.46,68.64,70.17,1086062
"2013-10-24",72.05,72.46,71.66,72.24,802512
"2013-10-31",70.1,70.31,69.47,69.83,652140
"2013-11-07",71.11,71.52,69.93,70,526862
"2013-11-14",70.45,70.99,70.01,70.74,500533
"2013-11-21",72.34,72.97,72.24,72.93,560000
"2013-12-05",72.55,72.96,72.22,72.41,604770
"2013-12-12",71.64,71.84,71.01,71.26,571974
"2013-12-19",72.27,72.49,71.65,71.9,982720
"2013-12-26",73.92,74.27,73.55,74.04,171277
"2014-01-02",74,74,72.95,73.11,731153
"2014-01-09",76.25,76.64,75.71,76.19,429822
"2014-01-16",76.04,77.23,75.86,77.05,1071577
"2014-01-23",79.09,79.59,78.84,79.29,1265060
"2014-01-30",76.02,76.19,75.54,75.97,693145
"2014-02-06",75.74,76.14,75,76.1,1138264
"2014-02-13",77.05,77.84,76.84,77.84,488654
"2014-02-20",78.94,81.18,78.86,80.98,1355882
"2014-02-27",82.27,82.49,81.63,82.47,584650
"2014-03-06",83.16,83.34,82.07,82.35,919627
"2014-03-13",80.54,80.93,79.28,79.65,703951
"2014-03-20",80.02,80.25,79.63,80.17,452035
"2014-03-27",78.96,79.11,78.29,78.53,592403
"2014-04-03",81.03,81.16,80.35,80.89,364069
"2014-04-10",78.7,78.91,76.79,76.79,576711
"2014-04-17",78.38,80.53,78.2,79.47,1326582
"2014-04-24",78.42,78.56,76.92,77.76,534647
"2014-05-01",77.6,78.61,77.19,78.07,584267
"2014-05-08",79.55,79.7,78.7,79,664591
"2014-05-15",78.38,78.45,77.32,77.52,803940
"2014-05-22",76.61,76.95,76.24,76.58,558679
"2014-05-29",77.99,78.82,77.69,78.67,788737
"2014-06-05",79.06,80,78.87,79.9,645819
"2014-06-12",79.4,79.58,78.66,78.86,560251
"2014-06-19",79.56,79.77,79.09,79.75,344050
"2014-06-26",78.44,78.56,77.84,78.32,365825
"2014-07-03",78.95,79.42,78.76,79.27,351079
"2014-07-10",78.04,79,77.84,78.55,226155
"2014-07-17",79.01,79.54,78.76,78.78,840550
"2014-07-24",77.28,77.72,76.89,77,1015740
"2014-07-31",73.36,73.68,72.91,73.27,1565747
"2014-08-07",72.6,72.8,72.09,72.24,594740
"2014-08-14",74.71,75.31,74.59,74.6,739695
"2014-08-21",77.37,77.56,76.8,76.87,460134
"2014-08-28",76.7,77.04,76.43,76.91,311763
"2014-09-04",76.82,77.26,76.37,76.52,527495
"2014-09-11",76.61,77.07,76.45,76.94,574481
"2014-09-18",77.36,77.89,77.31,77.8,629170
"2014-09-25",78.98,78.99,77.92,78.14,646017
"2014-10-02",76.66,77.1,76.01,76.57,525493
"2014-10-09",76.21,76.3,74.74,74.99,746653
"2014-10-16",73.13,74.76,72.97,74.23,1593578
"2014-10-23",78,78.63,77.97,78.19,1056916
"2014-10-30",81.83,83.22,81.61,82.91,677227
"2014-11-06",84.15,84.41,83.7,83.98,1143990
"2014-11-13",84.98,85.48,84.62,84.81,684125
"2014-11-20",84.04,84.53,83.63,84.37,442563
"2014-12-04",85.19,85.4,84.35,84.59,1154994
"2014-12-11",83.8,84.74,83.79,84.13,607233
