"","AEP.Open","AEP.High","AEP.Low","AEP.Close","AEP.Volume"
"2012-09-06",43.15,43.58,43.03,43.52,2058277
"2012-09-13",43.32,43.96,43.32,43.96,2205161
"2012-09-20",43.72,44.13,43.69,43.97,1932793
"2012-09-27",44.43,44.44,43.74,43.82,2641582
"2012-10-04",44.49,44.78,44.4,44.46,1600024
"2012-10-11",44.31,44.59,44.05,44.24,1722839
"2012-10-18",45.02,45.41,44.88,45.27,2151368
"2012-10-25",44.1,44.29,43.69,43.91,6292562
"2012-11-01",44.57,44.62,44.3,44.39,1860614
"2012-11-08",42.07,42.54,42.03,42.04,2626261
"2012-11-15",41.09,41.47,40.72,40.96,2553820
"2012-11-29",41.85,42.21,41.72,42.18,2157525
"2012-12-06",43.23,43.43,43.04,43.27,1659135
"2012-12-13",43.47,43.54,42.86,42.94,2092864
"2012-12-20",43.6,43.78,43.47,43.6,2170449
"2012-12-27",42.7,42.91,42.24,42.64,2377662
"2013-01-03",43.65,43.86,43.53,43.62,2355247
"2013-01-10",43.25,43.55,43.12,43.55,2070993
"2013-01-17",43.01,43.4,42.94,43.2,1902362
"2013-01-24",44.23,44.38,44.04,44.19,2274271
"2013-01-31",45.08,45.34,45.04,45.29,2427410
"2013-02-07",44.76,44.86,44.35,44.5,2004119
"2013-02-14",44.76,44.81,44.41,44.77,3665271
"2013-02-21",45.43,45.56,45.23,45.36,2481173
"2013-02-28",46.62,47.03,46.46,46.79,2456456
"2013-03-07",47.64,47.88,47.39,47.39,1690858
"2013-03-14",47.52,47.69,47.3,47.68,2229242
"2013-03-21",47.9,48.03,47.6,47.63,1926199
"2013-03-28",48.17,48.68,48.09,48.63,2807863
"2013-04-04",48.15,48.72,48.15,48.66,2086687
"2013-04-11",49.7,50,49.47,49.93,2405710
"2013-04-18",49.47,49.56,49.16,49.48,2263115
"2013-04-25",51,51.17,50.65,50.76,7200668
"2013-05-02",51.23,51.36,50.94,51.17,2164566
"2013-05-09",50.1,50.25,48.73,48.83,3444769
"2013-05-16",49.32,49.45,48.99,49.05,2228155
"2013-05-23",48.18,48.54,47.87,48.28,2947013
"2013-05-30",46.38,47.53,46.05,46.09,3593219
"2013-06-06",45.61,45.84,45.22,45.67,4674475
"2013-06-13",45.23,45.95,44.86,45.92,3011302
"2013-06-20",44.55,44.55,43.1,43.19,5733752
