"","MAC.Open","MAC.High","MAC.Low","MAC.Close","MAC.Volume"
"2013-10-03",56.99,57.1,55.93,56.29,988870
"2013-10-10",55.63,56.36,55.6,56.23,1288863
"2013-10-17",57.9,59.32,57.68,59.2,854729
"2013-10-24",59.01,59.54,58.66,59.51,493162
"2013-10-31",58.6,59.4,58.41,59.21,1527645
"2013-11-07",57.85,57.88,56.82,56.95,785709
"2013-11-14",57.7,58.28,57.54,58.01,753799
"2013-11-21",57.45,57.69,57.13,57.68,561446
"2013-12-05",58.21,59.35,57.97,59.28,1820938
"2013-12-12",58.53,58.78,57.95,58.5,1272018
"2013-12-19",59.33,59.46,58.28,58.64,651291
"2013-12-26",59.7,60,59.07,59.44,426748
"2014-01-02",58.69,58.82,57.84,58.38,767845
"2014-01-09",59.05,59.3,58.32,58.82,763845
"2014-01-16",59.01,59.21,58.4,58.9,838409
"2014-01-23",58.63,58.89,58.13,58.34,1274428
"2014-01-30",55.97,56.32,55.71,56.13,825741
"2014-02-06",57.68,58.52,57.55,58.44,733411
"2014-02-13",59.83,60.77,59.67,60.49,579627
"2014-02-20",60.63,61.08,59.89,60.12,587568
"2014-02-27",60.52,60.88,59.8,60.03,576343
"2014-03-06",61.76,61.97,60.94,61.12,767323
"2014-03-13",60.31,60.32,59.62,59.71,651160
"2014-03-20",59.88,60.25,58.87,59.55,947745
"2014-03-27",60.48,61.24,60.21,61.11,468338
"2014-04-03",62.53,62.65,62.13,62.32,575549
"2014-04-10",63.59,63.66,62.73,63.01,924165
"2014-04-17",65.84,65.96,65.16,65.58,1908828
"2014-04-24",64.13,64.42,63.94,64.26,483767
"2014-05-01",64.76,65.11,63.84,65.05,600361
"2014-05-08",65.41,65.94,65.26,65.76,756736
"2014-05-15",65.46,65.46,64.6,65.25,501871
"2014-05-22",65.3,65.64,65.02,65.04,458793
"2014-05-29",65.57,65.8,65.26,65.72,571190
"2014-06-05",66.62,68,66.34,67.91,505369
"2014-06-12",65.37,65.45,64.61,65.09,871616
"2014-06-19",66.24,66.82,66.06,66.8,568528
"2014-06-26",66.5,66.61,65.76,66.01,342892
"2014-07-03",66.68,66.68,65.87,66.25,553284
"2014-07-10",66.68,67.36,66.68,67.05,435335
"2014-07-17",67.63,68.16,67.39,67.83,1041576
"2014-07-24",68.39,68.67,66.81,67.28,1046389
"2014-07-31",65.86,66.07,64.97,65.01,1103536
"2014-08-07",63.85,64.64,63.77,64.24,782817
"2014-08-14",66.3,66.39,65.71,65.74,539250
"2014-08-21",65.65,66.03,65.45,65.47,510543
"2014-08-28",65.18,65.32,64.83,64.96,587640
"2014-09-04",65.77,66.36,65.58,66,926976
"2014-09-11",65.42,66.36,65.42,65.94,1098049
"2014-09-18",65.19,65.27,64.68,64.87,1615715
"2014-09-25",63.32,63.45,62.8,62.83,579361
"2014-10-02",63.67,64.02,63.25,63.82,750450
"2014-10-09",65.58,66.6,65.36,65.5,895083
"2014-10-16",65.37,65.71,64.68,65.18,1100594
"2014-10-23",68.01,68.45,67.66,68.28,539347
"2014-10-30",68.27,69.25,68.08,69.25,618375
"2014-11-06",70.9,71.07,69.36,69.47,994102
"2014-11-13",68.81,69.26,68.29,68.35,900160
"2014-11-20",76.26,76.9,75.81,76.49,2735874
"2014-12-04",79.83,80.22,79.39,80.08,686164
"2014-12-11",81.68,82.35,80.77,81.14,1717869
"2014-12-18",82.21,82.88,81.77,82.84,1049709
"2015-01-08",87.04,87.22,86.19,87,960026
"2015-01-15",89.43,89.55,87.69,88.11,1377594
"2015-01-22",88.27,90.06,87.78,89.94,804586
"2015-01-29",86.72,87.33,85.91,86.93,914125
"2015-02-05",88.6,89.44,88.11,89.26,908277
"2015-02-12",87.64,87.75,86.8,87.21,1053482
"2015-02-19",85.22,85.7,82.54,82.75,1055825
"2015-02-26",82.79,82.79,81.61,82.19,779417
"2015-03-05",87.34,89.5,86.25,88.07,2045698
"2015-03-12",92.02,92.61,91.23,92.31,1561097
"2015-03-19",92.2,94.18,92.06,93.5,2488361
"2015-03-26",86.99,87.35,86.43,86.96,1103544
"2015-04-02",79.5,82.8,79.18,80.66,4955290
"2015-04-09",78.74,80.68,78.64,80.3,2817648
"2015-04-16",82.17,83.54,81.68,82.99,1549881
"2015-04-23",83.03,83.49,82.3,82.34,911454
"2015-04-30",81.2,82.01,80.47,81.76,1852845
"2015-05-07",81.25,82.9,81.22,82.75,2173135
"2015-05-14",82.4,83.52,82.32,83.5,1807402
"2015-05-21",82.35,84.24,81.97,82.89,1920696
"2015-05-28",82.41,82.62,81.56,81.91,570246
"2015-06-04",81.43,82.23,80.73,80.83,1009835
"2015-06-11",80.45,80.99,80.09,80.65,1390878
"2015-06-18",82.77,83.48,82.25,82.45,1126387
"2015-06-25",77.08,77.28,75.32,76.04,1885434
"2015-07-02",76.81,78.02,76.71,77.29,891099
"2015-07-09",77.84,78.13,76.79,77.09,754723
"2015-07-16",78.87,79,78.34,78.49,632693
"2015-07-23",76.73,77.64,75.12,76.01,1501664
"2015-07-30",78.7,78.8,77.84,78.08,577964
"2015-08-06",79.62,80.29,79.14,80.07,982296
"2015-08-13",79.95,80.81,78.95,80.36,747493
"2015-08-20",80.59,80.96,80,80.43,959520
"2015-08-27",76.3,77.86,75.77,77.52,852053
"2015-09-03",76.06,76.07,74.98,75.3,595052
"2015-09-10",72.15,73.36,72.01,72.63,839106
"2015-09-17",76.31,77.89,75.67,76.42,753078
"2015-09-24",77.64,77.97,76.22,76.98,755935
"2015-10-01",77.45,78.45,76.58,77.02,1624673
"2015-10-08",79.51,80.03,78.81,79.95,632030
"2015-10-15",80.91,82.06,80.49,81.82,1261901
"2015-10-22",83.67,84.44,83.43,84.04,994100
"2015-10-29",85.01,85.87,84.86,85.81,756874
"2015-11-05",84.71,86.05,84.65,85.94,957141
"2015-11-12",77.4,77.84,76.93,77.33,864405
"2015-11-19",79.17,80.28,78.88,79.79,989769
"2015-12-03",76.6,76.9,75.95,76.37,1523535
"2015-12-10",78.39,79.19,77.78,77.83,849966
"2015-12-17",80.25,80.64,79.76,79.85,966862
"2015-12-24",80.32,80.51,79.71,80.17,286691
"2015-12-31",81.62,81.97,80.64,80.69,929744
"2016-01-07",80.47,81.6,80.09,80.75,1015232
"2016-01-14",78.33,78.85,76.95,77.05,1508656
"2016-01-21",75.69,77.08,75.07,75.8,1259592
"2016-01-28",76.69,77.14,75.61,76.03,1266508
"2016-02-04",76.73,78.71,76,78.62,860332
"2016-02-11",73.76,74.25,72.99,73.88,1194768
"2016-02-18",75.48,77.05,74.04,76.74,1860827
"2016-02-25",78.7,80,78.7,79.9,1209358
"2016-03-03",80.72,81.11,79.48,79.51,1659681
"2016-03-10",79.1,79.71,78.08,78.87,1504639
"2016-03-17",79.83,81.13,79.53,80.73,1110038
"2016-03-24",78.5,78.72,78.13,78.55,1291653
"2016-03-31",79.17,79.43,78.89,79.24,3342618
"2016-04-07",79.26,79.37,78.53,78.97,1568114
"2016-04-14",78.89,79.01,78.51,78.85,631190
"2016-04-21",77.97,78.07,76.47,76.5,947827
"2016-04-28",76.68,77.56,76.67,76.92,484687
"2016-05-05",78.01,78.82,77.63,78.79,704855
"2016-05-12",77.64,78.06,75.44,76.99,2249835
"2016-05-19",72.34,73.14,71.82,72.93,949051
"2016-05-26",75.28,76.03,75.03,75.73,646839
"2016-06-02",76.54,77.31,76.45,77.31,1181091
"2016-06-09",78.36,78.98,78.14,78.25,740346
"2016-06-16",78.75,79.85,78.68,79.79,1228938
"2016-06-23",82.22,82.3,81.7,81.91,734453
"2016-06-30",84.1,85.39,83.47,85.39,1270308
"2016-07-07",86.3,86.3,85.23,85.73,939391
"2016-07-14",89,89,88.14,88.47,384341
"2016-07-21",88.84,89.02,88.51,88.99,607483
"2016-07-28",87.97,89.47,87.91,89.12,508341
"2016-08-04",86.49,86.73,85.75,85.88,915162
"2016-08-11",85.3,85.8,83.76,84.23,1364808
"2016-08-18",83.17,83.3,82.69,82.99,598989
"2016-08-25",82.29,83.71,81.96,82.65,798132
"2016-09-01",81.96,82.07,81.22,81.48,610048
"2016-09-08",83.19,83.48,82.24,82.35,1423079
"2016-09-15",79.44,80.03,78.98,79.87,625979
