"","WHR.Open","WHR.High","WHR.Low","WHR.Close","WHR.Volume"
"2016-03-10",159.57,160.8,156.62,158.33,879440
"2016-03-17",173.84,177.99,173.06,176.65,1053012
"2016-03-24",174,175.22,172.22,175.09,809592
"2016-03-31",177,180.59,176.57,180.34,1197209
"2016-04-07",181.51,182.51,178.5,180.44,900396
"2016-04-14",187.46,187.58,183.61,186.13,858420
"2016-04-21",188.87,189.67,187.21,187.45,612925
"2016-04-28",176.81,178.64,174.09,174.78,852252
"2016-05-05",175.31,177.63,175.06,176.29,729539
"2016-05-12",172.56,174.17,169.33,171.54,796889
"2016-05-19",165.98,167.88,164.59,167.67,819790
"2016-05-26",173.86,175.21,171.56,172.25,628206
"2016-06-02",175.22,175.8,173.25,175.03,526385
"2016-06-09",180.27,180.56,177.9,179.69,559041
"2016-06-16",175.74,175.74,172.52,174.43,923687
"2016-06-23",180.38,181.01,177.46,178.8,695881
"2016-06-30",163.87,166.64,161.81,166.64,876231
"2016-07-07",166.88,168.75,165.61,167.88,488031
"2016-07-14",175.1,176.9,174.03,174.19,596378
"2016-07-21",183.74,184.63,181.85,182.72,1261735
"2016-07-28",190.62,193.02,189.44,192.38,936514
"2016-08-04",188.34,189.84,187.36,189.21,631072
"2016-08-11",187.61,189.18,186.7,187.12,637397
"2016-08-18",182.43,185.12,181.11,184.58,650901
"2016-08-25",181.29,181.85,179.54,180.58,711526
"2016-09-01",178.59,178.9,176.34,177.65,630387
"2016-09-08",181.46,181.93,174.63,174.8,1250157
"2016-09-15",164.12,165.27,163.01,165.1,731199
