"","GM.Open","GM.High","GM.Low","GM.Close","GM.Volume"
"2013-03-28",28.02,28.09,27.64,27.82,9330939
"2013-04-04",27.75,28,27.51,27.74,8572227
"2013-04-11",28.49,29.76,28.44,29.72,22305942
"2013-04-18",29.25,29.38,28.75,28.98,11121392
"2013-04-25",30.06,30.78,30,30.71,14508421
"2013-05-02",31.3,31.82,31.05,31.16,19125881
"2013-05-09",32.01,32.16,31.62,31.65,10862827
"2013-05-16",32.09,32.67,32,32.39,10425265
"2013-05-23",32.33,33.11,32.1,32.85,10537248
"2013-05-30",34.04,34.91,33.87,34.64,15085252
"2013-06-06",34.11,34.53,33.78,34.44,79855029
"2013-06-13",33.36,34.51,33.1,34.5,15614853
"2013-06-20",33.41,33.41,32.28,32.56,29112580
"2013-06-27",32.92,33.5,32.78,33.1,11004377
"2013-07-11",35.72,36.2,35.64,36.14,13247413
"2013-07-18",36.5,36.99,36.33,36.84,10682149
"2013-07-25",37.47,37.71,36.51,37.08,18098608
"2013-08-01",36.39,36.86,36.01,36.47,16150164
"2013-08-08",35.61,36.11,35.57,36.01,14457689
"2013-08-15",35.17,35.18,34.41,34.55,20384791
"2013-08-22",34.66,35.05,34.65,34.99,9572186
"2013-08-29",33.82,34.69,33.81,34.45,10558312
"2013-09-05",36.01,36.79,35.87,36.33,18635818
"2013-09-12",36.37,36.56,35.88,36.37,15745180
"2013-09-19",37.84,37.88,37.16,37.23,16824413
"2013-09-26",37.19,37.35,36.76,36.95,14030772
"2013-10-03",35.76,35.94,35.13,35.29,15001153
"2013-10-10",34.74,34.89,34.61,34.85,18041926
"2013-10-17",35.16,35.79,34.96,35.66,12602908
"2013-10-24",35.49,36.03,35.1,35.63,19286980
"2013-10-31",37.18,37.99,36.95,36.95,28106726
"2013-11-07",36.61,36.75,35.91,35.92,19893826
"2013-11-14",38.7,38.8,38.15,38.5,28495111
"2013-11-21",38.85,39,38.04,38.12,33903893
"2013-12-05",38.99,39.34,38.55,39.09,34590433
"2013-12-12",40.09,40.61,40.01,40.05,18900523
"2013-12-19",41.18,41.27,40.08,40.3,25215488
"2013-12-26",41.04,41.85,41.04,41.52,11169500
"2014-01-02",40.68,41.06,40.34,40.95,14764415
"2014-01-09",40.88,40.94,40.28,40.49,9792633
"2014-01-16",39.3,39.55,38.76,39,36095485
"2014-01-23",38.34,38.5,37.91,38.42,20559316
"2014-01-30",36.88,37.07,36.48,36.84,15484212
"2014-02-06",34.43,35.82,34.36,35.23,53696324
"2014-02-13",35.17,35.22,34.76,35.2,30512706
"2014-02-20",36.19,36.6,36,36.51,18651132
"2014-02-27",36.56,36.85,35.97,36.77,28752156
"2014-03-06",37.87,38.05,37.54,37.54,19116622
"2014-03-13",35.04,35.16,33.87,34.09,39628553
"2014-03-20",34.79,35.27,34.4,35.26,14456078
"2014-03-27",34.28,34.99,34.11,34.51,16382930
"2014-04-03",34.94,35.5,34.73,35.44,20578652
"2014-04-10",33.71,34.06,33.3,33.3,34304923
"2014-04-17",33.83,34.09,33.8,33.98,12351182
"2014-04-24",35.5,35.7,33.52,34.17,33352352
"2014-05-01",34.67,35.4,34.54,34.9,19572572
"2014-05-08",34.98,35.43,34.73,34.85,10252162
"2014-05-15",34.61,34.75,33.83,34.36,18088577
"2014-05-22",33.39,33.7,33.31,33.42,8428152
"2014-05-29",34.6,34.65,34.25,34.45,10881537
"2014-06-05",36.96,37.04,36.16,36.27,25094529
"2014-06-12",36,36.28,35.49,35.52,16818453
"2014-06-19",36.35,36.64,36.2,36.37,11277822
"2014-06-26",36.89,36.97,36.41,36.9,11471585
"2014-07-03",37.96,38.11,37.72,37.74,6743734
"2014-07-10",37.48,37.9,37.35,37.75,9898910
"2014-07-17",37.31,37.67,37.01,37.1,11014655
"2014-07-24",36.67,36.85,35.32,35.74,35694105
"2014-07-31",34.15,34.24,33.78,33.82,13410713
"2014-08-07",33.56,33.63,32.8,33.11,13526688
"2014-08-14",33.81,33.96,33.22,33.95,9956803
"2014-08-21",34.62,34.73,34.46,34.6,6591929
"2014-08-28",34.49,34.75,34.22,34.68,5971613
"2014-09-04",34.49,34.92,34.44,34.63,9566331
"2014-09-11",33.16,33.7,33.15,33.61,10189065
"2014-09-18",33.93,34.22,33.93,34.03,8930996
"2014-09-25",33.57,33.65,32.83,32.87,12309199
"2014-10-02",32.53,33.4,32.49,33.18,20794624
"2014-10-09",32.09,32.13,30.81,31.03,23098842
"2014-10-16",29.13,30.15,29.09,29.94,18226156
"2014-10-23",31.95,31.99,30.81,30.93,25443605
"2014-10-30",30.57,31.03,30.45,30.78,10074099
"2014-11-06",30.7,31.46,30.65,31.37,12729496
"2014-11-13",31.51,31.9,31.46,31.65,8353857
"2014-11-20",31.96,32.26,31.8,32.13,8052949
"2014-12-04",33.66,33.67,33.04,33.09,11686711
"2014-12-11",32.14,32.69,31.99,32.19,13282592
"2014-12-18",31.64,31.75,31.17,31.75,14112031
"2015-01-08",36.06,36.45,35.8,36.2,15206551
"2015-01-15",34.78,34.87,33.38,33.43,19437427
"2015-01-22",34.15,34.18,33.31,33.82,14261091
"2015-01-29",32.91,33.34,32.36,33.16,15819211
"2015-02-05",36.28,36.6,36.01,36.25,20854860
"2015-02-12",37.85,38.18,37.73,38.02,15537409
"2015-02-19",37.03,37.61,36.98,37.51,11780752
"2015-02-26",37.81,38.13,37.51,37.56,10708173
"2015-03-05",37.64,37.82,37.56,37.61,6620673
"2015-03-12",37.86,38.47,37.84,38.43,13985996
"2015-03-19",38.45,38.78,38.29,38.65,11255677
"2015-03-26",37.7,37.91,37.15,37.35,13814459
"2015-04-02",36.61,36.73,36.33,36.5,16517696
"2015-04-09",36.1,36.39,36.03,36.29,15475319
"2015-04-16",37.13,37.18,36.74,37.08,12225840
"2015-04-23",36.25,36.3,35.58,35.92,41820353
"2015-04-30",35.26,35.43,34.93,35.06,15784462
"2015-05-07",34.64,35.03,34.55,34.88,14033685
"2015-05-14",35,35.04,34.53,34.65,12645342
"2015-05-21",35,35.66,35,35.58,16015976
"2015-05-28",36.11,36.48,35.97,36.39,18063918
"2015-06-04",35.66,35.87,35.47,35.54,10538543
"2015-06-11",35.72,36.01,35.55,35.55,16819022
"2015-06-18",35.87,36.48,35.85,36.2,15490867
"2015-06-25",35.21,35.32,34.57,34.7,14593147
"2015-07-02",33.19,33.45,33.06,33.23,8646353
"2015-07-09",31.62,31.75,30.92,31.01,16934186
"2015-07-16",31.14,31.2,30.31,30.61,35920701
"2015-07-23",32.66,32.7,31.4,31.5,38967572
"2015-07-30",31.89,32.05,31.75,31.91,10123323
"2015-08-06",31.59,31.93,31.14,31.86,19567910
"2015-08-13",30.87,31.25,30.81,31.06,20432418
"2015-08-20",31.46,31.46,30.83,30.84,13320799
"2015-08-27",28.52,28.82,28.02,28.58,25612227
"2015-09-03",29.38,29.71,29.02,29.11,11276618
"2015-09-10",29.19,30.46,29.19,30,18581871
"2015-09-17",31.25,31.81,31.13,31.31,16410356
"2015-09-24",29.41,29.51,28.76,29.44,19569699
"2015-10-01",30.29,30.75,29.98,30.67,18113897
"2015-10-08",32.95,33.5,32.86,33.43,12865075
"2015-10-15",33.55,33.66,33.16,33.32,10840532
"2015-10-22",35.64,35.79,34.97,35.42,22691976
"2015-10-29",35.04,35.05,34.11,34.75,12036945
"2015-11-05",35.53,35.56,35.19,35.44,7669190
"2015-11-12",35.34,35.48,35.02,35.09,10600087
"2015-11-19",36.43,36.47,36.07,36.14,9728394
"2015-12-03",35.83,36,35.23,35.47,10795824
"2015-12-10",35.25,35.89,35.18,35.63,8827017
"2015-12-17",35.15,35.27,34.06,34.11,14448386
"2015-12-24",34.72,34.75,34.5,34.6,3134813
"2015-12-31",34.21,34.3,34,34.01,6585989
"2016-01-07",30.26,30.82,29.82,29.99,21046302
"2016-01-14",30.81,30.89,29.45,30.3,26967156
"2016-01-21",29.46,30.14,29.07,29.55,15826017
"2016-01-28",29.47,29.48,28.4,29.02,16385816
"2016-02-04",28.94,29.21,28.1,28.64,20946268
"2016-02-11",27.48,28.09,26.69,26.9,24513749
"2016-02-18",29.45,29.55,28.92,29.03,11632935
"2016-02-25",28.83,29.51,28.55,29.5,11899422
"2016-03-03",30.26,31.22,30.2,31.07,17772189
"2016-03-10",30.72,30.88,30.27,30.82,15088687
"2016-03-17",31.73,32.1,31.64,31.96,11294239
"2016-03-24",30.88,30.97,30.39,30.96,12016335
"2016-03-31",31.01,31.59,31,31.43,10172312
"2016-04-07",29.85,29.95,29.18,29.42,12790149
"2016-04-14",30.84,31.05,30.64,30.72,8194393
"2016-04-21",33.18,33.41,32.47,32.66,22788331
"2016-04-28",31.97,32.73,31.73,32.44,13413923
"2016-05-05",30.79,30.81,30.3,30.54,10378586
"2016-05-12",31.2,31.37,30.75,31.18,9348532
"2016-05-19",30.51,30.68,30.17,30.32,10080873
"2016-05-26",31.65,31.75,31.18,31.29,6744048
"2016-06-02",30.13,30.46,30.05,30.26,12649256
"2016-06-09",29.48,29.5,29.16,29.36,11907469
"2016-06-16",28.67,29.07,28.5,29.02,9654396
"2016-06-23",29.59,29.85,29.55,29.82,9598108
"2016-06-30",28.18,29.66,27.7,28.3,15360601
"2016-07-07",28.49,29.06,28.42,28.74,10842314
"2016-07-14",30.88,31.05,30.6,30.76,11306401
"2016-07-21",32.56,32.87,31.83,32.03,36306348
"2016-07-28",31.05,31.2,30.65,30.99,20363869
"2016-08-04",30.24,30.53,30.23,30.34,8660875
"2016-08-11",31.43,31.79,31.36,31.75,13210802
"2016-08-18",31.8,31.86,31.48,31.55,14089870
"2016-08-25",31.71,31.75,31.36,31.54,15930799
"2016-09-01",31.86,32.55,31.34,31.8,14898781
"2016-09-08",31.85,32,31.68,31.71,11808229
"2016-09-15",30.75,31.23,30.74,31.12,13469771
