"","FDX.Open","FDX.High","FDX.Low","FDX.Close","FDX.Volume"
"2013-08-01",106.79,110.33,106.54,110,5121510
"2013-08-08",108.57,109.29,108.5,109.08,1596411
"2013-08-15",108,108.43,107.34,108.04,2224794
"2013-08-22",108.23,110.79,108.12,110.61,1348706
"2013-08-29",108.5,109.5,108.26,108.58,927370
"2013-09-05",107.47,109.47,107.47,109.05,1460548
"2013-09-12",110.1,110.12,107.74,108.39,2306456
"2013-09-19",114.63,117.38,114.54,116.83,3291244
"2013-09-26",113.97,114.74,112.87,113.56,1660169
"2013-10-03",114.87,115.17,111.8,113.55,2162843
"2013-10-10",113.9,115.11,113.22,115.06,1246884
"2013-10-17",121.98,125.27,121.57,125.19,4345187
"2013-10-24",130.48,131.99,130.07,131.57,2299729
"2013-10-31",132.02,132.56,129.81,131,3417482
"2013-11-07",133.05,133.35,130.25,130.55,2846892
"2013-11-14",135.41,136.5,135.04,136.44,3124893
"2013-11-21",135.32,138.86,135.25,138.38,2920799
"2013-12-05",137.9,139.67,137.67,138.22,1161216
"2013-12-12",136.56,137.53,136.27,136.34,1795705
"2013-12-19",139.61,140.02,137.76,139.69,2688626
"2013-12-26",142.65,143.52,142.33,143.3,1246959
"2014-01-02",142.9,144.39,139.57,139.77,3360745
"2014-01-09",140.51,141.77,139.95,141.51,1476260
"2014-01-16",141.92,142.5,140.95,141.81,1928072
"2014-01-23",141.61,141.99,139.35,140.24,1836493
"2014-01-30",133.09,134.83,133.06,133.77,1936095
"2014-02-06",130.14,131.86,130.06,130.84,1908377
"2014-02-13",131.92,133.34,131,133.07,1783345
"2014-02-20",131.69,133.51,131.06,132.99,1786990
"2014-02-27",132.04,133.84,131.95,133.55,1736128
"2014-03-06",137.25,137.64,136.19,137.29,1581411
"2014-03-13",138.36,139.29,135.88,136.68,2286168
"2014-03-20",137.03,137.73,135.24,136.5,3377720
"2014-03-27",132,132.64,131.3,132.11,3046687
"2014-04-03",134.7,136.12,134.7,135.3,1987672
"2014-04-10",134.08,134.31,131.86,132.06,2528268
"2014-04-17",133.62,135.97,133.62,135.55,2152337
"2014-04-24",136.4,137.09,135.62,136.08,1928909
"2014-05-01",136.36,137,135.39,136.24,813037
"2014-05-08",135.81,137.66,135.8,136.7,2394932
"2014-05-15",139.28,139.34,137.55,138.68,1260868
"2014-05-22",138.84,139.69,138.34,139.33,1550774
"2014-05-29",143.88,144.6,143.3,144.53,1275579
"2014-06-05",143.47,143.99,142.36,142.65,1955571
"2014-06-12",142.09,142.28,139.14,139.21,1594265
"2014-06-19",147.96,149.33,146.83,147.6,3368855
"2014-06-26",151.36,151.68,150.05,151.5,1162982
"2014-07-03",152.79,153.74,152.54,153.61,660820
"2014-07-10",149.87,150.88,149.42,150.26,984407
"2014-07-17",153.35,155.31,151.73,151.9,1816950
"2014-07-24",153.03,153.25,152.33,152.5,1009973
"2014-07-31",148.07,149.11,146.64,146.88,1520026
"2014-08-07",146.96,148.41,145.91,146.02,1659241
"2014-08-14",149.64,149.72,148.61,149.64,529037
"2014-08-21",151.03,151.07,150,150.55,817351
"2014-08-28",148.79,149,147.03,147.87,1364315
"2014-09-04",152.22,154.24,151.69,152.04,1748348
"2014-09-11",150.08,152.99,150.01,152.53,1031185
"2014-09-18",159.8,161.25,158.69,158.93,3396291
"2014-09-25",159.29,159.52,157.04,157.16,1132965
"2014-10-02",158.16,159.35,156.7,159.03,1747201
"2014-10-09",159.5,160.35,156.22,156.51,1450951
"2014-10-16",151.68,154.39,150.54,151.93,2744360
"2014-10-23",160.95,163.48,160.59,162.5,2369006
"2014-10-30",165.19,166.72,163.91,165.29,1670280
"2014-11-06",169.5,171.92,169.27,171.7,1547910
"2014-11-13",172.02,172.46,170.46,171.57,1552138
"2014-11-20",171.09,172.62,170.42,172.5,1092113
"2014-12-04",180.25,180.75,179.34,180.18,1432136
"2014-12-11",177.88,178.61,176.54,176.88,2082653
"2014-12-18",170.95,174.38,170,174.38,3802954
"2015-01-08",173.18,175.36,172.46,175.04,1819587
"2015-01-15",173.29,174.46,172.08,173.85,2221250
"2015-01-22",179.53,181.49,178.31,181.4,1537443
"2015-01-29",172.14,173.24,170.05,172.89,1640567
"2015-02-05",172.72,174.17,172.6,173.37,1149661
"2015-02-12",174.71,176.81,174.19,176.3,2116184
