"","JNJ.Open","JNJ.High","JNJ.Low","JNJ.Close","JNJ.Volume"
"2013-08-22",88.76,89.03,88.12,88.26,7192152
"2013-08-29",86.41,87.14,85.99,86.57,5769149
"2013-09-05",87,87.17,86.62,87.04,5656291
"2013-09-12",89.3,89.57,88.88,89.01,7939042
"2013-09-19",90.05,90.2,89.79,90.07,6676235
"2013-09-26",87.28,87.7,86.72,87.07,6400581
"2013-10-03",87.19,87.4,86.28,86.58,7731645
"2013-10-10",86.72,87.78,86.7,87.78,8649144
"2013-10-17",90.87,92,90.77,91.97,8575026
"2013-10-24",92.65,92.99,92.14,92.35,5254262
"2013-10-31",92.85,93.35,92.32,92.61,7774133
"2013-11-07",93.19,93.35,92.69,92.69,6123007
"2013-11-14",93.4,94.14,93.4,93.92,7045942
"2013-11-21",95.46,95.75,95.05,95.2,6897627
"2013-12-05",93.42,93.63,92.66,92.97,8667604
"2013-12-12",92.81,92.86,91.07,91.16,12285664
"2013-12-19",92.4,92.4,91.42,91.98,7339601
"2013-12-26",91.99,92.54,91.77,92.54,3459501
"2014-01-02",91.14,91.73,91.01,91.03,5921167
"2014-01-09",94.94,95.38,94.09,94.73,7952774
"2014-01-16",94.6,95.09,94.23,94.64,8401397
"2014-01-23",93.74,93.8,92.41,92.74,9322328
"2014-01-30",89.62,89.78,89.01,89.5,6876827
"2014-02-06",87.63,88.76,87.55,88.75,10038015
"2014-02-13",92,92.62,91.71,92.56,5926351
"2014-02-20",91.69,92.73,91.31,92.38,8160140
"2014-02-27",91.16,91.42,90.75,91.36,7040593
"2014-03-06",93.19,93.65,92.82,92.89,7718786
"2014-03-13",93.85,94.2,92.98,93,7659366
"2014-03-20",93.52,94.19,92.96,94.12,5727520
"2014-03-27",97.08,97.7,96.26,97.28,8694613
"2014-04-03",97.97,98.34,97.53,98.26,5476117
"2014-04-10",98.86,98.93,96.52,96.54,9668076
"2014-04-17",98.69,99.65,98.69,98.96,9153584
"2014-04-24",100.24,100.37,99.55,99.96,6154027
"2014-05-01",100.77,101.03,99.93,100.53,6590499
"2014-05-08",100.67,101.09,100.36,100.5,5668825
"2014-05-15",100.64,100.84,100.41,100.69,7011935
"2014-05-22",100.58,101.01,100.08,100.96,5124957
"2014-05-29",100.56,100.8,100.15,100.76,3685692
"2014-06-05",102.78,103.36,102.42,103.22,4731051
"2014-06-12",103.18,103.21,102.51,102.53,5935011
"2014-06-19",102.93,103.87,102.81,103.81,5481511
"2014-06-26",105.84,105.97,105.03,105.65,5106917
"2014-07-03",105.87,106.25,105.11,105.42,4199082
"2014-07-10",105.08,106,104.52,105.8,4955123
"2014-07-17",101.9,102.1,100.26,100.37,11226538
"2014-07-24",102.34,102.73,102.02,102.2,5177227
"2014-07-31",101.77,101.84,100.05,100.09,9142218
"2014-08-07",101.09,101.19,99.58,99.93,7417911
