"","PLD.Open","PLD.High","PLD.Low","PLD.Close","PLD.Volume"
"2013-03-14",39.01,39.24,38.91,38.92,3445613
"2013-03-21",38.43,38.79,38.43,38.52,2294220
"2013-03-28",39.8,40.04,39.61,39.98,1840439
"2013-04-04",39.68,40.03,39.51,39.66,4144482
"2013-04-11",40.35,41.19,40.18,41.14,3226464
"2013-04-18",41,41.09,40.26,40.62,2164683
"2013-04-25",41.6,41.7,41.45,41.45,28067438
"2013-05-02",42.06,42.41,41.89,42.38,2791114
"2013-05-09",43.08,43.15,42.83,42.91,2174417
"2013-05-16",43.67,44,43.62,43.87,2655955
"2013-05-23",43.04,43.04,42,42.38,3606141
"2013-05-30",41.91,42.28,41.07,41.1,2728801
"2013-06-06",38.8,39.26,38.2,39.26,2825603
"2013-06-13",37.34,38.38,37,38.27,3632555
"2013-06-20",36.74,36.75,35.45,35.6,5614055
"2013-06-27",37.34,38.05,37.28,38.02,3332709
"2013-07-11",38.76,39.33,38.72,39.24,2790396
"2013-07-18",40,40.46,39.97,40.44,2337907
"2013-07-25",39.64,39.75,39.06,39.51,3162724
"2013-08-01",38.59,38.73,38.15,38.36,2179365
"2013-08-08",38.22,38.31,37.58,37.77,1743459
"2013-08-15",36.7,36.7,35.98,36.16,2227550
"2013-08-22",35.33,35.54,35.11,35.42,1626341
"2013-08-29",35.44,35.67,35.21,35.54,1059411
"2013-09-05",35.6,36.08,35.48,35.68,2304602
"2013-09-12",37.33,37.48,36.77,37.06,2356889
"2013-09-19",39.25,39.74,38.85,38.89,2522573
"2013-09-26",37.95,38.52,37.7,38.5,2732188
"2013-10-03",38.56,38.84,37.68,38.22,3040566
"2013-10-10",37.82,38.6,37.76,38.58,1965480
"2013-10-17",39.85,40.24,39.81,40.04,3346389
"2013-10-24",40.35,40.56,39.86,40.42,1879272
"2013-10-31",40.05,40.21,39.55,39.95,2771783
"2013-11-07",39.93,40.02,39.08,39.24,2240574
"2013-11-14",39.03,39.42,38.85,38.99,1992148
"2013-11-21",38.27,38.64,37.99,38.52,1865374
"2013-12-05",37.16,37.47,36.81,37.22,2066253
"2013-12-12",36.4,36.73,36.01,36.57,3216439
"2013-12-19",37.08,37.08,36.19,36.73,3082652
"2013-12-26",37.12,37.45,36.99,37.13,2132072
"2014-01-02",36.99,37.01,36.55,36.91,1985472
"2014-01-09",37.72,37.74,36.77,37.2,2916914
"2014-01-16",37.48,37.58,37.14,37.29,2250449
"2014-01-23",37.49,37.62,37.21,37.42,2216822
"2014-01-30",36.5,39.14,36.5,38.81,4294299
"2014-02-06",39.17,39.68,39,39.58,3014126
"2014-02-13",40.51,41.05,40.45,40.83,1759331
"2014-02-20",40.75,40.9,40.18,40.39,2063368
"2014-02-27",41.08,41.3,40.58,40.9,1900673
"2014-03-06",41.79,41.89,41.15,41.32,2472694
"2014-03-13",40.61,40.8,40.31,40.36,1669452
"2014-03-20",39.87,40.27,39.6,40.25,3269111
"2014-03-27",39.74,40.14,39.59,40.12,1653720
"2014-04-03",40.99,41.01,40.6,40.88,2430120
"2014-04-10",41.32,41.49,40.18,40.45,3711696
"2014-04-17",40.6,41.34,40.58,41.29,3288723
"2014-04-24",41.09,41.4,40.86,41.23,2104933
"2014-05-01",40.63,40.96,40.36,40.94,1833804
"2014-05-08",41.23,41.6,41.18,41.38,3137192
"2014-05-15",41.19,41.38,40.5,40.99,2402805
"2014-05-22",40.65,40.76,40.42,40.5,2382812
"2014-05-29",41.2,41.35,40.95,41.34,2223543
"2014-06-05",41.43,42.57,41.29,42.53,2990992
"2014-06-12",41.1,41.16,40.71,40.96,2018718
"2014-06-19",41.39,41.7,41.26,41.68,2154723
"2014-06-26",41.47,41.47,40.94,41.1,1930603
"2014-07-03",41.15,41.19,40.69,40.9,1076012
"2014-07-10",40.89,41.35,40.81,41.23,1988061
"2014-07-17",41.44,41.68,41.27,41.45,1482946
"2014-07-24",42.19,42.28,41.84,41.87,1909774
"2014-07-31",41.25,41.44,40.74,40.81,2401494
"2014-08-07",40.12,40.24,39.8,39.87,1665263
"2014-08-14",40.9,41.02,40.64,40.83,1387049
"2014-08-21",41.37,41.52,41,41.14,1622129
"2014-08-28",40.71,40.9,40.64,40.74,1343822
"2014-09-04",40.66,40.81,40.45,40.59,2693856
"2014-09-11",40.6,40.73,40.3,40.41,2202310
"2014-09-18",38.83,39.12,38.3,38.31,2543024
"2014-09-25",38.01,38.01,37.45,37.45,2505604
"2014-10-02",37.48,37.71,37.12,37.55,2105311
"2014-10-09",38.05,38.37,37.59,37.63,2977848
"2014-10-16",37.66,38.56,37.66,38.42,3295946
"2014-10-23",39.97,40.55,39.96,40.45,3953773
"2014-10-30",40.8,41.05,40.69,41.05,2027448
"2014-11-06",41.65,41.75,41.48,41.58,2546202
"2014-11-13",41.15,41.4,40.95,41.1,1910691
"2014-11-20",40.75,41.03,40.63,40.95,3117564
"2014-12-04",42.56,42.6,42.1,42.54,2595309
"2014-12-11",43.14,43.2,42.82,42.89,2648070
"2014-12-18",42.62,42.79,42.35,42.64,2942701
"2015-01-08",44.41,44.46,44.01,44.22,2414011
"2015-01-15",43.85,44.09,43.52,43.77,2423364
"2015-01-22",44.35,45.15,44.16,45.12,4264114
"2015-01-29",46.41,46.58,45.8,46.24,3201722
"2015-02-05",45.18,45.81,45.04,45.79,3874360
"2015-02-12",44.57,44.78,44.12,44.77,1694898
"2015-02-19",43.78,43.78,42.68,42.85,3235357
"2015-02-26",42.97,42.98,42.42,42.43,4129238
"2015-03-05",42.62,42.95,42.54,42.66,3883221
"2015-03-12",42.05,42.63,41.89,42.56,3260957
"2015-03-19",43.29,43.82,43.17,43.68,3884946
"2015-03-26",43.36,43.56,42.92,43.07,3573454
"2015-04-02",43.46,43.68,43.33,43.59,2387546
"2015-04-09",43.45,43.46,42.29,42.37,3317301
"2015-04-16",42.61,43.29,42.47,42.97,2718107
"2015-04-23",42.36,42.89,42.34,42.56,4120035
"2015-04-30",41.02,41.08,39.98,40.2,4598872
"2015-05-07",39.75,40.34,39.52,40.23,3379157
"2015-05-14",40.2,40.62,40.08,40.27,2934416
"2015-05-21",40.81,40.81,40.17,40.33,2607479
"2015-05-28",40.3,40.46,40.05,40.26,1538499
"2015-06-04",39.88,40.15,39.71,40.06,3184230
"2015-06-11",39.68,39.89,39.57,39.65,2681750
"2015-06-18",39.47,40.05,39.34,39.75,3606532
"2015-06-25",38.6,38.7,38.1,38.11,2614862
"2015-07-02",38.09,38.41,37.74,37.93,2513778
"2015-07-09",38.5,38.67,38.05,38.25,2189403
"2015-07-16",39.09,39.54,39,39.5,2276634
"2015-07-23",40.28,40.33,39.57,39.92,3005638
"2015-07-30",40.45,40.63,40.01,40.2,1949087
"2015-08-06",40.41,40.76,40.12,40.69,3190715
"2015-08-13",40.87,41.37,40.76,41.25,2428899
"2015-08-20",41.77,42.08,41.57,41.61,3201486
"2015-08-27",38,38.85,37.6,38.72,4493959
"2015-09-03",37.62,38,37.45,37.81,2521876
"2015-09-10",36.32,37.16,36.32,36.75,2742812
"2015-09-17",37.77,38.88,37.62,38.19,3279940
"2015-09-24",38.33,38.5,37.77,38.01,2485172
"2015-10-01",39.11,39.3,38.69,39.28,2390640
"2015-10-08",40.78,41.32,40.61,41.23,2418128
"2015-10-15",41.14,41.55,40.97,41.5,2332114
"2015-10-22",43.06,43.37,42.87,43.21,2863143
"2015-10-29",43.11,43.34,42.78,43.16,1830859
"2015-11-05",43.08,43.27,42.84,43.15,1693304
"2015-11-12",41.07,41.24,40.73,41.06,1934574
"2015-11-19",42.39,42.65,42.25,42.29,2013324
"2015-12-03",42.29,42.73,41.29,41.48,4270559
"2015-12-10",42.24,42.52,41.88,41.99,2918846
"2015-12-17",42.36,42.39,41.82,42,2394326
"2015-12-24",42.4,42.69,42.1,42.46,708085
"2015-12-31",42.99,43.28,42.77,42.92,1951786
"2016-01-07",41.72,42.08,41.37,41.44,3902773
"2016-01-14",40.59,40.64,39.54,39.65,4008497
"2016-01-21",37.59,38.03,37.42,37.73,3419958
"2016-01-28",39.82,39.88,38.79,38.88,2699837
"2016-02-04",39.36,39.79,39.16,39.58,3361234
"2016-02-11",36.67,36.84,35.25,35.57,5388915
"2016-02-18",37.43,37.81,37.05,37.67,4005037
"2016-02-25",38.46,39.41,38.46,39.07,3454970
"2016-03-03",40.47,41.05,40.33,41.02,2384001
"2016-03-10",41.76,42.2,40.88,41.4,2447592
"2016-03-17",42.46,43.3,42.32,42.97,4819649
"2016-03-24",41.9,42.4,41.67,42.32,2232883
"2016-03-31",43.67,44.26,43.57,44.18,3775175
"2016-04-07",43.89,44.07,43.45,43.65,1953356
"2016-04-14",44.52,44.62,44.27,44.4,2164390
"2016-04-21",44.82,45.07,43.96,44.24,3592452
"2016-04-28",45.57,45.96,45.11,45.65,2278384
"2016-05-05",45.82,46.33,45.67,46.11,2391671
"2016-05-12",47.11,47.58,46.87,47.45,2608033
"2016-05-19",46.33,46.75,46.11,46.52,2254701
"2016-05-26",47.08,47.27,46.92,47.11,3123286
"2016-06-02",47.56,48.01,47.33,48.01,1770252
"2016-06-09",48.91,49.92,48.86,49.87,3295164
"2016-06-16",49.66,50.37,49.36,50.33,3038612
"2016-06-23",50.36,50.57,49.88,50.09,3817382
"2016-06-30",49.1,49.16,48.22,49.04,4841047
"2016-07-07",49.29,49.36,48.46,48.75,2209384
"2016-07-14",50.86,51.02,50.46,50.96,3517040
"2016-07-21",51.28,51.78,51.23,51.78,2935774
"2016-07-28",52.48,53.89,52.39,53.63,2370167
"2016-08-04",54.17,54.25,53.81,54,2154468
"2016-08-11",54.39,54.47,53.73,54.03,2330267
"2016-08-18",52.69,53.56,51.27,53.42,3211706
"2016-08-25",53.18,53.66,53.11,53.31,1939865
"2016-09-01",53.14,53.27,52.58,53.02,1899978
"2016-09-08",54.31,54.44,53.84,54.04,4185024
"2016-09-15",51.32,51.36,50.47,51.26,2646482
