"","STI.Open","STI.High","STI.Low","STI.Close","STI.Volume"
"2014-10-23",37.2,37.39,37,37.09,2788563
"2014-10-30",38.54,38.82,38.28,38.58,2967120
"2014-11-06",39.63,39.84,39.34,39.82,1979760
"2014-11-13",39.85,39.91,39.45,39.78,2789468
"2014-11-20",39.01,39.47,39,39.45,2116415
"2014-12-04",39.8,40.06,39.52,40.03,2679945
"2014-12-11",41.1,41.48,40.89,41.02,3169202
"2014-12-18",41.04,41.71,41.03,41.71,3775775
"2015-01-08",39.8,40.25,39.75,40.17,4179145
"2015-01-15",37.19,37.45,36.52,36.71,5936957
"2015-01-22",38.75,39.94,38.45,39.86,6181320
"2015-01-29",38.34,39,38.07,38.9,4295272
"2015-02-05",39.81,40.46,39.79,40.31,2468643
"2015-02-12",41.06,41.58,40.83,41.56,3066284
"2015-02-19",40.86,41,40.5,40.67,3761191
"2015-02-26",41.22,41.34,40.95,41.18,2342690
"2015-03-05",40.93,41.32,40.58,41.22,2951975
"2015-03-12",41.85,42.74,41.85,42.72,3476964
"2015-03-19",42.45,42.52,41.74,42.13,3494361
"2015-03-26",40.5,40.95,40.2,40.7,3323282
"2015-04-02",40.85,41.45,40.77,41.37,2887918
"2015-04-09",41.23,41.59,41.05,41.51,1780117
"2015-04-16",42.16,42.3,41.69,42.13,2094102
"2015-04-23",41.19,41.27,40.86,40.91,4628850
"2015-04-30",41.61,41.81,41.26,41.5,3975812
"2015-05-07",41.79,41.92,41.48,41.74,1895616
"2015-05-14",43.04,43.15,42.66,42.78,2188151
"2015-05-21",42.83,43.11,42.73,42.9,1808517
"2015-05-28",42.97,43.1,42.8,43.01,4520780
"2015-06-04",42.68,43,42.33,42.47,2019336
"2015-06-11",44.05,44.15,43.74,43.87,2261759
"2015-06-18",43.9,44.16,43.42,43.87,4423495
"2015-06-25",44.29,44.47,43.78,43.81,2611181
"2015-07-02",43.44,43.83,43.26,43.54,3099465
"2015-07-09",43.06,43.42,42.99,43.21,3850412
"2015-07-16",45.46,45.53,45.06,45.35,4454201
"2015-07-23",44.64,45.04,44.08,44.34,3594787
"2015-07-30",44.34,44.78,44.31,44.69,1897177
"2015-08-06",44.72,44.9,44.24,44.42,2075724
"2015-08-13",42.99,43.39,42.83,43.37,3239994
"2015-08-20",43.27,43.49,42.38,42.38,3647728
"2015-08-27",39.22,40.5,39.22,40.46,6178862
"2015-09-03",39.14,39.77,38.95,39.33,4298600
"2015-09-10",39.23,39.9,39.11,39.65,3631102
"2015-09-17",39.97,40.34,38.86,39.05,4943814
"2015-09-24",37.5,37.78,37.35,37.72,7821204
"2015-10-01",38.26,38.68,38.02,38.59,5254102
"2015-10-08",39.29,39.94,39.23,39.85,4152323
"2015-10-15",38.88,39.52,38.6,39.52,3453174
"2015-10-22",40.46,41.44,40.33,40.79,4475112
"2015-10-29",42.42,42.9,42.13,42.41,4457011
"2015-11-05",42.58,43.68,42.58,43.39,4820016
"2015-11-12",43.22,43.32,42.58,42.58,3467216
"2015-11-19",43.76,43.85,43.14,43.6,3448013
"2015-12-03",43.52,43.73,42.65,42.72,3378117
"2015-12-10",42.23,43.32,42.06,42.84,3824718
"2015-12-17",44.24,44.36,43.22,43.24,3309537
"2015-12-24",43.33,43.62,43.15,43.36,974627
"2015-12-31",42.99,43.43,42.83,42.84,2288902
"2016-01-07",40.26,40.71,39.43,39.48,6482478
"2016-01-14",38.4,38.78,37.75,38.26,5749370
"2016-01-21",36.5,37,35.92,36.06,6400584
"2016-01-28",35.46,36.57,35.35,36.32,7898018
"2016-02-04",34.45,35.33,34.3,34.87,4376753
"2016-02-11",31.76,32.32,31.06,31.36,6905750
"2016-02-18",34.59,34.8,33.61,33.89,5467427
"2016-02-25",33.62,34.06,33.46,33.8,3911359
"2016-03-03",35.88,36.56,35.87,36.55,3434382
"2016-03-10",35.4,35.78,34.89,35.67,5811545
"2016-03-17",36.25,36.79,35.75,36.63,3251657
"2016-03-24",36.17,36.69,35.76,36.6,3311928
"2016-03-31",36.47,36.47,35.81,36.08,4404207
"2016-04-07",35.64,35.94,35.1,35.35,4789604
"2016-04-14",38.34,39.31,38.34,38.69,5047593
"2016-04-21",39.87,40.21,39.71,39.87,3361956
"2016-04-28",42.09,42.62,41.84,42.07,3501092
"2016-05-05",40.5,40.89,40.15,40.36,4793754
"2016-05-12",41.63,42.01,40.94,41.35,3830330
"2016-05-19",42.48,43.18,42.1,42.62,4995573
"2016-05-26",43.71,43.84,43.1,43.34,2719721
"2016-06-02",43.71,44.09,43.38,44.04,2133432
"2016-06-09",43.16,43.16,42.44,42.97,3329506
"2016-06-16",40.63,40.88,40.14,40.75,3847396
"2016-06-23",42.29,43.22,42.29,43.21,2960074
"2016-06-30",40.41,41.1,39.99,41.08,4592556
"2016-07-07",40.19,41.05,40.14,40.7,3487492
"2016-07-14",43.89,44.08,43.45,43.86,4680569
"2016-07-21",43.15,43.66,43.14,43.17,2971961
"2016-07-28",42.22,42.59,41.98,42.46,2739087
"2016-08-04",42.03,42.28,41.81,41.95,2314602
"2016-08-11",42.12,42.33,41.8,42.04,2260923
"2016-08-18",42.54,42.95,42.43,42.85,3390769
"2016-08-25",42.71,42.86,42.61,42.73,2495671
"2016-09-01",44.19,44.24,43.4,43.79,2983670
"2016-09-08",43.59,43.99,43.48,43.88,2851493
"2016-09-15",42.86,44.16,42.86,44.11,3289128
