"","SCG.Open","SCG.High","SCG.Low","SCG.Close","SCG.Volume"
"2013-09-12",46.25,46.39,45.72,45.73,751847
"2013-09-19",47.82,47.97,47.21,47.34,664635
"2013-09-26",46.66,46.84,46.32,46.43,722237
"2013-10-03",45.7,45.7,45.02,45.38,1310692
"2013-10-10",45.57,46.08,45.09,45.97,720182
"2013-10-17",45.48,46.43,45.24,46.4,892160
"2013-10-24",47.43,47.43,46.88,47.02,505898
"2013-10-31",46.76,47.43,45.96,46.63,676626
"2013-11-07",47.99,48.15,47.09,47.17,645831
"2013-11-14",46.65,47.12,46.46,46.9,603729
"2013-11-21",47.08,47.61,46.91,47.3,813499
"2013-12-05",47.49,47.67,47.13,47.35,906117
"2013-12-12",46.29,46.73,46.26,46.42,1186142
"2013-12-19",47.31,47.34,46.69,47.02,829497
"2013-12-26",47.34,47.4,46.85,47.05,451143
"2014-01-02",47.17,47.3,45.97,46.03,1001867
"2014-01-09",45.91,46.07,45.63,46.02,935250
"2014-01-16",46.15,46.41,46.12,46.38,456477
"2014-01-23",46.84,47.06,46.64,47.01,708909
"2014-01-30",46.38,47.02,46.27,46.96,781684
"2014-02-06",46.03,46.38,45.77,46.35,480627
"2014-02-13",47.74,48.56,47.69,48.45,883004
"2014-02-20",48.4,49.14,48.23,49.08,991093
"2014-02-27",49.32,49.55,49.02,49.18,647894
"2014-03-06",48.78,48.92,48.39,48.6,734643
"2014-03-13",49.1,49.87,49.01,49.72,676462
"2014-03-20",49.73,49.89,49.18,49.64,664617
"2014-03-27",50.15,50.57,49.92,50.53,535570
"2014-04-03",50.78,50.91,50.51,50.73,535134
"2014-04-10",51.68,52.19,51.48,51.65,990451
"2014-04-17",53.01,53.23,52.52,52.69,756280
"2014-04-24",52.47,52.83,52.16,52.56,1379357
"2014-05-01",53.79,53.83,52.93,53.29,720167
"2014-05-08",53.07,53.2,52.56,52.65,1136132
"2014-05-15",51.75,51.96,51.34,51.48,546646
"2014-05-22",50.82,51.52,50.82,51.37,588468
"2014-05-29",51.62,51.67,51.27,51.52,589032
"2014-06-05",51.59,52.36,51.59,52.34,767203
"2014-06-12",50.15,50.54,49.51,50.44,652082
"2014-06-19",52.25,52.91,52.17,52.86,807289
"2014-06-26",53,53.21,52.83,53.17,548490
"2014-07-03",52.31,52.48,51.97,52.34,650440
"2014-07-10",53.01,53.56,53.01,53.46,803375
"2014-07-17",52.94,53.06,52.61,52.61,588741
"2014-07-24",53.12,53.4,52.9,53.23,409647
"2014-07-31",51.66,52.17,50.78,50.88,974713
"2014-08-07",48.92,49.56,48.92,49.22,908703
"2014-08-14",49.68,50.35,49.67,50.27,690882
"2014-08-21",51.18,51.44,50.97,51.27,721029
"2014-08-28",51.09,51.61,51.03,51.59,515540
"2014-09-04",51.62,51.79,51.33,51.66,679863
"2014-09-11",50.46,50.95,50.3,50.88,531164
"2014-09-18",50.49,50.66,49.76,49.93,576319
"2014-09-25",49.37,49.84,49.24,49.3,654299
"2014-10-02",49.59,49.85,48.37,48.77,2476229
"2014-10-09",49.41,49.72,48.44,48.48,805711
"2014-10-16",50.89,51.33,50.02,51.23,1785017
"2014-10-23",53.04,53.37,52.74,53.05,636377
"2014-10-30",53.55,54.37,52.98,54.32,1382269
"2014-11-06",56.52,56.62,55.29,55.86,1112707
"2014-11-13",56.5,56.66,55.78,55.99,830338
"2014-11-20",56.56,56.71,56.17,56.31,608414
"2014-12-04",57.62,57.99,57.48,57.82,659796
"2014-12-11",56.83,57.95,56.83,57.58,904560
"2014-12-18",58.99,59.77,58.65,59.75,859925
"2015-01-08",61.84,62.36,61.74,61.81,978917
"2015-01-15",62.03,62.38,61.67,62.15,707699
"2015-01-22",63.72,63.89,63.03,63.55,552974
"2015-01-29",64.29,65.57,64.08,65.36,1014479
"2015-02-05",63.54,63.95,63.09,63.86,614787
"2015-02-12",59.49,59.76,58.89,59.03,1026859
"2015-02-19",59.4,59.4,57.61,58.27,1220737
"2015-02-26",58.22,58.24,56.9,57.02,1185283
"2015-03-05",55.34,55.9,55.24,55.61,818339
"2015-03-12",52.51,53.72,52.51,53.34,1332773
"2015-03-19",55.29,56.05,55.04,55.21,1040807
"2015-03-26",54.55,54.95,54.05,54.31,753798
"2015-04-02",55.63,55.68,55.07,55.21,838572
"2015-04-09",54.8,54.85,54.24,54.7,789340
"2015-04-16",54.49,54.65,53.67,54.3,987576
"2015-04-23",54.26,54.97,54.22,54.5,714498
"2015-04-30",54.1,54.15,52.56,52.98,1491866
"2015-05-07",52.49,53.19,52.46,52.64,833876
"2015-05-14",51.93,52.45,51.88,52.17,1049418
"2015-05-21",53.51,53.51,52.97,53.37,497844
"2015-05-28",53.01,53.41,52.69,53.25,592608
"2015-06-04",51.55,51.93,51.39,51.48,574593
"2015-06-11",50.7,51.12,50.51,50.79,925289
"2015-06-18",51.08,51.94,51.06,51.72,806754
"2015-06-25",50.7,50.76,50.19,50.22,773441
"2015-07-02",51.4,52.02,51.39,51.97,1407942
"2015-07-09",53.5,53.62,52.28,52.42,1399676
"2015-07-16",53.25,54.22,52.96,54.13,816385
"2015-07-23",52.9,53,51.98,52.29,695342
"2015-07-30",53.42,54.43,53.35,54.08,740514
"2015-08-06",54.62,55.36,54.2,55.29,849116
"2015-08-13",56.5,57.24,56.08,57.01,754021
"2015-08-20",56.72,57.39,56.35,56.77,736951
"2015-08-27",53.6,54.04,53.27,54.02,749708
"2015-09-03",51.88,52.13,51.59,51.82,695270
"2015-09-10",50.56,51.14,50.37,50.51,664745
"2015-09-17",52.21,53.5,52.05,52.84,692427
"2015-09-24",52.54,53.45,52.43,53.27,790240
"2015-10-01",56.41,56.41,54.84,55.39,1317363
"2015-10-08",55.55,56.53,55.41,56.44,651155
"2015-10-15",56.3,57.33,56.14,57.28,807700
"2015-10-22",57.95,58.74,57.87,58.56,523828
"2015-10-29",56.24,57.98,56.07,57.28,1829284
"2015-11-05",59.5,59.8,59.2,59.33,558594
"2015-11-12",60,60.47,59.31,59.35,848048
"2015-11-19",59.28,60.17,59.04,60,724472
"2015-12-03",58.09,58.33,57.49,57.75,963891
"2015-12-10",58.6,58.69,56.9,56.98,902149
"2015-12-17",61.1,61.95,60.97,61.43,741176
"2015-12-24",61.06,61.13,60.65,60.94,320056
"2015-12-31",61.3,61.3,59.9,60.49,587455
"2016-01-07",60.36,61.08,60.26,60.95,1293446
"2016-01-14",60.19,61.61,59.8,61.15,1286023
"2016-01-21",60.18,60.64,59.54,60.08,838301
"2016-01-28",60.6,61.78,60.4,61.39,1023871
"2016-02-04",65.91,66.28,65.05,65.19,1304663
"2016-02-11",65.02,65.61,64.44,64.55,983347
"2016-02-18",64.97,66.13,63.59,65.8,1293261
"2016-02-25",66.69,66.9,66.22,66.78,710753
"2016-03-03",65.06,65.36,64.29,65.08,1270129
"2016-03-10",66.53,67.13,65.95,66.77,996961
"2016-03-17",68,68.25,67.32,68.12,1274603
"2016-03-24",68.2,68.95,67.92,68.84,767053
"2016-03-31",69.7,70.35,69.5,70.15,941037
"2016-04-07",69.72,70.34,69.45,69.53,1133586
"2016-04-14",69.42,69.71,69.13,69.25,439232
"2016-04-21",67.99,67.99,66.15,66.39,764387
"2016-04-28",66.29,67.94,66.02,67.81,896167
"2016-05-05",70.38,71.22,69.74,70.01,780009
"2016-05-12",69.76,70.69,69.43,70.57,871130
"2016-05-19",67.06,68.38,66.58,68.35,687121
"2016-05-26",68.42,69.5,68.27,69.41,608651
"2016-06-02",70.09,70.22,69.4,70.07,783224
"2016-06-09",70.8,71.74,70.79,71.67,569818
"2016-06-16",70.82,71.73,70.82,71.44,1168148
"2016-06-23",71.66,71.75,70.81,71.35,576930
"2016-06-30",74,75.67,73.94,75.66,1040074
"2016-07-07",75.87,76.1,74.02,74.23,967695
"2016-07-14",73.88,74.35,73.57,73.67,777072
"2016-07-21",73.33,74.26,73.05,74.14,956281
"2016-07-28",72.83,74.07,72.81,73.94,679658
"2016-08-04",74.41,75.08,74.08,74.33,543666
"2016-08-11",72.89,73.02,72.55,73.01,480434
"2016-08-18",72.27,73.27,72.27,73.26,743440
"2016-08-25",72.33,72.65,72.11,72.44,436191
"2016-09-01",70.62,70.62,69.91,70.01,794253
"2016-09-08",71.73,72.33,71.38,71.99,710976
"2016-09-15",70.05,71.22,69.85,70.93,864707
