"","CMG.Open","CMG.High","CMG.Low","CMG.Close","CMG.Volume"
"2012-06-28",387.97,387.97,370.19,376.95,1658155
"2012-07-05",379,386.69,379,382.86,453411
"2012-07-12",378.02,384.77,377.19,383.53,512187
"2012-07-19",397.24,404.59,396.98,403.86,1334277
"2012-07-26",300,302.87,289.64,289.86,1145097
"2012-08-02",278.24,286.99,277.26,283.77,911881
"2012-08-09",298.76,301.75,296.47,297.2,387256
"2012-08-16",298.84,304.23,298.09,299.79,705467
"2012-08-23",297.3,298.16,291.93,291.99,538207
"2012-08-30",292.74,293.31,289.2,290.03,427003
"2012-09-06",290.77,303,290.77,302.33,943447
"2012-09-13",334.33,343.89,334.33,340.8,740660
"2012-09-20",342.48,342.48,336.4,338.89,562896
"2012-09-27",319.25,323.8,315.53,320.31,691441
"2012-10-04",302.4,302.4,293.73,294.01,1083290
"2012-10-11",283.15,290.33,280.75,286.36,1196863
"2012-10-18",293.57,293.57,283.11,285.93,2103719
"2012-10-25",245.1,248.69,243.4,248.01,1653365
"2012-11-01",251.56,263.38,251.56,263.25,1096465
"2012-11-08",273.53,274.61,260,261.36,1181757
"2012-11-15",255.56,260.89,253.39,260.3,620992
"2012-11-29",267.6,268.47,263.82,266.8,477591
"2012-12-06",264.75,270.19,263.09,266.51,419585
"2012-12-13",275.84,281,274.01,277.65,714277
"2012-12-20",287.01,289.86,284.62,288.79,402048
"2012-12-27",289.63,296.27,289.63,295.32,546407
"2013-01-03",297,305.08,295.13,300.95,472985
"2013-01-10",296,298.41,291.7,298.41,438031
"2013-01-17",281.68,293.82,281.68,290.33,1931251
"2013-01-24",293.49,300.5,292.87,299.62,389729
"2013-01-31",307.78,309,302.5,307.01,448280
"2013-02-07",321.46,322.79,314.44,318.45,793386
"2013-02-14",316.28,319.08,314.44,317.72,483832
"2013-02-21",307.17,313.73,307.17,308.13,639141
"2013-02-28",315.29,319.88,313.6,316.79,306386
"2013-03-07",331.38,331.38,325.08,327.5,330641
"2013-03-14",321.61,324.21,319.53,322.66,298613
"2013-03-21",321.99,322.52,318.33,319.42,425498
"2013-03-28",320.17,325.93,319.02,325.87,387865
"2013-04-04",323.63,326.34,321.86,323.16,415428
"2013-04-11",340,344.24,330.5,331.33,1458320
"2013-04-18",341.5,341.5,328.36,328.36,1014321
"2013-04-25",363.3,365.86,361.14,362.85,302270
"2013-05-02",361.68,369.32,361.62,365.2,363173
"2013-05-09",363.95,372.98,363.65,367.45,834223
"2013-05-16",374.93,375.76,370.65,372.08,384406
"2013-05-23",367.53,370.23,362.8,368.45,378234
"2013-05-30",370.93,373.42,369.22,369.85,195480
"2013-06-06",354.42,359.44,351.68,359.03,230353
"2013-06-13",369.5,372.56,365.44,371.43,309640
"2013-06-20",363.62,368.14,360.07,360.86,438224
"2013-06-27",364.95,366.96,361.19,364.15,336673
"2013-07-11",382.5,386.5,380.5,383.13,282273
"2013-07-18",375.99,377.4,372.75,376.75,977198
"2013-07-25",400.41,404.72,395.87,404.25,533074
"2013-08-01",414.9,418.23,412.63,413.81,279042
"2013-08-08",404.92,411.28,404.92,407.9,196200
"2013-08-15",401.94,404.67,397.01,401.48,269422
"2013-08-22",405.7,408.85,402.56,407.05,259291
"2013-08-29",403.94,409.99,403.94,406.78,314176
"2013-09-05",409.17,412.34,408,408.72,174580
"2013-09-12",420.3,425,420.11,421.64,220420
"2013-09-19",426.75,427.72,421.51,421.7,250066
"2013-09-26",416.25,422,415.95,420.34,180237
"2013-10-03",426.15,428.53,421.01,426.5,440448
"2013-10-10",432.07,436.95,430.28,435.87,309768
"2013-10-17",438.6,442.47,438.05,439.07,903978
"2013-10-24",521.13,524.54,517.85,522.97,424128
"2013-10-31",521.44,531.43,521.44,526.97,323449
"2013-11-07",540.01,540.01,524.67,525.02,653020
"2013-11-14",534.3,544.67,534.3,543.92,255341
"2013-11-21",534.9,542,531.2,539.22,382072
"2013-12-05",518.2,525,517.11,521.01,249089
"2013-12-12",516.32,522.54,514.62,515.02,281035
"2013-12-19",517,521.23,514,514.58,321448
"2013-12-26",532.59,535.76,530.44,535.43,210754
"2014-01-02",530,532.96,521.53,523.43,456491
"2014-01-09",536.95,548.14,536.15,541.03,529808
"2014-01-16",532.87,534.19,527.81,529.51,260387
"2014-01-23",512.8,513.95,498.56,503.45,1062841
"2014-01-30",486.96,499.43,485.4,493.96,1282362
"2014-02-06",542.61,554.85,542.05,544.47,449476
"2014-02-13",539.61,561.51,539,557.65,532968
"2014-02-20",551.11,554.95,548.51,550.28,305795
"2014-02-27",551.64,562,551.64,561.14,305782
"2014-03-06",584.1,594.5,583.7,593.27,636025
"2014-03-13",589.47,591.9,577.82,579.5,312342
"2014-03-20",595.69,614.2,595.68,611.58,806724
"2014-03-27",564,566.07,554.25,559.18,556256
"2014-04-03",579.02,582.84,565.5,570.89,411035
"2014-04-10",555.09,556.14,533.93,534.01,600680
"2014-04-17",582.7,588.69,518.52,519.61,3884290
"2014-04-24",508.6,511.3,503.27,507.6,530739
"2014-05-01",498.51,504.98,495.01,500.15,462786
"2014-05-08",495.01,513.84,495.01,500.35,370537
"2014-05-15",504.72,504.72,491.13,495.92,505484
"2014-05-22",506.5,524.55,506.19,520.48,595081
"2014-05-29",538.85,546.9,538.5,545.42,617907
"2014-06-05",557.55,564.21,556.49,561.03,345732
"2014-06-12",571.75,583.27,570.01,581.85,916275
"2014-06-19",594.45,597.45,591.55,594.54,359223
"2014-06-26",596.22,600.78,593.3,600.32,231919
"2014-07-03",600.25,604.78,598.55,603.6,140627
"2014-07-10",596,607.55,595.05,600.61,425768
"2014-07-17",591.02,592,579.81,581.65,415600
"2014-07-24",663.13,663.77,656.79,660.2,374176
"2014-07-31",678.01,679.5,672,672.5,462615
"2014-08-07",677.5,679.95,669.16,671.84,289834
"2014-08-14",683.78,685.97,675.81,679.29,304018
"2014-08-21",697,697.93,677.5,681.07,716139
"2014-08-28",676.15,679.66,674.24,677.84,152987
"2014-09-04",681,685.44,677.24,680.54,270597
"2014-09-11",670.29,673.7,666.62,672.73,317447
"2014-09-18",655.5,665.7,652.61,664.32,339901
"2014-09-25",659.51,663.84,651.41,653.39,276920
"2014-10-02",661.13,666.65,659.37,662.57,306430
"2014-10-09",670.34,673.5,657.74,660.61,392534
"2014-10-16",644.19,650,635.01,645.98,498724
"2014-10-23",612.74,615.67,609.15,610,619199
"2014-10-30",640.52,644.94,637.27,639.68,263826
"2014-11-06",643.11,647.33,640.55,647.12,232835
"2014-11-13",666,671.78,662.7,670.75,348895
"2014-11-20",657.44,663.83,656.09,662.83,211741
"2014-12-04",652.53,665.8,651.53,663.97,377953
"2014-12-11",652.5,659.64,651.95,654.39,269706
"2014-12-18",655.49,658.5,645.86,655.6,320162
"2015-01-08",702.5,727.97,702.5,719.99,1171584
"2015-01-15",709,715.1,698.11,700.78,344922
"2015-01-22",706.81,715.18,703.54,713.44,301898
"2015-01-29",715.55,717.15,708.82,714.53,273697
"2015-02-05",679.8,679.99,670.03,670.91,830280
"2015-02-12",671.08,672.24,665.26,670.29,288687
"2015-02-19",674.6,682.52,672.24,673.28,295830
"2015-02-26",675,678.89,669.14,670.29,282188
"2015-03-05",667.16,671.59,666.2,670.49,249801
"2015-03-12",662.53,671.59,662.33,670.39,277180
"2015-03-19",673.97,681.18,671,680.67,390698
"2015-03-26",662.27,664.87,658.07,658.82,370439
"2015-04-02",653,656.06,648.88,652.39,308047
"2015-04-09",653.79,654.5,648.57,651.72,375408
"2015-04-16",678,684,677.12,681.55,340688
"2015-04-23",641.98,643.48,635.25,635.6,1094338
"2015-04-30",631.99,635,619.72,621.34,563440
"2015-05-07",627,633.41,625.39,628.82,318835
"2015-05-14",636.03,638.59,630.86,634.53,360817
"2015-05-21",628.33,633.74,625.03,633.36,438761
"2015-05-28",617.5,636,616.86,629.42,893935
"2015-06-04",606.1,613.95,603.01,611.57,508517
"2015-06-11",609,613,605.56,605.86,242454
"2015-06-18",607.87,610.58,605.44,606.2,385783
"2015-06-25",613.89,614.83,607.23,607.38,248736
"2015-07-02",609.1,610.05,604.54,609.56,340190
"2015-07-09",622.49,631,617.48,627.16,821204
"2015-07-16",661.5,663.6,654.74,658.46,777628
"2015-07-23",723.5,734.5,721.6,725.94,1058957
"2015-07-30",737,745,733.52,744.16,441770
"2015-08-06",758.49,758.49,746.01,749.6,405687
"2015-08-13",748.1,749.98,743.2,743.6,223298
"2015-08-20",741.31,744.76,734.22,735.15,449576
"2015-08-27",713.12,730,710.24,727.17,583331
"2015-09-03",722.5,729.44,721.91,724.99,297570
"2015-09-10",718.25,725.87,718,723.19,220391
"2015-09-17",728.47,738.99,726.01,730.2,282828
"2015-09-24",729.77,731.95,721.61,731.17,404816
"2015-10-01",717.6,724.57,714.21,724.43,315047
"2015-10-08",722,738.47,718.9,734.77,497462
"2015-10-15",718.56,724.94,708.5,723.81,628585
"2015-10-22",666.46,669.11,650.21,650.62,802518
"2015-10-29",649.42,654.84,647.31,648.2,366760
"2015-11-05",616.73,619.18,609.46,617.23,834178
"2015-11-12",621.84,624.59,612.96,614.68,592973
"2015-11-19",595.41,614.7,595.01,611.51,1125296
"2015-12-03",577.95,578.65,558.51,565.31,1352001
"2015-12-10",564,579.52,563.31,575.43,2645685
"2015-12-17",575.01,577.76,554.6,554.89,1144757
"2015-12-24",498.87,501.98,494.3,495.1,894307
"2015-12-31",483.11,485.78,477.97,479.85,1196568
"2016-01-07",415.08,425.18,411.61,416,1891978
"2016-01-14",447,463.51,436.5,454.3,3764940
"2016-01-21",469.79,475.59,461,461.2,1197957
"2016-01-28",446.98,455.98,443.3,453.08,1016111
"2016-02-04",460,476.67,456,470.9,1487864
"2016-02-11",444,467.78,441.01,461.39,1281260
"2016-02-18",515,518.86,502.05,515.93,1127873
"2016-02-25",514.21,515.85,497.51,505.33,1177174
"2016-03-03",520,530.12,519.27,524.29,1079799
"2016-03-10",509.9,514,498.93,503.68,1307755
"2016-03-17",494.03,497.42,470.8,471.59,2276821
"2016-03-24",471.44,472.35,462.45,471.37,1015676
"2016-03-31",468.95,473.75,462.51,470.97,802204
"2016-04-07",455.6,455.92,444.44,450.6,1287903
"2016-04-14",460,460.99,452,456.01,1167348
"2016-04-21",461,462.8,447.59,448.14,738614
"2016-04-28",417.83,431.42,417.38,423.4,1425289
"2016-05-05",433.83,438.26,430.75,435,609488
"2016-05-12",457.08,461.3,456.34,457.01,1093228
"2016-05-19",447.18,454.37,447.18,450.64,606473
"2016-05-26",452.5,460.77,451.51,452.03,742864
"2016-06-02",433.81,444.54,433.1,443.49,1019904
"2016-06-09",426.12,427.2,415.15,415.79,1198363
"2016-06-16",393.24,396.67,389.59,393.55,1072345
"2016-06-23",393.25,413.02,393.2,408.89,1575610
"2016-06-30",409.49,409.87,401.57,402.76,1073913
"2016-07-07",393.99,395.56,386.1,390.78,1747843
"2016-07-14",420.94,422.18,412,417.98,1165732
"2016-07-21",419.68,420.16,412.42,418.07,2143500
"2016-07-28",425.56,432.77,421.27,430.55,844628
"2016-08-04",402,404.77,394.34,397.2,873215
"2016-08-11",395.07,399.16,394.2,398.22,677324
"2016-08-18",396.97,397.81,392.57,394.91,1044792
"2016-08-25",403.75,416.9,402.49,413.34,1503964
"2016-09-01",415.81,415.89,410.64,414.68,793405
"2016-09-08",437.55,440.24,434.76,436.31,1236815
"2016-09-15",414.9,418.94,411.58,413.96,1131809
