"","APD.Open","APD.High","APD.Low","APD.Close","APD.Volume"
"2012-06-14",78.44,78.76,77.73,78.45,884688
"2012-06-21",80.27,80.38,77.8,77.86,826762
"2012-06-28",76.46,78.1,76.11,78.05,1451055
"2012-07-05",80,80.37,79.37,80.06,1033573
"2012-07-12",78,78.19,77.21,77.72,633135
"2012-07-19",81.74,82,80.99,81.5,1123476
"2012-07-26",80.01,80.66,79.34,79.88,1433558
"2012-08-02",80.5,80.88,79.39,80.4,947337
"2012-08-09",83.7,84.46,83.29,84.04,925878
"2012-08-16",83.88,84.83,83.63,84.67,731693
"2012-08-23",84.89,84.89,83.38,83.51,592406
"2012-08-30",81.91,82.13,81.39,81.76,709662
"2012-09-06",82.52,83.87,82.52,83.52,924243
"2012-09-13",83.31,84.84,82.87,84.29,987450
"2012-09-20",84.78,85.12,84.38,85.05,727397
"2012-09-27",82.96,83.14,82.37,82.65,804342
"2012-10-04",83.22,83.6,82.74,83.39,624675
"2012-10-11",82.5,82.73,81.96,81.97,389712
"2012-10-18",84.85,85.95,84.41,85.35,1478668
"2012-10-25",77.95,78.18,77.01,77.73,837585
"2012-11-01",78.07,79.37,77.11,78.19,2387696
"2012-11-08",79.45,80.11,79.05,79.15,2135181
"2012-11-15",80.17,80.66,79.5,79.85,1303390
"2012-11-29",82.64,83.25,82.1,82.35,1591670
"2012-12-06",82.01,82.21,81.44,82.15,1243647
"2012-12-13",82.65,83.15,82.49,82.95,690164
"2012-12-20",83.91,85.05,83.84,85.05,1006605
"2012-12-27",85.89,85.91,83.7,84.8,1216300
"2013-01-03",85.96,86.4,85.33,85.56,708812
"2013-01-10",88.25,88.25,87.16,87.88,673707
"2013-01-17",87.66,88.96,87.48,88.42,844236
"2013-01-24",88.08,88.69,87.35,88.23,1176758
"2013-01-31",87.72,88.2,87.37,87.43,1096513
"2013-02-07",87.66,87.66,86.77,87.36,610536
"2013-02-14",88.49,88.87,88.03,88.69,660901
"2013-02-21",87.21,87.75,85,85.67,2003368
"2013-02-28",85.48,86.83,85.44,86.34,1195693
"2013-03-07",86.87,87.94,86.68,87.85,904129
"2013-03-14",89.2,89.9,89,89.9,658433
"2013-03-21",87.88,87.95,86.58,87.1,1396827
"2013-03-28",86.3,87.27,86.06,87.12,1339829
"2013-04-04",84.45,85.4,84.32,85.37,781010
"2013-04-11",86.43,87.32,86.23,87.24,1231832
"2013-04-18",86.08,86.38,84.66,84.85,1060595
"2013-04-25",85.62,86.69,85.33,86.01,836462
"2013-05-02",88.95,90.9,87.54,89.04,5214572
"2013-05-09",90.91,91.38,90.68,91.01,1142512
"2013-05-16",92.1,92.96,92.03,92.77,971940
"2013-05-23",93.47,94.38,93.11,94.17,1378987
"2013-05-30",94.85,95.1,94.43,94.89,703623
"2013-06-06",94.1,94.66,93.76,94.55,1804559
"2013-06-13",94.68,95.6,94.31,95.34,1393149
"2013-06-20",95.38,95.71,94.14,94.28,1962859
"2013-06-27",94.48,94.77,92.37,92.78,2880482
"2013-07-11",97.61,97.66,96.6,97.01,1629714
"2013-07-18",96.79,97.47,96.18,96.88,1214710
"2013-07-25",102.02,108.66,101.89,107.11,8089629
"2013-08-01",109.49,111,106.39,107.25,4562422
"2013-08-08",107.22,107.92,106.23,106.62,1250229
"2013-08-15",101.96,102.04,100.85,101.44,1460834
"2013-08-22",102.14,103.71,101.58,102.98,765450
"2013-08-29",101.3,103.7,101.14,102.44,692897
"2013-09-05",103.83,104.24,103.26,103.84,620301
"2013-09-12",106.01,106.7,105.56,105.73,505976
"2013-09-19",109.47,111.4,109.47,110.02,1105215
"2013-09-26",109.83,114.75,109.02,109.78,3485191
"2013-10-03",107.16,107.35,105.16,105.43,1678683
"2013-10-10",105.11,108,105,107.8,1847606
"2013-10-17",108.89,110.1,108.57,109.87,886561
"2013-10-24",110.65,111.73,110.53,111.38,715724
"2013-10-31",107.3,109.38,106.4,109.01,1526732
"2013-11-07",109.78,109.88,108.02,108.26,1503638
"2013-11-14",108.36,108.78,107.79,108.67,1048918
"2013-11-21",109.97,110.16,109.13,109.71,1009670
"2013-12-05",107,107.35,106.18,106.51,674145
"2013-12-12",106.71,107.75,106.13,107.48,697831
"2013-12-19",107.06,111.05,106.51,110.92,2244086
"2013-12-26",112.93,113.83,112.77,113.66,483096
"2014-01-02",111.56,111.95,111.11,111.44,839074
"2014-01-09",110.24,110.96,109.26,109.66,1127924
"2014-01-16",111.03,111.86,110.98,111.69,1119200
"2014-01-23",111.38,111.95,110.82,111.01,829431
"2014-01-30",106.51,106.54,105.82,105.92,909561
"2014-02-06",104.03,107.34,103.76,107.24,1521042
"2014-02-13",110.79,117.04,110.61,116.93,3059121
"2014-02-20",117.51,118.05,116.15,117.71,1358214
"2014-02-27",118.8,119.63,118.3,119.34,1448073
"2014-03-06",121.58,123.6,121.51,122.45,1092714
"2014-03-13",120.09,120.93,118.87,119.31,982912
"2014-03-20",120.64,122.26,120.64,122.21,1032759
"2014-03-27",119.27,119.36,118,118.44,968422
"2014-04-03",122.25,122.92,120.74,121.15,1006041
"2014-04-10",118.5,119.57,115.81,115.85,2118665
"2014-04-17",118.44,118.97,117.9,117.94,1215199
"2014-04-24",119.03,119.03,117.93,118.45,743017
"2014-05-01",117.57,118.48,116.75,117.42,893090
"2014-05-08",119.74,120.85,118.71,119.04,556416
"2014-05-15",119.35,119.35,116.66,116.98,1006595
"2014-05-22",118.34,119,117.88,118.19,394642
"2014-05-29",119.22,120.32,117.94,120.22,533270
"2014-06-05",121.2,123.01,119.56,122.86,1002512
"2014-06-12",121.92,121.92,119.32,119.54,995017
"2014-06-19",130.29,130.95,129.39,129.7,2099342
"2014-06-26",129.72,129.94,128.02,128.83,920593
"2014-07-03",129.4,129.53,129,129.42,519375
"2014-07-10",128,129.1,127.68,128.69,706760
"2014-07-17",129.38,129.85,128.51,128.74,962350
"2014-07-24",135.28,136.43,134.76,135.16,1667588
"2014-07-31",134.21,135.02,131.94,131.95,1471550
"2014-08-07",132.94,132.94,130.68,131.16,1045253
"2014-08-14",132.61,133.11,132.19,132.55,543019
"2014-08-21",133.89,134.02,132.93,133.13,1137080
"2014-08-28",132.5,133.9,131.89,133.34,1839722
"2014-09-04",132.89,133.4,132.19,132.43,777737
"2014-09-11",130.47,130.51,128.03,128.43,3140054
"2014-09-18",131.72,137.45,131.06,133.04,4749351
"2014-09-25",134.85,135.12,132.79,133.02,1805861
"2014-10-02",126.34,128.22,124.49,127.42,2432292
"2014-10-09",126.5,126.62,122.16,123.31,2650398
"2014-10-16",125.23,129.21,124.56,127.71,3022829
"2014-10-23",130.96,131.09,129.07,129.52,1572165
"2014-10-30",131,136.08,131,133.58,3141908
"2014-11-06",134.33,135.16,133.44,135.01,1181498
"2014-11-13",134.98,135.87,134.63,135.53,820988
"2014-11-20",141.25,142.79,140.98,142.68,1123546
"2014-12-04",144.99,146.31,144.23,145.8,826012
"2014-12-11",142.93,144.53,142.13,143.27,1160429
"2014-12-18",142.63,144.69,142.4,144.45,2255844
"2015-01-08",142.9,145.9,142.9,145.54,998517
"2015-01-15",141.34,142.05,139.1,139.46,921237
"2015-01-22",143.79,144.46,141.63,144.32,883436
"2015-01-29",143,148.05,143,146.99,3451223
"2015-02-05",149.28,151.57,148.95,151.52,1207796
"2015-02-12",150.98,152.57,150.12,152.22,1440213
"2015-02-19",154.5,157.11,154.05,156.08,960536
"2015-02-26",156.74,157.28,155.85,156.63,514254
"2015-03-05",154.8,155.06,154.2,154.86,611234
"2015-03-12",152.12,153.47,152,153.29,731497
"2015-03-19",153.77,154.03,151.58,152.24,779084
"2015-03-26",149.92,151.96,148.91,151.16,843147
"2015-04-02",149.83,151.72,149.6,151.04,588988
"2015-04-09",150.97,152.2,150.52,152.05,541482
"2015-04-16",152,152,150.75,151.59,621495
"2015-04-23",151.22,151.49,150.03,150.6,618774
"2015-04-30",153.35,153.35,142.27,143.43,4796493
"2015-05-07",145.28,146.57,144.39,146.19,790516
"2015-05-14",146,147.73,144.83,147.62,996111
"2015-05-21",146.71,148.41,146.59,147.99,609236
"2015-05-28",146.97,148.31,146.85,148.2,521291
"2015-06-04",145.07,147.21,144.66,145.93,1407328
"2015-06-11",146.15,147.49,145.98,146.2,654955
"2015-06-18",146.9,147.71,146.61,146.94,896139
"2015-06-25",144.45,144.79,142.18,142.83,857594
"2015-07-02",139.21,139.39,136.17,137.38,1360917
"2015-07-09",134.59,135.31,132.22,132.26,1638740
"2015-07-16",137.82,138.13,136.34,137.07,2510022
"2015-07-23",132.97,132.97,131.22,132.71,1951529
"2015-07-30",142.5,144,140.5,142.34,3569654
"2015-08-06",147.47,148.35,146.51,147.02,2335817
"2015-08-13",144.94,146.43,144.5,145.74,773564
"2015-08-20",143.44,144.16,140.28,140.38,1348067
"2015-08-27",139.21,141.37,137.59,140.65,1159143
"2015-09-03",139.78,140.78,139.06,139.6,878361
"2015-09-10",135.36,138.14,135.36,136.51,2101616
"2015-09-17",139.26,141.5,137.57,139.03,2135480
"2015-09-24",129.19,130.02,127.23,129.46,1288278
"2015-10-01",127.63,129.45,126.65,129.27,2224322
"2015-10-08",135.53,138.2,134.44,137.91,1547351
"2015-10-15",139.46,140,138.28,139.76,791046
"2015-10-22",136.55,137.93,135.94,137.83,1504395
"2015-10-29",137.52,142.28,135.75,137.36,2561168
"2015-11-05",137.78,138.64,135.51,137.3,1271936
"2015-11-12",135.38,136,134.75,135.3,1112186
"2015-11-19",139.46,140.38,138.6,139.96,966137
"2015-12-03",138.96,139.47,135.32,135.77,2001735
"2015-12-10",133.5,134.02,132.03,132.51,2032090
"2015-12-17",132.53,132.89,129.72,130.36,2460484
"2015-12-24",132.91,133.87,132.7,133.19,338920
"2015-12-31",131.45,132.13,129.97,130.11,847715
"2016-01-07",121.27,122.73,119.18,119.64,3944829
"2016-01-14",119.24,119.59,115.64,118.38,3200644
"2016-01-21",118.18,118.92,116.38,117.17,1209246
"2016-01-28",118.73,120.44,118.07,119.01,1828633
"2016-02-04",133.29,137,132.96,136.16,3229270
"2016-02-11",128.56,130,126.11,127.21,2101772
"2016-02-18",132.39,132.96,130.58,131.17,1078338
"2016-02-25",132.1,133,130.45,132.99,633241
"2016-03-03",134.51,135.95,134,134.88,1051140
"2016-03-10",135.47,136.09,133.02,134.6,4220162
"2016-03-17",137.1,141.4,136.2,140.96,2228006
"2016-03-24",144.04,144.36,141.32,141.76,1161195
"2016-03-31",145.13,145.68,143.32,144.05,1233976
"2016-04-07",143.1,143.2,141.56,141.85,727982
"2016-04-14",144.93,145.18,144.19,145.08,930059
"2016-04-21",148.77,149.43,147.92,148.32,666307
"2016-04-28",147.81,152.16,146.87,148.54,2074232
"2016-05-05",143.54,144.38,142.72,143.25,1290617
"2016-05-12",144.2,144.45,142.65,143.34,1015522
"2016-05-19",141.74,142.63,140.49,141.7,664441
"2016-05-26",144,144.24,143.02,143.07,439941
"2016-06-02",143.44,143.5,142.28,143.5,672138
"2016-06-09",145.87,146.85,145.1,146.6,585547
"2016-06-16",143.15,144.52,141.37,144.36,692011
"2016-06-23",145.08,146.22,145.01,146.02,1236923
"2016-06-30",139.58,142.09,138.83,142.04,1512680
"2016-07-07",139.86,140.44,138.96,139.67,667947
"2016-07-14",148.43,149.65,148.04,148.9,1066154
"2016-07-21",149.5,149.5,147.82,148.3,467141
"2016-07-28",151.49,152.69,148.48,148.99,1513414
"2016-08-04",148.17,149.53,147.56,149,822889
"2016-08-11",149.59,149.87,148.65,149.05,616390
"2016-08-18",153.7,155,153.39,154.97,996676
"2016-08-25",155.09,156.16,155.09,155.73,801220
"2016-09-01",156.13,156.55,155.55,156.3,1303986
"2016-09-08",157.44,157.69,155.82,155.89,1191010
"2016-09-15",146.55,147.07,146.03,146.58,2955201
