"","EA.Open","EA.High","EA.Low","EA.Close","EA.Volume"
"2012-10-18",13.83,13.93,13.67,13.83,3522850
"2012-10-25",12.52,12.64,12.08,12.21,6965431
"2012-11-01",12.35,13.03,12.28,13,6895800
"2012-11-08",13.31,13.5,12.91,12.91,4731533
"2012-11-15",12.78,13.1,12.72,13.05,5083709
"2012-11-29",15.23,15.32,14.97,15.03,6655628
"2012-12-06",14.66,14.83,14.58,14.82,3917935
"2012-12-13",15.36,15.47,15.18,15.25,2907300
"2012-12-20",14.46,14.46,13.76,13.94,8262667
"2012-12-27",14.09,14.25,13.78,14.02,4006231
"2013-01-03",14.53,14.81,14.51,14.74,3664575
"2013-01-10",13.8,14.01,13.75,14,3208348
"2013-01-17",14.66,14.8,14.47,14.51,3157309
"2013-01-24",14.05,14.36,14.02,14.26,4638480
"2013-01-31",14.63,16.18,14.62,15.73,12537717
"2013-02-07",16.91,17.03,16.72,16.87,3101000
"2013-02-14",17.13,17.36,16.98,17.15,5670436
"2013-02-21",17.65,17.92,17.16,17.64,10889854
"2013-02-28",17.59,18,17.52,17.53,7160430
"2013-03-07",18.56,18.94,18.44,18.71,4026345
"2013-03-14",19.07,19.36,18.95,19.34,3483409
"2013-03-21",17.58,17.99,17.54,17.7,5885839
"2013-03-28",17.63,17.73,17.39,17.7,6487310
"2013-04-04",17.34,17.39,17.11,17.24,4305693
"2013-04-11",17.96,17.96,17.6,17.63,3190211
"2013-04-18",17.02,17.1,16.75,16.94,2282306
"2013-04-25",17.86,18.06,17.79,17.94,3347249
"2013-05-02",17.39,17.54,17.15,17.54,2373187
"2013-05-09",21.04,21.89,20.95,21.64,11145635
"2013-05-16",22.6,22.7,22,22.02,4394142
"2013-05-23",21.59,22.7,21.5,22.65,5806021
"2013-05-30",23.04,23.54,23.03,23.35,3288222
"2013-06-06",22.83,23.28,22.71,23.28,3556911
"2013-06-13",21.53,21.65,20.95,21.49,7727634
"2013-06-20",22.61,22.77,22.14,22.15,3922831
"2013-06-27",21.96,22.59,21.94,22.21,2949034
"2013-07-11",24.1,24.3,23.65,24.27,3735628
"2013-07-18",23.9,24.45,23.85,24.16,2215989
"2013-07-25",25.26,25.45,24.51,24.64,5763908
"2013-08-01",26.33,26.67,26.07,26.53,4938567
"2013-08-08",26.4,26.86,26.4,26.64,2816984
"2013-08-15",26.75,26.75,26.44,26.48,3814732
"2013-08-22",27,27.94,26.95,27.78,2959082
"2013-08-29",27.13,27.7,27.04,27.57,2784850
"2013-09-05",27.77,28,27.64,27.68,1694626
"2013-09-12",26.71,26.76,26.23,26.39,3597517
"2013-09-19",27.06,27.24,26.73,26.98,2569827
"2013-09-26",26.7,26.88,26.13,26.15,2885790
"2013-10-03",25.65,25.76,25.05,25.08,3791331
"2013-10-10",24.53,25.24,24.47,25.22,3843019
"2013-10-17",23.95,24.57,23.94,24.53,4001259
"2013-10-24",24.7,24.91,24.5,24.74,2648248
"2013-10-31",25.85,26.98,25.7,26.25,9963769
"2013-11-07",25.74,25.85,25.3,25.33,4928982
"2013-11-14",26.39,26.45,25.77,25.96,2818011
"2013-11-21",23.03,23.59,22.68,23.39,4621794
"2013-12-05",21.53,21.55,20.46,21.01,12841555
"2013-12-12",21.04,21.25,20.78,20.97,5213723
"2013-12-19",22.7,23.66,22.66,23.42,6452025
"2013-12-26",23.89,23.97,23.54,23.67,1778210
"2014-01-02",22.9,22.96,22.43,22.83,3550732
"2014-01-09",23.42,23.69,22.62,22.75,2798785
"2014-01-16",21.86,22.04,21.25,21.54,9351441
"2014-01-23",23.95,24.27,23.63,23.87,2630781
"2014-01-30",25.34,26.22,25.3,26.03,6994840
"2014-02-06",25.7,26.65,25.56,26.46,6423337
"2014-02-13",27.52,27.74,27.2,27.56,2957889
"2014-02-20",28,28.14,27.67,27.79,4224769
"2014-02-27",28.15,28.63,27.82,28.54,2909469
"2014-03-06",29.29,29.65,29.17,29.21,3344367
"2014-03-13",29.36,29.92,29.31,29.71,11987939
"2014-03-20",30.14,30.37,29.76,30.24,2308723
"2014-03-27",28.43,28.62,27.95,28.48,4833513
"2014-04-03",28.85,29.55,28.67,28.87,4281060
"2014-04-10",28.24,28.33,27.14,27.22,5461016
"2014-04-17",27.42,27.61,27.35,27.57,2734954
"2014-04-24",28.32,28.43,27.94,28.1,2187412
"2014-05-01",28.48,29.02,28.11,28.74,2833422
"2014-05-08",33.4,34.87,33.11,34.28,12508562
"2014-05-15",34.03,34.24,33.6,33.79,5193394
"2014-05-22",34.24,34.8,34.17,34.57,3281358
"2014-05-29",34.76,34.84,34.3,34.76,2381693
"2014-06-05",34.95,35,34.5,34.78,2197623
"2014-06-12",35.45,35.75,35.15,35.23,2807205
"2014-06-19",37.11,37.26,36.66,37.07,3328158
"2014-06-26",36.56,36.58,36.12,36.27,2194599
"2014-07-03",36.8,37.02,36.55,36.92,1161925
"2014-07-10",35.04,36.05,34.93,35.85,3330613
"2014-07-17",36.63,37.72,36.63,37.06,3537019
"2014-07-24",36.33,36.95,36.08,36.84,6045994
"2014-07-31",34.24,34.37,33.58,33.6,3897841
"2014-08-07",34.37,34.52,33.17,33.31,4039588
"2014-08-14",36.38,36.7,36.35,36.59,2667054
"2014-08-21",37.67,37.82,37.19,37.76,3024824
"2014-08-28",37.08,37.18,36.84,37.1,1866767
"2014-09-04",38.06,38.18,37.29,37.36,3014144
"2014-09-11",37.55,38.07,37.5,38.04,2402678
"2014-09-18",36.49,37.31,36.42,37.25,2425020
"2014-09-25",36.64,36.93,35.77,35.82,3089272
"2014-10-02",35.09,35.85,34.82,35.59,2631285
"2014-10-09",35.4,36.04,34.81,35.01,2833418
"2014-10-16",32.71,33.33,32.43,32.62,4259041
"2014-10-23",35.43,36.48,35.2,36.24,3083317
"2014-10-30",38.64,39.86,38.52,39.85,6688102
"2014-11-06",40.77,41.14,40.72,40.8,2099126
"2014-11-13",41.34,41.72,41.07,41.44,3780906
"2014-11-20",43.26,43.48,43.07,43.15,5915395
"2014-12-04",45.8,46.98,45.48,46.49,6628390
"2014-12-11",44.83,45.73,44.82,45.12,2814312
"2014-12-18",46.17,47.26,46.17,47.24,6805086
"2015-01-08",47.01,48.25,47.01,48.12,3876985
"2015-01-15",46.93,46.99,45.99,46.64,3073572
"2015-01-22",48.34,49.4,47.92,49.36,3478697
"2015-01-29",54.43,55.58,53.88,55.33,8256749
"2015-02-05",54.73,56.7,54.61,56.39,4959336
"2015-02-12",55.29,56.64,55.22,56.2,3783165
"2015-02-19",57.61,57.7,57.08,57.14,3000820
"2015-02-26",57.49,58.87,57.36,57.72,2751257
"2015-03-05",57.19,57.83,57.01,57.38,1998686
"2015-03-12",55.49,55.49,54.79,55.06,2891171
"2015-03-19",55.6,56.35,55.38,55.96,2384929
"2015-03-26",55.29,56.3,54.69,56.08,3926727
"2015-04-02",57.24,57.98,56.95,57.65,2709475
"2015-04-09",57.98,58.85,57.32,57.5,2008126
"2015-04-16",56.82,57.05,56.6,56.86,1372213
"2015-04-23",59.76,60.28,59.44,59.88,2476458
"2015-04-30",58.37,58.87,57.63,58.09,2578372
"2015-05-07",61.21,61.45,60.16,60.27,4081456
"2015-05-14",62.3,63.12,61.95,63.09,2962311
"2015-05-21",62.26,62.91,61.61,62.69,2427034
"2015-05-28",63.33,64.3,63.23,63.27,1934088
"2015-06-04",63.09,63.45,62.5,62.63,1385152
"2015-06-11",62.48,62.82,62.15,62.59,1512916
"2015-06-18",64.44,65.67,64.15,65.27,3938979
"2015-06-25",67.94,68.27,67.43,67.45,2108621
"2015-07-02",68.48,68.48,67.22,67.8,1657914
"2015-07-09",69.89,70.94,69.68,70.5,4400032
"2015-07-16",72.8,73.23,72.4,72.97,4419026
"2015-07-23",73.32,73.58,71.76,71.81,3533701
"2015-07-30",72.01,72.65,71.03,72.3,3790116
"2015-08-06",75,75.65,73.5,74.01,4591855
"2015-08-13",73.55,74.12,73.03,73.38,1990744
"2015-08-20",70.9,71.49,67.61,67.71,5011892
"2015-08-27",67.15,67.64,65.5,67.16,2882313
"2015-09-03",65.29,66.5,65.03,65.79,3472577
"2015-09-10",67.54,69.44,67.54,68.74,2079553
"2015-09-17",70.22,71.99,69.87,71.06,2249774
"2015-09-24",68.86,69.28,67.67,68.81,2105230
"2015-10-01",68.04,68.04,66.44,67.2,2883841
"2015-10-08",65.9,66.1,64.7,65.8,2457036
"2015-10-15",71.02,71.49,70.18,70.97,2682478
"2015-10-22",73.1,74.85,73.02,74.54,2913077
"2015-10-29",76.5,76.92,75.36,76.06,3206439
"2015-11-05",74.75,74.93,73.12,74.06,2057098
"2015-11-12",71.36,72.7,70.54,71.66,3050992
"2015-11-19",68.95,71.27,68.24,71.08,4413928
"2015-12-03",69.54,70.45,66.93,67.22,3862058
"2015-12-10",67.51,67.89,66.08,66.37,3396362
"2015-12-17",72.21,72.72,71.1,71.12,3037758
"2015-12-24",68.69,69.3,67.74,68.95,1019898
"2015-12-31",69.44,69.67,68.71,68.72,1143965
"2016-01-07",62.32,64.71,61.55,62.46,4369298
"2016-01-14",63.3,64.96,61.5,64.48,4427324
"2016-01-21",67.19,67.56,65.79,67.03,3894369
"2016-01-28",70.7,71,68.72,69.79,5797546
"2016-02-04",59.44,59.86,57.52,58.73,8680896
"2016-02-11",57.96,59.11,57.76,58.19,6657652
"2016-02-18",59.57,59.92,58.23,58.35,5105130
"2016-02-25",63.55,64.72,63.34,64.68,4271619
"2016-03-03",65.8,66.01,64.18,64.8,3946590
"2016-03-10",64.15,64.42,62.58,63.5,3274068
"2016-03-17",65.09,65.75,63.24,64.67,4904981
"2016-03-24",64.6,65.73,64.07,64.24,3083879
"2016-03-31",66.33,67.1,65.7,66.11,2263075
"2016-04-07",65.7,65.91,63.66,63.93,2900359
"2016-04-14",64.85,65.24,64.43,64.94,2100648
"2016-04-21",65.83,66.33,65.23,66.18,1741676
"2016-04-28",63.12,64.02,61.91,62.32,4232578
"2016-05-05",62.28,62.76,61.18,62.24,4874072
"2016-05-12",73.63,76.24,73.39,75.01,8195854
"2016-05-19",74.22,74.22,72.94,73.5,3233682
"2016-05-26",74.63,75.43,73.92,75.11,1631802
"2016-06-02",76.72,76.94,76.1,76.58,2062552
"2016-06-09",75.59,76.78,75.52,76.25,3055355
"2016-06-16",73.99,75.08,73.57,75,2868999
"2016-06-23",75.62,76.18,74.85,76.05,2333685
"2016-06-30",73.87,76.11,73.23,75.76,3371102
"2016-07-07",76.56,76.83,76.02,76.62,1516876
"2016-07-14",77.89,78.3,76.97,78.05,3203713
"2016-07-21",76.44,76.93,74.32,75.38,8602684
"2016-07-28",76.61,76.72,76,76.28,1268220
"2016-08-04",78.36,78.72,77.89,78.23,4543916
"2016-08-11",78.85,79.16,77.84,77.85,3212575
"2016-08-18",79.8,81.8,79.63,80.98,4741929
"2016-08-25",82.02,82.2,80.96,81.55,3304431
"2016-09-01",81.52,81.99,81.03,81.76,1813935
"2016-09-08",82.64,82.64,81.58,82.16,3188498
"2016-09-15",80.56,83.67,80.56,83.37,3167659
