"","BXP.Open","BXP.High","BXP.Low","BXP.Close","BXP.Volume"
"2012-11-15",100.2,100.82,99.23,100.03,961444
"2012-11-29",101.92,102.51,101.15,102.19,594267
"2012-12-06",102.89,104.43,102.89,104.23,897525
"2012-12-13",104.05,104.27,103.47,103.75,666638
"2012-12-20",105.27,106.7,105.02,106.67,903579
"2012-12-27",105.43,105.93,104.23,105.67,690392
"2013-01-03",106.8,107.4,106.52,106.78,732803
"2013-01-10",107.87,107.87,107,107.4,780434
"2013-01-17",107.69,107.94,107.09,107.12,673841
"2013-01-24",108.9,109.38,108.4,109,492153
"2013-01-31",106.52,106.9,105.13,105.28,1339849
"2013-02-07",104.55,104.89,104.02,104.18,880097
"2013-02-14",106.76,107.36,106.27,107.35,970096
"2013-02-21",106.1,106.58,105.07,105.46,929368
"2013-02-28",104.05,104.68,103,103.88,2099897
"2013-03-07",104.88,105.33,103.77,103.83,888761
"2013-03-14",105.04,105.9,104.9,105.67,863954
"2013-03-21",101.41,101.93,100.66,100.71,1376300
"2013-03-28",100.3,101.47,99.93,101.06,1692318
"2013-04-04",103.51,105.62,103.44,105.51,1809272
"2013-04-11",109.79,110.84,109.79,110.51,1543523
"2013-04-18",109.31,109.6,108.37,109.08,1057828
"2013-04-25",108.41,108.68,107.76,108.05,1063196
"2013-05-02",108.9,109.63,108.56,109.06,651152
"2013-05-09",110.55,110.79,109.87,110.04,1066638
"2013-05-16",111.35,112.17,110.83,111.34,784162
"2013-05-23",112.03,112.9,111.04,112.62,1736453
"2013-05-30",109.58,110.02,108.22,108.31,1226519
"2013-06-06",108.07,109.65,107.18,109.58,876292
"2013-06-13",106.66,111.32,106.26,110.78,1225962
"2013-06-20",106.79,106.96,99.81,100.58,2501802
"2013-06-27",104.45,106.62,104.44,106.48,1164615
"2013-07-11",107.85,111.13,107.85,110.69,1171141
"2013-07-18",109.52,110.53,109.16,110.51,548519
"2013-07-25",108.4,109.37,108.07,108.55,857015
"2013-08-01",106.92,107.46,104.4,105,871298
"2013-08-08",103.1,103.21,102.16,103,847025
"2013-08-15",102.76,103.28,100.82,101.75,1327477
"2013-08-22",100.92,101.67,100.48,101.44,716860
"2013-08-29",102.05,102.46,101.26,102.39,683520
"2013-09-05",103.33,103.45,102.2,102.48,1092312
"2013-09-12",106.68,107.24,104.19,104.6,810486
"2013-09-19",110.8,112.93,110.69,111.12,1180990
"2013-09-26",106.01,106.84,105.74,106.74,591846
"2013-10-03",107.47,107.55,105.35,106.7,794451
"2013-10-10",104.21,105.49,103.81,105.35,1317511
"2013-10-17",108.02,109.58,107.82,109.18,682333
"2013-10-24",108.4,108.75,107.32,107.38,865327
"2013-10-31",105,105.64,102.88,103.5,1305451
"2013-11-07",102.45,102.69,101.12,101.23,793863
"2013-11-14",101.61,102.4,101.2,101.58,700583
"2013-11-21",101.76,102.68,101.25,102.36,722474
"2013-12-05",99.39,100.4,98.42,100.04,1091009
"2013-12-12",99.77,99.83,98.83,99.13,947127
"2013-12-19",102.58,103.1,101.57,102.15,1167846
"2013-12-26",103.89,104.24,102.83,104,608133
"2014-01-02",100.22,101.36,99.55,100.39,894806
"2014-01-09",102.93,102.93,101.74,102.74,934108
"2014-01-16",104.88,105.66,104.68,104.87,553816
"2014-01-23",106.26,107.12,105.94,106.9,662842
"2014-01-30",106.53,108.34,106.48,108,872372
"2014-02-06",106.98,108.66,106.77,108.49,953613
"2014-02-13",109.47,111.24,109.47,110.11,726698
"2014-02-20",110.86,111.74,110.04,110.66,655280
"2014-02-27",111.36,112.25,109.73,110.93,717787
"2014-03-06",113.46,113.46,111.61,112.44,764389
"2014-03-13",111.87,111.9,110.77,111.65,639530
"2014-03-20",111.45,112.88,110.49,112.84,891667
"2014-03-27",111.63,113.11,111.39,113.04,779465
"2014-04-03",115.69,115.92,114.84,115.5,612552
"2014-04-10",116.61,117.28,114.23,114.45,965159
"2014-04-17",116.54,117.49,116.2,117.43,690672
"2014-04-24",117.52,118.36,117.02,118.22,583394
"2014-05-01",117.33,118.37,116.47,118.23,813810
"2014-05-08",118.66,119.5,118.52,119.06,495969
"2014-05-15",118.68,119.2,117.6,119.17,865166
"2014-05-22",119.13,119.41,118.06,118.26,446806
"2014-05-29",119.21,119.6,118.78,119.48,377855
"2014-06-05",120.35,122.03,119.98,121.95,769449
"2014-06-12",113.62,117.04,113.62,116.25,1363738
"2014-06-19",117.19,118.07,116.64,118.03,856286
"2014-06-26",117.45,117.69,116.86,117.31,656346
"2014-07-03",117.81,117.99,116.97,117.38,728188
"2014-07-10",117.93,120.18,117.93,119.69,736846
"2014-07-17",120.7,121.11,120.19,120.32,559970
"2014-07-24",121.54,121.79,120.72,121.29,601374
"2014-07-31",120.71,121.29,119.38,119.45,715228
"2014-08-07",119.17,119.8,118.43,118.67,456286
"2014-08-14",121.77,122,120.87,120.93,450121
"2014-08-21",123.41,124.04,122.71,122.99,470515
"2014-08-28",121.29,121.67,120.73,121.07,437890
"2014-09-04",121.77,122.37,120.31,120.67,624065
"2014-09-11",118.91,119.59,118.53,119.28,452820
"2014-09-18",118.93,118.93,117.04,117.36,749276
"2014-09-25",115.41,115.53,113.61,113.66,1378954
"2014-10-02",115.76,116.57,115.44,115.99,829495
"2014-10-09",118.5,119.85,118.08,118.78,1213953
"2014-10-16",118.51,119.37,117.46,118.44,1239136
"2014-10-23",122.2,122.69,121.45,121.9,1057912
"2014-10-30",124.14,125.6,123.88,125.57,859591
"2014-11-06",128.94,129.39,127.68,127.92,1173690
"2014-11-13",126.81,127.94,126.38,127.84,847430
"2014-11-20",127.08,127.88,126.45,127.01,846060
"2014-12-04",131.25,131.79,130.41,131.52,872390
"2014-12-11",133.51,133.57,131.57,131.77,1017971
"2014-12-18",132.98,134.12,132.14,134.1,859633
"2015-01-08",137,137.88,136.14,137.08,937406
"2015-01-15",139.71,140.33,139.1,139.97,618650
"2015-01-22",140.9,143.41,140.63,143.16,864092
"2015-01-29",143.32,143.97,142.01,143.44,741996
"2015-02-05",142,143.93,141.58,143.79,711414
"2015-02-12",141.35,142.71,140.09,142.66,865610
"2015-02-19",141.19,141.19,138.09,138.47,920657
"2015-02-26",137.45,137.77,136.13,136.23,886333
"2015-03-05",137.9,139.95,137.9,139.03,810122
"2015-03-12",135.49,137.64,135.41,137.34,839318
"2015-03-19",140.99,141.9,140.26,141.15,691153
"2015-03-26",140.53,141.55,140.05,140.41,615805
"2015-04-02",139.49,141.54,139.49,140.93,567044
"2015-04-09",139.38,139.39,136.91,137.35,838843
"2015-04-16",136.46,137.96,135.71,137.68,597664
"2015-04-23",136.29,137.4,136.02,137.03,549562
"2015-04-30",134.15,134.96,131.46,132.31,895600
"2015-05-07",129.32,132.05,128.76,131.5,728743
"2015-05-14",131.43,133.42,130.65,133.36,599501
"2015-05-21",133.31,133.83,131.74,132.24,735136
"2015-05-28",131.66,132.47,130.69,131.55,660086
"2015-06-04",127.71,128.43,127.02,127.46,560987
"2015-06-11",126.71,127.47,126.54,126.77,474025
"2015-06-18",127.43,129.05,127.03,128.09,762940
"2015-06-25",123.62,124.46,123.16,123.26,944075
"2015-07-02",122.66,123.61,121.66,121.85,771784
"2015-07-09",124.42,125.21,122.82,123.12,469427
"2015-07-16",124.66,126.08,124.66,125.99,742550
"2015-07-23",125.64,125.95,123.33,124.54,734352
"2015-07-30",126.15,127.15,122.61,123.34,1062025
"2015-08-06",120.76,121.36,118.91,120.95,837306
"2015-08-13",119.47,121.18,118.01,120.71,1184362
"2015-08-20",121.97,122.62,120.66,120.85,613577
"2015-08-27",114.8,117.83,114.08,116.79,1307980
"2015-09-03",112.35,113.05,111.57,111.94,724892
"2015-09-10",110.61,113.3,110.43,111.89,743767
"2015-09-17",117.45,121.75,116.9,119.46,1302049
"2015-09-24",116.73,117.77,115.26,115.95,883134
"2015-10-01",118.97,118.97,117.03,118.62,865468
"2015-10-08",121.25,122.01,119.81,121.89,656903
"2015-10-15",120.5,120.84,119.83,120.77,818673
"2015-10-22",123.02,123.92,122.31,123.75,1032925
"2015-10-29",121.64,123.29,121.64,122.78,790175
"2015-11-05",127,128,126.59,127.91,486481
"2015-11-12",123.89,124.47,122.56,123.21,509354
"2015-11-19",124.54,124.88,123.7,124.34,464280
"2015-12-03",122.8,123.51,121.63,122.38,821906
"2015-12-10",123.49,124.6,121.92,122.92,685230
"2015-12-17",130.57,130.57,128.79,130.02,966071
"2015-12-24",129.15,129.64,128.2,129.01,214440
"2015-12-31",128.91,128.97,127.49,127.54,528575
"2016-01-07",125.51,127.21,124.95,124.98,919129
"2016-01-14",119.35,121.02,119.08,119.87,929586
"2016-01-21",116.37,117.71,115.46,116.04,628875
"2016-01-28",119.03,121.16,114.27,115.44,1832024
"2016-02-04",114.65,118.64,114.37,117.25,1091804
"2016-02-11",109.58,109.91,107.81,108.18,793700
"2016-02-18",111.78,112.42,110.52,111.62,962372
"2016-02-25",114.56,116.18,113.84,115.18,638445
"2016-03-03",117.67,118.66,117.32,118.4,762884
"2016-03-10",118.07,118.56,115.69,117.12,356508
"2016-03-17",125.61,127.64,124.7,127,877688
"2016-03-24",123.78,124.25,122.35,123.87,688752
"2016-03-31",126.69,127.23,126.04,127.08,716157
"2016-04-07",127.34,127.79,125.71,126.21,597828
"2016-04-14",128.38,128.84,127.88,128.32,482655
"2016-04-21",128.68,129.74,127.44,127.9,658988
"2016-04-28",130.26,131.15,129.17,129.65,465048
"2016-05-05",130.5,131.14,129.9,130.86,594524
"2016-05-12",131.12,131.6,130.11,131.38,606108
"2016-05-19",125.44,126.17,123.45,123.71,1192805
"2016-05-26",125.26,125.37,124.47,124.8,628980
"2016-06-02",126.76,127.41,125.84,127.26,624655
"2016-06-09",127.05,129.26,127.05,128.98,457560
"2016-06-16",126.17,126.75,125.43,126.56,839662
"2016-06-23",129.16,130.01,128.92,129.98,489295
"2016-06-30",131.63,131.99,130.2,131.9,818453
"2016-07-07",131.29,131.29,129.49,130.03,803437
"2016-07-14",136.53,137.13,135.63,135.86,440443
"2016-07-21",136.68,137.59,136.34,137.56,360670
"2016-07-28",138.74,140.51,138.56,139.44,624825
"2016-08-04",140.69,141.12,139.51,140.87,586220
"2016-08-11",143.47,143.61,141.45,142.35,455016
"2016-08-18",142.95,143.35,141.76,142.37,640262
"2016-08-25",140.46,142.17,140.22,140.49,560370
"2016-09-01",140.28,141.22,139.52,141.06,844430
"2016-09-08",142.49,142.84,141.26,141.82,1309137
"2016-09-15",134.65,135.25,133.84,134.76,662053
