"","VLO.Open","VLO.High","VLO.Low","VLO.Close","VLO.Volume"
"2015-05-28",59.05,59.79,58.6,58.92,4678660
"2015-06-04",57.35,57.82,56.76,56.88,5025644
"2015-06-11",58.45,60.19,58.26,59.65,6697374
"2015-06-18",59.68,60.41,59.62,60.27,5864370
"2015-06-25",60.57,60.81,60.03,60.31,3915742
"2015-07-02",64.68,65.68,64.28,64.72,6007687
"2015-07-09",64.55,64.8,63.85,64.11,5979431
"2015-07-16",65.7,68.15,65.66,67.46,7226358
"2015-07-23",66.78,66.98,65.45,65.72,5477609
"2015-07-30",64.85,64.85,62.79,64.23,9201547
"2015-08-06",64.51,65.93,64,65.68,5102986
"2015-08-13",70.29,71.5,69.17,69.68,8978531
"2015-08-20",67.6,68.54,67.1,67.25,5945513
"2015-08-27",60.62,60.71,56.66,58.35,11099429
"2015-09-03",59.06,60.5,59.06,59.4,6988593
"2015-09-10",61.64,63.59,61.6,62.95,7088707
"2015-09-17",59.98,61.61,59.32,60.59,6050663
"2015-09-24",59.35,60.64,58.62,59.8,5768803
"2015-10-01",60.26,62.35,59.72,62.24,6649830
"2015-10-08",64.25,66.14,64.23,65.71,4841465
"2015-10-15",61.88,63.42,61.59,63.34,4334594
"2015-10-22",59.77,60.58,59.05,60.36,6128212
"2015-10-29",63.28,65.97,63.21,65.81,7083922
"2015-11-05",70.96,72.35,70.62,71.93,6601864
"2015-11-12",70.48,70.76,68.86,69.41,5254241
"2015-11-19",70.43,71.63,70.01,71.14,5477332
"2015-12-03",72.02,72.46,69.75,69.99,6506415
"2015-12-10",70.5,72.32,69.44,71.38,5105973
"2015-12-17",70.89,72.7,70.39,71.68,7334654
"2015-12-24",71.9,72.45,70.77,71.93,1727464
"2015-12-31",71.15,71.75,70.27,70.71,3231410
"2016-01-07",69.6,72.22,69.57,72.09,9149211
"2016-01-14",65.3,67.94,63.52,67.32,8568074
"2016-01-21",65.12,65.16,63.07,63.43,8955280
"2016-01-28",67.33,67.57,62.16,64.54,10700411
"2016-02-04",61.23,62.83,60.2,61.79,10076142
"2016-02-11",53.83,56.02,53.39,55.57,8157913
"2016-02-18",58.37,58.45,55.02,55.56,6811747
"2016-02-25",60.88,61.22,59.17,60.69,5302182
"2016-03-03",62.99,64.17,62.81,63.84,6239321
"2016-03-10",64.87,64.87,63.02,64.18,5399206
"2016-03-17",65.7,66,63.73,64.18,6433223
"2016-03-24",64.54,65.87,64.34,65.84,4253666
"2016-03-31",64,65.14,62.85,64.14,5729734
"2016-04-07",61.53,62.42,60.94,61.66,4419132
"2016-04-14",62.65,62.8,61.31,61.56,4140354
"2016-04-21",60.22,60.8,59.26,60.65,5025484
"2016-04-28",61.76,63.03,60.73,60.91,4442368
"2016-05-05",56.72,56.99,55.35,55.61,6324950
"2016-05-12",56.19,56.36,54.45,54.78,4514535
"2016-05-19",56.05,57.17,54.83,55.4,5098230
"2016-05-26",54.87,54.89,53.51,54.09,5436587
"2016-06-02",55.7,56.73,55.65,55.72,5520943
"2016-06-09",54.14,54.24,53.37,53.81,6292227
"2016-06-16",51.05,51.95,50.7,51.79,5707931
"2016-06-23",53.4,53.93,53.32,53.71,5570918
"2016-06-30",51.81,51.94,49.91,51,10412869
"2016-07-07",48.95,50.1,47.17,47.24,10444151
"2016-07-14",49.96,50.46,49.42,50.4,5975054
"2016-07-21",50.9,50.99,50,50.07,4555544
"2016-07-28",52.39,52.59,50.65,51.87,5808329
"2016-08-04",54.21,54.65,53.09,53.33,8840431
"2016-08-11",53.01,54.83,52.95,54.35,7812071
"2016-08-18",55.11,55.19,54.51,55.06,5096398
"2016-08-25",55.54,55.82,54.56,55.02,5914353
"2016-09-01",55.37,55.4,53.87,54.29,5281497
"2016-09-08",56,56.63,55.52,56.15,4467100
"2016-09-15",54.66,56.85,54.55,56.19,6716442
