"","TMO.Open","TMO.High","TMO.Low","TMO.Close","TMO.Volume"
"2012-08-23",56.57,56.68,56,56.31,1228045
"2012-08-30",56.76,57.16,56.41,56.98,1438101
"2012-09-06",57.4,58.33,57.4,58.23,1832506
"2012-09-13",59.3,60.11,58.88,59.97,2223759
"2012-09-20",59.58,60.11,59.42,59.72,2192087
"2012-09-27",58.85,59.63,58.85,59.44,1133504
"2012-10-04",59.99,60.46,59.8,60.3,1206819
"2012-10-11",58.97,59.5,58.84,59.17,1302863
"2012-10-18",60.15,60.15,58.36,59,4024004
"2012-10-25",61,61.99,60.79,61.7,3710937
"2012-11-01",61.33,62.61,61.11,62.43,3346308
"2012-11-08",60.69,60.85,59.65,59.76,2008819
"2012-11-15",60.81,61.07,59.95,60.44,1435142
"2012-11-29",62.85,63.67,62.71,63.51,1695211
"2012-12-06",63.81,64.37,63.35,64.37,2296620
"2012-12-13",64.96,65.14,64.78,64.92,2596780
"2012-12-20",64.31,65.16,64.15,65.15,1803452
"2012-12-27",63.35,63.71,62.5,63.42,1509384
"2013-01-03",64.95,65.15,64.62,64.8,1321777
"2013-01-10",67.91,68,66.94,67.54,1727609
"2013-01-17",68,69.09,67.91,68.93,1836410
"2013-01-24",69.81,70.29,69.49,69.76,1262983
"2013-01-31",70.55,72.48,70.01,72.14,3841364
"2013-02-07",73.84,74,73.05,73.81,1435670
"2013-02-14",74.82,75.03,74.48,74.88,2027388
"2013-02-21",72.5,72.61,71.72,72.09,2770427
"2013-02-28",74.42,74.89,73.77,73.8,2172655
"2013-03-07",76.93,76.94,76.16,76.49,1300851
"2013-03-14",77.71,77.75,77.32,77.35,1739358
"2013-03-21",77.29,77.33,75.76,76.63,3464125
"2013-03-28",75.22,76.61,75,76.49,1758118
"2013-04-04",77.67,78.71,77.67,77.92,1888783
"2013-04-11",81.72,81.96,79.86,79.91,4971370
"2013-04-18",81.41,81.63,79.67,80.08,2782269
"2013-04-25",81.3,81.39,79.99,80.12,2500563
"2013-05-02",81.12,81.73,80.74,81.6,1561600
"2013-05-09",84.16,84.2,83.22,83.48,1135504
"2013-05-16",85.57,86.3,85.4,85.5,2646818
"2013-05-23",85.72,86.03,84.98,85.69,2213640
"2013-05-30",87.53,89.1,87.41,88.76,1846663
"2013-06-06",85.68,87.17,85.04,86.95,3829642
"2013-06-13",84.99,85.55,83.37,85.35,2426452
"2013-06-20",83.73,83.74,81.18,81.66,3702732
"2013-06-27",84.09,85.76,84,85.37,3209583
"2013-07-11",88.83,89.2,88.21,88.42,1739485
"2013-07-18",87.85,88.99,87.84,88.96,1763294
"2013-07-25",90.37,91.39,89.79,91.25,1634721
"2013-08-01",92.32,92.72,91.79,92.02,1468474
"2013-08-08",92.23,92.4,91.71,91.96,1250019
"2013-08-15",91.3,91.75,90.96,91.3,1335590
"2013-08-22",90.09,90.65,90,90.35,1287412
"2013-08-29",88.63,89.81,88.44,89.17,856070
"2013-09-05",90.86,90.96,90.27,90.68,858913
"2013-09-12",90.48,91.33,90.37,91.07,2152225
"2013-09-19",94.5,94.65,93.9,94.24,2183895
"2013-09-26",92.46,93.25,92.34,93.01,1051218
"2013-10-03",92.23,92.26,90.61,91.34,1353361
"2013-10-10",90.52,92.38,90.37,92.27,1593952
"2013-10-17",93.15,96.07,92.89,95.62,2110400
"2013-10-24",97.78,98.36,96.9,97.03,1732709
"2013-10-31",97.62,98.32,96.31,97.78,2225043
"2013-11-07",97.76,98.01,96.09,96.16,1142043
"2013-11-14",98.81,100.21,98.42,100.21,1719843
"2013-11-21",103.12,103.12,101.33,101.82,1317125
"2013-12-05",99.97,101.03,99.75,99.93,1245564
"2013-12-12",100.69,100.96,100.04,100.23,1308924
"2013-12-19",106.41,108.28,105.93,108.16,2573614
"2013-12-26",109.78,110.57,109.66,110.27,995796
"2014-01-02",110.69,111.16,109.29,109.63,2559028
"2014-01-09",114.17,114.81,113.49,114,2196355
"2014-01-16",114.85,116.16,114.85,116.11,1847809
"2014-01-23",114.41,114.54,111.99,112.81,3400191
"2014-01-30",115.92,117.68,113.81,114.99,5155943
"2014-02-06",113.57,114.78,113.27,114.43,2483966
"2014-02-13",120.87,123.43,120.61,122.9,2540570
"2014-02-20",124.33,125.01,122.49,124.71,3456946
"2014-02-27",124.23,125.21,123.81,124.91,2213893
"2014-03-06",127.15,127.63,125.85,126.4,1649945
"2014-03-13",126.55,126.84,122.59,123.25,2413780
"2014-03-20",122.6,123.83,122.14,123.58,1352204
"2014-03-27",118.08,118.58,116.62,117.67,2192541
"2014-04-03",122.32,122.73,120.71,121.8,2544722
"2014-04-10",120.41,120.59,116.56,116.98,2750919
"2014-04-17",119.44,120.11,118.52,119.3,1733281
"2014-04-24",119.59,119.59,114.24,115.38,4507401
"2014-05-01",113.72,114.96,113.15,114.92,1553490
"2014-05-08",116.25,117.37,115.4,115.63,1232106
