"","BEN.Open","BEN.High","BEN.Low","BEN.Close","BEN.Volume"
"2015-11-12",40.44,40.82,40.32,40.41,3031911
"2015-11-19",41.47,41.68,41.37,41.58,2132779
"2015-12-03",41.18,41.22,40.25,40.42,2810928
"2015-12-10",38.51,39.04,38.36,38.47,2699909
"2015-12-17",36.22,36.39,35.08,35.45,4842520
"2015-12-24",37.17,37.56,36.8,36.97,1452738
"2015-12-31",36.78,37.26,36.69,36.82,2025868
"2016-01-07",34.36,34.96,33.9,34.07,5317888
"2016-01-14",33.09,33.56,32.39,33.37,5260280
"2016-01-21",32.98,34.34,32.82,33.21,4213838
"2016-01-28",33.82,34.03,33.11,33.31,3656123
"2016-02-04",32.29,33.88,32.02,33.79,5155034
"2016-02-11",31.54,32.03,31,31.45,4833216
"2016-02-18",34.53,34.82,34.18,34.66,3564446
"2016-02-25",34.77,35.83,34.46,35.73,4113490
"2016-03-03",37.41,38.26,37.34,37.88,3050081
"2016-03-10",37.48,37.7,35.97,36.76,4387587
"2016-03-17",37.57,39.3,37.43,38.77,3918991
"2016-03-24",38.06,38.13,37.68,38.09,2872440
"2016-03-31",39.11,39.33,38.94,39.05,2565130
"2016-04-07",38.21,38.28,36.98,37.2,3239284
"2016-04-14",39.66,40.2,39.59,39.88,2890920
"2016-04-21",40.96,41.24,40.42,40.54,1722515
"2016-04-28",39.16,39.21,37.99,38.15,4678088
"2016-05-05",36.09,36.37,35.7,35.83,2633012
"2016-05-12",35.93,36.25,35.52,35.84,5272803
"2016-05-19",35.27,35.44,34.78,35.21,3664165
"2016-05-26",37.45,37.62,37,37.03,1997553
"2016-06-02",35.96,36.03,35.44,35.78,5612083
"2016-06-09",35.12,35.2,34.17,34.42,4774153
"2016-06-16",32.67,33.12,32.2,33.05,3027912
"2016-06-23",34.35,34.58,34.12,34.58,2051129
"2016-06-30",32.51,33.39,32.26,33.37,4878245
"2016-07-07",32.5,33.07,32.31,32.6,3317886
"2016-07-14",35.24,35.35,34.46,34.64,3371292
"2016-07-21",35.04,35.37,34.95,35.01,1478283
"2016-07-28",34.96,36.12,34.84,35.02,4134360
"2016-08-04",35.73,35.8,35.25,35.38,3149346
"2016-08-11",35.78,35.92,35.54,35.65,1387791
"2016-08-18",36.18,36.6,36.17,36.6,1935530
"2016-08-25",36.12,36.23,35.94,36.02,1781698
"2016-09-01",36.62,36.77,35.64,35.86,2972825
"2016-09-08",36.38,36.83,36.18,36.68,2078917
"2016-09-15",35.15,35.88,35.05,35.75,1669308
