"","KMB.Open","KMB.High","KMB.Low","KMB.Close","KMB.Volume"
"2012-08-23",83.73,83.97,83.33,83.42,1194395
"2012-08-30",83.39,83.58,82.49,83.48,2156266
"2012-09-06",82.87,83.63,82.87,83.62,1926491
"2012-09-13",82.05,83.34,82.05,83.27,2368024
"2012-09-20",84.38,85.16,84.38,85,2270398
"2012-09-27",85.52,85.92,85.08,85.69,1587412
"2012-10-04",86.51,87,86.51,86.79,1247328
"2012-10-11",86.41,86.42,85.82,85.99,945895
"2012-10-18",87.3,87.8,87.03,87.68,1309396
"2012-10-25",84.46,84.97,82.42,82.84,3642116
"2012-11-01",83.39,84.17,83.06,83.76,2050939
"2012-11-08",82.79,83.71,82.6,82.6,1741748
"2012-11-15",83.85,84.16,83.4,83.83,1987371
"2012-11-29",86.02,86.24,85.45,85.67,2232087
"2012-12-06",84.89,85.18,84.57,84.99,1417680
"2012-12-13",85.5,86.21,85.44,85.78,1509448
"2012-12-20",85.05,85.4,84.69,84.95,1457500
"2012-12-27",83.49,84.01,83.18,83.93,1490914
"2013-01-03",86.5,86.5,85.7,86.01,1797949
"2013-01-10",84.79,85.08,84.45,84.93,1914576
"2013-01-17",85.73,86.67,85.59,86.33,1205920
"2013-01-24",87,87.24,86.14,86.58,2436876
"2013-01-31",88.2,89.6,87.52,89.51,4264516
"2013-02-07",90.78,91.16,90.44,90.98,1849911
"2013-02-14",89.87,90.54,89.79,90.19,1813835
"2013-02-21",91.51,92.27,91.13,91.86,1779436
"2013-02-28",95.18,95.91,94.28,94.28,2814630
"2013-03-07",94.8,95.22,93.97,93.97,2032262
"2013-03-14",93.64,94.08,93.6,93.78,1874690
"2013-03-21",95.31,95.35,94.31,94.93,2710953
"2013-03-28",96.67,97.99,96.47,97.98,2361549
"2013-04-04",98.15,98.61,97.85,98.47,1818011
"2013-04-11",100.36,101.21,100.07,101.12,2230008
"2013-04-18",100.64,102.48,100.64,101.36,2618228
"2013-04-25",104.13,104.13,103.32,103.46,2058442
"2013-05-02",103.46,105,103.27,104.55,2375451
"2013-05-09",104.23,104.41,102.64,102.97,2527502
"2013-05-16",104.28,104.35,103.51,103.75,2212603
"2013-05-23",101.31,103.25,101.09,102.54,6762966
"2013-05-30",99.76,100.96,99.63,100.31,2080116
"2013-06-06",95.41,96.35,94.57,96.35,3160364
"2013-06-13",96.93,98.05,96.57,97.57,2494105
"2013-06-20",95.88,95.88,93.81,94.66,5431472
"2013-06-27",97.48,98.19,97.15,97.32,1685882
"2013-07-11",99.48,99.85,98.92,99.65,1733492
"2013-07-18",99.75,100.02,98.79,98.91,2242521
