"","XOM.Open","XOM.High","XOM.Low","XOM.Close","XOM.Volume"
"2013-08-08",91.93,91.97,91.28,91.78,11532007
"2013-08-15",88.66,88.87,88.06,88.16,11273676
"2013-08-22",86.58,87.42,86.45,86.98,10202520
"2013-08-29",88.63,88.63,87.23,87.27,11417766
"2013-09-05",88.06,88.3,87.33,87.35,11740533
"2013-09-12",88.59,88.8,87.86,87.98,10918069
"2013-09-19",89.64,89.74,88.98,89.28,11766809
"2013-09-26",87.4,87.45,86.81,87.07,9787077
"2013-10-03",86.04,86.05,85.34,85.5,13927518
"2013-10-10",85.52,86.04,84.79,86.04,17542441
"2013-10-17",87.13,87.5,87.01,87.48,10438237
"2013-10-24",87.98,88.73,87.97,88.42,12298088
"2013-10-31",89.45,90.96,89.2,89.62,19185158
"2013-11-07",92.64,92.98,91.76,91.96,16578928
"2013-11-14",92.68,93.42,92.68,93.22,7909231
"2013-11-21",94.85,95.39,94.63,94.69,9128848
"2013-12-05",94.07,94.65,93.92,94.13,10586826
"2013-12-12",94.5,95.88,94.28,95.36,15562613
"2013-12-19",99.52,99.6,99,99.43,12905883
"2013-12-26",99.42,101.03,99.38,100.9,9539504
"2014-01-02",100.6,100.76,99.38,99.75,11030125
"2014-01-09",100.2,100.39,99.03,99.76,11679041
"2014-01-16",98.79,99.04,98.25,98.94,9421731
"2014-01-23",97.25,97.39,96.01,96.97,15397746
"2014-01-30",94,94.95,93.06,93.99,14632354
"2014-02-06",89.51,90.18,89.25,89.8,13650204
"2014-02-13",90.59,91.65,90.4,91.43,9776453
"2014-02-20",93.85,95.77,93.75,95.37,14425193
"2014-02-27",95.58,96.05,95.16,95.84,9101165
"2014-03-06",93.67,93.94,93.27,93.76,12612051
"2014-03-13",94.44,94.57,93.33,93.64,9872689
"2014-03-20",93.44,94.74,93.01,94.58,10405003
"2014-03-27",94.61,96.5,94.06,96.24,15427492
"2014-04-03",97.83,98.54,97.56,97.93,10119284
"2014-04-10",96.98,97.78,96.24,96.78,13449913
"2014-04-17",99.69,100.97,99.69,100.42,15439810
"2014-04-24",100.48,100.6,99.86,100.01,9057792
"2014-05-01",101.96,102.39,101.2,101.41,11161697
"2014-05-08",103.09,103.29,102.17,102.32,8924353
"2014-05-15",102,102.42,100.33,100.78,13658740
"2014-05-22",101.81,101.97,101.47,101.5,5304614
"2014-05-29",101.54,101.65,101.02,101.27,6113654
"2014-06-05",100.1,100.83,99.96,100.55,12296438
"2014-06-12",102.46,102.94,101.57,101.66,11421250
"2014-06-19",102.61,102.84,101.68,102.63,11107691
"2014-06-26",101.94,102.38,100.85,102.03,8424551
"2014-07-03",101.95,103.27,101.68,102.59,6922616
"2014-07-10",102.88,103.07,102.04,102.57,8533731
"2014-07-17",103.38,103.88,102.29,102.31,8145741
"2014-07-24",104.42,104.72,103.95,104.28,7943024
"2014-07-31",101.98,101.98,98.93,98.94,18297904
"2014-08-07",99.77,99.84,97.63,98.27,10017398
"2014-08-14",99.1,99.28,98.6,99.09,6547528
"2014-08-21",99.8,100.07,99.26,99.28,6826246
"2014-08-28",99.04,99.74,99.01,99.57,6072738
"2014-09-04",99,99.45,97.97,98.36,9662876
"2014-09-11",96.32,97.12,95.82,97.03,10181311
"2014-09-18",97.15,97.32,96.48,96.61,8636631
"2014-09-25",95.66,95.89,94.2,94.25,12854240
"2014-10-02",92.39,93.9,92.06,93.3,13756563
"2014-10-09",94.05,94.49,91.63,91.82,17917680
"2014-10-16",88.58,91.27,88.18,90.6,25215899
"2014-10-23",94.31,94.98,93.87,94.11,11352718
"2014-10-30",93.87,94.67,93.22,94.45,9767918
"2014-11-06",95.18,96.42,94.28,96.26,14731392
"2014-11-13",94.96,95.21,93.83,94.66,12355397
"2014-11-20",95.37,95.9,95.26,95.82,8422369
"2014-12-04",94.13,94.61,93.07,94.37,13115285
"2014-12-11",88.86,91.54,88.85,89.2,21522152
"2014-12-18",90.37,91.16,88.4,91.16,22882705
"2015-01-08",91.25,92.27,91,92.23,15487496
"2015-01-15",90.43,90.66,88.51,88.96,18759590
"2015-01-22",92.31,92.97,91.32,92.87,13558953
"2015-01-29",88.22,88.26,86.03,87.58,22682981
"2015-02-05",92.39,92.54,91.7,92.36,12809028
"2015-02-12",91.46,92.66,91.02,92.37,14842992
"2015-02-19",89.64,90.42,88.58,89.44,19350556
"2015-02-26",89.13,89.18,88.08,88.65,13984008
"2015-03-05",87.07,87.19,86.52,86.74,12527581
"2015-03-12",84.43,84.72,84.06,84.22,10792898
"2015-03-19",85.19,85.5,84.32,84.41,12738497
"2015-03-26",85.3,85.57,84.09,84.32,14400695
"2015-04-02",84.09,84.94,83.85,84.3,11297401
"2015-04-09",84,84.73,83.81,84.65,13281833
"2015-04-16",87.88,88.16,87.11,87.73,9570809
"2015-04-23",87.36,88.38,87.31,87.54,9866129
"2015-04-30",88.67,88.67,87.22,87.37,13947730
"2015-05-07",88,88.1,86.92,87.6,9992451
"2015-05-14",86.93,87.34,86.75,86.97,8791275
"2015-05-21",87.28,87.44,86.96,87.21,8357353
"2015-05-28",85.11,85.57,84.82,85.11,8038943
"2015-06-04",84.7,84.89,83.78,84.22,12607257
"2015-06-11",85.3,85.7,84.89,85.09,7759265
"2015-06-18",84.8,85.96,84.72,85.48,10247825
"2015-06-25",84.85,84.85,83.93,83.93,10259382
"2015-07-02",82.79,83.28,82.55,83.14,9187997
"2015-07-09",82.87,83.15,81.58,81.6,11980543
"2015-07-16",83.18,83.48,82.8,82.91,8267647
"2015-07-23",81.73,81.97,80.97,81.14,10496096
