"","EXPE.Open","EXPE.High","EXPE.Low","EXPE.Close","EXPE.Volume"
"2013-10-10",50.63,51.69,50.58,51.39,2664597
"2013-10-17",47.7,48.33,47.42,48.21,2748281
"2013-10-24",48.9,50.55,48.53,50.5,3085291
"2013-10-31",58.61,59.89,57.63,58.96,16006253
"2013-11-07",59.82,60.49,58.1,58.91,3106333
"2013-11-14",61.65,61.75,60.62,61.04,1828436
"2013-11-21",61.12,62.66,61.11,62.59,2023380
"2013-12-05",62.67,63.87,62.39,63.58,1999515
"2013-12-12",62.38,62.75,62.1,62.54,2368369
"2013-12-19",67.69,67.79,66.5,66.8,1482382
"2013-12-26",68.56,69.34,68.48,69.03,602079
"2014-01-02",69.08,69.69,68.56,69.21,1399901
"2014-01-09",70.59,70.84,69.1,69.55,1477285
"2014-01-16",69.05,69.55,67.78,68.48,1914093
"2014-01-23",66.2,67.81,66.04,66.5,2054348
"2014-01-30",65.9,66.28,65.41,65.52,2014734
"2014-02-06",63.82,65.67,63.61,65.14,5459392
"2014-02-13",75,78.27,74.76,76.69,2521066
"2014-02-20",79.32,80.1,78.72,79.71,2322304
"2014-02-27",78.36,79.15,77.98,78.62,1254812
"2014-03-06",75.77,76.46,74.59,74.71,2469466
"2014-03-13",76.42,77.46,75.37,75.47,3205078
"2014-03-20",75.22,75.82,74.37,75.21,1389722
"2014-03-27",71.16,72.49,69.93,71.83,3011195
"2014-04-03",76,76.73,72.81,73.43,3140375
"2014-04-10",71.91,72.33,68.56,68.6,3408794
"2014-04-17",72.54,72.81,71.61,72.46,1951376
"2014-04-24",73.36,73.36,70.84,72.1,1826079
"2014-05-01",71.3,74.35,71.13,73.87,6967229
"2014-05-08",68.32,70.09,67.39,68.44,3568161
"2014-05-15",70.12,70.21,68.35,69.78,3148559
"2014-05-22",71.28,71.46,70.58,71.02,1612214
"2014-05-29",73.41,73.95,73.11,73.57,1446539
"2014-06-05",73.5,74.41,73.22,74,1195450
"2014-06-12",75.74,76,73.79,73.98,2094300
"2014-06-19",80.35,80.49,77.69,77.88,3299099
"2014-06-26",77.78,77.78,76.69,77.01,875180
"2014-07-03",80.75,82.36,80.41,82.21,920802
"2014-07-10",79.13,79.84,78.26,79.32,883254
"2014-07-17",79.02,79.54,77.14,77.4,1806310
"2014-07-24",80.5,80.97,79,79.9,2148709
"2014-07-31",82.09,82.09,78.4,79.42,5182998
"2014-08-07",82.75,84.62,82.65,83.52,1828659
"2014-08-14",85.01,85.36,84.15,84.93,1197497
"2014-08-21",86.35,86.99,86.18,86.99,1395349
"2014-08-28",86.33,86.9,86.06,86.4,1291369
"2014-09-04",88.42,89.12,87.44,87.94,1735779
"2014-09-11",86.84,87.34,86.32,87.17,771524
"2014-09-18",85.7,86.14,85.15,85.91,1060819
"2014-09-25",85.38,85.95,84.52,84.68,1623987
"2014-10-02",84.61,84.95,82.16,83.37,2682163
"2014-10-09",85.39,85.67,83.14,83.83,2820810
"2014-10-16",72.48,75.21,71.23,75.08,3842989
"2014-10-23",80.01,81.2,79.5,79.84,1911453
"2014-10-30",79.06,81.04,77.74,80.73,5816904
"2014-11-06",83.11,84.65,82.7,84.06,1763341
"2014-11-13",87.11,87.44,85.81,86.49,1236564
"2014-11-20",86.45,86.8,85.52,86.08,1740059
"2014-12-04",88.4,90.45,88.2,89.55,2109155
"2014-12-11",88.21,89.55,87.16,87.32,1210508
"2014-12-18",87.6,88.3,87.15,87.79,1751855
"2015-01-08",84.66,88.19,84.1,87.89,2266610
"2015-01-15",85.81,85.81,82.28,82.53,2982659
"2015-01-22",84.92,86.02,83.7,85.71,1698074
"2015-01-29",86.22,86.73,84.63,86.57,832744
"2015-02-05",88.13,88.59,87.11,88,3438277
"2015-02-12",87.8,92.52,86.35,89.56,15944581
"2015-02-19",90.1,91.44,89,91.3,2537280
"2015-02-26",93.71,95,92.65,93.25,2062422
"2015-03-05",89.85,92.57,89.81,91.38,1833938
"2015-03-12",88.92,91.61,88.71,91.39,1262374
"2015-03-19",93.83,94.88,93.83,94.68,1221863
"2015-03-26",93.27,93.92,92.27,92.76,1381690
"2015-04-02",94.84,98.31,94.5,97.98,2659175
"2015-04-09",98.97,98.97,97.27,97.82,1214073
"2015-04-16",97.95,98.54,97.13,97.17,1288040
"2015-04-23",99.49,99.69,98.87,98.92,1012296
"2015-04-30",95.4,96.25,92.96,94.23,4436110
"2015-05-07",98.9,101.16,98.42,100.96,1620225
"2015-05-14",103.36,104.22,102.28,104.14,1105923
"2015-05-21",105.23,105.96,105.04,105.89,1000188
"2015-05-28",110.25,110.86,108.77,109.24,2029010
"2015-06-04",105.8,106.34,104.98,105.64,2149434
"2015-06-11",108.24,109.25,107.57,107.87,903524
"2015-06-18",107.99,110.54,107.6,109.68,1168753
"2015-06-25",109.67,109.83,108.6,109.27,861017
"2015-07-02",107.53,108.2,105.78,107.07,1176031
"2015-07-09",106.53,107.05,104.5,104.55,991982
"2015-07-16",108.39,110.71,108.21,110.05,1998904
"2015-07-23",111.24,111.25,109.08,109.52,781695
"2015-07-30",107.75,112,107.23,107.61,4192934
"2015-08-06",125.99,125.99,120.79,121.6,3194550
"2015-08-13",120.22,122.33,119.75,120.66,783975
"2015-08-20",121.63,122.63,118.59,118.7,1205796
"2015-08-27",116.8,117.7,114.78,117.45,1511790
"2015-09-03",113.61,115.34,112.63,112.89,812764
"2015-09-10",112.99,117.07,112.77,115.94,1245235
"2015-09-17",125.46,130.75,125.31,128.83,3958226
"2015-09-24",121.53,122,119,120.5,2188784
"2015-10-01",118.5,119.99,116.55,119.92,1302792
"2015-10-08",122.41,123.08,118.89,122.88,1367839
"2015-10-15",122.49,125.73,121.84,125.18,1818061
"2015-10-22",126.9,129.74,125.6,127.58,2602773
"2015-10-29",125.75,127.57,124.54,127.06,3812217
"2015-11-05",139,140.51,136.41,137.31,8735870
"2015-11-12",128.43,129.16,127.75,127.94,2712823
"2015-11-19",126,129.97,124.38,128.09,4696679
"2015-12-03",123.39,125.13,121.58,122.27,3311314
"2015-12-10",124.8,126.6,123.12,125.61,2589290
"2015-12-17",131.23,131.9,128.45,128.67,2237823
"2015-12-24",126.17,127.43,125.6,126.47,761107
"2015-12-31",125.49,126.21,123.96,124.3,1355396
"2016-01-07",117.01,117.78,114,114.81,2008848
"2016-01-14",106.74,109.49,102.87,107.67,2688715
"2016-01-21",106.39,107.62,105.19,106.4,2277061
"2016-01-28",101.29,101.49,97.22,98.69,2624912
"2016-02-04",95.97,100.21,94.5,99.9,2327290
"2016-02-11",100.1,104.95,96.88,103.37,11002131
"2016-02-18",110.01,111.53,107.28,107.47,3379290
"2016-02-25",105,105.26,102.7,105.13,1990577
"2016-03-03",106.43,109.22,105.24,108.51,2283313
"2016-03-10",108.6,111.45,107.18,109.38,3707762
"2016-03-17",114.6,115.09,111.25,111.48,2727705
"2016-03-24",108.14,108.38,106.5,107.69,1585965
"2016-03-31",107.96,108.27,106.66,107.82,2588416
"2016-04-07",105.01,105.87,103.38,103.57,2133193
"2016-04-14",109.06,109.5,107.63,108.82,3071650
"2016-04-21",108.55,108.86,107,108.34,1368108
"2016-04-28",107.55,110.79,106.83,106.99,5724437
"2016-05-05",114.14,114.56,112.45,112.55,2174302
"2016-05-12",113.25,113.62,111.21,112.94,1052089
"2016-05-19",109.49,110.43,107.76,108.56,2110076
"2016-05-26",113.15,113.45,111.09,111.82,1219106
"2016-06-02",110.12,111.5,109.75,111.1,1102034
"2016-06-09",109.12,110.68,108.66,109.11,1073959
"2016-06-16",104.16,104.54,102.85,104.35,1729919
"2016-06-23",108.98,110,108.44,109.9,1647598
"2016-06-30",105.54,106.46,103.93,106.3,2336806
"2016-07-07",106.05,107.61,105.67,107.57,1240067
"2016-07-14",115.25,115.64,114.5,115.13,1970812
"2016-07-21",117.07,117.27,115.82,116.58,1168672
"2016-07-28",117.55,119.77,116.23,119.27,4959504
"2016-08-04",111.62,114.2,111.01,113.51,1941582
"2016-08-11",114.84,115.74,114.2,114.8,1298432
"2016-08-18",115.64,115.99,115.01,115.44,990729
"2016-08-25",111.39,112.58,111.34,112.25,1320846
"2016-09-01",109.86,113.25,109.16,113.13,3200351
"2016-09-08",113.08,114.28,112.35,114.07,1164976
"2016-09-15",110.94,112.2,110.15,111.9,2163501
