"","CRM.Open","CRM.High","CRM.Low","CRM.Close","CRM.Volume"
"2014-04-17",55.71,56.44,55.1,56.1,3817216
"2014-04-24",56.28,56.6,53.17,54.73,6012992
"2014-05-01",51.9,53.68,51.79,52.08,6406091
"2014-05-08",50.22,52.08,49.57,50.15,6499394
"2014-05-15",52.25,52.3,50.6,51.42,4762666
"2014-05-22",50.29,54.25,49.93,53.27,13739501
"2014-05-29",53.12,54.96,53.04,54.4,6818435
"2014-06-05",51.47,51.78,50.75,51.37,5411106
"2014-06-12",53.17,53.57,52.63,53.04,3627247
"2014-06-19",57.97,58.62,57.51,57.88,4735809
"2014-06-26",57.6,57.98,56.89,57.17,3049789
"2014-07-03",59,59.08,57.96,58.76,2414966
"2014-07-10",53.41,55.04,53.3,54.3,4437415
"2014-07-17",53.62,54.28,52.48,52.64,4800379
"2014-07-24",53.7,54.71,53.67,54.06,3128576
"2014-07-31",55.68,55.91,54.15,54.25,4291378
"2014-08-07",54.17,54.74,53.36,53.75,2753990
"2014-08-14",53.15,53.74,52.82,53.51,4855715
"2014-08-21",55.65,56.05,54.89,55.71,9544193
"2014-08-28",58.15,59.03,57.8,58.29,5854032
"2014-09-04",59.18,59.87,58.85,59.08,4244222
"2014-09-11",60.39,61.44,60.12,61.21,4441060
"2014-09-18",57.9,57.92,57.19,57.66,3573236
"2014-09-25",57.56,57.78,55.8,55.92,4901411
"2014-10-02",56.41,57.1,56.2,56.64,4604494
"2014-10-09",57.75,59.4,56.92,57.13,5437124
"2014-10-16",51.97,54.22,51.69,53.87,5464220
"2014-10-23",56.83,58.93,56.8,57.88,5139914
"2014-10-30",60.6,61.87,60.22,61.72,2935120
"2014-11-06",62.08,63.45,61.88,63.09,3994212
"2014-11-13",64,64.22,62.73,63.16,3025381
"2014-11-20",59.43,59.68,57.81,58.3,15530085
"2014-12-04",58.66,59.12,58.54,58.95,3101407
"2014-12-11",55.5,56.34,55.16,55.48,4179344
"2014-12-18",58.49,59.58,58.31,59.33,11006510
"2015-01-08",57.33,58.78,57.17,58.59,3756594
"2015-01-15",57.15,57.54,55.03,55.11,4821002
"2015-01-22",57.91,58.46,57.17,58,5481512
"2015-01-29",56.8,58.26,55.85,58.1,4424479
"2015-02-05",58.95,59.48,58.76,59.26,2512956
"2015-02-12",59.29,61.34,59.22,61.26,5284819
"2015-02-19",62.59,63.03,62.01,62.81,2320913
"2015-02-26",70.02,71,69,70.24,20370821
"2015-03-05",65.12,66.06,64.76,65.59,3925156
"2015-03-12",63.66,65.35,63.66,64.95,3809491
"2015-03-19",68.3,68.95,68.1,68.88,3883076
"2015-03-26",65.72,66.46,64.81,65.99,2971627
"2015-04-02",66.25,66.9,65.75,66.68,2021634
"2015-04-09",68.32,68.35,66.82,67.74,2577520
"2015-04-16",66.67,68.21,66.65,67.91,2269293
"2015-04-23",67.36,69.08,67.26,68.47,3518394
"2015-04-30",72.19,74,71,72.82,17492074
"2015-05-07",74.08,74.77,73.4,74.52,4377714
"2015-05-14",72.5,73.08,71.8,72.88,3199469
"2015-05-21",73.51,74.68,72.31,72.91,12315972
"2015-05-28",72.92,73.49,72.53,72.68,5066271
"2015-06-04",72.91,73.48,72.01,72.21,2767492
"2015-06-11",73.17,73.49,72.25,72.4,2371664
"2015-06-18",74.63,76.21,74.6,75.71,4230262
"2015-06-25",74.32,74.65,73.37,73.61,1958170
"2015-07-02",70.92,71.05,69.98,70.42,1562251
"2015-07-09",70.5,71.6,69.94,69.96,3297535
"2015-07-16",71.91,72.43,71.62,72.42,2774882
"2015-07-23",74.25,74.52,71.97,72.21,3231569
"2015-07-30",73.69,73.84,72.34,73.36,2362845
"2015-08-06",72.78,72.88,70.32,70.43,2195447
"2015-08-13",71.44,71.93,70.75,71.4,2302930
"2015-08-20",71.62,72,67.5,67.82,7430207
"2015-08-27",69.31,70.24,68.25,69.94,4829731
"2015-09-03",68.3,69.25,67.95,68.25,2923258
"2015-09-10",69,70,68.92,69.74,2855065
"2015-09-17",71.5,73.2,71.5,72.32,4166301
"2015-09-24",71.55,72,70.45,71.71,3033111
"2015-10-01",69.16,73.07,68.68,72.91,8084709
"2015-10-08",74.98,75.9,74.12,75.09,3795147
"2015-10-15",76.19,78.34,75.91,77.7,3286633
"2015-10-22",76.45,78.42,76.45,77.37,3277006
"2015-10-29",78.58,78.72,77.57,78.14,1796756
"2015-11-05",78.41,79.48,77.8,78.71,2601921
"2015-11-12",78.47,79.75,78.23,78.3,3123957
"2015-11-19",81.05,82.9,80.45,80.64,11597372
"2015-12-03",80.96,82.06,79.56,79.93,4770095
"2015-12-10",79.8,79.98,79.16,79.38,2032778
"2015-12-17",78.97,79.32,78.04,78.43,2654725
"2015-12-24",78.03,78.35,77.58,77.83,1084670
"2015-12-31",78.99,79.42,78.36,78.4,2463047
"2016-01-07",75.13,75.6,73.47,74.3,6972169
"2016-01-14",72.42,73.62,70.87,73.07,4731141
"2016-01-21",70.36,70.64,69.14,69.51,4635641
"2016-01-28",66.88,67.5,65.27,65.69,8730293
"2016-02-04",65.68,67.37,64.82,67.2,7168955
"2016-02-11",57.19,59.85,56.58,59.24,7737074
"2016-02-18",63.48,64.18,61.58,61.7,6720742
"2016-02-25",70.5,70.84,67.14,69.42,18233195
"2016-03-03",70.05,70.94,69.52,70.8,3240515
"2016-03-10",71.44,72.32,69.79,70.7,4977662
"2016-03-17",72.53,73.18,71.6,72.72,3369508
"2016-03-24",71.54,72.45,71.06,72.44,2698834
"2016-03-31",74.06,74.39,73.38,73.83,4225752
"2016-04-07",74.91,75.46,74.68,75.32,3835729
"2016-04-14",76,76.59,75.66,76.15,2695226
"2016-04-21",76.66,77.82,76.5,77.15,3542290
"2016-04-28",75.38,76.64,74.96,75.38,3819028
"2016-05-05",74.11,74.59,73.64,73.81,2085167
"2016-05-12",76.45,76.79,75.19,75.89,2719001
"2016-05-19",82.26,82.48,80.15,81.09,13756520
"2016-05-26",83.82,84.48,83.25,83.35,4755717
"2016-06-02",83.21,83.37,82.45,83.24,3684386
"2016-06-09",82.81,83.29,82.65,82.73,1852234
"2016-06-16",81.19,81.84,80.21,81.64,3044989
"2016-06-23",81.16,82.32,80.79,82.28,2777146
"2016-06-30",79.35,79.96,79.09,79.41,4644277
"2016-07-07",78.5,79.1,78.39,78.76,3085866
"2016-07-14",82,82.02,81.44,81.56,1791715
"2016-07-21",82.45,83.09,81.43,81.7,3212068
"2016-07-28",81.92,82.72,81.7,82.33,2448207
"2016-08-04",80.54,81.12,80.32,80.56,2467448
"2016-08-11",80.42,81.64,80.2,81.48,3448562
"2016-08-18",76.37,77.16,76.17,76.91,6200158
"2016-08-25",78.14,80.24,78.11,80.16,7495937
"2016-09-01",75.45,76.55,74.06,75.91,27418454
"2016-09-08",75,75.02,74.37,74.88,5122237
"2016-09-15",73.52,74.3,73.36,73.99,4295469
