"","TEL.Open","TEL.High","TEL.Low","TEL.Close","TEL.Volume"
"2014-11-13",61.42,61.68,60.66,61.2,2219815
"2014-11-20",61.11,61.88,61.08,61.62,1095655
"2014-12-04",64.72,64.85,64.1,64.59,811185
"2014-12-11",63.51,64.21,63.02,63.19,1212291
"2014-12-18",62.74,63.78,62.47,63.71,1786214
"2015-01-08",63.64,64.46,63.64,64.3,1635309
"2015-01-15",63.07,63.26,62.15,62.35,2199293
"2015-01-22",62.83,63.06,62,62.8,1984195
"2015-01-29",67.43,67.76,66.01,67.57,2573735
"2015-02-05",67.97,69.29,67.85,69.25,1831971
"2015-02-12",69.9,70.82,69.76,70.38,1531276
"2015-02-19",70.63,71.31,70.34,71,1102741
"2015-02-26",72.29,72.73,72.2,72.38,1688448
"2015-03-05",72.98,72.99,72.32,72.52,1045342
"2015-03-12",71.18,71.92,70.98,71.71,2200483
"2015-03-19",73.04,73.16,72.31,72.39,1435139
"2015-03-26",70.15,70.74,69.64,70.61,1635146
"2015-04-02",71.23,71.54,70.67,70.67,1523875
"2015-04-09",70.74,71.22,70.43,70.91,1169315
"2015-04-16",70.44,70.94,70.29,70.53,1607763
"2015-04-23",69.62,69.79,68.62,68.75,2173648
"2015-04-30",67.42,67.44,66.19,66.55,1913164
"2015-05-07",67.72,68.6,67.53,68.35,1152605
"2015-05-14",69.92,70.25,69.58,70.12,2138814
"2015-05-21",70.22,70.75,70.13,70.27,1210640
"2015-05-28",69.72,69.94,69.49,69.57,1316340
"2015-06-04",69.2,69.29,67.96,68.08,1455144
"2015-06-11",69.19,69.7,69.06,69.21,1274289
"2015-06-18",68.9,69.82,68.77,69.67,1327451
"2015-06-25",68.1,68.44,66.49,66.54,2806429
"2015-07-02",64.23,64.69,64,64.36,1395126
"2015-07-09",62.76,62.89,61.71,61.73,2066927
"2015-07-16",63.28,63.58,62.55,62.79,1468752
"2015-07-23",61.7,62.09,60.9,61.14,3515793
"2015-07-30",60.5,60.85,60.46,60.7,4168669
"2015-08-06",62.41,62.62,61.6,61.63,2005578
"2015-08-13",62.54,63.09,61.82,61.85,1659053
"2015-08-20",61.76,61.98,60.84,60.87,2387361
"2015-08-27",57.46,58.64,57.09,58.07,2256528
"2015-09-03",59.48,60.08,59.06,59.14,1887460
"2015-09-10",59.36,60.66,59.28,60.23,2010711
"2015-09-17",62.47,63.25,62.17,62.36,2584788
"2015-09-24",58.19,58.62,57.11,58.4,2548280
"2015-10-01",59.76,60.33,58.7,59.47,2556201
"2015-10-08",61.86,62.18,61.41,61.9,2751775
"2015-10-15",62.14,63.15,61.93,63.14,1840306
"2015-10-22",61.72,63.76,61.33,63.4,2616755
"2015-10-29",63.17,64.24,62.77,64.04,2620049
"2015-11-05",66.2,66.77,65.82,66.69,2104724
"2015-11-12",65.73,66.24,65.03,65.04,2433490
"2015-11-19",66.83,67.39,66.56,67.09,1415348
"2015-12-03",67.28,67.28,65.77,66.01,2742717
"2015-12-10",63.98,64.6,59.21,64.07,2583936
"2015-12-17",64.23,64.58,63.39,63.39,2094275
"2015-12-24",65.24,65.8,65.09,65.29,1454055
"2015-12-31",65.13,65.43,64.61,64.61,2226420
"2016-01-07",60.77,61.04,58.7,58.79,4167322
"2016-01-14",57,58,56.27,57.44,4248183
"2016-01-21",57.05,58.27,56.22,57.32,4978848
"2016-01-28",56.92,56.98,55.54,55.9,3346917
"2016-02-04",53.82,55,53.42,54.9,5586528
"2016-02-11",52.45,53.79,52.39,53.66,4572006
"2016-02-18",57.03,57.56,56.91,57.18,2208918
"2016-02-25",56.97,57.43,56.77,57.41,1983591
"2016-03-03",59.51,60.51,59.23,60.48,2516576
"2016-03-10",59.72,59.86,58.25,59,1554547
"2016-03-17",59.65,60.94,59.2,60.79,2009424
"2016-03-24",60.73,60.97,60.3,60.96,859361
"2016-03-31",61.28,62.07,61.07,61.92,1542347
"2016-04-07",61.18,61.35,60.47,60.85,1344402
"2016-04-14",63.18,63.38,62.48,63.33,1348809
"2016-04-21",61.19,61.47,60.44,61.1,2073889
"2016-04-28",60.47,60.86,59.97,60.12,1337702
"2016-05-05",59.42,59.85,58.98,59.39,1676340
"2016-05-12",59.25,59.27,58.29,58.72,1669648
"2016-05-19",57.84,58.32,57.44,57.75,1395711
"2016-05-26",58.96,59.31,58.72,59.16,1194503
"2016-06-02",59.56,60.22,59.56,60.17,1184075
"2016-06-09",62.2,62.62,61.99,62.27,1324396
"2016-06-16",59.72,60.39,59.37,60.28,1251427
"2016-06-23",62.61,63,62.3,63,1056988
"2016-06-30",56.2,57.11,55.9,57.11,2122013
"2016-07-07",55.6,56.64,55.6,56.42,1490706
"2016-07-14",59.61,59.79,59.16,59.58,1598933
"2016-07-21",61.71,62.17,61.24,61.54,1916995
"2016-07-28",61.15,61.32,60.28,60.55,1255076
"2016-08-04",58.33,58.57,58,58.13,988242
"2016-08-11",59.85,60.28,59.73,60.07,1493302
"2016-08-18",61.43,61.84,61.22,61.82,1481316
"2016-08-25",62.93,63.41,62.75,63.33,1663827
"2016-09-01",63.28,63.75,62.79,63.18,1242842
"2016-09-08",62.99,63.05,62.67,62.77,1359372
"2016-09-15",60.81,62,60.77,61.89,1220758
