"","CL.Open","CL.High","CL.Low","CL.Close","CL.Volume"
"2014-03-13",63.32,63.88,63.11,63.23,2633036
"2014-03-20",63.3,63.7,63.07,63.59,1978911
"2014-03-27",64.25,65.92,63.99,64.06,8116025
"2014-04-03",64.49,64.66,64.21,64.28,2426397
"2014-04-10",65.59,66.31,65.39,65.94,6900952
"2014-04-17",66.75,67.17,66.53,66.94,3599273
"2014-04-24",66.05,66.46,65.95,66.43,3991979
"2014-05-01",67.18,67.42,66.54,67.01,2652449
"2014-05-08",67.14,67.36,66.88,67.1,1714008
"2014-05-15",66.74,67.09,66.31,66.41,2440454
"2014-05-22",66.71,66.8,66.37,66.61,2679231
"2014-05-29",66.38,66.96,66.26,66.92,6367207
"2014-06-05",67.84,68.2,67.71,67.96,2872690
"2014-06-12",68.35,68.6,67.63,67.84,2131477
"2014-06-19",68.91,69.45,68.91,69.43,3072203
"2014-06-26",67.84,68.02,67.51,67.9,2154617
"2014-07-03",68.44,68.82,68.44,68.82,1205479
"2014-07-10",69.33,69.72,69.3,69.42,2933902
"2014-07-17",69.36,69.5,68.6,68.6,2366295
"2014-07-24",68.33,68.34,67.99,68.11,1917263
"2014-07-31",64.73,64.99,63.4,63.4,6850118
"2014-08-07",64.97,65.07,64.31,64.45,2797560
"2014-08-14",64.4,64.55,64.04,64.21,4143712
"2014-08-21",64.55,65.01,64.55,64.81,2499974
"2014-08-28",64.63,64.74,64.45,64.51,2204648
"2014-09-04",64.48,64.63,64.08,64.31,3288746
"2014-09-11",63.97,64.5,63.78,64.42,3271927
"2014-09-18",65.28,65.45,65.04,65.31,3443449
"2014-09-25",66.02,66.06,65.46,65.48,2553043
"2014-10-02",64.75,64.98,64.51,64.78,3230473
"2014-10-09",65.52,65.92,65.15,65.2,4065356
"2014-10-16",62.81,63.4,62.53,63.11,4995047
"2014-10-23",65.74,65.77,64.84,65.05,4083611
"2014-10-30",65.76,66.66,65.52,66.41,2161762
"2014-11-06",68.18,68.2,67.74,68.11,2507270
"2014-11-13",68.94,68.99,68.26,68.29,2316723
"2014-11-20",68.11,68.4,67.91,68.06,1654373
"2014-12-04",69.06,69.57,68.83,69.45,3076924
"2014-12-11",68.96,69.98,68.96,69.28,2607016
"2014-12-18",69.4,69.48,68.61,69.48,4104945
"2015-01-08",68.95,69.31,68.68,69.28,2745206
"2015-01-15",68.76,68.94,68.21,68.32,2383736
"2015-01-22",68.48,69.44,68.1,69.32,3084438
"2015-01-29",68.6,69.46,68.22,69.03,6902248
"2015-02-05",69.49,70.18,69.3,69.79,3408410
"2015-02-12",69.32,69.86,69.32,69.85,2829925
"2015-02-19",70.36,70.79,69.92,70.21,3245543
"2015-02-26",70.94,71.29,70.66,71.11,1855864
"2015-03-05",70.97,71.56,70.79,71.46,3713320
"2015-03-12",68.32,68.58,68.15,68.53,2456742
"2015-03-19",68.18,68.53,67.81,68.29,2881219
"2015-03-26",68.72,69.21,68.48,68.74,2890579
"2015-04-02",69.05,69.45,68.81,69.33,1913962
