"","CAT.Open","CAT.High","CAT.Low","CAT.Close","CAT.Volume"
"2012-11-08",85.16,85.24,83.52,83.66,6246172
"2012-11-15",81.35,82.57,80.5,81.3,7797191
"2012-11-29",85.55,86.48,85.48,86.25,7846411
"2012-12-06",85.83,86.33,85.08,85.95,4132598
"2012-12-13",87.85,89.31,87.82,88.36,6101438
"2012-12-20",89.9,90.13,88.64,89.5,6893538
"2012-12-27",87.87,88.41,86.55,87.66,3953731
"2013-01-03",93.22,94.99,92.89,94.4,9333510
"2013-01-10",95.11,95.19,94.23,95.08,4597210
"2013-01-17",95.71,96.29,95.09,95.7,4825538
"2013-01-24",96,97.74,96,96.6,5816968
"2013-01-31",97.99,98.71,97.9,98.39,7155989
"2013-02-07",97.42,98.16,95.21,96.11,6211601
"2013-02-14",96.06,96.68,95.68,96.07,3586223
"2013-02-21",92.76,92.79,90.57,91.53,7195005
"2013-02-28",92.49,93.16,92.23,92.37,5448303
"2013-03-07",89.9,90.4,89.27,89.65,4740003
"2013-03-14",89.47,89.55,88.17,88.7,7329016
"2013-03-21",86.43,87.32,86.43,86.83,5450567
"2013-03-28",87.05,87.98,86.65,86.97,6215447
"2013-04-04",84.17,84.73,83.84,84.63,7646581
"2013-04-11",86.89,87,85.3,85.7,6920191
"2013-04-18",81.34,81.34,80.05,80.46,6886914
"2013-04-25",84.7,85.02,84.02,84.51,6557101
"2013-05-02",83.34,84.56,83.1,84.26,5799498
"2013-05-09",89.98,90.69,89.55,89.95,5166167
"2013-05-16",86.55,87.65,86.1,86.78,8192760
"2013-05-23",86.03,87.38,85.78,86.95,6028520
"2013-05-30",86.47,87,85.99,86.41,3567956
"2013-06-06",84.25,84.31,83.3,84,7009909
"2013-06-13",83.32,85.28,83.19,85.14,6353695
"2013-06-20",83.19,83.68,82.35,83.2,7629653
"2013-06-27",82.55,83.17,82.55,82.96,4659772
"2013-07-11",86.46,86.89,86.1,86.7,5435661
"2013-07-18",85.88,86.6,85.42,85.72,7048221
"2013-07-25",82.05,82.58,81.35,82.14,9941707
"2013-08-01",83.62,84.81,83.12,84.44,6573129
"2013-08-08",82.95,84.59,82.92,83.96,6400595
"2013-08-15",84.96,86.53,84.88,85.86,5139375
"2013-08-22",83.31,84.49,83.06,84.17,4740345
