"","BDX.Open","BDX.High","BDX.Low","BDX.Close","BDX.Volume"
"2013-03-28",95.45,95.73,94.81,95.61,998746
"2013-04-04",96.55,96.99,96.41,96.56,1405944
"2013-04-11",96.4,97.1,96.34,96.65,891275
"2013-04-18",94.68,94.68,93.06,93.65,1266736
"2013-04-25",95.4,96.75,95.17,96.39,812535
"2013-05-02",94.61,97.98,94.2,96.16,2585880
"2013-05-09",97.46,97.86,97.34,97.75,932128
"2013-05-16",100.98,101.21,100.39,100.5,690216
"2013-05-23",99.55,100.57,99.24,100.17,626924
"2013-05-30",101.07,101.47,100.56,100.82,651642
"2013-06-06",97.11,97.75,95.95,97.75,809552
"2013-06-13",97.26,98.83,96.82,98.6,827599
"2013-06-20",98.07,98.07,96.05,96.25,1128289
"2013-06-27",99.64,99.66,98.71,98.75,787188
"2013-07-11",100.13,100.22,99.2,100.01,760205
"2013-07-18",101.99,103.16,101.9,102.98,685446
"2013-07-25",103.56,104.06,103.17,103.52,973450
"2013-08-01",104,104,102.03,103.11,2117434
"2013-08-08",100.54,100.63,99.84,100.31,1196608
"2013-08-15",99.21,99.21,97.75,97.83,739916
"2013-08-22",98.2,99.15,97.9,98.85,463581
"2013-08-29",97.31,98.09,97.05,97.58,394849
"2013-09-05",98.56,98.92,97.97,98.82,529430
"2013-09-12",100.21,100.43,99.51,99.65,546198
"2013-09-19",102.62,102.99,102.39,102.87,625078
"2013-09-26",100.43,101.1,100.3,100.92,413663
"2013-10-03",100.28,100.53,99.09,99.5,702061
"2013-10-10",99.95,101.16,99.65,101.16,499168
"2013-10-17",102.6,104.22,102.34,104.09,465390
"2013-10-24",106.77,106.9,105.59,106.01,691005
"2013-10-31",105.67,105.99,105.13,105.13,548397
"2013-11-07",107.16,107.6,106.18,106.3,919894
"2013-11-14",108.45,109.46,108.15,108.66,973920
"2013-11-21",108.89,109.81,108.8,109.16,499877
"2013-12-05",107.41,107.87,106.92,107,833095
"2013-12-12",105.49,105.7,104.94,105,620301
"2013-12-19",108.36,108.56,107.21,108.02,1205662
"2013-12-26",109.96,110.13,109.37,110.1,313454
"2014-01-02",110.41,110.41,108.79,109.14,665048
"2014-01-09",111.45,112.4,111.11,112.15,650074
"2014-01-16",111.69,112.39,111.54,111.99,665102
"2014-01-23",111.39,111.39,109.94,110.4,771738
"2014-01-30",108.37,108.66,107.64,107.98,1070557
"2014-02-06",107.33,107.75,106.86,107.17,1081016
"2014-02-13",112.81,114.38,112.43,114.34,964324
"2014-02-20",114.29,115.83,114,115.52,1074422
"2014-02-27",115,115.33,114.5,115.1,763841
"2014-03-06",116.22,116.36,115.1,115.16,791933
"2014-03-13",115.74,115.98,114.88,115.19,1021297
"2014-03-20",115.61,115.81,115,115.66,600842
"2014-03-27",114.78,115.39,114.03,115.14,713152
"2014-04-03",117.54,117.67,115.99,117.41,861397
"2014-04-10",115.34,115.44,112.25,112.64,872753
"2014-04-17",112.65,113.63,112.43,113.16,763780
"2014-04-24",113.98,114.3,113.48,114.04,699655
"2014-05-01",112.93,113.06,111.07,111.59,1077113
"2014-05-08",115.34,117.49,115.21,116.5,1265176
"2014-05-15",116.79,117.19,115.42,115.78,892716
"2014-05-22",116.11,116.11,115.2,115.54,420038
"2014-05-29",116.98,117.36,116.87,117,723711
"2014-06-05",118.63,118.96,117.74,118.77,604705
"2014-06-12",119.1,119.28,117.77,118.2,700822
"2014-06-19",118.52,118.82,117.71,118.3,672362
"2014-06-26",119.28,119.79,118.36,119.67,792071
"2014-07-03",119.86,120.25,119.43,120.12,316368
"2014-07-10",118.16,119.12,118.03,118.87,764269
"2014-07-17",118.6,118.9,117.49,117.6,565072
"2014-07-24",118.11,119.03,118.11,118.49,609136
"2014-07-31",118.37,119.5,115.94,116.24,937767
"2014-08-07",116.49,116.49,114.36,114.78,633350
"2014-08-14",117.88,118.47,117.73,118.06,257555
"2014-08-21",117.97,118.09,117.26,117.53,637345
"2014-08-28",116.72,116.87,116.21,116.48,493797
