"","LH.Open","LH.High","LH.Low","LH.Close","LH.Volume"
"2013-04-04",93.11,93.8,92.75,93.7,750899
"2013-04-11",94.45,95.92,94.25,95.07,1755015
"2013-04-18",94.12,94.22,92.43,93.11,1922767
"2013-04-25",94.1,94.24,93.4,93.8,718566
"2013-05-02",92.65,93.11,92.49,92.83,722203
"2013-05-09",94.34,94.34,93.07,93.37,693190
"2013-05-16",96.38,97.79,95.95,97.68,1129071
"2013-05-23",99.4,101.08,99.09,100.71,753243
"2013-05-30",100.21,100.7,99.67,100.12,862036
"2013-06-06",98.68,99.04,97.98,98.64,810215
"2013-06-13",99.88,100.33,98.79,100.08,888002
"2013-06-20",99.53,99.99,98.71,98.99,1203239
"2013-06-27",100.04,101.41,100.04,100.79,485223
"2013-07-11",97.88,97.9,96.51,96.7,775313
"2013-07-18",98.48,98.91,97.05,97.42,1015452
"2013-07-25",97.72,98.22,97.26,98.03,453685
"2013-08-01",97.26,97.54,96.4,97.39,631854
"2013-08-08",97.01,98.25,96.88,97.82,447856
"2013-08-15",98.4,98.68,97.2,97.49,1047756
"2013-08-22",96.81,97.17,96.3,96.39,320664
"2013-08-29",95.75,96.56,95.63,95.88,385951
"2013-09-05",97.06,98.2,96.99,97.75,399766
"2013-09-12",100.51,100.51,99.84,100.05,627264
"2013-09-19",100.42,100.62,99.65,99.76,763924
"2013-09-26",98.95,99.68,98.54,98.87,333160
"2013-10-03",99.53,100,98.97,99.8,544509
"2013-10-10",98.77,99.63,98.35,99.03,931506
"2013-10-17",100.8,102.65,99.82,102.55,1197652
"2013-10-24",101.37,101.99,100.22,100.25,498048
"2013-10-31",101.34,101.93,100.2,100.9,870268
"2013-11-07",103.53,105.17,102.88,104.33,898803
"2013-11-14",105.63,107.46,105.15,107.39,816350
"2013-11-21",104.54,104.96,104.15,104.83,470486
"2013-12-05",99.16,99.79,98.56,99.24,828242
"2013-12-12",88.02,88.94,87.21,87.75,2891538
"2013-12-19",90,90.01,89.35,89.61,1469162
"2013-12-26",91.2,91.25,90.31,90.7,285174
"2014-01-02",91.37,91.63,90.04,90.23,1060349
"2014-01-09",91.71,93.49,91.57,92.57,1294830
"2014-01-16",91.08,91.7,91.08,91.5,726763
"2014-01-23",91.58,91.78,90.49,91.35,599024
"2014-01-30",90.01,91.22,88.59,89.06,1136045
"2014-02-06",88.73,90.48,88.22,90.32,1230174
"2014-02-13",90.33,91.92,89.94,91.81,856964
"2014-02-20",92.2,93.21,91.75,92.69,761419
"2014-02-27",92.32,93.32,92.1,93.09,769700
"2014-03-06",93.86,94.48,93.62,94.05,520441
"2014-03-13",96.15,97.1,95.81,95.87,1383906
"2014-03-20",97.94,98.68,96.63,96.91,992125
"2014-03-27",98.81,98.81,96.45,97.87,1800747
"2014-04-03",102.58,102.8,101.65,102.49,1454994
"2014-04-10",100.67,100.99,99.48,99.65,1158385
